	TCGA.C4.A0F0.01A.12R.A10U.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.FU.A3YQ.01A.11R.A22U.07	TCGA.EA.A3HT.01A.61R.A21T.07	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.LN.A49K.01A.11R.A24K.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.LN.A4MQ.01A.11R.A28J.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
AC010536.1	0.32	0.91	4.7	2.34	3.69	9.13	7.94	5.41	5.06	5.28	10.96	8.06	4.94	4.5	11.47	5.77	4.35	7.51	6.36	18.03	1.41	1.0	0.55	0.0	0.15	1.81	0.59	0.24	3.56	3.69	3.66	1.87	0.0
AC019294.1	0.0	0.36	2.53	2.03	1.55	6.67	8.71	3.92	3.26	1.97	16.88	26.47	10.71	3.44	29.48	5.45	18.29	2.78	13.03	3.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.95	0.51	0.01	0.0	0.0
AC024257.1	0.0	0.75	2.36	1.51	1.1	10.39	12.0	2.03	2.43	1.57	4.06	5.15	4.39	0.95	7.51	0.83	2.01	0.77	5.54	3.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.28	0.27	0.0	0.09
AC092811.1	0.0	4.46	5.82	8.25	11.3	34.75	55.89	27.05	15.34	26.28	99.43	44.89	59.55	24.81	96.01	13.42	70.01	9.13	24.81	32.59	11.73	0.0	1.19	0.0	0.51	0.0	0.0	0.21	2.14	2.07	0.0	1.03	0.0
ACR	0.62	4.78	0.54	1.95	1.85	53.19	28.04	12.27	43.94	24.63	92.05	24.46	44.89	21.94	72.01	19.53	96.01	14.89	42.11	23.42	13.42	1.51	2.92	0.0	0.35	3.26	0.09	14.45	7.0	1.6	6.41	5.63	10.16
AGAP4	9.06	42.71	123.5	87.03	38.67	447.82	244.57	103.69	64.34	195.72	318.57	217.27	297.17	152.28	293.07	142.01	262.2	139.07	127.0	547.75	92.7	5.23	13.93	0.0	1.0	4.78	1.27	9.56	20.41	11.13	17.64	6.84	5.41
AGAP6	20.11	49.21	186.4	129.69	120.1	591.22	511.0	332.14	239.52	236.21	525.39	314.17	802.41	239.52	551.56	251.48	473.41	226.54	275.28	759.08	215.77	21.94	18.7	0.0	1.19	10.16	7.46	20.11	53.19	38.4	31.67	31.67	27.84
AGER	7.17	74.06	191.67	57.49	57.08	251.48	595.34	120.94	176.29	166.73	336.79	476.71	423.61	169.07	555.41	177.53	361.04	256.78	262.2	363.56	156.59	7.11	22.26	0.0	0.28	9.78	4.31	41.81	23.25	38.67	33.06	10.24	18.84
AL031663.2	0.0	0.74	3.99	3.11	1.93	14.03	17.64	4.03	5.63	3.44	5.63	11.64	13.12	4.31	15.0	3.32	13.42	7.51	12.27	44.57	3.92	0.64	0.0	0.0	0.23	0.0	0.0	0.1	2.78	2.07	0.28	0.18	1.06
AMT	4.13	65.72	92.05	138.1	75.11	264.03	327.56	368.65	226.54	236.21	392.44	395.18	624.99	176.29	490.14	166.73	262.2	202.66	363.56	703.28	231.32	15.0	13.52	0.0	0.99	10.39	3.72	36.27	48.52	43.02	31.45	26.28	15.91
