	TCGA.UY.A8OD.01A.11R.A36F.07	TCGA.AR.A24O.01A.11R.A169.07	TCGA.OL.A5D7.01A.11R.A27Q.07	TCGA.E2.A14Y.01A.21R.A12D.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.B6.A1KN.01A.11R.A13Q.07	TCGA.EW.A1J2.01A.21R.A13Q.07	TCGA.OL.A5RZ.01A.11R.A28M.07	TCGA.BH.A1EV.01A.11R.A137.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A7.A2KD.01A.31R.A21T.07	TCGA.A2.A0YJ.01A.11R.A109.07	TCGA.D8.A1XJ.01A.11R.A14M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.BH.A0HY.01A.11R.A056.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07	TCGA.DI.A2QT.01A.12R.A19W.07
ACAD11	136.19	183.82	133.36	54.72	134.3	178.77	191.67	142.01	283.05	105.15	136.19	57.08	161.02	144.01	143.01	149.12	0.0	170.25
ADAMTS12	93.35	466.88	21.63	90.77	56.28	186.4	336.79	23.59	314.17	81.14	199.85	67.12	206.94	295.11	169.07	5.36	0.0	8.38
AEBP1	13681.08	9540.5	1757.34	1832.01	4903.87	5292.48	12329.98	1757.34	14065.74	3955.48	10585.95	3491.39	7589.61	11584.24	10368.08	204.07	0.0	2224.63
AHNAK	1896.65	4769.75	503.95	1883.54	1733.13	3280.18	6381.92	934.76	4181.07	2485.67	3690.52	2915.45	1733.13	3146.52	4239.45	599.49	0.0	305.55
ANGPTL2	679.29	1268.46	201.25	403.5	476.71	591.22	819.3	164.42	1023.0	358.54	718.08	303.44	486.75	842.36	642.59	31.0	0.0	309.83
ANTXR1	1268.46	2645.74	236.21	559.28	460.44	1051.79	2720.15	217.27	3589.58	674.59	1794.29	791.35	1909.85	3564.78	1030.12	19.97	0.0	171.45
ARMCX5	152.28	281.09	87.65	143.01	218.79	119.26	323.03	138.1	194.36	244.57	246.28	104.42	161.02	260.38	195.72	43.63	0.0	153.34
ATF2	343.89	703.28	144.01	289.02	346.29	470.14	688.78	293.07	551.56	441.64	497.0	325.29	423.61	341.51	457.25	206.94	0.0	232.94
C14orf37	31.45	136.19	6.26	15.8	18.16	42.71	115.97	16.88	89.51	37.32	64.34	8.45	79.45	74.58	54.72	4.13	0.0	16.39
C1QTNF3	237.86	713.11	18.29	73.54	172.65	368.65	679.29	151.22	1059.11	145.02	536.45	14.45	1073.91	1044.52	836.53	89.51	0.0	85.82
C3orf80	86.43	77.79	8.51	20.71	33.54	78.89	78.34	12.36	92.7	61.68	120.94	21.16	73.54	75.64	85.22	1.39	0.0	6.89
CACNA2D1	68.07	229.72	2.25	11.91	13.22	44.25	100.13	8.06	42.41	36.79	51.71	8.99	29.48	102.25	35.76	1.14	0.0	4.13
CDH11	525.39	2400.97	155.5	275.28	314.17	842.36	3081.75	373.81	2047.0	1096.5	2319.15	348.71	1225.22	2224.63	1286.18	25.17	301.33	50.63
COL11A1	819.3	2319.15	54.72	493.56	1135.2	813.63	3303.0	209.84	4903.87	813.63	2537.92	476.71	3614.55	4481.23	2163.77	4.31	0.0	16.51
COL12A1	1909.85	5006.93	293.07	848.22	1540.37	1757.34	4328.55	336.79	5076.84	1674.06	5183.54	1044.52	3928.15	5791.62	3060.45	26.47	0.0	187.71
COL5A1	2335.28	5112.16	392.44	759.08	651.58	1417.35	3847.29	629.35	3419.52	1313.23	2915.45	693.58	2032.85	2609.3	3589.58	64.34	0.0	258.57
COL5A2	961.07	5403.7	314.17	842.36	848.22	1819.35	4066.71	450.94	3325.99	1540.37	3614.55	775.05	2758.13	4095.0	3103.19	36.01	0.0	131.51
COL6A3	5219.6	10808.41	759.08	1709.26	1757.34	3491.39	10512.82	1066.48	6207.38	3349.13	5329.3	1359.57	4181.07	4736.79	4512.4	90.77	1286.18	460.44
COL8A1	297.17	1051.79	43.94	131.51	206.94	341.51	1388.16	149.12	1594.73	332.14	928.3	127.0	928.3	1407.55	796.86	12.09	141.02	97.36
DACT1	229.72	376.41	41.22	58.3	69.52	130.6	366.09	40.07	215.77	58.71	197.09	130.6	228.13	312.0	190.34	15.22	0.0	7.06
DPYSL3	2061.24	1697.45	161.02	733.19	366.09	775.05	1819.35	915.51	1447.15	733.19	1143.1	215.77	1001.93	1883.54	915.51	15.91	0.0	176.29
EDNRA	185.11	703.28	19.39	108.14	108.14	241.19	329.84	34.75	277.2	113.56	303.44	90.14	269.6	412.0	201.25	10.55	0.0	17.51
FAM172A	121.79	358.54	25.35	125.24	198.47	209.84	438.59	164.42	361.04	182.55	204.07	107.38	182.55	299.25	209.84	57.89	0.0	53.19
