	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.ZLFU.1426.SM.4WWEU	GTEX.11I78.1326.SM.5PNY9	GTEX.ZDTS.2726.SM.5L3E2	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.13111.1126.SM.5GCMZ	GTEX.U3ZH.1126.SM.4DXUG	GTEX.TKQ2.1226.SM.4DXSV	GTEX.R53T.1026.SM.48FCO	GTEX.TML8.1426.SM.4DXUT	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	GTEX.13111.1226.SM.5GCNC	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.S4P3.0726.SM.4AD57	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.R55D.1526.SM.48FEJ	GTEX.XPVG.1526.SM.4B66C
ABCA10	72.01	47.17	32.13	7.82	12.93	87.03	212.78	297.17	195.72	114.36	199.85	173.85	0.0	0.44	3.06	175.07	50.98	176.29	20.86	25.35	32.82	91.41	37.32
ACCS	212.78	190.34	99.43	53.95	117.6	170.25	723.08	500.46	759.08	1030.12	551.56	769.69	0.0	0.75	27.84	255.0	497.0	178.77	90.77	60.39	112.77	195.72	379.04
ACTG2	726195.27	3406832.48	93974.69	106462.55	329517.51	1048575.0	411347.03	144427.91	190574.09	130165.62	133825.1	186652.11	0.0	0.61	54.72	672883.8	998912.34	1078054.48	214407.12	1055868.42	998912.34	945028.61	672883.8
ADAM21	3.53	9.27	1.39	1.39	2.34	2.63	7.82	2.58	7.75	5.23	4.82	10.63	0.0	0.17	0.85	2.2	3.26	3.69	0.02	0.54	0.57	3.38	3.44
ADAMTS10	195.72	307.69	156.59	132.44	93.35	460.44	559.28	551.56	890.44	441.64	723.08	395.18	0.0	0.96	3.72	406.31	262.2	193.01	234.57	167.9	126.12	204.07	271.48
AFAP1L1	105.15	129.69	43.63	53.19	55.89	180.02	123.5	178.77	155.5	149.12	190.34	209.84	0.0	0.37	101.54	70.01	49.56	63.89	57.89	49.21	90.77	72.01	77.79
AGAP8	81.14	115.16	33.54	59.97	32.36	56.28	226.54	134.3	166.73	246.28	351.14	212.78	0.0	0.64	6.57	80.57	40.36	17.9	18.29	39.22	43.02	46.84	146.03
APBB3	389.72	493.56	161.02	176.29	157.68	293.07	718.08	961.07	1051.79	759.08	819.3	1119.56	0.0	1.14	65.26	575.03	301.33	334.46	180.02	108.14	109.66	361.04	400.71
ARMCX3	802.41	1119.56	679.29	595.34	1030.12	1001.93	1208.34	1242.34	1001.93	995.0	1059.11	1216.75	0.0	0.85	59.97	2303.12	1151.06	733.19	420.68	723.08	591.22	718.08	941.27
ATG16L2	348.71	417.77	120.1	141.02	189.02	371.22	780.44	796.86	785.88	854.13	753.83	693.58	0.0	1.16	37.85	334.46	279.14	279.14	111.99	96.68	107.38	540.19	159.9
ATG2B	169.07	208.38	77.79	136.19	61.25	204.07	279.14	309.83	291.04	246.28	332.14	353.59	0.0	0.55	17.77	241.19	190.34	95.34	116.78	73.03	87.65	204.07	124.37
BAZ2A	633.73	769.69	412.0	575.03	256.78	693.58	1023.0	785.88	1250.98	1143.1	1081.39	1233.75	514.56	159.9	103.69	954.43	1073.91	743.43	532.74	476.71	819.3	1151.06	860.08
BOD1L1	353.59	575.03	242.88	291.04	256.78	543.96	493.56	791.35	454.09	525.39	629.35	624.99	0.0	0.73	57.08	723.08	346.29	305.55	127.89	249.73	229.72	587.13	406.31
BRD1	400.71	540.19	507.46	435.55	258.57	532.74	591.22	511.0	583.07	612.11	567.1	532.74	0.0	0.83	102.97	836.53	503.95	414.87	444.72	277.2	320.8	647.07	595.34
BRF1	371.22	417.77	297.17	194.36	236.21	473.41	438.59	620.67	595.34	463.65	563.18	457.25	327.56	27.84	146.03	624.99	444.72	234.57	229.72	244.57	224.97	371.22	525.39
BZRAP1	285.03	476.71	234.57	153.34	242.88	599.49	1322.37	1135.2	2061.24	1467.37	1322.37	1331.57	0.0	0.82	3.29	633.73	241.19	457.25	105.89	63.89	72.52	368.65	334.46
C12orf39	23.59	40.07	5.06	0.0	3.76	76.71	15.45	31.0	53.95	64.8	32.59	63.0	0.0	0.06	0.0	80.57	17.13	19.11	4.35	2.18	0.0	38.4	23.42
C1QTNF9	68.55	105.15	7.63	5.41	11.55	131.51	53.19	51.71	40.64	96.01	43.94	112.77	0.0	0.0	0.0	60.39	17.77	43.63	23.59	32.36	27.44	22.75	9.41
CACNA1E	3.44	5.06	3.86	0.0	0.56	1.85	0.99	10.71	12.93	5.87	5.36	2.89	0.0	0.29	0.0	7.88	0.23	7.34	2.2	2.2	0.0	4.66	0.77
CAPN3	115.16	127.89	30.78	41.22	84.04	195.72	368.65	343.89	412.0	291.04	444.72	414.87	0.0	0.79	26.67	166.73	92.05	80.01	43.94	36.79	35.0	124.37	133.36
CARF	115.16	104.42	40.07	52.82	38.12	125.24	148.09	189.02	212.78	185.11	149.12	376.41	0.0	0.13	25.54	267.73	215.77	77.79	30.56	63.45	45.85	125.24	155.5
CCDC17	22.1	25.91	6.84	6.52	7.46	24.46	31.22	43.94	75.11	30.56	34.75	77.79	0.0	0.17	1.62	31.22	10.0	11.21	4.86	4.5	4.39	12.64	18.03
CCDC180	39.79	120.1	29.27	5.73	26.1	74.58	132.44	139.07	169.07	186.4	159.9	141.02	0.0	0.31	0.71	204.07	62.12	61.25	44.25	30.56	34.51	108.9	113.56
CCDC88B	191.67	111.21	140.04	155.5	176.29	92.7	253.23	400.71	400.71	444.72	503.95	239.52	0.0	0.79	157.68	303.44	159.9	189.02	90.77	84.63	82.87	251.48	136.19
CCNT2	291.04	295.11	136.19	193.01	115.16	273.37	400.71	353.59	460.44	329.84	389.72	497.0	0.0	0.68	119.26	363.56	197.09	217.27	102.97	83.45	164.42	307.69	212.78
CEP85L	46.5	77.25	23.08	29.27	26.67	59.13	112.77	97.36	84.63	80.01	98.04	86.43	0.0	0.3	28.45	35.0	22.43	26.47	18.7	20.41	44.57	44.25	42.41
CKMT2	108.14	223.41	36.01	14.14	400.71	246.28	961.07	638.15	961.07	674.59	698.41	733.19	0.0	0.37	0.0	172.65	285.03	69.52	41.52	27.25	48.87	101.54	85.82
COL16A1	921.88	2133.97	497.0	395.18	1001.93	1447.15	1832.01	1745.2	3303.0	1991.0	1617.0	2451.44	0.0	1.13	273.37	2520.38	1359.57	748.61	1008.9	463.65	1096.5	638.15	1295.13
CUBN	8.71	9.34	2.84	1.79	4.1	7.69	21.94	24.11	15.56	12.83	13.83	10.63	0.0	0.24	0.96	21.32	7.4	6.62	7.88	2.61	3.86	5.32	8.38
CUL7	237.86	279.14	115.16	172.65	100.83	206.94	358.54	281.09	387.02	361.04	351.14	463.65	0.0	0.47	62.12	186.4	205.5	323.03	120.94	138.1	130.6	134.3	138.1
DDHD1	70.01	78.34	49.56	67.59	48.52	126.12	127.0	217.27	186.4	139.07	172.65	190.34	0.0	0.42	61.68	140.04	121.79	49.21	60.39	68.07	92.7	87.03	102.25
DMXL2	473.41	612.11	166.73	137.14	146.03	301.33	587.13	420.68	718.08	473.41	497.0	684.02	0.0	0.64	133.36	305.55	223.41	387.02	78.34	166.73	129.69	371.22	151.22
ENDOV	423.61	379.04	281.09	165.57	244.57	318.57	387.02	339.14	348.71	490.14	395.18	423.61	0.0	0.66	500.46	307.69	228.13	412.0	190.34	218.79	163.28	318.57	277.2
ERV3-1	120.1	277.2	29.48	97.36	102.25	249.73	381.68	177.53	395.18	299.25	265.87	409.15	0.0	0.84	134.3	283.05	163.28	314.17	66.65	109.66	53.95	201.25	108.9
EVC	162.14	486.75	146.03	169.07	112.77	384.34	438.59	507.46	486.75	638.15	392.44	532.74	0.0	0.33	11.3	688.78	486.75	486.75	343.89	325.29	470.14	397.93	381.68
FAM149A	318.57	563.18	246.28	295.11	312.0	674.59	915.51	808.0	1073.91	896.64	902.89	934.76	0.0	0.47	5.41	764.36	368.65	447.82	309.83	309.83	158.79	392.44	470.14
FAM162B	69.03	85.22	54.72	18.29	8.78	208.38	83.45	125.24	152.28	97.36	96.68	215.77	0.0	0.03	12.45	60.82	46.84	110.43	54.72	58.71	49.56	110.43	57.08
FAM168A	351.14	872.1	307.69	305.55	237.86	629.35	579.04	647.07	567.1	780.44	620.67	748.61	137.14	107.38	50.63	595.34	656.11	660.68	334.46	571.05	483.38	571.05	624.99
FAM21A	563.18	500.46	591.22	547.75	414.87	599.49	656.11	733.19	669.92	854.13	688.78	559.28	0.0	0.12	57.49	642.59	642.59	607.87	457.25	406.31	656.11	647.07	161.02
FN3K	579.04	563.18	486.75	198.47	275.28	368.65	780.44	791.35	1015.93	1119.56	718.08	981.29	0.0	0.41	21.01	555.41	400.71	299.25	125.24	191.67	144.01	307.69	329.84
GHR	125.24	206.94	145.02	25.35	22.59	106.63	460.44	281.09	217.27	332.14	232.94	346.29	0.0	0.44	30.34	368.65	229.72	258.57	80.57	323.03	103.69	159.9	253.23
GOLGA8I	27.64	27.25	11.21	6.52	11.04	47.17	33.3	50.63	75.11	30.34	48.87	61.68	0.0	0.43	2.03	43.63	17.51	11.47	3.44	11.55	3.11	30.78	14.67
GOLGA8R	29.27	53.19	16.39	9.13	17.77	79.45	171.45	162.14	183.82	76.71	149.12	199.85	0.0	0.52	0.0	175.07	58.3	28.04	7.88	8.65	12.18	97.36	31.22
GOLGA8S	9.34	13.22	2.51	2.89	4.1	22.1	18.03	14.67	35.0	12.74	15.11	19.53	0.0	0.32	0.71	12.74	7.51	7.75	1.46	3.44	1.69	7.17	7.06
GPATCH2L	287.01	287.01	151.22	202.66	258.57	389.72	264.03	460.44	348.71	316.37	269.6	460.44	0.0	0.48	212.78	409.15	287.01	299.25	185.11	185.11	211.31	224.97	186.4
HMGN3	1950.0	2209.26	1467.37	693.58	2133.97	1583.71	4512.4	2956.17	2367.9	2485.67	2319.15	2178.83	0.0	0.57	1540.37	2976.74	1923.14	954.43	500.46	1044.52	555.41	2319.15	1721.16
HSF4	291.04	447.82	95.34	48.52	157.68	669.92	1806.78	2193.99	3443.31	2701.35	2271.4	2739.08	0.0	1.46	50.63	167.9	435.55	220.32	163.28	42.11	193.01	366.09	212.78
