	TCGA.A6.2674.01A.02R.A278.07	TCGA.L5.A8NU.01A.11R.A36D.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.IG.A3YA.01A.11R.A24K.31	GTEX.WZTO.1726.SM.4PQYV	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.LG.A6GG.01A.11R.A311.07	TCGA.ZS.A9CE.01A.11R.A37K.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.55.6971.01A.11R.1949.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.111FC.1126.SM.5GZWU	TCGA.85.8048.01A.11R.2247.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.43.8115.01A.11R.2247.07	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.MX.A663.01A.11R.A31P.31	TCGA.BR.8364.01A.11R.2343.13	GTEX.12C56.0526.SM.5FQST	GTEX.11EQ9.1226.SM.5987E
AC110619.2	31.0	0.92	37.05	3.41	3.96	0.0	0.0	0.0	0.0	0.56	0.13	1.06	6.11	0.0	1.87	1.36	2.81	0.0	0.0	0.39	1.08	0.0	2.32	4.58	0.45	1.06	0.96	0.83	0.0	1.55	0.69	1.27	3.03	1.19	1.19	0.43	11.04	0.0	0.08	50.27	6.57	34.26	2.94	29.06	3.29	2.1	3.29	20.11
AEBP1	4836.35	7857.29	4152.18	5292.48	17804.06	104.42	127.0	25.91	68.55	283.05	1119.56	995.0	3081.75	139.07	457.25	1119.56	273.37	995.0	323.03	353.59	1023.0	231.32	2720.15	748.61	269.6	759.08	890.44	934.76	363.56	323.03	400.71	1233.75	571.05	198.47	813.63	470.14	2434.5	0.0	1.17	4671.57	4298.64	8191.0	15715.58	10084.54	9279.58	9279.58	6607.01	4481.23
ALX4	2.76	2.03	1.77	1.2	13.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.0	1.64	0.0	0.0	0.0	0.0	0.0	1.48	1.41	0.0	0.0	0.0	4.82	0.0	0.0	0.3	2.81	16.88	10.47	1.95	3.32	0.77	0.4	2.01
ANGPTL2	1268.46	1498.22	896.64	703.28	1268.46	55.1	39.22	70.01	41.81	87.03	318.57	420.68	599.49	106.63	202.66	567.1	157.68	212.78	127.0	193.01	96.01	171.45	620.67	339.14	366.09	356.05	435.55	180.02	127.89	217.27	153.34	540.19	358.54	76.17	253.23	297.17	860.08	0.0	0.61	733.19	1594.73	1001.93	1088.92	2537.92	1250.98	2178.83	1794.29	3146.52
AQP2	0.51	1.04	2.39	0.21	48.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.44	0.0	0.0	1.53	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.49	0.0	0.0	16.88	0.0	0.0	1.75	1.75	6.62	2.86	2.58	2.92	4.82	2.53	0.22
ARMCX1	220.32	199.85	121.79	269.6	802.41	23.76	17.64	15.0	19.39	9.93	81.14	86.43	212.78	9.06	31.9	115.97	29.91	107.38	31.22	12.74	35.25	8.0	102.97	34.26	27.84	75.11	127.89	61.25	37.05	60.82	44.89	120.94	90.14	20.41	120.1	41.81	220.32	0.0	0.59	1286.18	258.57	241.19	309.83	529.06	303.44	379.04	547.75	293.07
BATF3	133.36	341.51	66.18	114.36	260.38	2.32	18.56	13.22	13.72	6.46	75.64	38.12	121.79	28.04	23.25	15.0	7.46	49.91	15.8	6.78	61.25	17.0	55.49	211.31	20.71	51.35	61.25	14.45	18.29	44.25	62.12	33.78	15.0	13.62	23.76	20.86	90.14	0.0	0.39	80.01	78.34	162.14	110.43	149.12	53.19	54.33	170.25	164.42
CCND2	656.11	703.28	1096.5	536.45	1397.83	18.43	16.39	8.92	14.67	7.11	87.03	21.78	115.16	47.84	31.0	28.86	22.59	96.68	32.82	21.78	25.17	10.96	81.14	55.1	13.72	59.97	88.88	32.13	28.45	28.24	23.76	71.5	28.45	12.45	58.3	16.15	493.56	0.0	0.64	389.72	397.93	441.64	265.87	718.08	1250.98	995.0	1651.0	1909.85
CNRIP1	248.0	529.06	239.52	316.37	902.89	41.81	16.88	28.45	33.78	13.52	91.41	49.91	132.44	19.82	43.63	104.42	41.52	50.27	41.52	49.56	61.25	31.22	143.01	198.47	35.5	54.72	53.57	103.69	39.79	142.01	38.95	111.99	106.63	29.91	102.25	52.82	187.71	0.0	0.62	890.44	198.47	309.83	215.77	693.58	363.56	543.96	860.08	575.03
COL12A1	22535.88	4419.52	3768.09	5292.48	1143.1	12.18	21.47	22.26	26.86	31.0	151.22	133.36	236.21	38.4	60.82	170.25	55.1	101.54	42.71	72.52	65.26	30.56	169.07	79.45	30.56	156.59	114.36	27.44	27.64	47.17	166.73	124.37	120.94	27.44	180.02	68.07	688.78	0.0	0.73	579.04	1030.12	1498.22	5913.33	1359.57	2061.24	3257.52	878.17	974.5
DACT1	665.29	348.71	166.73	118.43	373.81	2.18	14.14	5.87	31.9	2.61	40.64	27.44	120.94	19.25	27.05	127.89	20.41	101.54	26.86	12.74	50.63	20.71	108.14	41.22	35.25	28.04	61.25	48.87	19.11	73.03	21.01	94.67	75.11	12.55	71.5	48.87	100.13	0.0	0.45	115.97	271.48	258.57	387.02	587.13	466.88	860.08	144.01	256.78
DMRT2	39.79	2.58	3.44	75.11	6.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.63	0.0	0.0	0.0	2.01	0.0	0.0	0.0	1.66	0.0	0.0	0.0	0.0	19.68	0.0	0.39	283.05	67.12	100.83	152.28	3.72	15.56	0.32	7.11	3.5
DPYSL3	1844.76	3794.3	1721.16	14461.21	3847.29	9.27	6.46	23.08	30.34	24.99	125.24	45.21	142.01	20.86	29.91	211.31	26.1	135.24	64.8	49.91	49.21	17.64	346.29	37.85	30.56	198.47	65.72	84.04	26.47	27.44	28.24	146.03	133.36	9.48	79.45	37.05	1350.18	0.0	0.71	2032.85	2400.97	1769.57	2875.3	4152.18	3372.43	4575.41	4210.15	3124.78
DSE	791.35	406.31	381.68	473.41	373.81	27.44	9.48	112.77	23.08	17.0	170.25	166.73	633.73	36.27	102.97	163.28	102.25	153.34	42.41	72.01	87.65	25.35	195.72	195.72	131.51	138.1	186.4	88.26	36.27	152.28	124.37	151.22	226.54	81.71	114.36	113.56	400.71	0.0	0.8	397.93	571.05	432.53	460.44	307.69	217.27	397.93	358.54	228.13
EDNRA	289.02	312.0	170.25	220.32	866.07	8.78	5.59	15.8	15.56	10.39	46.5	19.53	51.71	23.59	33.78	80.01	25.91	35.25	29.48	8.13	19.53	13.12	82.29	36.27	14.24	41.81	77.79	22.1	15.91	22.75	26.47	58.71	22.1	10.79	42.71	40.93	187.71	0.0	0.29	1561.89	151.22	312.0	318.57	708.18	420.68	802.41	273.37	138.1
EMILIN1	2573.36	4481.23	1191.69	2739.08	2895.31	41.52	30.34	40.64	34.75	167.9	921.88	723.08	2119.22	102.97	454.09	1388.16	183.82	1427.22	432.53	209.84	638.15	343.89	872.1	363.56	318.57	825.0	1359.57	429.54	406.31	728.11	518.15	884.29	679.29	166.73	1175.27	397.93	1819.35	0.0	1.04	928.3	2335.28	4210.15	3303.0	3639.7	3443.31	4512.4	2240.11	2645.74
ERICH1	403.5	555.41	616.37	470.14	819.3	76.71	356.05	287.01	204.07	98.04	171.45	205.5	289.02	191.67	242.88	309.83	142.01	59.55	165.57	116.78	138.1	97.36	426.57	780.44	166.73	339.14	218.79	95.34	381.68	201.25	206.94	198.47	299.25	81.14	156.59	182.55	361.04	0.0	0.84	500.46	441.64	392.44	397.93	532.74	884.29	529.06	624.99	323.03
FAM27E2	11.82	16.15	19.11	4.39	26.28	0.0	0.97	0.0	0.0	0.0	2.61	4.66	6.16	2.81	3.35	3.76	1.38	1.07	1.66	3.23	2.34	0.0	2.36	9.7	3.89	1.06	6.41	0.46	0.0	1.22	0.0	4.62	2.61	0.0	0.0	0.0	2.01	0.0	0.0	7.82	6.78	5.87	5.87	3.23	21.94	3.66	3.76	3.06
