	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0C3.11A.23R.A12P.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.6648.01A.11R.1774.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.147F3.1926.SM.5SIB9	GTEX.11P82.1026.SM.5BC5J	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.11DXX.1826.SM.5H126	GTEX.XUJ4.2026.SM.4BOOW	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.1128S.1626.SM.5H12O	GTEX.145LT.0926.SM.5LU9C	GTEX.Y5LM.1526.SM.4VDTA	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XUZC.1326.SM.4BRV2	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.Y3IK.1826.SM.4WWDS	GTEX.P78B.1726.SM.3P5ZV	GTEX.QEL4.1926.SM.4R1JI	GTEX.ZT9W.1826.SM.51MQX
CCDC117	435.55	400.71	400.71	759.08	432.53	547.75	518.15	423.61	555.41	432.53	395.18	759.08	476.71	173.85	373.81	248.0	212.78	262.2	206.94	194.36	202.66	176.29	260.38	221.86	161.02	215.77	220.32	169.07	218.79	197.09	140.04	182.55	303.44	130.6	145.02	187.71	177.53	129.69	218.79	121.79	218.79	251.48	248.0	193.01	186.4	132.44	154.42	217.27	182.55	271.48	151.22	139.07	189.02	212.78	153.34	397.93	211.31	172.65	287.01	249.73	150.17
CD302	518.15	647.07	616.37	878.17	521.76	764.36	878.17	647.07	629.35	728.11	536.45	878.17	470.14	63.45	78.34	206.94	101.54	224.97	277.2	62.56	205.5	115.16	197.09	166.73	152.28	447.82	154.42	102.25	146.03	169.07	61.68	96.68	228.13	232.94	106.63	110.43	169.07	100.13	208.38	130.6	239.52	395.18	176.29	150.17	122.64	157.68	94.01	148.09	163.28	389.72	123.5	80.57	114.36	134.3	158.79	228.13	281.09	81.14	244.57	303.44	85.82
CDCA7L	921.88	1167.14	842.36	420.68	921.88	981.29	728.11	854.13	1757.34	808.0	909.17	420.68	825.0	185.11	928.3	381.68	463.65	476.71	503.95	318.57	267.73	258.57	454.09	329.84	283.05	633.73	356.05	189.02	441.64	264.03	137.14	395.18	563.18	373.81	363.56	571.05	559.28	212.78	339.14	271.48	387.02	733.19	384.34	293.07	429.54	312.0	339.14	403.5	291.04	420.68	195.72	248.0	395.18	540.19	246.28	633.73	599.49	587.13	878.17	480.04	262.2
CDKN1B	1313.23	1277.29	1286.18	974.5	1561.89	1583.71	1583.71	1639.59	1407.55	1369.04	1135.2	974.5	1628.26	490.14	1268.46	884.29	633.73	941.27	796.86	493.56	764.36	559.28	967.76	802.41	759.08	860.08	759.08	536.45	941.27	718.08	532.74	633.73	995.0	616.37	616.37	624.99	599.49	387.02	830.75	591.22	769.69	1331.57	842.36	713.11	656.11	441.64	674.59	842.36	748.61	674.59	497.0	703.28	684.02	825.0	743.43	1175.27	954.43	928.3	1030.12	1127.35	507.46
CELF2	356.05	312.0	301.33	785.88	303.44	265.87	551.56	381.68	305.55	470.14	269.6	785.88	183.82	133.36	376.41	158.79	144.01	226.54	178.77	58.71	218.79	157.68	162.14	129.69	206.94	395.18	142.01	109.66	215.77	161.02	46.5	166.73	373.81	156.59	96.68	120.1	204.07	98.73	153.34	198.47	214.27	305.55	202.66	99.43	209.84	231.32	152.28	114.36	293.07	543.96	120.94	127.0	156.59	211.31	149.12	406.31	409.15	133.36	363.56	277.2	92.7
CENPC	275.28	339.14	279.14	229.72	454.09	301.33	412.0	356.05	373.81	417.77	351.14	229.72	297.17	111.21	208.38	108.14	155.5	171.45	155.5	59.55	190.34	127.89	197.09	147.06	139.07	206.94	159.9	113.56	166.73	105.89	62.56	117.6	159.9	108.14	171.45	147.06	117.6	121.79	145.02	113.56	107.38	161.02	123.5	98.04	146.03	125.24	98.04	144.01	162.14	195.72	88.88	112.77	154.42	151.22	122.64	183.82	156.59	118.43	189.02	242.88	112.77
CEP120	327.56	351.14	287.01	249.73	316.37	309.83	435.55	260.38	316.37	392.44	269.6	249.73	248.0	85.22	139.07	104.42	85.82	108.9	99.43	40.07	87.03	88.88	122.64	84.04	103.69	161.02	97.36	71.0	102.97	89.51	65.26	114.36	137.14	87.03	65.26	82.87	86.43	74.58	109.66	81.71	94.67	156.59	103.69	70.51	127.89	73.03	80.57	88.88	91.41	142.01	68.07	83.45	80.57	124.37	77.79	163.28	142.01	89.51	155.5	139.07	66.18
CGGBP1	1216.75	1119.56	1151.06	1051.79	1216.75	1250.98	1397.83	1286.18	1457.23	1340.84	1111.82	1051.79	1015.93	607.87	830.75	599.49	358.54	703.28	507.46	384.34	808.0	521.76	848.22	555.41	426.57	733.19	616.37	563.18	647.07	713.11	547.75	591.22	775.05	575.03	441.64	518.15	540.19	579.04	743.43	575.03	759.08	718.08	651.58	536.45	656.11	595.34	708.18	571.05	497.0	769.69	500.46	466.88	587.13	674.59	371.22	1008.9	934.76	529.06	934.76	1044.52	406.31
CHD6	728.11	507.46	579.04	551.56	624.99	629.35	775.05	842.36	830.75	688.78	674.59	551.56	460.44	59.97	503.95	90.14	77.79	148.09	75.64	22.26	100.83	55.49	147.06	88.26	71.5	112.77	94.01	50.98	157.68	75.64	22.1	88.88	133.36	51.71	67.12	73.54	44.25	51.35	71.5	76.17	72.52	145.02	98.04	63.89	87.65	74.58	88.26	99.43	103.69	141.02	55.1	81.14	115.16	119.26	57.49	144.01	143.01	98.04	178.77	167.9	45.21
CNTRL	258.57	253.23	307.69	126.12	305.55	299.25	336.79	307.69	395.18	363.56	239.52	126.12	283.05	60.82	226.54	100.13	87.65	136.19	104.42	42.41	99.43	85.82	102.25	74.06	101.54	149.12	86.43	61.25	105.15	66.65	50.98	64.34	138.1	64.8	86.43	112.77	99.43	45.85	69.03	82.87	105.15	141.02	124.37	90.14	90.14	68.55	73.03	107.38	93.35	128.79	53.19	90.77	54.72	102.25	55.1	197.09	124.37	82.29	151.22	132.44	49.21
CSPP1	195.72	176.29	208.38	212.78	327.56	236.21	277.2	287.01	260.38	295.11	343.89	212.78	205.5	63.45	312.0	81.14	119.26	118.43	85.22	30.12	153.34	80.01	115.16	98.04	83.45	214.27	77.79	59.55	169.07	87.03	44.25	81.14	155.5	91.41	55.1	63.89	56.68	90.14	99.43	105.15	107.38	108.9	82.29	68.55	70.51	82.29	76.71	97.36	97.36	123.5	59.97	108.9	133.36	78.89	90.14	164.42	120.1	82.29	116.78	136.19	59.13
CTDSPL2	373.81	473.41	426.57	371.22	476.71	497.0	595.34	470.14	612.11	563.18	563.18	371.22	371.22	126.12	295.11	177.53	147.06	239.52	109.66	58.3	170.25	137.14	215.77	152.28	163.28	208.38	221.86	131.51	173.85	182.55	118.43	158.79	183.82	98.04	93.35	166.73	82.87	108.9	242.88	138.1	170.25	307.69	140.04	121.79	239.52	101.54	165.57	186.4	130.6	193.01	109.66	134.3	137.14	201.25	92.7	248.0	236.21	178.77	224.97	256.78	102.25
CUL5	392.44	397.93	312.0	295.11	395.18	381.68	457.25	387.02	409.15	387.02	264.03	295.11	275.28	136.19	356.05	167.9	202.66	175.07	126.12	87.03	127.0	152.28	161.02	150.17	172.65	199.85	241.19	132.44	215.77	164.42	128.79	132.44	180.02	137.14	141.02	162.14	153.34	140.04	142.01	152.28	142.01	195.72	182.55	130.6	150.17	137.14	165.57	157.68	145.02	211.31	143.01	165.57	146.03	148.09	151.22	205.5	234.57	158.79	190.34	173.85	124.37
CWC15	934.76	1051.79	1051.79	796.86	723.08	1167.14	1023.0	941.27	1119.56	1051.79	1081.39	796.86	1037.29	603.67	921.88	698.41	647.07	708.18	536.45	764.36	693.58	579.04	738.29	688.78	629.35	921.88	647.07	543.96	620.67	651.58	536.45	703.28	842.36	791.35	669.92	660.68	703.28	679.29	769.69	536.45	684.02	1037.29	813.63	688.78	616.37	638.15	688.78	651.58	620.67	733.19	616.37	616.37	733.19	612.11	642.59	902.89	802.41	713.11	836.53	1037.29	651.58
DCTN4	967.76	1030.12	995.0	1044.52	1127.35	1096.5	947.83	1111.82	1250.98	1015.93	1127.35	1044.52	1059.11	392.44	490.14	373.81	348.71	497.0	332.14	229.72	366.09	299.25	412.0	353.59	316.37	400.71	463.65	312.0	420.68	387.02	384.34	314.17	432.53	327.56	277.2	353.59	320.8	351.14	387.02	363.56	368.65	466.88	346.29	346.29	314.17	358.54	395.18	366.09	426.57	511.0	295.11	389.72	368.65	379.04	269.6	450.94	470.14	316.37	460.44	438.59	267.73
DDI2	395.18	351.14	366.09	432.53	409.15	476.71	486.75	441.64	486.75	444.72	371.22	432.53	334.46	127.89	260.38	114.36	116.78	156.59	108.14	82.87	164.42	96.68	167.9	133.36	131.51	211.31	212.78	100.13	218.79	126.12	77.25	116.78	173.85	102.25	87.65	105.15	104.42	97.36	152.28	163.28	151.22	208.38	139.07	136.19	133.36	120.94	124.37	140.04	128.79	162.14	109.66	122.64	131.51	113.56	100.13	165.57	155.5	151.22	173.85	176.29	81.71
DIEXF	195.72	232.94	209.84	117.6	208.38	204.07	193.01	163.28	228.13	180.02	157.68	117.6	170.25	62.56	177.53	65.72	59.13	71.0	96.01	48.18	75.11	78.89	108.14	74.06	51.71	119.26	76.17	57.89	94.67	57.08	26.86	99.43	83.45	62.56	67.59	72.52	54.33	82.29	77.25	79.45	57.89	80.01	84.04	60.39	70.51	75.64	67.12	78.89	60.39	73.03	53.57	61.68	71.5	79.45	48.52	111.99	93.35	65.26	85.22	74.06	60.39
ELF2	769.69	836.53	941.27	540.19	878.17	896.64	1088.92	872.1	1023.0	961.07	728.11	540.19	802.41	248.0	551.56	376.41	312.0	348.71	334.46	186.4	356.05	285.03	406.31	329.84	287.01	493.56	285.03	249.73	339.14	279.14	271.48	327.56	389.72	232.94	246.28	283.05	264.03	241.19	334.46	289.02	275.28	438.59	297.17	303.44	314.17	273.37	297.17	368.65	327.56	483.38	234.57	283.05	301.33	397.93	209.84	493.56	460.44	287.01	503.95	473.41	221.86
ELP2	2163.77	2335.28	2701.35	3103.19	2758.13	2537.92	2209.26	2224.63	2777.33	2485.67	2555.58	3103.19	2148.82	376.41	1044.52	890.44	525.39	507.46	559.28	417.77	435.55	490.14	698.41	532.74	567.1	836.53	543.96	400.71	674.59	480.04	395.18	460.44	674.59	358.54	547.75	575.03	607.87	341.51	540.19	420.68	591.22	1015.93	591.22	507.46	493.56	563.18	518.15	607.87	629.35	612.11	368.65	480.04	518.15	620.67	583.07	791.35	733.19	633.73	860.08	785.88	473.41
FAM161A	55.89	59.55	48.87	39.22	67.12	75.11	74.06	80.01	77.79	101.54	50.63	39.22	49.21	10.47	78.89	10.31	13.93	17.51	10.08	8.58	18.03	16.03	21.47	18.84	12.27	33.06	19.68	18.97	10.63	13.03	5.41	9.93	28.45	17.9	11.91	6.36	16.88	6.94	27.64	10.39	14.45	33.54	18.84	15.0	13.93	22.43	8.58	14.14	12.18	26.86	8.25	11.04	15.91	18.7	12.74	35.0	27.25	13.62	17.51	39.22	9.13
FBXO11	878.17	890.44	967.76	802.41	928.3	902.89	1073.91	941.27	1073.91	1081.39	928.3	802.41	825.0	470.14	616.37	395.18	463.65	525.39	332.14	221.86	348.71	343.89	466.88	387.02	441.64	480.04	591.22	301.33	423.61	423.61	307.69	403.5	503.95	339.14	258.57	397.93	384.34	441.64	420.68	400.71	441.64	500.46	400.71	371.22	339.14	423.61	426.57	460.44	463.65	521.76	376.41	409.15	379.04	500.46	325.29	536.45	521.76	305.55	607.87	567.1	366.09
FBXW8	134.3	154.42	237.86	204.07	232.94	242.88	218.79	217.27	195.72	251.48	205.5	204.07	223.41	94.01	175.07	76.71	82.29	107.38	82.87	44.57	92.7	66.18	105.89	74.58	100.13	120.1	89.51	96.68	104.42	64.34	27.44	133.36	135.24	87.65	108.9	87.65	73.03	62.12	73.54	84.04	74.58	102.25	85.82	63.0	98.04	85.22	59.13	115.16	63.0	97.36	61.25	69.52	93.35	87.65	64.8	132.44	113.56	89.51	156.59	101.54	72.52
GPR75-ASB3	320.8	348.71	356.05	221.86	376.41	366.09	320.8	356.05	361.04	358.54	361.04	221.86	303.44	103.69	206.94	154.42	142.01	139.07	151.22	140.04	186.4	120.1	153.34	154.42	147.06	204.07	152.28	128.79	114.36	145.02	113.56	128.79	183.82	128.79	122.64	147.06	134.3	110.43	144.01	144.01	143.01	217.27	157.68	150.17	125.24	100.13	132.44	145.02	176.29	156.59	103.69	139.07	143.01	162.14	112.77	164.42	150.17	146.03	206.94	228.13	119.26
GTF2H1	802.41	967.76	842.36	738.29	1023.0	743.43	866.07	775.05	866.07	848.22	819.3	738.29	703.28	457.25	1008.9	334.46	325.29	435.55	334.46	221.86	373.81	320.8	403.5	353.59	403.5	507.46	480.04	305.55	356.05	320.8	289.02	329.84	417.77	323.03	283.05	371.22	429.54	403.5	341.51	339.14	327.56	551.56	309.83	332.14	312.0	406.31	426.57	389.72	373.81	571.05	361.04	379.04	395.18	447.82	289.02	420.68	480.04	303.44	417.77	454.09	312.0
HMG20A	518.15	633.73	579.04	470.14	503.95	688.78	579.04	525.39	708.18	665.29	559.28	470.14	500.46	226.54	412.0	332.14	480.04	406.31	432.53	305.55	476.71	301.33	470.14	395.18	397.93	518.15	547.75	323.03	575.03	299.25	271.48	387.02	381.68	327.56	444.72	450.94	305.55	363.56	463.65	379.04	356.05	603.67	373.81	303.44	392.44	318.57	314.17	543.96	389.72	429.54	305.55	444.72	420.68	417.77	373.81	507.46	409.15	511.0	429.54	567.1	283.05
HNRNPA1L2	262.2	297.17	242.88	197.09	289.02	305.55	264.03	293.07	363.56	314.17	363.56	197.09	295.11	47.5	376.41	94.67	159.9	108.14	114.36	59.13	60.39	97.36	121.79	90.77	130.6	214.27	93.35	53.57	105.89	68.55	46.18	94.01	120.1	76.71	93.35	93.35	131.51	57.49	80.01	105.89	114.36	161.02	88.88	77.79	54.33	108.9	86.43	115.16	115.97	143.01	42.41	70.01	116.78	88.88	88.26	159.9	151.22	96.01	155.5	152.28	75.11
INTS12	460.44	599.49	575.03	497.0	603.67	551.56	688.78	473.41	633.73	579.04	708.18	497.0	579.04	251.48	500.46	376.41	314.17	351.14	265.87	264.03	265.87	303.44	291.04	301.33	339.14	366.09	303.44	246.28	275.28	273.37	271.48	297.17	429.54	279.14	301.33	309.83	325.29	269.6	299.25	255.0	275.28	403.5	318.57	277.2	299.25	309.83	283.05	351.14	351.14	389.72	265.87	297.17	281.09	295.11	314.17	361.04	361.04	303.44	409.15	325.29	202.66
KIAA0355	371.22	312.0	325.29	336.79	395.18	358.54	775.05	392.44	444.72	493.56	325.29	336.79	271.48	126.12	262.2	170.25	109.66	226.54	189.02	64.8	234.57	154.42	205.5	162.14	122.64	202.66	171.45	151.22	242.88	175.07	105.15	182.55	277.2	126.12	117.6	147.06	111.99	115.16	214.27	212.78	197.09	190.34	218.79	148.09	181.28	201.25	178.77	180.02	197.09	269.6	123.5	164.42	187.71	251.48	98.04	299.25	218.79	147.06	229.72	265.87	98.04
KLHL9	708.18	698.41	571.05	493.56	703.28	759.08	764.36	684.02	825.0	703.28	547.75	493.56	599.49	206.94	289.02	258.57	265.87	346.29	221.86	170.25	320.8	241.19	412.0	277.2	164.42	343.89	444.72	361.04	193.01	387.02	295.11	318.57	332.14	193.01	169.07	341.51	201.25	255.0	389.72	262.2	297.17	301.33	281.09	244.57	339.14	248.0	279.14	417.77	258.57	248.0	146.03	241.19	256.78	343.89	133.36	514.56	327.56	301.33	409.15	381.68	181.28
KRIT1	703.28	629.35	785.88	466.88	802.41	813.63	854.13	830.75	884.29	866.07	656.11	466.88	679.29	329.84	647.07	325.29	297.17	373.81	371.22	183.82	392.44	314.17	444.72	483.38	283.05	555.41	392.44	283.05	336.79	379.04	212.78	414.87	571.05	262.2	271.48	336.79	251.48	221.86	361.04	314.17	346.29	429.54	346.29	361.04	351.14	314.17	348.71	336.79	318.57	420.68	273.37	305.55	332.14	400.71	283.05	514.56	441.64	303.44	463.65	503.95	236.21
LATS1	376.41	373.81	351.14	271.48	381.68	397.93	473.41	358.54	435.55	470.14	279.14	271.48	332.14	121.79	244.57	111.99	108.14	136.19	82.87	62.12	81.71	86.43	124.37	106.63	102.25	149.12	152.28	94.01	116.78	127.0	101.54	132.44	139.07	87.65	63.0	109.66	75.11	97.36	120.94	104.42	113.56	137.14	95.34	91.41	101.54	118.43	113.56	108.14	96.68	176.29	105.89	100.13	92.05	135.24	74.58	159.9	151.22	93.35	169.07	162.14	76.71
LEPR	341.51	373.81	246.28	733.19	201.25	441.64	921.88	283.05	406.31	1111.82	470.14	733.19	159.9	13.62	23.59	28.86	25.35	71.5	34.75	28.24	43.63	43.02	73.03	39.79	34.51	100.13	39.79	27.05	39.79	46.84	28.45	41.52	87.65	36.79	24.46	35.76	21.94	24.46	126.12	26.1	45.21	151.22	100.13	30.12	33.06	49.91	32.59	34.02	67.59	100.83	29.91	23.25	28.45	70.01	22.92	111.99	105.89	63.45	57.08	132.44	11.73
MBTPS1	2090.03	1909.85	2104.58	1857.6	2335.28	1923.14	1977.24	2240.11	2319.15	2004.85	2520.38	1857.6	2271.4	825.0	1015.93	995.0	928.3	961.07	1143.1	559.28	902.89	896.64	1199.98	1001.93	860.08	1340.84	842.36	748.61	1119.56	878.17	764.36	878.17	1457.23	941.27	947.83	928.3	961.07	693.58	884.29	941.27	1059.11	1111.82	1175.27	928.3	1044.52	842.36	825.0	1015.93	1104.13	1183.45	708.18	743.43	954.43	941.27	830.75	1135.2	1135.2	836.53	1135.2	1151.06	693.58
MKL2	860.08	642.59	693.58	1104.13	708.18	759.08	1242.34	785.88	934.76	791.35	830.75	1104.13	444.72	96.01	307.69	108.14	105.15	161.02	97.36	42.71	143.01	118.43	221.86	131.51	88.26	185.11	170.25	130.6	171.45	129.69	80.57	109.66	183.82	94.01	96.68	105.15	58.71	102.97	152.28	137.14	118.43	262.2	122.64	112.77	113.56	119.26	134.3	115.16	134.3	180.02	121.79	140.04	115.16	149.12	77.79	158.79	206.94	115.16	169.07	234.57	76.71
MOB1B	339.14	307.69	229.72	255.0	301.33	309.83	368.65	256.78	381.68	312.0	228.13	255.0	231.32	47.84	139.07	72.52	70.51	78.34	68.55	34.26	78.89	58.71	100.13	74.06	76.71	146.03	152.28	48.18	127.0	87.65	28.24	82.87	131.51	66.18	68.07	52.08	48.52	63.0	64.34	82.29	84.63	125.24	104.42	63.89	84.04	63.0	64.34	64.34	71.5	107.38	52.45	59.97	73.54	90.77	74.06	132.44	140.04	81.14	139.07	122.64	54.33
MORC3	543.96	575.03	493.56	329.84	642.59	579.04	718.08	536.45	633.73	629.35	454.09	329.84	490.14	253.23	368.65	249.73	180.02	255.0	209.84	108.14	251.48	211.31	314.17	214.27	220.32	271.48	289.02	189.02	224.97	265.87	209.84	199.85	258.57	191.67	141.02	248.0	170.25	205.5	287.01	271.48	232.94	320.8	256.78	221.86	194.36	205.5	248.0	269.6	239.52	287.01	206.94	228.13	218.79	281.09	147.06	429.54	312.0	204.07	387.02	441.64	201.25
MOSPD1	244.57	237.86	253.23	205.5	241.19	205.5	255.0	205.5	297.17	267.73	242.88	205.5	220.32	115.16	258.57	136.19	102.97	163.28	77.79	84.04	61.25	81.14	126.12	164.42	100.13	143.01	253.23	64.34	97.36	94.67	58.71	62.12	145.02	84.63	64.34	104.42	84.63	47.5	153.34	87.03	104.42	220.32	100.83	66.18	79.45	80.01	111.21	82.87	120.1	211.31	70.01	57.49	105.89	153.34	105.15	125.24	211.31	140.04	135.24	113.56	108.14
N4BP2L1	660.68	1008.9	890.44	373.81	1208.34	866.07	974.5	836.53	1051.79	1051.79	988.12	373.81	830.75	140.04	253.23	316.37	161.02	206.94	253.23	103.69	229.72	159.9	336.79	221.86	256.78	291.04	199.85	66.18	218.79	164.42	115.97	106.63	232.94	159.9	119.26	133.36	307.69	66.18	191.67	181.28	241.19	571.05	236.21	246.28	181.28	115.16	173.85	209.84	283.05	285.03	94.67	147.06	132.44	303.44	155.5	395.18	275.28	161.02	438.59	395.18	163.28
NOL9	163.28	208.38	197.09	165.57	208.38	201.25	212.78	157.68	212.78	223.41	131.51	165.57	153.34	64.34	151.22	77.25	115.16	75.64	77.79	69.52	99.43	92.05	86.43	90.14	106.63	171.45	122.64	77.25	157.68	85.22	52.45	79.45	134.3	82.29	98.73	85.82	109.66	80.01	47.84	119.26	57.49	108.9	95.34	69.52	92.7	111.21	80.57	77.25	96.68	104.42	70.51	75.64	84.63	85.82	87.03	152.28	94.01	69.03	138.1	93.35	94.67
OTUD4	642.59	473.41	406.31	366.09	500.46	521.76	642.59	507.46	642.59	591.22	351.14	366.09	423.61	218.79	587.13	211.31	163.28	205.5	154.42	111.99	241.19	128.79	277.2	185.11	159.9	253.23	211.31	153.34	242.88	195.72	167.9	186.4	277.2	132.44	124.37	166.73	154.42	137.14	312.0	208.38	198.47	281.09	220.32	181.28	234.57	205.5	175.07	244.57	175.07	273.37	137.14	229.72	202.66	248.0	137.14	397.93	231.32	177.53	356.05	392.44	111.99
PAIP2B	137.14	172.65	175.07	91.41	152.28	161.02	130.6	152.28	164.42	163.28	114.36	91.41	165.57	17.64	69.52	73.54	66.65	89.51	95.34	33.06	55.49	34.02	80.57	41.81	41.81	64.34	64.34	38.12	47.84	34.51	10.96	50.98	102.25	39.79	63.89	79.45	66.18	22.26	49.56	23.76	77.25	80.01	73.54	33.78	44.25	46.5	26.86	78.34	76.71	67.12	37.32	30.56	55.1	46.84	61.68	88.88	63.0	63.0	93.35	87.03	27.44
PAPLN	265.87	204.07	264.03	177.53	189.02	224.97	387.02	255.0	234.57	303.44	244.57	177.53	162.14	76.17	130.6	78.34	87.03	102.97	123.5	69.03	85.22	70.51	118.43	102.97	96.01	232.94	84.63	63.0	64.34	102.97	81.71	75.11	287.01	75.11	76.71	54.72	132.44	41.22	66.18	178.77	124.37	236.21	105.89	78.34	115.97	83.45	81.71	132.44	175.07	106.63	48.18	130.6	71.5	180.02	118.43	246.28	93.35	79.45	312.0	271.48	125.24
PAPOLA	2224.63	2104.58	2163.77	1883.54	2104.58	2163.77	2537.92	2032.85	2451.44	2193.99	2047.0	1883.54	2047.0	1388.16	4038.61	1498.22	1073.91	1572.76	1331.57	1119.56	1487.87	1088.92	1519.15	1467.37	1350.18	1651.0	1794.29	1331.57	1135.2	1639.59	1378.57	1268.46	1594.73	1322.37	1151.06	1498.22	1295.13	1119.56	1977.24	1350.18	1487.87	1909.85	1350.18	1277.29	1378.57	1044.52	1477.58	1457.23	1447.15	1498.22	1191.69	1135.2	1697.45	1540.37	1304.15	2163.77	1605.83	1277.29	1977.24	2367.9	1259.69
PAPOLG	232.94	223.41	212.78	157.68	232.94	231.32	318.57	275.28	281.09	256.78	217.27	157.68	237.86	92.7	157.68	85.22	70.01	106.63	74.06	70.01	114.36	96.68	124.37	90.14	82.87	110.43	108.9	80.57	137.14	98.73	87.03	87.03	133.36	69.03	68.07	105.89	81.71	74.58	128.79	86.43	91.41	114.36	121.79	95.34	102.25	72.01	85.22	114.36	111.99	96.68	75.11	90.14	98.04	95.34	72.01	169.07	113.56	78.89	145.02	156.59	78.89
PARP11	208.38	197.09	212.78	236.21	221.86	215.77	241.19	232.94	281.09	221.86	214.27	236.21	178.77	49.56	99.43	61.25	79.45	69.52	51.71	21.63	56.28	52.82	77.25	51.35	47.17	72.01	63.89	55.89	92.7	74.06	61.68	72.01	72.01	40.64	59.13	32.82	55.49	48.87	63.45	51.35	65.72	97.36	57.89	44.89	51.35	40.36	59.13	53.57	42.11	87.65	43.94	53.19	41.52	53.95	49.56	92.05	76.17	47.17	64.34	77.25	26.67
PCF11	674.59	703.28	583.07	432.53	884.29	688.78	967.76	660.68	860.08	961.07	559.28	432.53	665.29	318.57	460.44	368.65	361.04	351.14	334.46	183.82	417.77	366.09	356.05	423.61	466.88	454.09	403.5	320.8	547.75	361.04	246.28	392.44	591.22	283.05	397.93	343.89	314.17	346.29	356.05	493.56	457.25	486.75	420.68	239.52	346.29	412.0	414.87	480.04	406.31	500.46	279.14	379.04	339.14	483.38	376.41	547.75	514.56	447.82	457.25	674.59	323.03
PDE1C	226.54	262.2	323.03	99.43	251.48	387.02	145.02	500.46	363.56	358.54	255.0	99.43	182.55	8.06	32.36	37.05	33.06	31.9	32.36	14.89	48.87	27.64	38.95	70.01	30.78	69.52	23.59	19.97	39.5	29.06	13.42	36.79	42.11	25.54	37.59	29.7	23.76	31.9	33.54	36.27	37.32	63.0	38.4	34.51	37.05	27.25	35.0	39.22	53.19	30.34	29.27	46.18	28.24	38.67	16.51	28.24	37.05	37.59	85.22	59.97	23.93
PHF3	902.89	860.08	759.08	651.58	988.12	872.1	1015.93	902.89	988.12	1008.9	808.0	651.58	748.61	264.03	529.06	351.14	244.57	395.18	273.37	132.44	267.73	236.21	371.22	301.33	297.17	334.46	406.31	228.13	293.07	253.23	170.25	279.14	387.02	201.25	212.78	244.57	181.28	234.57	414.87	271.48	279.14	432.53	223.41	307.69	269.6	169.07	320.8	318.57	218.79	403.5	239.52	307.69	260.38	323.03	158.79	441.64	409.15	293.07	336.79	435.55	205.5
PHGR1	31.45	19.68	47.17	27.64	242.88	248.0	110.43	91.41	70.01	65.26	142.01	27.64	182.55	783730.52	389157.95	472513.8	269512.87	386469.83	313910.86	492579.5	329517.51	273275.14	273275.14	338781.54	348306.01	171754.88	355624.68	301123.38	271387.49	288856.81	509950.32	262143.0	126606.21	320506.81	299043.36	437825.58	414208.18	311742.51	341137.96	279017.26	301123.38	107948.72	290865.98	279017.26	338781.54	311742.51	307450.64	284880.02	303217.87	148488.36	378516.38	370726.6	322736.12	389157.95	400098.69	117311.73	114103.8	419990.32	81244.48	253213.41	294926.33
