	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0C3.11A.23R.A12P.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.6648.01A.11R.1774.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.147F3.1926.SM.5SIB9	GTEX.11P82.1026.SM.5BC5J	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.11DXX.1826.SM.5H126	GTEX.XUJ4.2026.SM.4BOOW	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.1128S.1626.SM.5H12O	GTEX.145LT.0926.SM.5LU9C	GTEX.Y5LM.1526.SM.4VDTA	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XUZC.1326.SM.4BRV2	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.Y3IK.1826.SM.4WWDS	GTEX.P78B.1726.SM.3P5ZV	GTEX.QEL4.1926.SM.4R1JI	GTEX.ZT9W.1826.SM.51MQX
ZBTB41	312.0	183.82	149.12	151.22	239.52	211.31	239.52	218.79	285.03	197.09	130.6	151.22	161.02	45.53	103.69	47.17	31.45	45.85	45.85	23.25	47.5	29.06	69.03	51.71	26.47	61.68	68.07	31.67	72.52	43.32	20.26	45.53	61.68	46.18	24.46	37.32	25.72	35.25	46.18	30.78	42.71	84.04	55.1	33.06	45.21	35.25	42.11	59.97	31.45	64.34	27.25	33.3	46.84	43.02	36.79	81.71	70.51	35.25	62.56	75.11	24.46
ZC3H14	1015.93	1008.9	1151.06	967.76	1143.1	1104.13	1233.75	1073.91	1350.18	1250.98	1242.34	967.76	1135.2	507.46	1286.18	813.63	587.13	842.36	603.67	486.75	764.36	723.08	753.83	633.73	575.03	884.29	567.1	656.11	543.96	854.13	642.59	521.76	915.51	599.49	595.34	595.34	669.92	490.14	866.07	547.75	599.49	967.76	748.61	688.78	669.92	460.44	738.29	607.87	529.06	830.75	638.15	591.22	753.83	775.05	483.38	1111.82	791.35	679.29	785.88	1088.92	547.75
ZCCHC7	358.54	409.15	466.88	279.14	503.95	444.72	376.41	429.54	521.76	379.04	454.09	279.14	403.5	166.73	358.54	166.73	141.02	187.71	167.9	119.26	180.02	125.24	173.85	120.1	150.17	273.37	146.03	102.97	155.5	142.01	116.78	170.25	232.94	137.14	144.01	201.25	133.36	97.36	205.5	109.66	157.68	255.0	130.6	208.38	152.28	108.14	146.03	199.85	164.42	221.86	119.26	124.37	199.85	171.45	164.42	226.54	205.5	143.01	180.02	229.72	132.44
ZDHHC17	470.14	571.05	521.76	447.82	612.11	507.46	775.05	559.28	642.59	825.0	409.15	447.82	305.55	115.16	260.38	128.79	117.6	169.07	98.73	47.5	150.17	117.6	191.67	143.01	106.63	197.09	202.66	90.77	165.57	105.15	59.97	161.02	204.07	86.43	81.71	128.79	89.51	96.01	127.0	127.89	127.89	186.4	115.97	98.04	133.36	149.12	146.03	117.6	130.6	220.32	99.43	114.36	115.97	198.47	94.67	249.73	236.21	135.24	314.17	241.19	62.56
ZNF131	575.03	718.08	743.43	665.29	866.07	836.53	884.29	693.58	842.36	796.86	514.56	665.29	638.15	323.03	559.28	303.44	373.81	260.38	283.05	258.57	381.68	269.6	384.34	389.72	384.34	624.99	423.61	249.73	309.83	314.17	260.38	341.51	426.57	358.54	339.14	368.65	371.22	384.34	301.33	384.34	327.56	454.09	366.09	265.87	323.03	366.09	244.57	420.68	397.93	457.25	194.36	387.02	387.02	371.22	366.09	497.0	353.59	295.11	444.72	457.25	480.04
ZNF24	1167.14	1001.93	808.0	848.22	1030.12	1096.5	1225.22	988.12	1277.29	1088.92	866.07	848.22	884.29	325.29	348.71	323.03	271.48	336.79	265.87	205.5	361.04	244.57	409.15	236.21	260.38	368.65	395.18	241.19	441.64	351.14	255.0	309.83	463.65	229.72	194.36	314.17	231.32	258.57	371.22	309.83	373.81	312.0	323.03	265.87	305.55	303.44	287.01	309.83	297.17	414.87	220.32	244.57	332.14	406.31	211.31	555.41	400.71	214.27	470.14	463.65	253.23
ZNF256	121.79	146.03	170.25	115.97	189.02	141.02	139.07	122.64	156.59	156.59	172.65	115.97	152.28	12.74	78.34	48.52	49.56	38.95	26.47	5.92	11.47	52.45	43.94	28.24	54.33	85.82	103.69	11.55	70.01	26.47	25.54	36.79	63.45	22.75	25.91	35.76	7.0	13.72	6.41	45.21	10.16	70.01	11.64	15.68	17.38	26.28	27.25	54.72	68.07	44.25	9.56	12.74	29.91	99.43	34.02	76.71	102.97	33.54	67.12	35.5	21.47
ZNF263	802.41	890.44	825.0	748.61	1015.93	748.61	884.29	802.41	860.08	915.51	854.13	748.61	775.05	334.46	769.69	379.04	447.82	432.53	406.31	239.52	353.59	384.34	470.14	353.59	341.51	540.19	412.0	275.28	381.68	346.29	214.27	429.54	525.39	299.25	353.59	339.14	343.89	255.0	258.57	400.71	358.54	387.02	327.56	309.83	423.61	460.44	381.68	447.82	432.53	514.56	237.86	277.2	348.71	426.57	256.78	473.41	476.71	417.77	389.72	426.57	267.73
ZNF280C	51.35	53.57	52.08	39.5	51.35	52.45	57.49	50.98	64.8	63.45	31.45	39.5	46.18	10.96	92.05	18.97	17.38	16.63	12.55	6.16	14.56	14.89	15.91	18.84	12.45	22.43	16.39	10.47	16.15	14.45	11.3	18.7	23.59	10.55	14.14	9.27	14.89	12.45	14.89	16.39	15.8	31.67	14.56	11.3	18.29	16.51	12.27	14.56	13.12	24.81	10.63	11.04	13.32	16.39	13.22	21.94	22.43	12.18	28.65	21.94	8.51
ZNF654	199.85	198.47	149.12	123.5	218.79	198.47	248.0	176.29	224.97	218.79	142.01	123.5	173.85	81.14	111.99	82.87	59.97	87.65	53.57	40.93	86.43	66.18	109.66	98.73	59.13	106.63	106.63	59.97	106.63	115.97	94.67	96.01	105.89	66.65	48.52	59.55	50.27	97.36	98.73	87.03	74.06	128.79	66.18	86.43	77.79	65.72	85.82	81.71	95.34	111.99	77.79	80.01	85.22	90.14	54.33	111.21	118.43	63.45	108.14	139.07	57.89
ZNF721	480.04	567.1	674.59	483.38	607.87	698.41	698.41	551.56	612.11	638.15	500.46	483.38	559.28	193.01	295.11	193.01	189.02	228.13	164.42	85.22	182.55	164.42	271.48	221.86	204.07	198.47	221.86	172.65	318.57	153.34	126.12	177.53	194.36	129.69	199.85	133.36	141.02	176.29	161.02	185.11	138.1	312.0	150.17	163.28	195.72	220.32	135.24	228.13	220.32	262.2	146.03	141.02	236.21	209.84	175.07	231.32	244.57	275.28	226.54	275.28	120.94
ZNF773	180.02	191.67	223.41	172.65	231.32	190.34	199.85	167.9	209.84	190.34	209.84	172.65	205.5	22.26	121.79	78.89	35.0	67.59	51.71	19.82	30.56	37.05	82.87	40.93	64.8	77.25	60.39	19.11	72.01	23.93	18.43	80.01	111.21	38.12	25.54	21.32	44.25	13.83	23.08	39.5	26.86	51.71	37.59	31.9	51.35	40.93	73.54	35.5	73.03	80.01	12.83	37.85	49.21	71.5	26.1	59.13	134.3	18.84	95.34	60.39	19.82
ZNF836	262.2	283.05	318.57	228.13	318.57	351.14	329.84	291.04	285.03	376.41	256.78	228.13	314.17	146.03	124.37	131.51	90.77	130.6	128.79	91.41	98.04	86.43	139.07	125.24	73.03	143.01	80.57	82.29	76.17	95.34	86.43	85.82	96.68	94.01	59.55	98.73	92.05	77.79	113.56	69.03	84.63	162.14	105.89	91.41	53.95	88.26	74.58	113.56	66.18	104.42	53.57	76.17	85.82	107.38	78.34	144.01	93.35	95.34	157.68	123.5	83.45
ZSCAN25	256.78	277.2	271.48	172.65	301.33	291.04	299.25	244.57	318.57	325.29	277.2	172.65	246.28	81.71	194.36	130.6	136.19	132.44	154.42	97.36	134.3	123.5	193.01	126.12	126.12	157.68	171.45	98.73	156.59	115.97	82.29	138.1	198.47	122.64	111.99	108.9	122.64	148.09	133.36	163.28	139.07	124.37	113.56	109.66	137.14	149.12	149.12	143.01	145.02	173.85	113.56	147.06	115.16	154.42	80.01	153.34	169.07	136.19	158.79	127.0	107.38
ZZZ3	928.3	866.07	830.75	503.95	1008.9	915.51	854.13	764.36	1059.11	813.63	688.78	503.95	753.83	172.65	665.29	229.72	187.71	256.78	193.01	78.34	214.27	172.65	236.21	193.01	229.72	271.48	236.21	175.07	275.28	193.01	98.73	217.27	249.73	157.68	159.9	197.09	153.34	147.06	194.36	186.4	176.29	295.11	197.09	162.14	194.36	194.36	187.71	180.02	171.45	277.2	139.07	159.9	198.47	244.57	172.65	281.09	277.2	193.01	260.38	244.57	120.94
