	TCGA.ED.A627.01A.12R.A311.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.ZVP2.0626.SM.51MSO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	TCGA.CE.A485.01A.11R.A23W.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.E8.A432.01A.11R.A23N.07	TCGA.FY.A3NN.01A.11R.A21D.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.ET.A3BQ.01B.11R.A206.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.FY.A3I4.01A.11R.A21D.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.EL.A3T8.01A.21R.A22L.07	TCGA.DJ.A4V5.01A.11R.A250.07
ACIN1	1331.57	1295.13	476.71	909.17	629.35	486.75	759.08	974.5	713.11	1073.91	1023.0	796.86	890.44	775.05	733.19	583.07	825.0	785.88	633.73	264.03	660.68	896.64	693.58	813.63	603.67	4095.0	3467.27	2609.3	2271.4	4639.29	3515.68	2520.38	3257.52	2664.15	2178.83	3257.52	2835.7	2701.35	2645.74	2875.3	3982.99	3060.45	3768.09	3540.14
ACVRL1	181.28	253.23	92.7	115.97	74.58	109.66	115.97	153.34	171.45	183.82	143.01	167.9	147.06	154.42	237.86	91.41	48.87	93.35	113.56	20.41	141.02	164.42	135.24	92.7	91.41	1073.91	802.41	334.46	295.11	1331.57	1104.13	325.29	587.13	242.88	358.54	532.74	791.35	363.56	351.14	435.55	854.13	525.39	878.17	612.11
ADCY6	241.19	281.09	94.67	132.44	69.03	87.03	128.79	269.6	93.35	205.5	75.64	175.07	158.79	193.01	146.03	64.8	66.65	116.78	77.79	29.7	115.16	155.5	199.85	142.01	161.02	848.22	500.46	583.07	497.0	698.41	616.37	514.56	518.15	514.56	329.84	616.37	656.11	395.18	521.76	403.5	647.07	591.22	830.75	563.18
ANKRD13D	551.56	429.54	74.06	239.52	88.26	73.03	277.2	163.28	155.5	351.14	70.01	148.09	102.97	85.22	105.15	81.71	157.68	78.34	71.5	47.17	269.6	303.44	100.83	189.02	128.79	1304.15	1051.79	642.59	473.41	1295.13	1191.69	532.74	1277.29	660.68	518.15	825.0	813.63	603.67	688.78	808.0	830.75	1096.5	995.0	1378.57
C11orf84	202.66	309.83	65.26	64.34	48.18	35.76	71.0	55.1	46.84	181.28	33.06	104.42	82.87	49.21	37.05	35.76	62.12	58.71	42.11	50.27	56.68	66.65	77.25	115.97	49.91	371.22	366.09	231.32	251.48	361.04	571.05	249.73	490.14	325.29	339.14	490.14	320.8	309.83	271.48	366.09	417.77	470.14	507.46	395.18
C17orf70	429.54	414.87	198.47	285.03	198.47	177.53	312.0	226.54	236.21	246.28	395.18	258.57	279.14	239.52	289.02	265.87	258.57	271.48	320.8	185.11	248.0	269.6	214.27	157.68	264.03	808.0	620.67	403.5	392.44	808.0	587.13	361.04	743.43	412.0	450.94	540.19	571.05	450.94	403.5	525.39	813.63	540.19	612.11	738.29
CDH24	44.25	34.26	2.66	13.22	3.66	3.53	9.13	16.27	7.4	10.31	3.99	10.31	11.55	7.17	6.06	3.38	3.66	4.62	4.78	0.0	8.58	15.45	9.34	8.99	7.34	314.17	283.05	147.06	242.88	525.39	301.33	151.22	293.07	172.65	193.01	348.71	376.41	142.01	162.14	220.32	285.03	343.89	400.71	444.72
CHD3	432.53	532.74	48.18	363.56	47.5	91.41	107.38	275.28	120.94	297.17	101.54	118.43	224.97	43.32	100.13	34.75	40.64	41.22	61.25	16.27	138.1	214.27	144.01	209.84	39.79	1397.83	1651.0	915.51	1104.13	1583.71	1896.65	743.43	1697.45	1151.06	1023.0	1359.57	1175.27	848.22	981.29	1233.75	2104.58	1208.34	1111.82	1427.22
CLK2	769.69	497.0	195.72	295.11	232.94	169.07	397.93	381.68	277.2	376.41	327.56	341.51	273.37	348.71	303.44	229.72	262.2	339.14	269.6	87.65	281.09	384.34	316.37	265.87	242.88	1757.34	1369.04	1242.34	764.36	1674.06	1519.15	703.28	1457.23	1159.07	902.89	1191.69	1233.75	1066.48	995.0	1242.34	1304.15	1397.83	1605.83	1350.18
CNOT3	483.38	435.55	231.32	202.66	226.54	202.66	285.03	320.8	228.13	525.39	221.86	285.03	236.21	307.69	264.03	190.34	297.17	258.57	262.2	120.94	239.52	323.03	265.87	395.18	397.93	947.83	967.76	775.05	629.35	1059.11	896.64	518.15	1073.91	753.83	688.78	1023.0	854.13	753.83	633.73	854.13	1159.07	860.08	902.89	974.5
CXXC1	860.08	791.35	312.0	503.95	303.44	346.29	525.39	579.04	361.04	813.63	642.59	497.0	460.44	480.04	555.41	339.14	559.28	514.56	432.53	156.59	395.18	607.87	514.56	624.99	460.44	1819.35	1709.26	1127.35	842.36	1733.13	1651.0	1030.12	1250.98	1183.45	819.3	1313.23	1304.15	1030.12	1104.13	1119.56	1583.71	1427.22	1697.45	1832.01
DENND5A	684.02	435.55	295.11	334.46	264.03	295.11	224.97	249.73	325.29	400.71	285.03	325.29	332.14	256.78	353.59	307.69	206.94	264.03	246.28	177.53	309.83	262.2	287.01	371.22	262.2	974.5	723.08	486.75	638.15	967.76	1191.69	435.55	780.44	629.35	607.87	713.11	769.69	551.56	540.19	647.07	808.0	674.59	902.89	802.41
DGKD	135.24	218.79	40.64	141.02	41.22	95.34	85.82	100.13	71.5	88.88	125.24	106.63	204.07	149.12	99.43	138.1	55.49	149.12	93.35	51.35	102.25	127.0	132.44	114.36	53.19	974.5	547.75	248.0	397.93	769.69	743.43	361.04	486.75	423.61	281.09	334.46	480.04	293.07	318.57	289.02	703.28	713.11	571.05	660.68
DMPK	353.59	246.28	41.52	176.29	49.91	57.89	146.03	153.34	63.45	141.02	166.73	96.01	159.9	83.45	143.01	73.03	124.37	102.97	64.34	39.5	120.1	139.07	113.56	116.78	102.25	1135.2	642.59	256.78	283.05	995.0	1151.06	267.73	981.29	283.05	291.04	684.02	435.55	260.38	432.53	368.65	718.08	651.58	693.58	728.11
EHBP1L1	473.41	607.87	89.51	208.38	105.89	141.02	271.48	277.2	187.71	379.04	140.04	248.0	234.57	156.59	183.82	135.24	152.28	153.34	111.99	77.79	218.79	329.84	175.07	275.28	94.01	1088.92	872.1	473.41	466.88	1015.93	1191.69	441.64	1388.16	497.0	473.41	759.08	748.61	432.53	543.96	497.0	974.5	981.29	902.89	1639.59
FAM160B2	698.41	363.56	116.78	318.57	119.26	111.99	358.54	277.2	143.01	633.73	246.28	314.17	242.88	239.52	190.34	182.55	214.27	273.37	202.66	103.69	320.8	450.94	186.4	412.0	215.77	2319.15	1437.15	1037.29	934.76	1936.53	1529.73	669.92	1508.65	1277.29	947.83	1073.91	1277.29	1088.92	1081.39	1268.46	1745.2	1369.04	1709.26	1819.35
FOXC2	11.91	13.32	2.03	1.2	0.0	2.86	1.77	5.54	0.0	1.03	0.0	0.0	3.35	2.68	0.0	0.0	1.85	0.0	0.0	0.0	1.16	1.07	2.56	5.06	0.0	40.36	22.1	10.16	5.41	49.91	46.18	4.74	46.5	13.83	10.24	13.42	40.64	13.42	15.0	38.4	42.11	33.3	32.82	24.81
HDAC7	693.58	866.07	138.1	341.51	180.02	86.43	221.86	231.32	182.55	454.09	218.79	181.28	353.59	218.79	189.02	189.02	144.01	90.77	139.07	61.25	236.21	293.07	218.79	176.29	85.82	2935.74	2133.97	1457.23	1447.15	2627.46	2075.59	1051.79	1991.0	1551.09	1313.23	2075.59	2351.53	1242.34	1331.57	1832.01	2591.27	1896.65	2645.74	2537.92
HP	869603.57	6183532.28	6014443.23	1.307221145E7	1.202888747E7	3.671840259E7	1.219680449E7	1.654623811E7	3.174442598E7	1.410789979E7	1.533154663E7	1.785716745E7	1.430483875E7	1.598261246E7	3.066309426E7	1.501602794E7	1.169995688E7	1.325469274E7	1.512047268E7	2.614442391E7	9179599.9	1.381756339E7	1.025624901E7	9053221.62	9838451.64	150.17	63.89	68.07	24.46	10659.59	764.36	5.77	173.85	16.75	17.0	204.07	30.34	18.7	9.41	211.31	153.34	143.01	147.06	536.45
HSPG2	2148.82	2133.97	373.81	497.0	373.81	392.44	444.72	1111.82	688.78	540.19	441.64	441.64	928.3	417.77	842.36	305.55	241.19	361.04	490.14	186.4	981.29	656.11	624.99	540.19	470.14	5791.62	4181.07	2591.27	2255.7	6887.62	4802.93	1508.65	5633.22	2384.37	2271.4	4123.49	5366.37	2271.4	2047.0	3081.75	6471.02	3303.0	6207.38	4095.0
IGSF9B	8.58	11.3	0.0	1.93	0.0	2.03	1.11	11.04	4.24	7.11	2.86	4.21	2.76	0.0	0.75	0.51	0.27	0.0	0.0	0.0	11.91	4.28	0.0	1.17	4.17	71.0	40.07	18.7	58.3	132.44	128.79	68.55	44.89	38.4	25.17	27.84	66.65	39.22	14.03	32.36	167.9	29.7	84.04	55.49
INPPL1	830.75	738.29	205.5	341.51	314.17	246.28	511.0	620.67	435.55	559.28	325.29	384.34	387.02	432.53	543.96	285.03	149.12	525.39	205.5	173.85	444.72	728.11	529.06	679.29	511.0	2537.92	1487.87	1073.91	1313.23	2303.12	1819.35	1008.9	1639.59	1277.29	1059.11	1427.22	1313.23	1199.98	1088.92	1059.11	1757.34	1529.73	1709.26	1844.76
JAG2	106.63	115.16	5.11	45.85	14.78	15.34	17.9	66.18	13.62	30.12	16.51	33.78	45.53	13.72	46.18	7.46	12.18	13.03	8.51	8.85	39.79	33.06	34.26	85.22	15.68	947.83	616.37	466.88	406.31	974.5	791.35	262.2	947.83	299.25	417.77	583.07	780.44	503.95	497.0	521.76	848.22	647.07	688.78	642.59
KIAA0895L	156.59	194.36	13.72	96.68	14.35	16.39	122.64	110.43	33.06	90.14	51.35	94.01	86.43	54.72	66.18	23.93	42.41	49.21	45.85	22.26	96.01	84.04	84.63	34.75	45.53	878.17	507.46	334.46	129.69	842.36	583.07	145.02	567.1	260.38	132.44	426.57	281.09	231.32	206.94	323.03	426.57	429.54	595.34	529.06
MAP3K12	165.57	138.1	21.63	55.1	28.04	20.26	72.01	55.1	36.27	98.04	38.4	58.71	47.84	43.02	59.55	33.54	38.67	24.46	22.59	18.43	32.59	48.18	31.67	51.71	20.41	656.11	392.44	204.07	190.34	559.28	503.95	169.07	595.34	303.44	193.01	251.48	470.14	303.44	275.28	343.89	343.89	325.29	356.05	346.29
MFSD10	1135.2	647.07	94.01	163.28	57.08	94.67	170.25	248.0	208.38	463.65	111.21	214.27	127.89	114.36	115.16	63.45	248.0	162.14	73.03	100.13	226.54	291.04	127.0	392.44	115.16	2875.3	3395.89	1991.0	1529.73	2777.33	3467.27	974.5	2796.65	1923.14	1498.22	2351.53	2591.27	1322.37	1561.89	2591.27	3146.52	2956.17	2645.74	3124.78
MXD4	629.35	780.44	293.07	543.96	139.07	212.78	409.15	518.15	435.55	497.0	281.09	303.44	409.15	500.46	698.41	392.44	253.23	423.61	273.37	291.04	575.03	363.56	381.68	329.84	466.88	1733.13	1457.23	866.07	1023.0	1651.0	2032.85	848.22	1583.71	872.1	1081.39	1350.18	1268.46	1001.93	1051.79	1233.75	1757.34	1051.79	1721.16	1417.35
NBEAL2	483.38	363.56	63.0	305.55	76.17	94.67	106.63	147.06	131.51	186.4	136.19	113.56	163.28	108.14	119.26	88.88	79.45	55.49	122.64	55.49	153.34	190.34	125.24	138.1	108.14	1088.92	656.11	356.05	318.57	638.15	563.18	267.73	854.13	438.59	318.57	571.05	633.73	336.79	435.55	559.28	693.58	848.22	884.29	947.83
PBX2	866.07	1340.84	255.0	356.05	244.57	450.94	540.19	878.17	555.41	759.08	521.76	603.67	665.29	417.77	536.45	332.14	293.07	450.94	303.44	301.33	329.84	633.73	476.71	1073.91	525.39	2555.58	1936.53	1662.49	1561.89	2032.85	1923.14	1467.37	1977.24	1857.6	1519.15	2104.58	1991.0	1519.15	1651.0	1857.6	1936.53	1963.57	2255.7	1794.29
PCBP4	698.41	389.72	101.54	186.4	111.21	126.12	166.73	248.0	114.36	217.27	125.24	187.71	258.57	195.72	157.68	154.42	124.37	132.44	112.77	98.04	167.9	201.25	201.25	285.03	108.9	1059.11	1119.56	525.39	470.14	1208.34	921.88	473.41	954.43	470.14	563.18	713.11	842.36	493.56	493.56	674.59	1081.39	1135.2	1111.82	1015.93
PCGF3	356.05	387.02	154.42	346.29	90.77	176.29	145.02	205.5	156.59	299.25	218.79	166.73	248.0	165.57	116.78	187.71	181.28	145.02	199.85	120.94	193.01	223.41	283.05	265.87	125.24	1286.18	620.67	514.56	507.46	1073.91	743.43	493.56	629.35	532.74	403.5	669.92	633.73	529.06	551.56	647.07	813.63	674.59	1030.12	723.08
PGS1	348.71	406.31	82.87	206.94	101.54	94.01	248.0	249.73	205.5	309.83	157.68	194.36	180.02	173.85	152.28	146.03	87.03	95.34	108.14	94.67	229.72	239.52	134.3	224.97	169.07	928.3	688.78	435.55	447.82	1127.35	813.63	420.68	769.69	665.29	400.71	688.78	728.11	521.76	563.18	629.35	753.83	808.0	896.64	878.17
PLD2	373.81	329.84	86.43	285.03	93.35	60.82	183.82	105.15	218.79	185.11	99.43	176.29	277.2	148.09	171.45	116.78	149.12	114.36	110.43	118.43	191.67	246.28	217.27	299.25	106.63	703.28	532.74	387.02	438.59	660.68	493.56	265.87	532.74	406.31	329.84	432.53	521.76	389.72	348.71	540.19	764.36	480.04	612.11	660.68
PPM1F	173.85	202.66	111.21	123.5	105.15	103.69	84.04	105.89	103.69	152.28	112.77	88.26	107.38	127.89	120.94	116.78	47.17	76.71	118.43	19.39	113.56	123.5	157.68	119.26	132.44	540.19	299.25	171.45	224.97	400.71	387.02	204.07	285.03	271.48	189.02	271.48	363.56	186.4	194.36	226.54	429.54	249.73	371.22	251.48
RAB40A	5.11	2.68	0.0	1.51	0.95	0.13	4.24	0.99	0.13	0.73	2.03	0.4	1.66	2.36	7.22	0.0	3.82	1.19	0.08	1.03	0.0	1.31	0.0	1.13	0.0	16.63	22.43	7.82	9.63	21.47	14.03	7.22	24.28	10.24	7.46	12.74	17.9	8.19	11.73	13.03	23.08	14.89	15.68	13.62
RBM5	1119.56	848.22	287.01	624.99	543.96	356.05	748.61	808.0	454.09	679.29	629.35	629.35	629.35	563.18	521.76	429.54	490.14	665.29	400.71	507.46	563.18	733.19	480.04	733.19	356.05	4123.49	2777.33	1950.0	2018.8	3665.02	2935.74	1857.6	2796.65	2609.3	1487.87	2682.69	2119.22	1991.0	1883.54	2075.59	2915.45	2224.63	3018.3	2573.36
RIPK3	85.22	173.85	14.14	75.64	19.39	6.21	62.56	79.45	29.91	127.0	18.16	39.79	175.07	29.06	64.8	18.7	25.35	10.0	15.45	7.11	55.89	66.18	23.93	74.06	8.51	444.72	490.14	301.33	271.48	376.41	387.02	208.38	438.59	182.55	186.4	373.81	490.14	267.73	281.09	336.79	473.41	503.95	414.87	351.14
SIN3B	334.46	275.28	63.0	209.84	95.34	89.51	199.85	165.57	130.6	143.01	180.02	142.01	185.11	215.77	143.01	132.44	135.24	134.3	120.1	69.03	221.86	178.77	167.9	220.32	136.19	1143.1	791.35	607.87	674.59	1242.34	802.41	624.99	878.17	842.36	559.28	848.22	759.08	642.59	688.78	759.08	1111.82	743.43	830.75	995.0
SMAD7	540.19	551.56	220.32	106.63	193.01	84.04	123.5	180.02	177.53	239.52	84.04	143.01	214.27	115.97	180.02	71.5	95.34	63.89	64.34	58.3	97.36	262.2	88.88	253.23	111.21	854.13	647.07	500.46	497.0	718.08	1477.58	273.37	733.19	543.96	343.89	723.08	878.17	460.44	400.71	629.35	743.43	555.41	988.12	624.99
