	GTEX.13YAN.1826.SM.5LU3Q	GTEX.13YAN.2026.SM.5Q5EY	GTEX.13FHO.1826.SM.5K7Y6	GTEX.YECK.1726.SM.5IFI3	TCGA.BA.5557.01A.01R.1514.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.Y5LM.0726.SM.4VBRP	GTEX.O5YW.0526.SM.2YUMX	GTEX.13N11.0326.SM.5LUA3	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.SNOS.0426.SM.32PMH	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.11I78.0126.SM.5HL6F	GTEX.WFG7.0526.SM.3GIKI	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.R55G.0826.SM.2TC5U	GTEX.YEC3.0226.SM.5IFJO	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.1339X.0626.SM.5IJER	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.132QS.0726.SM.5IJE9	GTEX.1399S.1726.SM.5L3DI	GTEX.UJHI.0726.SM.3DB92	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.X4LF.0526.SM.3NMB6	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1399U.0826.SM.5KM1P	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	GTEX.ZQG8.2126.SM.4YCF1	TCGA.EL.A3ZT.01A.12R.A23N.07	GTEX.12584.0826.SM.5FQSK	GTEX.RTLS.0626.SM.5SI7Z	GTEX.13QJC.0826.SM.5RQKC	GTEX.V1D1.0926.SM.4JBHQ
AC008443.1	155.5	255.0	301.33	157.68	0.0	397.93	348.71	0.0	0.0	0.13	0.0	0.0	1.99	0.0	38.4	0.0	5.5	5.54	6.84	0.33	0.0	0.0	1.58	3.08	3.44	6.01	2.81	0.0	0.0	8.0	2.34	6.78	5.28	23.25	2.2	11.55	0.27	0.95	2.32	2.43	0.0	4.06	1.28	5.77	0.0	1.16	3.63	0.01	0.0	1.31	12.83	1.95	0.0	3.82	0.0	6.26	0.0	0.0	209.84	50.63	40.07	32.13	95.34
AC093157.1	16.63	38.67	42.11	41.52	0.0	41.22	44.25	0.0	0.0	0.96	1.19	1.99	0.88	0.0	16.88	0.49	1.53	3.03	1.68	5.77	1.75	2.97	3.23	5.59	1.22	2.92	1.48	2.78	2.92	5.96	7.69	10.24	3.79	16.03	1.48	3.66	2.1	2.61	1.87	1.85	4.21	3.86	2.07	0.34	1.91	3.38	1.79	3.17	3.47	1.0	1.73	4.82	6.73	1.71	4.28	2.41	1.06	0.0	35.5	15.68	11.55	19.39	20.26
AC135178.1	137.14	202.66	181.28	178.77	2.29	234.57	135.24	7.11	1.19	3.59	12.45	14.78	18.7	7.88	71.5	14.35	22.26	14.67	8.45	9.85	11.91	10.16	16.27	27.44	15.34	21.63	19.25	13.52	16.63	31.67	24.63	8.65	23.42	47.84	22.1	23.08	10.55	14.24	48.18	21.16	10.31	35.25	9.27	18.84	10.55	15.0	25.35	12.55	31.22	20.26	35.0	28.04	39.5	31.9	17.25	21.94	5.23	2.18	123.5	135.24	100.13	92.7	109.66
ACAD10	406.31	460.44	486.75	547.75	147.06	775.05	473.41	483.38	186.4	228.13	237.86	303.44	224.97	260.38	540.19	289.02	249.73	309.83	113.56	255.0	217.27	209.84	226.54	323.03	281.09	297.17	295.11	303.44	265.87	414.87	389.72	429.54	283.05	325.29	351.14	94.01	190.34	277.2	454.09	307.69	239.52	387.02	187.71	231.32	358.54	343.89	366.09	218.79	307.69	271.48	283.05	366.09	514.56	392.44	236.21	271.48	114.36	120.94	438.59	470.14	532.74	511.0	728.11
ACCS	1059.11	1127.35	1733.13	1529.73	25.35	1991.0	1651.0	202.66	66.65	103.69	417.77	486.75	395.18	260.38	525.39	420.68	323.03	267.73	72.01	152.28	204.07	275.28	356.05	297.17	476.71	679.29	500.46	265.87	1313.23	679.29	633.73	320.8	518.15	351.14	348.71	77.25	80.57	229.72	1073.91	376.41	105.15	878.17	463.65	423.61	285.03	130.6	1135.2	323.03	525.39	543.96	1487.87	389.72	947.83	336.79	239.52	186.4	100.13	25.35	1508.65	1073.91	830.75	624.99	1268.46
ADAT2	256.78	356.05	525.39	591.22	29.27	327.56	138.1	7.51	10.31	25.91	63.0	44.25	138.1	39.22	511.0	42.41	96.68	122.64	69.03	86.43	112.77	53.57	55.89	132.44	96.01	256.78	104.42	61.68	79.45	114.36	138.1	198.47	80.57	163.28	109.66	91.41	55.1	47.5	166.73	72.01	84.63	153.34	73.03	88.26	111.99	96.68	127.0	95.34	75.11	166.73	204.07	134.3	161.02	154.42	132.44	237.86	41.81	38.67	180.02	264.03	177.53	164.42	305.55
AGAP9	102.25	181.28	318.57	318.57	1.83	253.23	236.21	6.73	2.16	1.73	21.16	37.85	15.91	23.08	70.51	18.7	20.86	36.01	44.89	29.06	36.79	60.39	67.59	55.1	18.56	97.36	36.79	33.54	42.71	71.5	24.46	12.0	74.06	26.28	15.45	14.14	25.72	21.63	38.4	32.36	9.2	195.72	11.64	38.4	15.0	38.4	81.71	34.51	38.12	22.43	80.01	26.86	88.26	86.43	24.63	126.12	9.7	9.34	150.17	86.43	77.79	96.68	78.89
AHSA2	2682.69	3820.7	4869.99	3303.0	43.02	3491.39	3280.18	44.89	37.59	78.89	172.65	371.22	195.72	221.86	1044.52	295.11	190.34	329.84	52.82	140.04	208.38	97.36	447.82	743.43	389.72	693.58	1015.93	218.79	264.03	1104.13	785.88	325.29	1044.52	1127.35	406.31	133.36	223.41	414.87	1733.13	395.18	88.26	1437.15	140.04	358.54	318.57	82.29	1191.69	267.73	309.83	236.21	928.3	279.14	412.0	674.59	223.41	381.68	63.45	4.94	4607.24	4066.71	3395.89	2240.11	1977.24
AL132989.1	31.9	21.94	46.5	23.08	1.64	22.43	22.26	0.0	0.21	0.72	2.73	1.53	1.33	2.53	10.24	1.22	3.06	2.1	2.56	2.84	4.5	2.73	0.0	5.15	1.95	0.85	3.23	6.41	2.61	1.99	1.77	1.43	2.73	9.27	4.54	0.85	3.29	2.66	8.32	3.96	2.68	7.75	1.75	0.83	1.66	1.43	5.54	3.79	3.08	6.06	3.03	2.39	8.85	9.27	7.69	6.84	2.86	0.93	12.0	10.24	10.71	18.16	12.64
ALKBH6	599.49	1073.91	616.37	723.08	217.27	866.07	629.35	265.87	232.94	229.72	164.42	361.04	325.29	209.84	607.87	444.72	205.5	454.09	212.78	307.69	279.14	438.59	334.46	620.67	371.22	698.41	358.54	339.14	376.41	915.51	460.44	339.14	297.17	412.0	392.44	332.14	264.03	356.05	543.96	460.44	218.79	595.34	329.84	343.89	674.59	450.94	583.07	353.59	341.51	426.57	525.39	503.95	363.56	547.75	329.84	343.89	85.82	136.19	753.83	555.41	656.11	638.15	660.68
