	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13FTW.1126.SM.5J2NV	GTEX.139YR.0226.SM.5IFEM	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.14ABY.1126.SM.5Q5F8	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.11PRG.0926.SM.5EGI8	GTEX.13O61.0726.SM.5J2MD	GTEX.11EI6.0826.SM.5985V	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13QJC.0526.SM.5RQKB	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.145LU.0526.SM.5O9AT	GTEX.14DAR.0226.SM.5S2PR	GTEX.OIZH.0526.SM.2HMKV	GTEX.ZYT6.0526.SM.5GIEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.ZVT3.0926.SM.5GICK	GTEX.OHPM.0526.SM.2YUMJ
AGER	29.27	26.28	50.63	18.03	26.47	45.85	22.92	7.69	19.39	23.25	82.87	148488.36	56265.94	459592.86	502929.67	267651.2	355624.68	163620.18	336441.4	181548.07	237899.7	370726.6	191899.64	171754.88	200048.85	282912.21	394590.4	313910.86	577714.63	269512.87	74760.09	236256.4	220434.95	286861.53	209994.66	155870.75	279017.26	249727.34	143430.26	290865.98	209994.66	239554.43	55107.99	253213.41	101420.22	383800.28	138544.47	363097.14	236256.4	143430.26	373305.21	136637.07	273275.14	482442.34	496005.67	419990.32	191899.64
AGK	255.0	119.26	133.36	164.42	146.03	136.19	142.01	141.02	198.47	148.09	110.43	236.21	229.72	438.59	215.77	253.23	329.84	466.88	224.97	194.36	389.72	293.07	325.29	237.86	373.81	205.5	466.88	651.58	438.59	209.84	480.04	285.03	336.79	175.07	363.56	215.77	206.94	201.25	351.14	237.86	536.45	480.04	373.81	197.09	191.67	412.0	759.08	152.28	287.01	258.57	381.68	447.82	258.57	325.29	202.66	204.07	183.82
AHSA2	67.59	92.7	119.26	44.89	150.17	165.57	60.39	37.59	78.89	142.01	256.78	371.22	201.25	1059.11	221.86	591.22	733.19	1081.39	1008.9	295.11	665.29	441.64	343.89	612.11	1015.93	251.48	651.58	1051.79	325.29	579.04	1388.16	463.65	967.76	133.36	612.11	40.93	182.55	493.56	1896.65	185.11	563.18	1143.1	890.44	140.04	129.69	947.83	947.83	358.54	483.38	190.34	1015.93	842.36	279.14	1709.26	173.85	518.15	63.45
APAF1	36.27	52.45	44.89	41.52	32.82	55.89	55.49	142.01	93.35	65.72	89.51	127.0	78.34	381.68	182.55	356.05	251.48	444.72	183.82	144.01	191.67	236.21	189.02	171.45	201.25	172.65	241.19	376.41	111.21	113.56	470.14	191.67	248.0	82.87	395.18	50.27	271.48	182.55	314.17	93.35	262.2	205.5	423.61	125.24	181.28	173.85	463.65	100.13	423.61	118.43	279.14	269.6	99.43	197.09	226.54	220.32	84.04
ARFGEF1	171.45	289.02	253.23	129.69	316.37	283.05	212.78	208.38	255.0	199.85	279.14	309.83	269.6	878.17	480.04	444.72	780.44	1322.37	703.28	409.15	813.63	612.11	438.59	361.04	688.78	909.17	915.51	665.29	656.11	559.28	1037.29	389.72	703.28	447.82	555.41	293.07	420.68	264.03	559.28	454.09	684.02	665.29	961.07	314.17	376.41	514.56	1199.98	514.56	703.28	457.25	884.29	954.43	373.81	323.03	540.19	483.38	339.14
ARHGEF6	94.01	84.04	19.82	39.79	28.86	40.36	53.57	85.22	38.67	76.71	60.82	514.56	122.64	1151.06	547.75	1259.69	819.3	2645.74	738.29	384.34	669.92	1331.57	915.51	426.57	866.07	387.02	2004.85	1437.15	890.44	389.72	780.44	486.75	1551.09	265.87	769.69	134.3	368.65	450.94	995.0	305.55	718.08	1250.98	1001.93	211.31	273.37	1794.29	1457.23	239.52	1023.0	387.02	2148.82	1044.52	275.28	1111.82	769.69	785.88	287.01
ARID2	33.06	44.57	44.57	32.59	52.45	47.84	45.85	25.72	50.27	36.79	45.85	115.16	94.67	264.03	120.94	159.9	159.9	299.25	251.48	115.97	287.01	155.5	167.9	108.9	221.86	253.23	279.14	191.67	224.97	189.02	277.2	92.05	165.57	149.12	229.72	98.73	150.17	117.6	273.37	165.57	305.55	265.87	293.07	104.42	96.68	137.14	389.72	144.01	167.9	81.14	303.44	297.17	142.01	163.28	289.02	204.07	128.79
ATAD2B	12.64	36.27	42.71	14.89	45.53	39.5	35.76	31.22	35.0	43.63	37.85	36.27	27.44	119.26	59.55	112.77	95.34	162.14	126.12	38.67	187.71	124.37	57.49	63.0	146.03	104.42	158.79	115.97	108.14	71.0	108.14	49.91	111.99	56.68	107.38	63.0	89.51	70.51	94.67	75.64	111.21	147.06	155.5	38.67	40.36	124.37	223.41	59.55	153.34	30.56	150.17	201.25	42.11	49.56	154.42	89.51	46.5
ATF7IP	54.72	92.7	64.8	98.04	85.82	67.59	119.26	107.38	92.05	136.19	59.13	164.42	125.24	441.64	341.51	325.29	224.97	603.67	395.18	285.03	309.83	287.01	339.14	151.22	633.73	156.59	493.56	490.14	271.48	265.87	497.0	163.28	217.27	170.25	334.46	94.67	336.79	220.32	329.84	127.89	301.33	336.79	819.3	149.12	217.27	287.01	329.84	289.02	764.36	204.07	454.09	620.67	251.48	218.79	403.5	295.11	148.09
ATM	26.28	68.07	90.14	66.18	59.97	83.45	115.16	52.08	105.89	85.82	96.68	169.07	87.03	454.09	248.0	486.75	279.14	872.1	316.37	181.28	366.09	400.71	143.01	239.52	507.46	171.45	490.14	612.11	289.02	343.89	738.29	122.64	251.48	148.09	371.22	98.73	214.27	226.54	438.59	132.44	229.72	341.51	647.07	132.44	147.06	285.03	571.05	194.36	547.75	115.16	514.56	660.68	251.48	251.48	368.65	258.57	121.79
C10orf118	7.0	51.71	52.08	14.35	74.58	44.25	43.63	37.32	25.91	24.99	22.92	172.65	112.77	291.04	163.28	153.34	189.02	323.03	122.64	172.65	463.65	283.05	111.21	181.28	277.2	603.67	514.56	363.56	295.11	267.73	460.44	125.24	273.37	514.56	830.75	185.11	193.01	204.07	540.19	299.25	320.8	295.11	563.18	125.24	118.43	293.07	587.13	202.66	327.56	99.43	629.35	295.11	193.01	389.72	198.47	239.52	105.15
CAPN7	87.03	190.34	224.97	133.36	202.66	253.23	193.01	181.28	198.47	182.55	152.28	264.03	175.07	638.15	320.8	417.77	414.87	587.13	571.05	273.37	866.07	363.56	289.02	351.14	540.19	414.87	514.56	432.53	595.34	316.37	884.29	285.03	397.93	312.0	848.22	246.28	255.0	334.46	353.59	287.01	679.29	620.67	775.05	220.32	234.57	329.84	1015.93	384.34	457.25	215.77	540.19	718.08	289.02	387.02	500.46	473.41	220.32
