	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.WJ.A86L.01A.12R.A39D.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.G3.A25U.01A.11R.A16W.07	TCGA.RC.A7SF.01A.11R.A352.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR	TCGA.44.2668.01A.01R.0946.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.6779.01A.11R.1858.07	TCGA.60.2707.01A.01R.0851.07	TCGA.85.8481.01A.11R.2326.07	TCGA.B7.5816.01A.21R.1602.13	TCGA.D7.6820.01A.11R.1884.13
ABHD1	1.14	0.0	3.5	127.89	44.25	35.76	190.34	10.55	204.07	713.11	273.37	384.34	532.74	111.99	426.57	356.05	171.45	540.19	140.04	403.5	723.08	379.04	414.87	202.66	336.79	74.58	1151.06	175.07	289.02	249.73	201.25	96.01	303.44	483.38	40.36	17.77	4.78	0.0	0.14	5.15	6.21	4.31	4.13	7.63
ACOT13	379.04	409.15	236.21	1096.5	2133.97	1088.92	967.76	1295.13	3768.09	2976.74	2287.2	2451.44	2875.3	2400.97	3491.39	2627.46	2335.28	2287.2	2537.92	2591.27	2701.35	3639.7	3491.39	4152.18	4152.18	3639.7	2777.33	2004.85	3443.31	3639.7	1350.18	2075.59	3982.99	3146.52	395.18	842.36	320.8	0.0	0.33	563.18	223.41	303.44	466.88	215.77
ACOX2	70.01	15.45	9.78	2367.9	1794.29	2148.82	5041.77	3847.29	13306.94	11345.82	14971.21	17197.56	12076.21	5441.3	24660.96	25005.23	8778.97	31650.8	8538.88	10585.95	17197.56	25708.25	19892.37	19618.49	21919.61	13872.08	21320.18	7803.01	14867.79	19214.73	2004.85	4736.79	21919.61	20030.74	41.52	1870.53	197.09	0.0	0.45	61.68	60.39	73.54	77.79	69.03
ACSM5	2.76	0.84	6.26	1991.0	97.36	830.75	2816.11	551.56	7857.29	9740.98	5292.48	11992.79	4736.79	6337.83	15285.81	13681.08	4769.75	21172.91	8598.28	9279.58	18689.27	25887.07	6250.56	14971.21	11504.21	19892.37	36357.37	4639.29	4298.64	14971.21	1242.34	1304.15	7485.11	10440.2	17.13	1159.07	4.31	0.0	0.14	12.18	4.1	1.25	12.93	4.06
AKAP6	29.7	15.34	7.17	16.39	16.27	16.39	29.27	17.13	47.17	33.54	46.84	29.91	21.32	41.22	49.21	78.89	66.18	55.1	13.62	30.56	53.95	67.59	27.64	28.45	86.43	36.79	36.27	41.22	37.05	55.1	13.12	18.7	37.85	33.3	6.73	23.59	14.35	0.0	0.15	28.04	19.11	5.23	3.41	7.69
ALAD	253.23	536.45	540.19	2701.35	2047.0	1167.14	3639.7	2047.0	4038.61	2835.7	3081.75	6164.49	5403.7	2193.99	6745.86	5711.87	3419.52	5255.91	5147.73	5219.6	4328.55	7642.41	4671.57	4836.35	5995.9	4066.71	5076.84	2555.58	7537.18	5479.15	896.64	2240.11	5329.3	5292.48	1870.53	884.29	629.35	0.0	0.56	444.72	525.39	281.09	698.41	579.04
APOC1	19348.38	529.06	2271.4	402881.61	290865.98	425853.18	539026.74	1012856.65	2748093.15	1800541.22	1679964.3	1715263.94	2310861.52	1442359.14	1775752.63	2654482.97	3178687.03	2691538.19	3430528.88	4526610.31	3576208.94	2924988.47	5809569.18	1838374.44	2511293.86	6719860.18	2672946.37	2599854.48	2904784.09	3702323.71	489177.0	1703415.74	3968052.37	3626130.97	229795.93	1514068.5	2758.13	11664.82	1208.34	6887.62	4268.94	1023.0	3716.2	2645.74
ASPA	0.0	0.67	1.08	27.25	29.7	88.88	122.64	4.13	262.2	283.05	231.32	332.14	178.77	88.88	356.05	279.14	153.34	309.83	176.29	271.48	412.0	463.65	177.53	248.0	215.77	309.83	660.68	165.57	314.17	343.89	54.33	120.1	220.32	198.47	1.97	7.17	2.51	0.0	0.16	0.85	6.52	1.58	8.51	0.47
CES2	521.76	571.05	753.83	2047.0	928.3	1199.98	3190.46	2956.17	10733.74	4736.79	3124.78	3639.7	1819.35	1529.73	13492.72	3325.99	5913.33	5913.33	8840.04	5872.48	8538.88	3564.78	20310.37	5441.3	6426.31	7749.1	11827.67	11424.74	9945.68	7331.05	775.05	4543.8	6471.02	3060.45	267.73	5711.87	289.02	221.86	209.84	775.05	624.99	579.04	476.71	2032.85
CHADL	11.38	8.25	28.04	137.14	88.26	27.84	26.67	114.36	223.41	358.54	120.94	100.13	144.01	30.78	221.86	151.22	271.48	228.13	176.29	339.14	239.52	281.09	116.78	262.2	237.86	81.14	329.84	163.28	147.06	131.51	126.12	178.77	171.45	301.33	9.56	47.17	12.74	0.0	0.0	2.03	27.64	19.97	7.06	23.59
