	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.BH.A0BW.11A.12R.A115.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.GI.A2C9.11A.22R.A21T.07	TCGA.AZ.4323.01A.21R.1839.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	TCGA.75.7030.01A.11R.1949.07	TCGA.98.A53C.01A.11R.A262.07	TCGA.BR.A4J2.01A.21R.A251.31
ABL1	1001.93	1001.93	1044.52	961.07	961.07	1059.11	1259.69	303.44	158.79	343.89	169.07	218.79	220.32	136.19	163.28	229.72	262.2	134.3	265.87	264.03	237.86	199.85	299.25	253.23	253.23	115.16	215.77	162.14	258.57	124.37	1001.93	967.76	1806.78
ARSJ	46.84	46.84	139.07	29.7	29.7	105.15	373.81	95.34	17.77	85.22	17.38	18.84	28.04	12.74	5.06	12.64	48.87	35.5	100.13	76.17	26.67	17.25	133.36	12.0	66.65	5.59	21.01	23.93	87.65	23.59	155.5	111.21	102.97
ATG16L1	334.46	334.46	470.14	536.45	536.45	400.71	490.14	279.14	281.09	400.71	181.28	267.73	237.86	173.85	220.32	193.01	275.28	178.77	305.55	204.07	301.33	239.52	356.05	164.42	353.59	186.4	164.42	262.2	221.86	246.28	486.75	409.15	343.89
ATL1	153.34	153.34	301.33	215.77	215.77	387.02	121.79	24.99	8.06	46.5	11.64	18.56	12.74	3.56	4.54	13.12	10.63	17.51	21.78	7.46	18.7	10.39	17.38	8.06	48.87	3.32	7.4	10.63	10.16	8.0	154.42	85.82	115.97
B3GNTL1	99.43	99.43	181.28	100.13	100.13	143.01	202.66	94.67	42.41	124.37	60.82	62.12	72.52	19.68	59.13	29.91	86.43	44.57	81.14	48.18	82.87	54.33	138.1	71.5	120.1	50.63	35.5	35.5	69.52	32.36	129.69	256.78	211.31
C22orf15	15.56	15.56	10.71	7.0	7.0	4.86	40.64	8.71	3.26	15.34	1.07	4.1	3.32	1.27	1.95	0.0	3.66	2.61	6.46	3.11	7.06	13.52	16.88	1.04	7.63	2.51	3.96	2.84	12.27	0.0	164.42	14.45	18.97
CACNA1F	8.32	8.32	23.93	12.74	12.74	6.57	37.32	0.57	1.46	5.82	0.0	1.99	0.89	0.12	0.0	0.0	1.45	0.0	2.29	0.0	1.19	0.55	1.22	0.0	5.32	0.89	0.13	0.51	1.83	0.13	9.13	24.99	6.21
CBX6	198.47	198.47	651.58	490.14	490.14	536.45	764.36	204.07	84.04	559.28	299.25	150.17	329.84	29.91	53.95	295.11	104.42	120.1	98.73	180.02	135.24	217.27	139.07	44.89	493.56	27.44	121.79	78.34	158.79	17.51	371.22	447.82	947.83
CCAR2	1417.35	1417.35	2591.27	1936.53	1936.53	2075.59	2976.74	1066.48	728.11	1819.35	896.64	1096.5	1044.52	813.63	660.68	1216.75	1001.93	921.88	1277.29	1407.55	813.63	830.75	1781.89	536.45	1242.34	420.68	915.51	808.0	854.13	423.61	1963.57	1936.53	2075.59
CNIH2	44.57	44.57	26.28	44.25	44.25	14.89	791.35	8.71	3.99	18.97	3.89	1.22	8.38	0.12	5.41	7.4	18.29	10.47	6.36	5.23	13.62	2.94	14.45	1.14	6.31	6.01	1.68	2.29	0.6	0.0	25.35	54.72	26.86
