	TCGA.A7.A0DC.01A.11R.A00Z.07	TCGA.A7.A0DC.01A.11R.A00Z.07.1	TCGA.A7.A0DC.01A.11R.A00Z.07.2	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.Y5V5.2126.SM.4WWFO	GTEX.T6MO.0326.SM.32QOK	GTEX.WRHU.0326.SM.3MJFY	GTEX.Y3IK.2326.SM.4WWDT	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP
ACADSB	12076.21	12076.21	10512.82	187.71	559.28	802.41	2956.17	198.47	2178.83	665.29	1467.37	540.19	486.75	1388.16	1417.35	503.95	435.55	713.11	1159.07	339.14	563.18	2956.17	703.28	647.07	1073.91	713.11	988.12	616.37	954.43	341.51	500.46	785.88	921.88	1322.37	2224.63	265.87	1991.0	172.65	343.89	151.22	638.15	559.28	262.2
BBS1	1313.23	1313.23	915.51	249.73	521.76	669.92	808.0	293.07	915.51	420.68	878.17	381.68	318.57	842.36	1104.13	493.56	429.54	444.72	629.35	429.54	366.09	808.0	525.39	503.95	890.44	525.39	435.55	358.54	497.0	251.48	417.77	647.07	660.68	723.08	1096.5	368.65	607.87	152.28	211.31	441.64	463.65	603.67	307.69
C6orf165	12.74	12.74	14.35	3.96	0.85	1.87	12.74	0.0	15.68	3.2	8.78	0.8	0.0	7.51	11.82	1.99	1.57	4.7	10.71	2.92	3.99	12.74	4.82	4.62	2.18	6.36	3.41	1.22	9.85	7.06	5.23	16.39	6.73	5.54	12.36	1.19	5.36	3.82	2.66	1.16	6.01	1.68	0.0
CACNG4	1745.2	1745.2	503.95	2.48	36.01	169.07	432.53	0.36	297.17	24.81	165.57	0.78	0.0	241.19	447.82	5.02	16.51	59.55	101.54	0.0	0.79	432.53	22.75	55.89	341.51	36.79	0.0	7.4	57.49	2.27	176.29	101.54	106.63	185.11	620.67	6.62	211.31	1.48	0.56	7.06	67.12	66.65	0.0
CASP16	82.87	82.87	48.18	0.46	0.53	9.78	14.78	0.45	9.56	0.0	9.34	0.0	2.16	12.93	14.45	0.49	1.73	0.99	5.54	1.23	1.36	14.78	2.86	2.94	5.82	0.92	1.43	0.93	1.3	0.03	3.79	3.96	9.06	15.0	55.49	1.07	0.58	0.0	1.69	1.46	1.3	2.86	7.63
CCDC117	1628.26	1628.26	2758.13	307.69	287.01	373.81	759.08	269.6	432.53	403.5	450.94	470.14	264.03	518.15	423.61	336.79	339.14	395.18	368.65	264.03	299.25	759.08	389.72	381.68	363.56	500.46	283.05	363.56	1259.69	285.03	316.37	435.55	612.11	379.04	429.54	483.38	438.59	173.85	195.72	283.05	620.67	341.51	173.85
DCAF16	1037.29	1037.29	1498.22	167.9	283.05	429.54	543.96	98.73	651.58	251.48	607.87	253.23	169.07	595.34	529.06	214.27	229.72	264.03	409.15	289.02	221.86	543.96	339.14	281.09	525.39	343.89	307.69	209.84	212.78	145.02	173.85	438.59	414.87	511.0	656.11	181.28	441.64	141.02	158.79	277.2	316.37	379.04	171.45
EFHD1	31650.8	31650.8	6250.56	830.75	1870.53	4671.57	8963.45	878.17	5219.6	1044.52	5791.62	1313.23	532.74	6652.97	5041.77	599.49	733.19	1617.0	2104.58	1628.26	575.03	8963.45	947.83	1191.69	5831.91	1781.89	723.08	830.75	1832.01	1551.09	3081.75	2573.36	4010.71	3540.14	8778.97	2148.82	6792.79	218.79	684.02	860.08	6699.25	3540.14	3665.02
EPB41L5	1001.93	1001.93	1806.78	141.02	217.27	376.41	450.94	111.99	521.76	256.78	518.15	255.0	180.02	454.09	473.41	201.25	220.32	226.54	373.81	178.77	195.72	450.94	275.28	256.78	476.71	275.28	218.79	199.85	275.28	177.53	205.5	429.54	629.35	389.72	525.39	172.65	400.71	113.56	139.07	165.57	318.57	332.14	215.77
ERMARD	836.53	836.53	802.41	348.71	387.02	420.68	532.74	447.82	595.34	381.68	518.15	363.56	323.03	540.19	595.34	441.64	358.54	371.22	454.09	392.44	406.31	532.74	521.76	457.25	559.28	343.89	460.44	346.29	201.25	255.0	339.14	403.5	387.02	638.15	559.28	301.33	441.64	220.32	246.28	242.88	318.57	441.64	403.5
FABP4	16.03	16.03	17.13	313910.86	228208.61	140478.49	103551.29	365622.68	26431.04	322736.12	92680.9	386469.83	394590.4	104996.83	68318.04	258533.99	253213.41	348306.01	279017.26	327241.36	358098.26	103551.29	370726.6	263966.36	81244.48	212926.09	489177.0	292889.12	716197.51	602247.76	360589.03	284880.02	324980.94	102836.01	130165.62	327241.36	187950.38	558035.51	906531.99	1078054.48	1838374.44	394590.4	636586.81
FAM227A	56.68	56.68	64.34	2.56	4.66	15.8	34.51	0.37	40.07	3.23	25.54	3.56	3.59	22.43	41.52	1.6	3.56	3.47	13.42	2.94	2.84	34.51	6.21	14.14	24.63	5.63	1.71	5.28	7.46	3.03	8.38	22.59	16.15	22.75	33.06	8.51	14.89	2.73	2.01	5.96	12.55	15.34	3.63
FGD6	221.86	221.86	490.14	27.25	51.35	64.34	144.01	18.84	121.79	49.21	102.97	45.53	23.93	149.12	146.03	45.21	49.56	55.1	90.77	35.0	47.17	144.01	69.52	68.07	85.22	93.35	46.84	48.18	71.5	24.63	37.85	94.01	76.71	148.09	143.01	32.13	92.05	8.92	19.97	22.92	39.79	71.0	38.12
FLNB	16269.83	16269.83	23492.92	1259.69	1832.01	2468.49	5403.7	2133.97	3325.99	1286.18	2319.15	1135.2	1369.04	3820.7	2384.37	1135.2	1769.57	1407.55	2061.24	1769.57	1417.35	5403.7	1037.29	1757.34	2895.31	1832.01	1447.15	1781.89	3018.3	1167.14	1397.83	1605.83	1844.76	3874.05	3690.52	1135.2	5995.9	1151.06	1216.75	1923.14	4972.34	1857.6	3443.31
HKR1	1286.18	1286.18	1369.04	301.33	420.68	647.07	679.29	258.57	1175.27	373.81	848.22	387.02	356.05	909.17	1015.93	363.56	387.02	447.82	583.07	392.44	392.44	679.29	463.65	514.56	860.08	500.46	450.94	432.53	633.73	339.14	486.75	651.58	713.11	723.08	974.5	400.71	620.67	231.32	318.57	450.94	633.73	483.38	297.17
HSF2BP	82.29	82.29	140.04	12.45	9.93	15.68	30.78	5.63	29.91	9.06	20.11	5.45	4.66	24.11	31.22	6.26	10.39	9.34	17.0	5.02	5.15	30.78	7.82	12.18	22.1	10.24	5.45	3.56	10.24	7.34	13.32	17.64	10.47	10.55	30.78	8.58	10.55	3.23	5.06	5.96	21.32	23.76	6.46
IGF1R	1529.73	1529.73	2271.4	98.04	264.03	457.25	802.41	96.68	842.36	161.02	708.18	163.28	92.7	947.83	595.34	140.04	167.9	231.32	368.65	187.71	139.07	802.41	239.52	295.11	669.92	323.03	182.55	169.07	275.28	80.01	137.14	514.56	514.56	620.67	1685.71	199.85	547.75	49.21	41.22	88.26	376.41	1023.0	251.48
KAT6B	1685.71	1685.71	1844.76	111.99	264.03	271.48	525.39	94.01	463.65	256.78	420.68	281.09	221.86	444.72	457.25	305.55	327.56	246.28	353.59	264.03	289.02	525.39	312.0	264.03	363.56	307.69	275.28	255.0	441.64	153.34	180.02	684.02	204.07	483.38	438.59	215.77	358.54	94.01	157.68	86.43	135.24	376.41	156.59
KCNC3	384.34	384.34	38.95	5.45	24.81	116.78	199.85	2.76	171.45	13.42	84.04	7.94	12.09	92.7	107.38	11.3	8.71	26.28	62.56	14.56	12.74	199.85	11.13	46.5	131.51	27.84	9.48	15.56	50.63	5.73	49.56	81.71	39.79	98.04	392.44	14.03	63.89	6.16	7.28	6.21	26.47	121.79	16.51
KIF12	2976.74	2976.74	1143.1	0.34	54.72	220.32	624.99	0.34	532.74	10.39	368.65	3.11	0.0	483.38	141.02	4.31	5.41	55.49	397.93	1.43	0.0	624.99	31.0	115.97	575.03	36.27	0.83	4.39	246.28	6.78	159.9	137.14	224.97	293.07	591.22	10.39	466.88	3.0	3.76	16.63	248.0	134.3	19.39
LMTK3	293.07	293.07	104.42	0.79	5.23	37.59	81.14	0.78	55.1	1.69	26.47	0.45	0.0	27.84	38.95	2.51	2.05	4.94	24.81	1.17	0.88	81.14	3.23	10.0	23.59	7.06	0.48	0.88	13.93	0.88	23.08	27.64	27.64	27.84	46.18	0.95	22.59	0.74	1.14	4.58	15.34	23.42	1.58
LRBA	2627.46	2627.46	6294.04	242.88	379.04	616.37	1088.92	229.72	981.29	497.0	915.51	417.77	289.02	759.08	878.17	423.61	438.59	633.73	616.37	293.07	343.89	1088.92	373.81	454.09	703.28	547.75	312.0	323.03	616.37	256.78	503.95	638.15	703.28	981.29	1769.57	480.04	988.12	141.02	285.03	457.25	429.54	599.49	332.14
MAGED2	53230.77	53230.77	45072.75	3303.0	3303.0	5672.41	12853.63	2796.65	10585.95	2434.5	6983.79	2133.97	2119.22	8078.22	8901.53	2367.9	2739.08	3103.19	5147.73	2417.67	2520.38	12853.63	2485.67	4095.0	7642.41	3060.45	2032.85	2319.15	5711.87	1617.0	2335.28	3955.48	3103.19	6337.83	13033.07	1733.13	8963.45	890.44	1583.71	3372.43	6381.92	3395.89	3124.78
MAPK8	1250.98	1250.98	1250.98	368.65	559.28	775.05	1073.91	211.31	1008.9	518.15	819.3	547.75	320.8	1143.1	872.1	536.45	486.75	395.18	660.68	483.38	447.82	1073.91	616.37	521.76	836.53	638.15	525.39	460.44	684.02	381.68	438.59	878.17	718.08	1023.0	1199.98	470.14	1233.75	444.72	301.33	432.53	679.29	890.44	624.99
MBOAT1	1870.53	1870.53	2573.36	214.27	287.01	358.54	669.92	108.14	665.29	167.9	473.41	277.2	110.43	547.75	460.44	173.85	148.09	265.87	204.07	228.13	141.02	669.92	244.57	251.48	356.05	312.0	178.77	211.31	214.27	71.5	246.28	334.46	486.75	660.68	521.76	170.25	599.49	38.12	60.39	121.79	307.69	389.72	273.37
MORN1	269.6	269.6	339.14	39.5	79.45	139.07	181.28	81.14	285.03	43.63	169.07	37.05	67.59	177.53	226.54	48.87	87.03	71.0	124.37	61.68	78.34	181.28	74.06	80.57	166.73	55.49	34.75	73.54	71.0	34.26	72.01	148.09	99.43	148.09	299.25	39.79	89.51	49.21	53.95	64.34	79.45	72.52	37.59
