	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.11NSD.0326.SM.5A5LS	GTEX.SNOS.0426.SM.32PMH	GTEX.133LE.0526.SM.5N9EJ	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.1399S.1726.SM.5L3DI	GTEX.145MF.0726.SM.5Q5BT	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.XBED.0826.SM.47JYC	GTEX.145LS.1226.SM.5Q5D9	GTEX.QEG5.1126.SM.33HC2	GTEX.WYVS.0526.SM.3NM9W
ADRBK2	22.92	13.32	65.26	42.11	142.01	71.0	193.01	217.27	103.69	107.38	202.66	327.56	145.02	423.61	148.09	162.14	409.15	312.0	295.11	147.06	148.09	363.56	325.29	301.33	341.51
ALS2CR12	5.06	3.63	0.0	0.23	32.13	13.03	26.86	122.64	25.91	32.59	33.06	90.77	11.91	64.34	99.43	40.93	231.32	26.1	15.68	17.38	18.84	28.04	63.89	105.89	69.52
ANKFN1	0.0	0.89	0.0	0.0	9.2	10.24	40.36	66.65	8.85	25.91	20.41	62.56	20.71	134.3	88.88	17.13	327.56	42.41	1.48	9.93	1.91	1.07	122.64	71.5	75.64
ARMC2	20.41	11.38	0.0	0.11	110.43	87.65	106.63	167.9	67.59	116.78	152.28	198.47	82.29	199.85	251.48	123.5	351.14	129.69	79.45	71.0	36.53	64.8	336.79	105.89	156.59
BTG4	0.0	0.0	0.0	0.0	0.0	4.06	14.78	14.45	0.0	4.58	14.89	19.25	0.0	35.25	15.68	10.88	96.01	9.27	0.0	3.06	0.0	0.0	59.55	23.08	15.22
C10orf111	1.99	0.59	0.0	0.0	2.76	7.63	5.19	5.45	5.96	8.99	6.73	12.0	4.31	8.99	12.36	6.67	31.45	4.35	1.89	2.36	2.76	3.08	10.47	9.13	11.47
C16orf46	16.03	16.27	0.0	0.0	11.3	25.17	29.7	52.82	21.63	37.32	25.35	67.12	20.71	59.55	77.25	26.1	134.3	24.99	46.18	42.71	31.67	34.26	52.08	96.01	78.89
C1orf141	0.0	0.0	0.0	0.0	2.12	0.0	10.63	59.13	5.54	9.48	17.25	85.82	0.0	43.63	61.68	3.41	101.54	19.97	0.0	8.19	5.11	0.0	132.44	66.18	52.45
C6orf118	0.0	0.0	0.0	0.0	8.85	0.0	116.78	361.04	37.85	150.17	153.34	397.93	8.45	525.39	514.56	44.89	1467.37	204.07	5.73	21.78	6.52	16.27	764.36	366.09	403.5
C8orf34	0.42	0.0	0.0	0.03	171.45	108.9	193.01	320.8	99.43	92.05	140.04	327.56	65.72	389.72	299.25	197.09	1096.5	379.04	182.55	279.14	127.89	514.56	660.68	674.59	371.22
CACHD1	13.62	6.73	0.0	0.37	329.84	591.22	450.94	638.15	229.72	287.01	273.37	915.51	368.65	1359.57	764.36	232.94	1066.48	587.13	189.02	514.56	320.8	242.88	2061.24	1127.35	1104.13
CASC1	0.0	0.37	0.0	0.0	23.59	15.34	65.72	146.03	30.78	69.03	85.82	228.13	41.22	215.77	175.07	35.25	836.53	127.0	10.55	30.12	12.27	19.25	376.41	169.07	214.27
CC2D2A	68.55	45.85	0.0	0.0	521.76	379.04	403.5	591.22	293.07	591.22	595.34	808.0	551.56	633.73	718.08	361.04	1388.16	616.37	185.11	470.14	287.01	312.0	642.59	624.99	764.36
CCDC30	18.97	6.84	0.0	0.1	50.98	69.52	82.87	115.97	42.11	78.34	65.26	128.79	62.12	161.02	218.79	75.64	738.29	94.01	35.76	65.72	16.88	31.67	332.14	123.5	94.67
CCDC33	0.0	0.0	0.0	0.0	10.0	0.0	43.02	145.02	13.62	52.82	29.91	163.28	4.06	220.32	199.85	17.13	599.49	74.58	5.87	2.58	10.16	5.96	366.09	145.02	180.02
CEP57L1	80.01	127.89	0.0	0.29	94.67	116.78	108.14	112.77	109.66	116.78	129.69	165.57	149.12	157.68	118.43	118.43	181.28	218.79	110.43	105.15	59.13	119.26	132.44	237.86	187.71
CEP97	7.11	12.27	0.0	0.35	19.11	43.63	34.75	59.97	26.28	24.99	54.72	78.89	32.36	61.25	82.87	39.22	122.64	49.56	34.02	35.76	20.41	36.27	108.14	59.55	86.43
CETN2	412.0	921.88	0.0	0.0	1104.13	813.63	1143.1	2777.33	819.3	1896.65	1519.15	2758.13	1015.93	2367.9	3235.01	1175.27	7749.1	2178.83	909.17	1709.26	1216.75	1417.35	3303.0	2682.69	2915.45
CHDC2	0.0	0.0	0.0	0.0	1.27	0.0	3.99	23.25	3.2	11.55	11.47	26.47	0.0	24.63	29.48	2.58	66.18	8.78	0.0	1.25	0.0	0.0	29.27	27.25	20.86
CNOT6	44.57	43.02	111.99	231.32	194.36	264.03	260.38	361.04	180.02	205.5	297.17	547.75	220.32	199.85	277.2	265.87	329.84	293.07	231.32	239.52	141.02	264.03	521.76	316.37	285.03
CRY1	100.13	75.11	0.0	0.0	182.55	293.07	412.0	293.07	305.55	281.09	277.2	409.15	297.17	387.02	358.54	323.03	607.87	262.2	242.88	256.78	198.47	366.09	679.29	476.71	400.71
CXorf22	0.0	0.0	0.0	0.0	1.35	1.35	5.19	14.78	3.41	7.82	12.45	20.56	0.0	22.59	28.45	3.2	77.25	13.03	1.75	1.87	1.75	2.71	43.94	20.26	22.1
CYP4X1	15.34	18.43	0.0	0.39	166.73	376.41	400.71	353.59	77.25	236.21	170.25	400.71	157.68	723.08	1175.27	351.14	1037.29	483.38	47.5	166.73	23.25	186.4	3081.75	293.07	389.72
DCDC1	17.0	8.65	0.0	0.0	3.56	4.31	11.82	27.64	7.06	19.53	12.55	35.5	3.76	46.84	47.17	5.41	125.24	23.08	4.9	10.39	4.86	7.51	95.34	47.84	34.75
DLEC1	13.42	1.93	0.0	0.28	22.75	60.82	130.6	220.32	33.06	93.35	86.43	223.41	22.92	255.0	373.81	20.56	669.92	147.06	18.03	28.65	20.11	22.43	341.51	206.94	256.78
DNAH11	14.03	12.83	0.0	0.21	23.59	33.78	125.24	341.51	49.21	112.77	104.42	316.37	20.41	277.2	392.44	30.12	708.18	117.6	30.12	34.26	25.17	32.59	669.92	351.14	228.13
DNAH6	16.03	12.45	0.0	0.0	14.56	30.34	90.14	109.66	14.67	90.77	82.87	149.12	16.27	164.42	202.66	29.06	718.08	127.89	5.73	17.51	5.73	13.22	395.18	191.67	193.01
DNAH7	1.33	1.35	0.0	0.0	17.0	45.21	52.08	193.01	20.11	79.45	72.52	158.79	58.3	194.36	149.12	40.07	607.87	83.45	17.25	32.82	12.93	21.94	429.54	187.71	181.28
DNAH9	0.0	0.0	0.0	0.0	48.87	19.11	141.02	830.75	43.02	255.0	224.97	679.29	25.17	928.3	769.69	90.14	3349.13	295.11	17.51	46.5	14.78	31.45	1268.46	551.56	693.58
DYNLRB2	5.45	24.28	0.0	0.0	88.26	43.63	412.0	1250.98	51.35	500.46	403.5	878.17	40.93	928.3	1295.13	234.57	4671.57	698.41	44.57	72.52	19.97	59.13	1359.57	665.29	1259.69
DZIP1L	3.79	2.89	0.0	0.49	54.72	35.25	94.01	273.37	33.78	142.01	121.79	244.57	46.84	343.89	178.77	59.97	854.13	170.25	22.75	40.93	20.71	61.25	368.65	205.5	329.84
EFCAB1	10.0	3.66	0.0	0.0	31.22	23.59	371.22	1397.83	151.22	629.35	718.08	1359.57	33.3	1242.34	2148.82	154.42	4450.27	808.0	41.22	96.01	19.25	59.97	2335.28	748.61	1561.89
EFHC1	85.22	47.5	0.0	0.22	172.65	165.57	314.17	612.11	153.34	420.68	283.05	547.75	204.07	656.11	698.41	232.94	2148.82	412.0	111.21	166.73	93.35	120.94	934.76	503.95	642.59
EML4	293.07	423.61	0.0	0.06	529.06	376.41	521.76	674.59	343.89	457.25	466.88	902.89	518.15	1457.23	409.15	511.0	2133.97	514.56	476.71	417.77	432.53	660.68	1819.35	1081.39	813.63
ENO4	17.0	28.86	0.0	0.22	7.57	18.16	21.01	56.68	14.24	55.89	23.42	49.21	45.21	108.14	99.43	22.59	244.57	31.0	17.13	13.22	9.85	12.55	56.68	53.95	59.13
ESRRG	0.0	0.0	0.0	0.0	3.41	3.38	12.83	18.56	4.06	14.89	12.83	34.51	3.89	23.25	15.34	11.91	149.12	34.26	2.86	10.71	1.58	5.23	77.79	20.41	26.67
EVL	830.75	1037.29	0.0	0.48	1991.0	1051.79	1977.24	3901.01	2609.3	1369.04	1378.57	1870.53	1769.57	4836.35	1733.13	1208.34	3325.99	2032.85	2682.69	2004.85	915.51	1721.16	4328.55	2520.38	3018.3
FAM227A	1.97	0.68	0.0	0.18	5.63	4.7	18.29	46.5	14.03	30.34	27.25	46.5	5.45	45.53	71.0	12.27	137.14	28.45	3.06	8.99	14.56	13.12	100.13	59.55	51.71
FAM229B	166.73	112.77	0.0	0.28	395.18	202.66	353.59	802.41	316.37	723.08	698.41	555.41	500.46	780.44	1477.58	260.38	5672.41	723.08	269.6	497.0	258.57	325.29	1119.56	1030.12	941.27
FANK1	1.17	1.19	0.0	0.0	79.45	65.26	193.01	473.41	111.21	289.02	209.84	387.02	70.51	543.96	612.11	98.73	1369.04	341.51	45.85	148.09	55.1	73.54	988.12	356.05	571.05
