	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.H4.A2HO.01A.11R.A180.07	GTEX.R45C.1226.SM.48FEE	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8428.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KO.8415.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.13RTJ.2226.SM.5S2Q1	GTEX.Y5V6.2026.SM.5IFHO	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CW.5584.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.G7.A4TM.01A.11R.A31O.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.Y8.A894.01A.11R.A36F.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.B9.A8YH.01A.11R.A37K.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.DZ.6132.11A.01R.1965.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.BJ.A191.01A.11R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1497J.0126.SM.5Q5BK	GTEX.11EI6.0726.SM.59866	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.145MH.0426.SM.5LU8T	GTEX.1399U.0326.SM.5P9G5	GTEX.Y3IK.0526.SM.4WWE3	GTEX.11TTK.0826.SM.5N9EG	GTEX.ZGAY.1026.SM.4WWBR	GTEX.XMK1.0626.SM.4B65A	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.X8HC.0726.SM.46MWG	GTEX.1211K.0726.SM.5FQUW
ARFGAP1	3901.01	947.83	1467.37	759.08	665.29	420.68	567.1	713.11	493.56	283.05	497.0	669.92	547.75	463.65	656.11	988.12	171.45	660.68	460.44	429.54	830.75	819.3	486.75	547.75	567.1	368.65	486.75	575.03	476.71	497.0	486.75	525.39	473.41	460.44	486.75	511.0	547.75	384.34	547.75	476.71	665.29	473.41	571.05	363.56	583.07	1208.34	2417.67	1242.34	1135.2	1322.37	1709.26	967.76	1104.13	642.59	785.88	547.75	583.07	651.58	669.92	629.35	1051.79	543.96	642.59	872.1	665.29	674.59	555.41	1745.2	1819.35	1794.29	1104.13	1519.15	1096.5	1225.22	1651.0	1066.48	995.0	1340.84	1008.9	825.0	1583.71	1277.29	1498.22	1242.34	1277.29	1119.56	1963.57	1183.45	2178.83	1044.52
ARFRP1	1605.83	813.63	1208.34	884.29	842.36	587.13	848.22	791.35	713.11	514.56	693.58	995.0	819.3	579.04	543.96	651.58	299.25	679.29	563.18	624.99	718.08	603.67	563.18	660.68	595.34	507.46	674.59	679.29	547.75	603.67	587.13	441.64	780.44	575.03	660.68	656.11	665.29	607.87	728.11	536.45	718.08	718.08	718.08	497.0	684.02	1216.75	1340.84	1457.23	1015.93	1159.07	1359.57	1088.92	1378.57	780.44	780.44	583.07	830.75	780.44	860.08	802.41	1008.9	638.15	583.07	802.41	607.87	836.53	669.92	1268.46	1397.83	1023.0	802.41	878.17	884.29	723.08	878.17	947.83	1159.07	842.36	802.41	921.88	775.05	1111.82	909.17	947.83	921.88	896.64	571.05	665.29	928.3	796.86
ATAD3B	1331.57	220.32	872.1	115.97	152.28	73.03	115.97	92.7	85.22	16.88	46.18	91.41	67.12	36.53	148.09	114.36	13.12	54.72	57.08	44.89	121.79	148.09	32.36	61.25	67.59	40.36	58.71	41.52	54.72	24.28	68.55	55.49	63.89	33.54	56.68	96.68	92.7	100.13	48.18	27.84	70.51	64.34	63.89	29.27	73.03	368.65	728.11	438.59	336.79	193.01	244.57	150.17	381.68	119.26	115.97	59.13	46.18	68.55	99.43	70.51	242.88	29.48	71.5	161.02	36.27	63.89	44.57	463.65	438.59	497.0	242.88	376.41	269.6	293.07	503.95	358.54	234.57	412.0	265.87	190.34	341.51	373.81	303.44	323.03	414.87	271.48	297.17	262.2	551.56	214.27
ATN1	1685.71	1037.29	3614.55	1651.0	1583.71	665.29	1268.46	1508.65	928.3	748.61	1073.91	1295.13	1923.14	775.05	1359.57	1037.29	248.0	728.11	1096.5	1216.75	1447.15	1477.58	1199.98	1199.98	947.83	1199.98	1208.34	1159.07	1208.34	780.44	860.08	1073.91	1407.55	1030.12	1498.22	1388.16	1225.22	1073.91	1477.58	718.08	1397.83	1199.98	1242.34	665.29	1295.13	2573.36	2178.83	3060.45	2609.3	1819.35	2148.82	1175.27	1819.35	1508.65	1662.49	995.0	1572.76	1551.09	1583.71	1477.58	2090.03	1127.35	1322.37	1594.73	1639.59	1551.09	1216.75	2434.5	4903.87	4010.71	3690.52	3280.18	2682.69	2875.3	2701.35	3742.05	3280.18	2664.15	2720.15	2468.49	3325.99	3589.58	3124.78	2682.69	2997.45	2758.13	3146.52	2682.69	3614.55	2935.74
C17orf70	567.1	460.44	595.34	314.17	323.03	166.73	293.07	299.25	209.84	189.02	186.4	246.28	246.28	152.28	414.87	279.14	40.64	215.77	246.28	166.73	260.38	303.44	181.28	265.87	195.72	131.51	204.07	223.41	191.67	218.79	221.86	237.86	249.73	212.78	191.67	242.88	246.28	224.97	242.88	194.36	351.14	228.13	206.94	165.57	211.31	1127.35	1001.93	1135.2	620.67	759.08	743.43	738.29	819.3	293.07	409.15	229.72	265.87	289.02	318.57	332.14	547.75	226.54	267.73	358.54	336.79	279.14	241.19	698.41	808.0	591.22	444.72	450.94	450.94	363.56	521.76	447.82	450.94	651.58	503.95	463.65	432.53	521.76	543.96	536.45	583.07	406.31	356.05	336.79	642.59	334.46
CAMTA2	961.07	555.41	2090.03	802.41	791.35	363.56	595.34	802.41	483.38	532.74	500.46	780.44	902.89	441.64	595.34	764.36	74.58	497.0	612.11	642.59	693.58	878.17	543.96	633.73	607.87	616.37	620.67	563.18	603.67	417.77	540.19	665.29	753.83	624.99	738.29	780.44	567.1	638.15	713.11	389.72	748.61	587.13	620.67	371.22	656.11	1508.65	1733.13	1388.16	748.61	819.3	1233.75	1167.14	1259.69	860.08	890.44	620.67	921.88	842.36	1015.93	825.0	1159.07	708.18	688.78	974.5	836.53	928.3	660.68	1242.34	1340.84	1096.5	854.13	1001.93	915.51	954.43	941.27	1088.92	1127.35	825.0	1208.34	967.76	1001.93	878.17	1233.75	813.63	785.88	1001.93	1127.35	878.17	1183.45	974.5
CC2D1A	921.88	796.86	1350.18	514.56	521.76	267.73	521.76	447.82	339.14	208.38	301.33	403.5	551.56	271.48	514.56	679.29	220.32	327.56	289.02	287.01	381.68	363.56	285.03	327.56	283.05	246.28	356.05	371.22	327.56	316.37	244.57	320.8	368.65	305.55	332.14	366.09	356.05	346.29	371.22	183.82	486.75	366.09	341.51	193.01	392.44	934.76	981.29	860.08	703.28	921.88	764.36	733.19	791.35	460.44	536.45	307.69	529.06	466.88	555.41	441.64	718.08	318.57	376.41	514.56	423.61	466.88	351.14	1651.0	1051.79	928.3	540.19	981.29	651.58	748.61	665.29	684.02	638.15	693.58	738.29	599.49	595.34	769.69	1111.82	607.87	575.03	642.59	785.88	579.04	1088.92	587.13
CNTROB	583.07	409.15	1295.13	353.59	409.15	212.78	361.04	376.41	239.52	199.85	295.11	251.48	583.07	177.53	497.0	521.76	44.89	392.44	287.01	314.17	483.38	432.53	332.14	376.41	303.44	356.05	329.84	301.33	329.84	318.57	267.73	312.0	327.56	363.56	348.71	332.14	329.84	291.04	403.5	221.86	429.54	356.05	403.5	299.25	409.15	928.3	1313.23	947.83	642.59	698.41	954.43	854.13	1008.9	318.57	409.15	341.51	384.34	295.11	447.82	343.89	571.05	295.11	358.54	417.77	305.55	381.68	327.56	785.88	1081.39	928.3	563.18	808.0	684.02	836.53	830.75	525.39	559.28	679.29	884.29	547.75	656.11	698.41	848.22	555.41	775.05	587.13	674.59	607.87	909.17	567.1
CTD-3203P2.2	17.25	8.65	28.24	20.11	7.28	14.03	9.06	6.36	6.67	6.26	0.96	8.78	21.01	9.06	12.45	17.25	0.0	9.63	12.64	9.06	9.2	21.16	10.71	5.06	23.08	1.83	6.78	1.51	9.85	13.52	9.34	11.73	5.45	5.77	7.82	3.17	6.73	24.81	6.73	25.54	6.78	4.58	10.08	9.06	9.63	69.52	59.55	48.18	38.95	27.25	65.26	48.18	53.57	9.7	3.44	36.79	12.0	1.58	8.45	10.79	38.67	14.03	3.89	11.82	10.55	13.03	4.9	164.42	75.11	19.82	38.67	28.65	28.86	62.56	22.59	29.91	96.01	61.68	36.79	52.82	34.51	61.25	111.99	65.26	21.01	48.87	24.63	31.9	20.41	29.48
DHX34	629.35	224.97	514.56	165.57	165.57	89.51	155.5	132.44	101.54	106.63	96.68	148.09	152.28	98.73	124.37	145.02	10.71	120.1	104.42	98.73	161.02	120.94	91.41	127.89	84.63	82.29	102.97	102.97	114.36	51.71	93.35	93.35	110.43	94.01	107.38	134.3	123.5	112.77	123.5	54.72	137.14	108.14	112.77	62.12	111.99	312.0	327.56	253.23	256.78	314.17	258.57	231.32	318.57	190.34	164.42	91.41	139.07	141.02	150.17	136.19	223.41	82.29	112.77	172.65	143.01	154.42	96.01	400.71	633.73	381.68	265.87	287.01	312.0	265.87	376.41	285.03	325.29	334.46	389.72	409.15	251.48	361.04	409.15	265.87	293.07	249.73	211.31	251.48	381.68	295.11
