	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.KK.A8IF.01A.11R.A36G.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
ABCC9	159.9	8.0	175.07	4.54	151.22	39.5	124.37	49.91	3.35	74.58	14.03	54.72	23.08	31.0	58.71	46.5	147.06	21.32	18.43	93.35	32.59	78.89	29.06	55.49	19.68	40.93	1.53	17.38	23.59	13.83	13.03	80.01	40.36	74.06	88.88	27.25	71.0	6.46	63.45	34.02	37.85	30.12	19.53	147.06	23.76	187.71	37.85	10.08	26.67	102.97	13.32	91.41	32.13	41.22	43.94	16.51	51.71	18.84	14.45	113.56	111.21	116.78	133.36	65.72	218.79	111.21	97.36	212.78	55.49	116.78	209.84
ADAMTS5	41.52	1.83	37.32	0.61	40.93	31.67	21.78	47.5	0.95	18.16	1.31	18.16	5.11	7.17	32.13	10.47	18.84	4.94	9.34	23.42	9.85	23.08	18.56	13.83	13.62	17.51	4.31	4.94	10.24	5.32	2.14	49.91	15.45	19.53	18.84	6.52	27.64	2.46	13.22	16.27	6.78	14.03	5.68	39.22	8.71	82.87	7.75	3.17	8.85	21.16	1.89	28.04	12.09	10.39	16.51	4.06	10.71	4.21	5.06	29.7	51.71	22.59	72.52	34.75	70.51	34.75	34.26	97.36	36.79	44.25	94.01
ADAR	2417.67	1073.91	2367.9	1175.27	2255.7	1662.49	2555.58	1605.83	947.83	2319.15	583.07	1225.22	961.07	2240.11	1167.14	1467.37	1909.85	808.0	1540.37	1225.22	1233.75	1745.2	934.76	1721.16	1378.57	1709.26	785.88	1001.93	825.0	1175.27	836.53	1487.87	1081.39	1407.55	1721.16	1733.13	1709.26	1175.27	1721.16	1331.57	1369.04	1199.98	1322.37	1963.57	1111.82	1896.65	1883.54	915.51	1457.23	1819.35	1519.15	1721.16	1191.69	1709.26	1001.93	1277.29	1225.22	1127.35	1175.27	1883.54	1977.24	1467.37	1437.15	1540.37	1794.29	1781.89	1977.24	2047.0	1359.57	1651.0	2032.85
AP1S2	403.5	120.94	450.94	114.36	674.59	169.07	397.93	258.57	121.79	253.23	123.5	176.29	146.03	142.01	293.07	171.45	426.57	147.06	215.77	144.01	241.19	348.71	141.02	293.07	463.65	432.53	77.79	178.77	275.28	156.59	88.88	314.17	163.28	185.11	295.11	318.57	197.09	135.24	199.85	108.9	158.79	128.79	186.4	285.03	132.44	309.83	167.9	84.04	178.77	417.77	129.69	336.79	194.36	180.02	218.79	206.94	228.13	195.72	167.9	295.11	172.65	320.8	447.82	147.06	536.45	249.73	193.01	381.68	281.09	339.14	466.88
AP3M1	819.3	444.72	928.3	536.45	934.76	669.92	934.76	759.08	314.17	718.08	450.94	612.11	511.0	836.53	555.41	660.68	842.36	497.0	713.11	665.29	616.37	1008.9	457.25	902.89	571.05	775.05	435.55	470.14	358.54	547.75	341.51	665.29	414.87	633.73	665.29	713.11	830.75	543.96	708.18	500.46	583.07	571.05	647.07	896.64	497.0	718.08	656.11	525.39	669.92	860.08	591.22	775.05	395.18	651.58	540.19	486.75	551.56	518.15	518.15	748.61	718.08	743.43	728.11	698.41	669.92	791.35	638.15	830.75	660.68	738.29	785.88
API5	1286.18	305.55	1477.58	796.86	1628.26	896.64	1388.16	928.3	591.22	1088.92	293.07	780.44	674.59	860.08	842.36	1001.93	1304.15	603.67	848.22	961.07	909.17	1233.75	791.35	1199.98	928.3	872.1	642.59	603.67	642.59	769.69	629.35	1119.56	748.61	981.29	947.83	1104.13	1175.27	420.68	1111.82	571.05	733.19	769.69	389.72	1477.58	842.36	1104.13	961.07	480.04	988.12	1407.55	808.0	1096.5	669.92	854.13	780.44	447.82	872.1	842.36	854.13	1350.18	1191.69	1159.07	1447.15	1037.29	1331.57	1216.75	1037.29	1331.57	1044.52	1268.46	1427.22
ARHGAP31	101.54	16.75	89.51	11.55	126.12	41.52	97.36	35.5	8.0	44.89	28.86	46.84	31.0	38.67	62.12	47.17	77.79	40.64	31.45	38.67	30.34	94.67	19.11	33.3	31.22	51.71	16.39	19.97	36.01	18.16	18.56	75.11	26.28	40.93	93.35	51.35	81.14	14.35	48.18	26.1	30.12	43.02	26.86	52.45	33.54	110.43	39.79	15.22	22.43	87.03	17.9	65.26	28.65	42.71	34.75	32.13	54.33	35.25	17.38	72.01	44.89	76.71	75.64	49.91	125.24	68.55	73.54	127.89	61.25	88.26	108.14
ARL2BP	698.41	435.55	759.08	389.72	934.76	728.11	753.83	607.87	503.95	769.69	540.19	511.0	363.56	620.67	642.59	647.07	848.22	351.14	775.05	624.99	525.39	688.78	624.99	708.18	698.41	536.45	656.11	500.46	679.29	373.81	379.04	674.59	728.11	759.08	703.28	693.58	688.78	255.0	808.0	417.77	679.29	555.41	301.33	941.27	669.92	830.75	651.58	514.56	620.67	698.41	669.92	638.15	764.36	612.11	595.34	563.18	713.11	567.1	775.05	902.89	825.0	961.07	1242.34	785.88	1015.93	733.19	738.29	1127.35	836.53	1015.93	1167.14
ARPP19	1286.18	441.64	1388.16	616.37	1487.87	674.59	1159.07	769.69	486.75	759.08	780.44	651.58	432.53	693.58	813.63	819.3	1304.15	633.73	708.18	733.19	620.67	1225.22	583.07	1066.48	698.41	698.41	603.67	417.77	633.73	638.15	332.14	733.19	559.28	753.83	808.0	902.89	921.88	733.19	902.89	559.28	536.45	563.18	595.34	1216.75	532.74	1044.52	674.59	473.41	688.78	1259.69	497.0	981.29	571.05	728.11	540.19	595.34	708.18	483.38	480.04	1127.35	1008.9	1191.69	1551.09	848.22	1268.46	1111.82	872.1	1250.98	890.44	1208.34	1304.15
ASAP1	301.33	49.21	336.79	56.28	361.04	149.12	236.21	176.29	74.06	169.07	152.28	143.01	81.14	108.9	244.57	180.02	297.17	135.24	138.1	185.11	105.15	224.97	87.03	169.07	116.78	262.2	63.89	77.79	104.42	94.67	122.64	150.17	138.1	135.24	211.31	133.36	214.27	142.01	166.73	116.78	144.01	139.07	108.14	241.19	88.88	323.03	128.79	81.14	128.79	287.01	115.97	226.54	108.14	187.71	142.01	111.99	202.66	92.05	81.71	197.09	314.17	249.73	287.01	215.77	395.18	242.88	239.52	460.44	260.38	255.0	379.04
