	GTEX.T5JW.0726.SM.4DM6D	GTEX.ZLV1.0526.SM.4WWD4	GTEX.13FLV.1126.SM.5J2NO	GTEX.XQ8I.1526.SM.4BOOH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZT9W.2126.SM.51MSF	GTEX.13CF2.2426.SM.5LZYL
ABCB6	603.67	718.08	224.97	981.29	0.0	0.92	967.76	1359.57	2319.15	1733.13
AIMP2	674.59	423.61	204.07	476.71	0.0	0.0	1605.83	981.29	1015.93	2645.74
ANAPC10	551.56	228.13	153.34	183.82	0.0	0.29	579.04	255.0	361.04	429.54
ATP5J2	20593.91	12244.81	9808.75	13776.25	0.0	1.06	40621.74	28328.16	22535.88	38430.46
ATP5L	12160.22	4181.07	4358.66	5633.22	0.0	0.99	28923.41	13492.72	15180.22	28723.62
AVEN	567.1	202.66	273.37	206.94	0.0	0.37	616.37	389.72	532.74	429.54
BEND6	14.67	2.12	14.03	3.89	0.0	0.22	99.43	17.0	13.52	31.67
C11orf73	483.38	638.15	400.71	723.08	0.0	0.39	1721.16	1111.82	1081.39	1183.45
C16orf91	435.55	312.0	264.03	295.11	0.0	0.08	813.63	521.76	723.08	642.59
C17orf89	1896.65	780.44	500.46	896.64	0.0	0.54	2682.69	1059.11	941.27	2895.31
C20orf196	182.55	98.04	50.98	98.73	0.0	0.16	353.59	123.5	134.3	258.57
C6orf106	525.39	1044.52	1037.29	928.3	0.0	0.65	1259.69	1104.13	1561.89	1832.01
CCDC47	1286.18	921.88	1066.48	808.0	1088.92	237.86	1617.0	1477.58	1519.15	1313.23
CCDC53	450.94	507.46	567.1	769.69	0.0	0.01	1674.06	1001.93	1233.75	1167.14
CCM2	647.07	406.31	417.77	525.39	0.0	0.95	915.51	567.1	1183.45	1159.07
CD99	3103.19	1757.34	2485.67	2720.15	1794.29	320.8	5255.91	5633.22	6121.9	6207.38
CEBPG	514.56	583.07	595.34	381.68	0.0	0.62	830.75	954.43	884.29	723.08
