	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A27L.01A.11R.A16F.07	TCGA.A8.A08P.01A.11R.A00Z.07	TCGA.A2.A0YF.01A.21R.A109.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.E2.A1IG.01A.11R.A144.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.E2.A15F.01A.11R.A115.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.A8.A091.01A.11R.A00Z.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.A7.A0D9.01A.31R.A056.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.A8.A09K.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.D8.A140.01A.11R.A115.07	TCGA.EW.A1PA.01A.11R.A144.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A1JH.01A.11R.A13Q.07	TCGA.AR.A2LL.01A.11R.A180.07	TCGA.AQ.A04H.01B.11R.A10J.07	TCGA.D8.A27T.01A.11R.A16F.07	TCGA.BH.A0C3.01A.21R.A12P.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.A7.A0CJ.01A.21R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.BH.A0AU.01A.11R.A12P.07	TCGA.AR.A24S.01A.11R.A169.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.D8.A1X9.01A.12R.A157.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.AN.A0FY.01A.11R.A034.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP
ACAN	9.13	63.45	35.25	48.18	20.86	54.72	85.82	42.71	10.96	19.97	18.43	16.03	37.05	27.05	6.21	36.01	40.07	17.38	5.77	54.72	14.89	20.41	56.28	80.57	14.14	221.86	24.46	19.53	43.32	53.95	11.64	10.88	38.67	16.75	28.86	144.01	65.72	45.21	3.89	3.44	4.9	5.28	0.0	0.0	2.73	0.0	0.0	0.0	1.93	0.0	0.0	0.0	7.63	0.0	0.0	2.12	0.0	8.65	28.45	0.0	0.0	0.0	0.23	0.19	13.32	0.27	26.1	0.22	0.0	0.0	30.56	5.32	0.0	5.63	0.25	1.5	0.0	22.26	0.0	0.0	23.59	0.0	5.15	0.35	23.08	0.0	0.0	6.31	0.25	0.0	9.06	0.21	0.0	7.75	5.68	0.0	0.26	0.21	7.4	10.47	5.19	1.97	49.91
ADARB1	101.54	334.46	246.28	153.34	161.02	116.78	281.09	90.14	175.07	248.0	255.0	289.02	224.97	134.3	199.85	186.4	205.5	194.36	102.25	176.29	189.02	182.55	158.79	301.33	111.21	118.43	231.32	293.07	303.44	435.55	289.02	119.26	221.86	121.79	186.4	234.57	127.0	180.02	100.13	101.54	120.1	70.01	99.43	80.01	98.04	69.03	66.18	82.29	88.26	86.43	75.64	75.64	86.43	75.64	105.15	73.03	120.94	82.29	120.1	249.73	71.0	87.65	71.0	77.79	66.18	52.08	95.34	120.94	64.34	45.21	85.82	62.12	92.7	114.36	86.43	53.57	111.99	99.43	61.25	89.51	92.05	105.89	68.55	50.98	97.36	61.68	49.56	75.64	61.25	76.71	100.13	115.16	85.22	85.22	53.19	77.25	40.36	96.68	80.01	139.07	120.94	454.09	387.02
ADNP	1023.0	1286.18	1175.27	1286.18	848.22	909.17	934.76	1605.83	2384.37	2335.28	1909.85	1870.53	1605.83	1498.22	1950.0	2090.03	1745.2	3060.45	1529.73	1508.65	1081.39	2701.35	733.19	1277.29	1073.91	1923.14	1096.5	961.07	1529.73	2319.15	764.36	1977.24	1583.71	2104.58	1407.55	1277.29	1059.11	2434.5	228.13	314.17	262.2	212.78	307.69	318.57	351.14	197.09	163.28	202.66	273.37	239.52	197.09	277.2	258.57	265.87	307.69	175.07	346.29	220.32	316.37	361.04	221.86	186.4	157.68	397.93	251.48	447.82	185.11	348.71	107.38	417.77	363.56	166.73	191.67	339.14	132.44	198.47	269.6	384.34	202.66	206.94	281.09	231.32	197.09	223.41	256.78	143.01	232.94	417.77	162.14	265.87	287.01	389.72	212.78	229.72	204.07	116.78	152.28	244.57	215.77	244.57	279.14	656.11	529.06
AFAP1	381.68	466.88	198.47	172.65	279.14	353.59	529.06	190.34	251.48	186.4	297.17	323.03	262.2	129.69	156.59	334.46	212.78	363.56	124.37	397.93	154.42	205.5	224.97	400.71	204.07	295.11	251.48	265.87	275.28	156.59	289.02	248.0	423.61	177.53	237.86	163.28	164.42	307.69	20.41	45.21	31.22	11.64	19.82	20.71	29.91	6.73	13.22	9.13	24.99	12.27	11.55	15.34	20.41	21.94	28.65	13.52	25.91	21.01	156.59	88.26	22.43	24.28	34.51	10.96	9.85	32.13	16.63	21.16	21.16	13.22	37.32	3.29	8.99	21.01	15.68	10.24	12.74	18.7	15.8	9.06	23.08	33.54	13.22	18.56	5.87	24.11	19.82	94.67	7.28	8.38	29.48	15.34	37.59	17.77	6.41	6.26	34.02	27.25	32.13	19.39	14.03	96.68	101.54
AFF3	2240.11	1216.75	185.11	1437.15	1936.53	1030.12	796.86	381.68	3395.89	759.08	5041.77	1088.92	2271.4	60.82	6079.61	3039.3	2384.37	2319.15	981.29	3443.31	1191.69	974.5	1151.06	1127.35	1233.75	5791.62	629.35	1963.57	1268.46	624.99	1437.15	2451.44	1015.93	5219.6	2434.5	616.37	295.11	470.14	22.75	35.25	53.19	31.0	27.44	30.56	77.79	18.7	25.91	31.22	42.41	15.91	15.22	26.47	49.21	36.79	58.71	12.45	11.91	17.38	41.81	36.01	31.22	29.06	6.36	49.56	10.24	114.36	11.38	30.78	54.72	3.79	23.25	16.51	12.93	20.56	17.25	113.56	46.5	32.82	3.63	35.25	28.65	23.08	61.68	18.84	3.14	30.78	3.26	64.8	8.58	13.42	90.14	17.25	64.8	14.89	53.19	3.29	23.59	53.95	84.63	73.03	195.72	180.02	878.17
ANGPT2	199.85	162.14	108.9	195.72	56.28	103.69	167.9	82.29	40.64	115.16	158.79	67.59	157.68	129.69	17.51	231.32	143.01	85.82	59.97	147.06	72.01	90.77	120.1	251.48	35.25	111.99	260.38	194.36	241.19	265.87	45.53	72.52	90.14	336.79	147.06	162.14	267.73	142.01	24.46	38.12	17.9	8.58	12.93	15.56	60.82	1.83	5.73	8.71	40.36	17.0	25.17	10.71	14.24	13.03	10.31	6.06	10.63	37.59	127.0	18.7	18.16	6.84	11.21	8.51	8.38	50.98	19.97	16.39	37.85	5.73	41.22	33.06	4.13	46.18	17.13	7.57	22.92	11.21	40.36	27.05	13.83	7.11	9.48	28.65	4.43	24.46	14.89	197.09	11.47	7.4	25.54	22.43	137.14	8.71	23.08	4.13	85.22	43.32	32.59	14.89	12.55	10.96	21.94
ANKEF1	145.02	239.52	209.84	332.14	175.07	147.06	119.26	157.68	120.1	201.25	291.04	214.27	327.56	255.0	320.8	142.01	236.21	206.94	190.34	283.05	336.79	134.3	172.65	172.65	143.01	769.69	201.25	176.29	150.17	154.42	145.02	194.36	353.59	454.09	126.12	226.54	215.77	95.34	48.52	47.17	36.79	34.26	74.06	63.89	57.49	28.65	27.25	35.76	46.18	28.86	27.25	44.89	45.85	75.64	60.82	39.22	66.18	50.27	50.63	128.79	92.7	50.27	76.17	63.0	48.87	105.15	163.28	60.82	52.82	181.28	66.18	40.64	35.76	112.77	48.52	33.06	53.19	100.13	79.45	55.49	85.82	68.55	85.22	101.54	67.59	48.87	170.25	50.98	29.27	35.25	39.79	27.84	92.7	120.94	42.11	36.27	60.39	59.97	70.51	29.06	71.5	55.49	82.87
ANKIB1	559.28	555.41	392.44	417.77	255.0	356.05	547.75	540.19	607.87	660.68	665.29	490.14	791.35	409.15	638.15	1073.91	466.88	866.07	426.57	591.22	395.18	395.18	275.28	612.11	497.0	728.11	447.82	463.65	395.18	483.38	483.38	854.13	830.75	775.05	854.13	397.93	334.46	327.56	113.56	153.34	130.6	93.35	138.1	141.02	153.34	63.45	57.89	97.36	92.05	73.54	84.63	123.5	105.89	170.25	153.34	82.87	146.03	102.97	191.67	142.01	127.89	80.57	83.45	149.12	128.79	281.09	98.73	223.41	112.77	173.85	186.4	100.13	53.57	182.55	109.66	92.05	71.0	242.88	70.01	60.39	138.1	144.01	135.24	171.45	115.97	126.12	95.34	185.11	61.25	151.22	157.68	99.43	177.53	90.14	84.63	42.41	101.54	106.63	87.03	153.34	134.3	152.28	177.53
ANKRD50	301.33	1088.92	253.23	209.84	293.07	384.34	769.69	175.07	275.28	279.14	529.06	896.64	688.78	234.57	384.34	490.14	780.44	429.54	212.78	258.57	277.2	435.55	190.34	476.71	234.57	536.45	473.41	246.28	368.65	231.32	295.11	303.44	387.02	412.0	320.8	111.99	173.85	195.72	42.11	83.45	63.89	41.22	64.8	74.58	77.79	24.81	22.59	32.36	67.59	23.25	28.24	53.57	48.87	62.56	62.56	23.42	54.72	43.94	124.37	43.94	39.79	40.93	39.79	58.3	35.25	154.42	68.55	67.59	45.53	91.41	90.77	30.34	37.32	115.97	19.82	35.76	31.22	59.55	40.64	57.89	44.89	90.77	59.13	80.57	51.35	25.72	37.05	85.22	23.08	65.26	46.18	65.26	84.04	40.36	21.78	32.59	49.21	61.68	71.0	48.52	83.45	162.14	92.05
ASH1L	536.45	480.04	275.28	490.14	220.32	229.72	346.29	307.69	438.59	599.49	559.28	256.78	366.09	796.86	660.68	503.95	1159.07	376.41	269.6	718.08	397.93	277.2	180.02	483.38	540.19	400.71	503.95	559.28	351.14	215.77	258.57	559.28	417.77	660.68	463.65	1183.45	248.0	325.29	83.45	132.44	95.34	66.65	94.67	108.9	155.5	55.49	24.11	74.06	84.63	60.82	74.58	94.67	84.04	111.21	140.04	60.82	91.41	57.89	153.34	106.63	115.97	52.08	86.43	153.34	70.01	149.12	102.25	113.56	78.34	170.25	173.85	76.71	46.5	134.3	95.34	36.53	71.0	194.36	99.43	65.26	150.17	106.63	97.36	104.42	70.51	93.35	101.54	98.73	35.5	119.26	150.17	162.14	149.12	99.43	73.03	35.25	50.27	50.63	94.67	182.55	119.26	191.67	212.78
