	TCGA.FD.A62P.01A.32R.A30C.07	TCGA.ZF.AA4V.01A.11R.A38B.07	TCGA.UY.A78L.01A.12R.A33J.07	TCGA.ZF.AA53.01A.11R.A39I.07	TCGA.C4.A0F1.01A.11R.A034.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.BH.A0B3.01A.11R.A056.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.BI.A0VS.01A.11R.A10U.07	TCGA.MA.AA3X.01A.22R.A42S.07	TCGA.C5.A1BK.01B.11R.A13Y.07	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.LN.A4A3.01A.11R.A260.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.VR.A8EW.01A.11R.A36D.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZVE2.1326.SM.5NQ94	GTEX.ZZPT.1426.SM.5N9C5	GTEX.ZAB4.1126.SM.5HL86	GTEX.11DZ1.2026.SM.5A5KG	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.HD.A633.01A.11R.A28V.07	TCGA.CV.A6JO.01B.11R.A34R.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.33.4589.01A.01R.1443.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
AF131215.5	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.55	0.0	0.48	0.47	3.03	0.0	2.39	1.51	1.48	1.66	0.0	0.0	0.37	0.0	0.16	0.73	1.97	5.23	2.43	0.27	2.66	0.15	0.95	1.69	0.1	0.43	2.66	0.0	4.5	1.04	2.43	4.9	0.0	2.68	1.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.24	0.0
AGAP5	48.52	59.97	41.52	38.12	17.77	185.11	56.28	21.63	64.8	33.78	42.41	66.65	182.55	83.45	132.44	122.64	81.14	57.08	53.19	67.12	46.18	36.53	77.25	91.41	100.13	146.03	74.58	64.8	105.15	220.32	76.71	66.18	72.01	61.68	146.03	84.04	221.86	80.57	69.03	262.2	236.21	206.94	228.13	6.41	8.58	4.94	11.04	24.11	36.27	25.35	18.29	0.0	5.54	12.83	15.0	18.29	6.84
AGAP6	98.04	136.19	108.9	91.41	29.48	759.08	152.28	102.97	49.21	115.16	186.4	180.02	591.22	285.03	426.57	409.15	239.52	303.44	176.29	358.54	246.28	187.71	320.8	536.45	236.21	503.95	221.86	420.68	314.17	802.41	239.52	251.48	346.29	172.65	275.28	303.44	759.08	327.56	215.77	540.19	802.41	366.09	559.28	11.3	21.01	21.94	25.54	119.26	125.24	98.73	18.7	10.16	7.46	20.11	31.67	31.67	27.84
AGAP8	48.87	64.8	108.14	76.71	18.56	281.09	37.59	69.52	37.32	25.91	68.55	89.51	170.25	74.06	204.07	293.07	87.65	92.7	26.67	115.16	100.13	74.58	81.14	107.38	98.73	198.47	56.28	91.41	76.71	295.11	87.65	101.54	108.9	48.18	206.94	70.01	244.57	45.85	110.43	258.57	305.55	87.65	136.19	13.72	21.78	16.27	13.72	48.52	73.54	3.32	18.56	6.57	2.97	14.45	12.64	22.75	3.2
AHSA2	358.54	543.96	384.34	329.84	239.52	2163.77	194.36	289.02	262.2	665.29	246.28	728.11	2090.03	1529.73	1651.0	1551.09	808.0	1896.65	403.5	842.36	791.35	679.29	1015.93	1427.22	1233.75	2520.38	1551.09	2148.82	2739.08	2997.45	1008.9	825.0	1051.79	1127.35	1295.13	1233.75	2875.3	688.78	629.35	2739.08	2935.74	2351.53	2255.7	48.52	17.38	43.02	73.03	536.45	441.64	144.01	60.82	32.59	4.94	83.45	50.27	35.76	27.84
AL132989.1	0.0	2.2	1.58	0.0	3.44	5.5	0.0	1.79	1.48	5.28	2.71	3.76	19.11	6.52	15.34	10.0	7.17	3.63	2.97	8.51	1.51	11.55	0.55	4.62	8.51	19.39	20.41	6.57	11.3	109.66	6.89	7.82	6.62	6.73	12.83	4.24	11.04	1.66	2.12	19.68	6.52	10.24	14.45	0.0	0.0	1.64	1.97	2.01	0.99	2.56	0.0	2.43	0.93	0.61	0.48	0.0	0.0
AL136115.1	0.0	2.81	3.79	0.0	1.93	8.13	5.5	4.43	3.44	1.6	4.24	1.2	18.03	10.88	10.88	7.63	4.28	11.04	1.53	9.7	3.29	2.81	8.65	8.99	11.73	35.25	15.8	1.17	14.56	33.06	2.76	11.73	4.21	1.17	11.3	5.63	13.52	4.03	8.85	34.51	20.41	22.1	24.63	1.69	0.0	0.8	2.16	0.67	1.53	0.78	0.0	0.0	0.0	0.6	0.0	0.58	0.02
ANKRD10	595.34	733.19	967.76	1037.29	450.94	2664.15	543.96	884.29	239.52	713.11	638.15	1277.29	1697.45	1119.56	981.29	2271.4	1030.12	1023.0	575.03	796.86	387.02	738.29	780.44	1225.22	1388.16	1617.0	1572.76	1225.22	1175.27	2777.33	507.46	890.44	1508.65	753.83	1467.37	603.67	2119.22	723.08	532.74	1540.37	2209.26	1674.06	1519.15	551.56	316.37	529.06	366.09	738.29	460.44	684.02	376.41	307.69	170.25	209.84	253.23	194.36	199.85
ANKS3	273.37	139.07	246.28	173.85	97.36	540.19	289.02	205.5	183.82	201.25	291.04	309.83	514.56	341.51	403.5	206.94	334.46	414.87	217.27	348.71	307.69	249.73	287.01	205.5	323.03	647.07	287.01	438.59	567.1	1059.11	228.13	409.15	176.29	275.28	423.61	305.55	665.29	334.46	293.07	563.18	780.44	444.72	642.59	34.26	46.5	60.82	55.49	173.85	136.19	127.0	55.1	21.63	40.36	77.79	111.21	54.33	50.63
AP003068.6	5.23	9.41	13.52	12.45	4.66	41.81	10.96	9.93	5.11	16.03	12.27	16.51	41.52	34.26	37.05	23.08	30.12	37.59	12.09	22.59	34.51	25.17	29.91	27.05	35.25	60.39	26.86	40.07	49.91	70.51	30.12	31.67	25.72	19.39	53.95	32.59	52.08	20.41	22.1	53.19	69.52	53.95	50.27	3.66	2.01	1.89	3.66	8.32	8.58	5.82	2.36	3.96	0.0	2.56	2.46	2.61	0.97
ARAP3	267.73	77.79	48.87	170.25	190.34	764.36	148.09	124.37	92.05	77.25	190.34	136.19	242.88	62.12	384.34	251.48	198.47	163.28	44.89	178.77	58.71	366.09	159.9	417.77	208.38	281.09	248.0	287.01	187.71	197.09	122.64	234.57	351.14	127.89	155.5	59.13	587.13	361.04	78.34	281.09	1119.56	180.02	463.65	55.89	68.55	161.02	46.5	251.48	182.55	30.12	18.03	17.0	12.36	47.17	25.72	30.78	21.94
ARGLU1	656.11	753.83	1498.22	583.07	373.81	4903.87	392.44	808.0	866.07	1508.65	1417.35	1781.89	2895.31	2468.49	2287.2	4704.07	2502.97	1819.35	1551.09	2271.4	1331.57	1950.0	1819.35	3190.46	3060.45	3794.3	3103.19	2537.92	3280.18	4802.93	2287.2	2178.83	2384.37	1639.59	3467.27	1519.15	3589.58	2075.59	1806.78	4239.45	5872.48	4358.66	3515.68	332.14	303.44	351.14	358.54	988.12	890.44	1119.56	890.44	334.46	97.36	651.58	470.14	376.41	463.65
BRICD5	91.41	186.4	133.36	76.17	4.78	384.34	72.52	35.25	29.06	54.33	133.36	156.59	264.03	87.03	118.43	122.64	112.77	253.23	31.67	62.56	101.54	53.95	144.01	170.25	73.03	152.28	231.32	150.17	708.18	503.95	63.0	215.77	141.02	221.86	96.01	123.5	314.17	127.89	143.01	223.41	473.41	162.14	217.27	2.41	1.0	1.51	15.91	23.42	29.06	26.1	4.62	43.94	0.0	5.5	4.86	11.91	19.11
C11orf72	0.0	3.41	1.89	0.64	0.78	1.48	0.73	0.73	0.27	0.62	1.81	0.64	13.72	2.68	2.07	3.99	2.1	3.23	1.35	1.3	2.34	1.57	3.96	6.21	5.06	9.13	14.45	2.71	7.88	14.78	3.23	3.59	4.94	3.03	3.29	7.34	10.88	1.38	2.14	6.41	6.67	6.84	10.24	0.0	1.06	1.43	0.51	0.0	0.82	0.0	0.0	0.0	0.0	2.05	0.28	0.39	0.0
CCDC14	145.02	555.41	423.61	305.55	363.56	2075.59	890.44	392.44	133.36	842.36	389.72	518.15	1059.11	540.19	1369.04	1015.93	447.82	432.53	392.44	915.51	395.18	376.41	450.94	743.43	723.08	1437.15	1088.92	802.41	1175.27	2061.24	441.64	567.1	738.29	878.17	1111.82	521.76	1896.65	567.1	248.0	688.78	1242.34	669.92	633.73	135.24	68.07	163.28	253.23	353.59	271.48	137.14	111.99	127.0	30.56	98.04	50.63	82.29	49.21
CDK11A	669.92	638.15	698.41	287.01	307.69	1639.59	536.45	435.55	403.5	921.88	909.17	1191.69	2061.24	1519.15	1277.29	2104.58	902.89	1304.15	759.08	656.11	842.36	1096.5	941.27	947.83	1447.15	1259.69	1167.14	1628.26	1963.57	1651.0	698.41	921.88	703.28	866.07	1674.06	1135.2	1745.2	860.08	748.61	1896.65	5255.91	1896.65	2335.28	111.21	120.94	295.11	208.38	536.45	587.13	271.48	56.68	100.83	127.0	387.02	81.71	226.54	221.86
CENPJ	175.07	95.34	199.85	73.54	59.55	126.12	76.17	115.97	48.18	119.26	146.03	211.31	373.81	134.3	316.37	420.68	152.28	251.48	171.45	209.84	102.97	211.31	161.02	108.14	351.14	409.15	463.65	232.94	466.88	255.0	144.01	167.9	228.13	279.14	397.93	199.85	450.94	112.77	78.34	178.77	305.55	178.77	244.57	23.59	16.63	27.44	30.12	84.04	67.12	68.55	23.59	18.84	47.5	82.87	35.76	25.72	39.79
CHKB-CPT1B	35.5	149.12	72.01	10.39	28.65	684.02	32.13	30.56	241.19	70.01	32.36	165.57	145.02	5.92	85.22	59.55	97.36	95.34	66.18	45.53	100.83	17.25	119.26	76.71	151.22	97.36	56.28	105.89	264.03	239.52	91.41	126.12	153.34	85.22	85.82	53.19	178.77	156.59	181.28	432.53	967.76	447.82	555.41	1.62	13.62	22.26	17.13	50.27	42.41	23.25	24.81	4.31	8.78	20.86	6.26	17.51	18.97
