	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.PX3G.2626.SM.2I3EG	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QMRM.0726.SM.2I5G8	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
ABHD2	176.29	112.77	163.28	176.29	141.02	189.02	161.02	121.79	102.97	166.73	142.01	134.3	156.59	214.27	153.34	153.34	137.14	228.13	202.66	132.44	483.38	547.75	173.85	497.0	320.8	447.82	371.22	567.1	389.72	232.94	299.25	329.84	242.88	361.04	265.87	289.02	318.57	490.14	305.55	228.13	511.0	320.8	507.46	341.51	190.34	412.0	473.41	182.55	316.37	444.72	438.59	376.41	543.96	299.25	182.55	273.37	346.29	356.05	363.56	334.46	234.57	267.73
ADAM10	511.0	473.41	420.68	473.41	518.15	379.04	547.75	511.0	450.94	400.71	444.72	406.31	463.65	688.78	447.82	521.76	540.19	616.37	591.22	435.55	941.27	1437.15	540.19	718.08	825.0	1044.52	981.29	1295.13	759.08	718.08	669.92	830.75	698.41	813.63	529.06	753.83	642.59	753.83	1104.13	753.83	954.43	890.44	819.3	764.36	521.76	967.76	884.29	587.13	603.67	866.07	915.51	890.44	941.27	1104.13	540.19	866.07	620.67	1242.34	808.0	796.86	693.58	775.05
ADNP	466.88	348.71	373.81	409.15	470.14	353.59	368.65	363.56	353.59	361.04	368.65	403.5	368.65	507.46	397.93	460.44	435.55	612.11	525.39	414.87	848.22	884.29	376.41	733.19	743.43	759.08	579.04	1073.91	651.58	583.07	693.58	733.19	633.73	713.11	698.41	830.75	638.15	743.43	848.22	555.41	974.5	612.11	1001.93	728.11	563.18	674.59	1066.48	587.13	764.36	629.35	647.07	941.27	802.41	775.05	497.0	633.73	587.13	866.07	860.08	718.08	426.57	775.05
ALG11	62.12	32.13	60.82	50.27	43.63	63.89	36.53	36.01	36.01	67.12	50.27	43.32	43.32	56.68	38.4	80.57	45.53	69.03	71.0	48.18	208.38	189.02	64.34	121.79	171.45	239.52	105.15	177.53	148.09	93.35	120.1	148.09	89.51	199.85	132.44	105.15	169.07	201.25	191.67	60.82	214.27	79.45	205.5	157.68	100.83	181.28	244.57	50.98	167.9	223.41	208.38	231.32	285.03	153.34	52.45	144.01	142.01	123.5	291.04	171.45	76.17	63.45
ANKRD17	417.77	289.02	376.41	299.25	381.68	295.11	305.55	327.56	299.25	316.37	316.37	217.27	291.04	379.04	373.81	447.82	301.33	486.75	409.15	371.22	543.96	583.07	248.0	559.28	507.46	497.0	500.46	503.95	457.25	432.53	466.88	521.76	387.02	633.73	457.25	423.61	693.58	532.74	651.58	420.68	688.78	426.57	599.49	543.96	392.44	387.02	738.29	295.11	532.74	620.67	603.67	607.87	595.34	412.0	305.55	417.77	429.54	620.67	713.11	518.15	379.04	511.0
ARL14EP	336.79	281.09	325.29	329.84	432.53	309.83	327.56	361.04	258.57	301.33	423.61	301.33	412.0	447.82	301.33	420.68	373.81	432.53	454.09	358.54	708.18	647.07	540.19	656.11	540.19	571.05	642.59	896.64	486.75	368.65	497.0	651.58	447.82	571.05	423.61	476.71	624.99	521.76	567.1	366.09	620.67	460.44	688.78	551.56	384.34	547.75	748.61	493.56	480.04	559.28	595.34	616.37	651.58	583.07	457.25	483.38	429.54	521.76	733.19	616.37	397.93	493.56
ATXN1L	217.27	108.9	212.78	201.25	206.94	154.42	178.77	124.37	100.13	161.02	157.68	108.9	141.02	183.82	143.01	159.9	164.42	244.57	231.32	167.9	309.83	368.65	164.42	318.57	325.29	438.59	305.55	318.57	389.72	260.38	314.17	226.54	297.17	332.14	244.57	309.83	318.57	395.18	406.31	264.03	395.18	279.14	358.54	348.71	177.53	381.68	400.71	176.29	242.88	379.04	426.57	450.94	429.54	323.03	197.09	303.44	255.0	346.29	384.34	414.87	185.11	251.48
BMPR1A	206.94	116.78	149.12	186.4	153.34	127.0	161.02	132.44	114.36	115.16	138.1	164.42	159.9	193.01	166.73	162.14	175.07	221.86	260.38	209.84	595.34	791.35	182.55	381.68	400.71	547.75	651.58	819.3	373.81	275.28	665.29	543.96	248.0	525.39	414.87	511.0	376.41	376.41	579.04	260.38	708.18	241.19	647.07	435.55	291.04	500.46	860.08	269.6	221.86	454.09	447.82	514.56	616.37	400.71	289.02	429.54	334.46	514.56	525.39	420.68	260.38	463.65
BRD3	291.04	229.72	223.41	283.05	258.57	183.82	241.19	234.57	183.82	217.27	237.86	193.01	223.41	275.28	269.6	197.09	255.0	334.46	295.11	260.38	395.18	414.87	295.11	379.04	363.56	438.59	299.25	441.64	327.56	327.56	450.94	368.65	325.29	500.46	285.03	368.65	371.22	376.41	500.46	305.55	579.04	293.07	435.55	348.71	275.28	371.22	450.94	264.03	260.38	511.0	397.93	612.11	325.29	348.71	249.73	329.84	343.89	476.71	450.94	307.69	423.61	356.05
C17orf51	25.17	11.13	24.81	23.42	14.45	29.27	16.51	22.59	11.91	27.84	10.96	22.75	26.28	18.29	21.78	23.76	23.08	26.67	37.32	24.81	46.5	34.51	21.16	28.45	30.78	38.95	37.32	49.56	38.12	41.52	46.84	33.78	31.0	66.18	40.93	29.91	42.11	42.41	57.08	21.32	51.35	37.32	58.3	64.34	27.05	54.72	37.05	28.04	50.27	29.48	26.28	73.54	55.49	42.41	23.76	24.11	38.12	26.86	65.26	50.63	18.29	33.3
