	GTEX.SE5C.1026.SM.4BRUG	TCGA.ZF.AA5P.01A.11R.A39I.07	TCGA.GC.A3WC.11A.11R.A22U.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.GI.A2C9.11A.22R.A21T.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.PVOW.1026.SM.2XCF9	TCGA.FY.A3TY.01A.11R.A22U.07	GTEX.13QJC.0826.SM.5RQKC
AASDHPPT	214.27	334.46	323.03	309.83	941.27	651.58	476.71	1936.53	246.28	229.72	271.48	595.34	384.34	387.02
ABHD13	108.14	111.21	127.89	52.45	332.14	226.54	237.86	423.61	59.55	44.25	70.51	387.02	140.04	172.65
AP4E1	66.18	68.07	88.88	36.27	199.85	118.43	95.34	234.57	36.53	31.45	15.56	150.17	93.35	115.16
APLF	31.9	39.5	50.98	12.18	101.54	72.52	67.59	157.68	18.7	27.05	5.63	57.89	38.12	37.85
ATAD1	295.11	395.18	559.28	376.41	1216.75	988.12	718.08	2417.67	211.31	239.52	297.17	1143.1	480.04	579.04
BNIP3L	947.83	759.08	1561.89	660.68	1819.35	2240.11	1662.49	2451.44	256.78	148.09	299.25	2255.7	1119.56	1259.69
BTBD1	647.07	521.76	629.35	361.04	1096.5	791.35	819.3	1757.34	255.0	190.34	258.57	866.07	842.36	587.13
C6orf120	209.84	232.94	239.52	236.21	616.37	476.71	339.14	713.11	204.07	152.28	187.71	379.04	231.32	341.51
CAMK4	5.59	21.78	52.82	6.36	43.94	25.17	14.45	43.02	7.34	0.77	5.23	100.83	9.27	65.26
CDC14A	30.78	39.5	80.01	13.83	273.37	490.14	170.25	285.03	29.91	9.85	8.25	521.76	100.83	167.9
CDK15	4.78	10.47	13.12	12.83	24.99	27.44	22.59	43.94	1.38	0.0	0.0	89.51	14.14	1.97
CEPT1	271.48	256.78	511.0	214.27	1378.57	825.0	743.43	1757.34	246.28	206.94	480.04	967.76	493.56	693.58
CNOT2	406.31	638.15	819.3	796.86	1651.0	1268.46	988.12	1870.53	336.79	295.11	260.38	1175.27	1008.9	1183.45
CNOT6L	96.68	114.36	206.94	97.36	825.0	603.67	341.51	529.06	72.52	55.89	59.13	587.13	189.02	417.77
CPNE8	13.83	87.65	124.37	14.78	242.88	201.25	289.02	708.18	64.34	117.6	82.29	414.87	176.29	148.09
CTTNBP2NL	105.15	271.48	260.38	50.98	435.55	358.54	341.51	490.14	35.0	11.55	15.34	738.29	275.28	255.0
DISC1	5.96	13.83	26.86	11.3	73.03	54.33	47.84	103.69	12.93	3.44	5.15	57.08	55.49	68.55
DNAJC24	97.36	105.89	151.22	39.5	281.09	271.48	204.07	206.94	55.1	51.71	22.26	309.83	153.34	229.72
DRAM2	995.0	1167.14	1561.89	1096.5	2855.44	1572.76	1674.06	3018.3	633.73	532.74	633.73	1340.84	1208.34	1388.16
EDIL3	12.09	73.54	236.21	99.43	466.88	258.57	275.28	2367.9	52.82	12.83	2.51	2976.74	269.6	36.53
FAM21A	248.0	251.48	532.74	186.4	890.44	1104.13	764.36	921.88	397.93	239.52	144.01	1008.9	571.05	647.07
FAM63B	54.72	155.5	177.53	29.91	406.31	314.17	228.13	595.34	20.41	16.27	7.34	536.45	101.54	201.25
FBXO3	529.06	629.35	674.59	251.48	1191.69	981.29	808.0	1857.6	255.0	269.6	397.93	1059.11	599.49	669.92
FBXO48	7.63	21.78	15.8	11.47	44.57	39.79	28.04	67.59	9.63	16.39	11.3	42.11	15.8	34.26
FBXW7	120.94	154.42	218.79	111.99	708.18	529.06	612.11	791.35	96.68	84.04	56.68	748.61	325.29	514.56
FIG4	237.86	167.9	291.04	118.43	450.94	371.22	318.57	819.3	108.9	51.71	81.71	612.11	273.37	303.44
FSBP	11.82	18.97	32.82	11.55	111.21	78.89	33.06	49.91	7.22	10.0	7.88	33.78	25.72	16.27
FUT11	279.14	239.52	228.13	237.86	376.41	412.0	450.94	518.15	98.04	97.36	81.14	1104.13	426.57	339.14
GALC	120.94	173.85	218.79	115.16	571.05	463.65	403.5	909.17	50.63	100.13	132.44	2956.17	346.29	599.49
GNB4	20.26	53.57	65.26	16.75	454.09	314.17	277.2	1015.93	15.68	1.55	7.4	373.81	182.55	176.29
