	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.E2.A10A.01A.21R.A115.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	GTEX.139TS.1426.SM.5IFJD	GTEX.14753.1626.SM.5NQ9L
ANAPC1	265.87	289.02	332.14	154.42	255.0	289.02	164.42	208.38	143.01	140.04	120.94	287.01	193.01	320.8	194.36	204.07	197.09	271.48	189.02	503.95	267.73	170.25	128.79	226.54	249.73	206.94	242.88	327.56	100.83	137.14	108.9	84.04	84.04	138.1	120.1	110.43	78.34	89.51	103.69	62.56	59.97
ANKRD12	361.04	277.2	318.57	136.19	490.14	339.14	165.57	271.48	283.05	255.0	141.02	403.5	111.99	229.72	318.57	129.69	182.55	312.0	148.09	285.03	384.34	176.29	193.01	329.84	195.72	98.04	171.45	417.77	234.57	94.01	59.13	68.55	49.91	49.91	105.15	39.22	26.47	92.05	88.26	99.43	55.89
AP1S3	90.14	78.34	53.19	18.97	105.89	49.21	127.0	80.57	45.53	66.18	45.85	148.09	103.69	55.1	68.55	111.99	67.12	136.19	32.13	98.04	78.34	33.06	20.11	58.71	36.27	130.6	71.0	67.59	54.33	33.78	8.58	9.93	12.45	10.0	25.35	22.43	8.06	15.45	11.82	9.7	12.83
ARIH2	1487.87	1001.93	1242.34	1088.92	1008.9	884.29	1081.39	860.08	684.02	1208.34	728.11	1331.57	1111.82	967.76	1540.37	567.1	703.28	1135.2	743.43	1277.29	1104.13	819.3	693.58	567.1	1417.35	493.56	1023.0	1259.69	713.11	624.99	432.53	297.17	476.71	642.59	500.46	521.76	366.09	525.39	387.02	361.04	403.5
ASB14	13.12	6.57	11.55	3.79	5.19	7.17	13.93	11.91	7.75	8.0	2.71	16.75	6.01	2.92	10.55	4.74	3.59	8.99	3.32	13.93	11.73	3.82	3.92	13.22	8.71	2.36	7.63	5.87	7.69	2.51	3.32	1.77	0.79	2.66	3.53	8.32	0.0	2.2	0.0	0.16	0.12
ASXL2	189.02	215.77	320.8	90.14	314.17	201.25	103.69	215.77	105.89	111.21	47.5	215.77	126.12	231.32	120.1	94.01	147.06	339.14	107.38	297.17	244.57	119.26	82.29	115.16	215.77	137.14	128.79	221.86	103.69	51.35	29.27	26.28	31.22	43.94	48.18	35.0	23.25	21.78	33.06	41.52	12.36
CAPN7	642.59	435.55	454.09	493.56	450.94	493.56	432.53	483.38	295.11	381.68	248.0	567.1	441.64	346.29	423.61	332.14	258.57	497.0	253.23	688.78	571.05	303.44	305.55	232.94	651.58	246.28	470.14	733.19	260.38	177.53	129.69	169.07	138.1	212.78	190.34	136.19	133.36	202.66	199.85	190.34	189.02
CARF	142.01	100.83	68.55	65.26	85.82	92.7	80.01	75.11	69.03	117.6	42.41	117.6	61.25	65.72	68.07	90.77	45.53	120.1	42.41	214.27	164.42	47.84	60.39	42.71	84.63	73.03	81.71	190.34	87.65	22.59	10.08	15.34	12.0	15.22	30.12	18.29	9.13	32.13	28.86	26.86	24.28
COX6C	168220.2	223512.12	256748.15	331809.5	194578.47	221968.2	355624.68	265802.39	263966.36	242898.5	140478.49	107203.06	229795.93	391864.76	425853.18	217400.14	320506.81	205673.01	177811.84	269512.87	174152.51	152662.96	208544.12	253213.41	437825.58	527933.71	286861.53	223512.12	492579.5	61146.25	59887.86	33688.23	59063.35	55877.28	48643.87	55491.3	12589.08	10296.45	16045.82	23330.64	16045.82
CSNK1G1	223.41	176.29	140.04	135.24	256.78	133.36	157.68	223.41	171.45	152.28	111.99	323.03	177.53	198.47	187.71	161.02	119.26	251.48	102.97	309.83	198.47	114.36	141.02	134.3	193.01	159.9	214.27	206.94	132.44	51.35	32.36	24.28	46.5	38.95	41.52	31.22	17.38	36.53	25.17	35.0	16.39
