	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.QDVN.0826.SM.48TZ2	GTEX.13113.1326.SM.5GCOI	GTEX.REY6.1226.SM.48FDR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.12WSD.0826.SM.5GCNE	GTEX.X5EB.0426.SM.46MVY	GTEX.YECK.0926.SM.4W214	GTEX.11UD2.0726.SM.5EQ69	GTEX.12WSE.0826.SM.5S2VL	GTEX.111FC.1126.SM.5GZWU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.11ZTT.0626.SM.5EQLM
AC006372.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	1.53	0.78	0.79	0.35	1.73	0.4	0.0	1.01	0.4	0.54	0.93	0.79	0.87	1.17	0.0
AC112715.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.41	14.45	13.03	0.0	15.22	6.89	0.0	8.32	5.19	6.94	14.35	4.82	0.0	6.46	11.47	20.26	0.0
AL033381.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	1.75	0.37	0.0	0.0	2.05	0.93	0.4	0.36	0.0	0.0	0.38	0.85	0.0	1.55	0.0
ANGPT1	11.55	31.0	17.9	7.69	1.53	15.34	3.0	3.0	0.0	0.27	258.57	194.36	693.58	265.87	595.34	49.91	1963.57	2271.4	327.56	2224.63	688.78	220.32	603.67	571.05	733.19	830.75	620.67
AP4B1	164.42	170.25	123.5	102.25	65.72	177.53	115.97	150.17	0.0	0.48	167.9	169.07	466.88	423.61	212.78	312.0	902.89	1037.29	532.74	738.29	275.28	339.14	336.79	224.97	629.35	1242.34	246.28
APLN	19.39	35.0	1.33	2.25	11.73	0.39	71.5	189.02	0.0	0.0	1322.37	88.26	1104.13	234.57	860.08	660.68	575.03	607.87	20.86	2367.9	232.94	136.19	463.65	44.89	417.77	1950.0	97.36
B3GNT2	108.14	178.77	208.38	190.34	291.04	176.29	190.34	87.03	0.0	0.3	759.08	708.18	1529.73	563.18	928.3	387.02	967.76	1059.11	620.67	1259.69	616.37	693.58	1151.06	656.11	743.43	1304.15	547.75
C16orf80	684.02	679.29	802.41	902.89	1073.91	660.68	825.0	620.67	0.0	0.1	995.0	638.15	1159.07	1104.13	1119.56	974.5	1909.85	3443.31	1628.26	1721.16	1159.07	1427.22	1417.35	1733.13	1477.58	4268.94	1437.15
C16orf90	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43	0.0	0.0	0.0	0.0	2.34	0.0	2.05	2.81	0.0	0.0	0.0	1.99	2.41	3.76
C1orf51	50.98	55.89	105.89	42.71	99.43	14.03	64.8	22.1	0.0	0.47	35.25	30.34	43.02	126.12	172.65	108.9	389.72	441.64	106.63	17.64	29.48	165.57	246.28	723.08	88.26	454.09	48.18
C1orf52	262.2	211.31	244.57	175.07	119.26	217.27	159.9	232.94	0.0	0.74	579.04	723.08	738.29	567.1	728.11	1015.93	1216.75	1508.65	406.31	921.88	796.86	334.46	514.56	500.46	796.86	1769.57	339.14
C20orf196	65.26	65.72	44.89	40.07	40.64	84.04	40.64	113.56	0.0	0.16	248.0	75.64	262.2	212.78	162.14	151.22	351.14	351.14	224.97	251.48	152.28	149.12	444.72	204.07	366.09	295.11	158.79
C3orf17	341.51	239.52	277.2	201.25	133.36	332.14	381.68	232.94	0.0	0.84	444.72	460.44	988.12	555.41	470.14	743.43	500.46	896.64	954.43	493.56	547.75	497.0	703.28	420.68	890.44	1259.69	429.54
C4orf33	316.37	119.26	82.87	122.64	37.32	69.52	61.25	128.79	0.0	0.42	295.11	457.25	500.46	368.65	312.0	146.03	371.22	525.39	503.95	480.04	738.29	229.72	587.13	381.68	525.39	1001.93	836.53
C4orf46	16.39	20.56	15.45	7.0	11.91	21.94	7.75	14.45	0.0	0.28	65.72	55.89	81.14	81.14	66.65	69.52	155.5	197.09	88.88	163.28	73.03	78.34	71.0	54.72	97.36	198.47	105.89
C8orf31	2.43	6.89	15.91	6.73	14.78	14.24	5.96	1.69	0.0	0.58	36.79	38.12	127.89	94.01	46.84	26.1	157.68	70.51	166.73	258.57	94.67	62.56	36.27	46.84	117.6	133.36	16.88
C9orf129	1.38	2.71	0.0	0.0	0.0	3.99	0.0	0.0	0.0	0.0	2.36	1.97	0.0	0.0	1.89	8.13	9.13	9.27	9.78	3.26	6.78	1.99	6.36	0.0	8.99	15.68	5.15
CACYBP	688.78	674.59	748.61	743.43	497.0	507.46	571.05	381.68	0.0	0.0	825.0	679.29	1199.98	647.07	753.83	651.58	5517.27	8191.0	1111.82	1721.16	1088.92	1119.56	1304.15	947.83	1268.46	9673.69	1037.29
CCDC121	20.26	32.59	42.11	15.11	15.56	16.15	15.56	13.12	0.0	0.0	48.87	40.36	84.04	114.36	64.34	57.89	232.94	463.65	135.24	181.28	75.11	140.04	152.28	147.06	156.59	285.03	112.77
CCDC59	591.22	503.95	551.56	660.68	98.73	1008.9	450.94	368.65	0.0	0.61	718.08	1030.12	981.29	612.11	525.39	511.0	1417.35	1870.53	836.53	1191.69	679.29	954.43	1081.39	1427.22	1819.35	1745.2	603.67
CCSER2	97.36	151.22	117.6	81.14	54.72	204.07	110.43	170.25	0.0	0.45	384.34	412.0	775.05	226.54	450.94	309.83	1175.27	1225.22	463.65	796.86	583.07	341.51	368.65	532.74	486.75	842.36	511.0
CDH8	0.0	1.25	0.0	0.0	0.0	0.0	2.78	0.0	0.0	0.1	4.06	5.92	14.67	15.56	15.0	17.38	159.9	75.64	8.99	90.14	6.94	24.11	51.35	21.32	33.54	80.57	35.25
CDKN2AIP	173.85	180.02	178.77	180.02	65.72	212.78	186.4	77.25	0.0	0.13	215.77	236.21	316.37	327.56	220.32	206.94	769.69	988.12	403.5	591.22	264.03	295.11	463.65	307.69	503.95	819.3	248.0
CENPC	57.89	96.68	64.8	74.58	16.88	69.03	102.97	42.71	0.0	0.26	214.27	195.72	255.0	201.25	172.65	125.24	285.03	303.44	277.2	251.48	287.01	186.4	224.97	157.68	251.48	447.82	173.85
CEP78	86.43	81.71	78.34	49.56	29.91	48.87	51.71	49.91	205.5	194.36	108.9	105.89	223.41	115.16	215.77	209.84	358.54	392.44	166.73	279.14	229.72	107.38	111.99	189.02	239.52	301.33	185.11
CHRNA3	0.55	0.0	0.0	0.0	0.53	0.0	0.27	0.21	0.0	0.0	2.07	1.35	5.54	1.3	2.01	1.95	14.78	90.77	6.26	0.0	4.58	3.63	5.11	8.45	4.78	62.12	20.86
CNKSR2	7.63	4.24	16.03	12.93	2.81	0.0	14.14	3.82	0.0	0.15	68.07	24.81	70.51	10.79	36.79	8.13	146.03	116.78	53.57	198.47	87.65	17.51	35.0	64.8	38.12	178.77	58.71
CNTN1	0.0	0.0	1.89	3.06	2.51	2.94	0.18	5.87	258.57	141.02	94.67	31.67	19.82	90.77	66.65	15.0	1794.29	1216.75	140.04	1322.37	120.1	147.06	258.57	76.71	146.03	1030.12	356.05
COL6A6	0.0	0.56	3.99	6.52	5.77	2.03	3.35	5.11	0.0	0.16	529.06	314.17	684.02	316.37	444.72	45.85	1378.57	1111.82	218.79	1135.2	470.14	277.2	85.82	148.09	748.61	2018.8	309.83
CWF19L2	49.21	83.45	69.52	64.8	31.9	75.64	50.98	69.03	0.0	0.13	157.68	147.06	246.28	167.9	182.55	150.17	454.09	423.61	249.73	392.44	283.05	204.07	325.29	171.45	341.51	376.41	214.27
DCLRE1B	19.82	32.36	18.97	16.39	18.56	52.45	20.11	16.88	0.0	0.0	75.64	48.52	93.35	98.04	62.56	45.21	255.0	366.09	142.01	146.03	45.85	91.41	121.79	67.59	93.35	441.64	94.67
DEDD2	532.74	497.0	575.03	417.77	384.34	312.0	341.51	409.15	0.0	0.41	1199.98	616.37	679.29	1059.11	642.59	802.41	1857.6	4972.34	1037.29	866.07	638.15	764.36	866.07	884.29	1088.92	6426.31	780.44
DNAL1	43.94	49.21	35.0	42.71	37.32	56.68	43.02	73.03	0.0	0.11	273.37	309.83	325.29	305.55	208.38	153.34	242.88	423.61	260.38	211.31	171.45	197.09	314.17	414.87	559.28	575.03	353.59
DUSP2	35.25	50.27	26.28	40.64	47.17	102.97	24.11	187.71	0.0	0.0	351.14	647.07	1167.14	242.88	607.87	220.32	860.08	1304.15	902.89	1030.12	387.02	124.37	366.09	148.09	848.22	1183.45	142.01
EFR3B	0.58	2.36	1.31	0.0	1.1	2.84	2.07	0.04	0.0	0.0	17.0	4.82	48.87	24.81	10.39	15.0	13.32	27.84	77.25	120.94	68.07	102.25	87.03	87.03	62.56	63.0	86.43
EGR2	9.13	63.0	96.68	90.77	51.71	74.06	295.11	65.26	0.0	0.0	674.59	137.14	536.45	87.65	129.69	208.38	688.78	684.02	503.95	656.11	400.71	273.37	2701.35	127.89	153.34	543.96	89.51
EGR3	6.46	24.81	7.57	10.16	7.06	33.78	22.1	7.28	0.0	0.0	141.02	379.04	351.14	58.71	339.14	260.38	447.82	842.36	228.13	728.11	351.14	19.97	463.65	134.3	61.68	579.04	68.55
ELMSAN1	64.34	193.01	111.99	181.28	83.45	265.87	303.44	194.36	145.02	444.72	435.55	525.39	1322.37	575.03	703.28	384.34	1191.69	1030.12	587.13	1268.46	928.3	575.03	423.61	511.0	540.19	1268.46	651.58
ENC1	57.08	318.57	161.02	258.57	79.45	39.5	98.04	70.01	0.0	0.15	127.0	132.44	476.71	256.78	242.88	120.94	267.73	450.94	915.51	473.41	162.14	450.94	470.14	466.88	231.32	764.36	248.0
EXOC5	133.36	163.28	100.83	105.15	51.35	239.52	217.27	88.26	0.0	0.38	376.41	403.5	476.71	269.6	420.68	283.05	616.37	612.11	299.25	860.08	483.38	287.01	490.14	258.57	503.95	518.15	444.72
FBN3	2.18	4.24	5.5	0.0	2.66	0.0	0.19	1.87	0.0	0.06	133.36	15.8	29.91	109.66	55.49	7.11	2.07	267.73	134.3	346.29	55.89	13.03	13.83	147.06	52.45	115.16	100.83
FBXL14	46.84	77.25	55.1	65.72	71.0	65.26	64.8	43.32	0.0	0.12	191.67	77.79	125.24	205.5	223.41	110.43	1159.07	1407.55	339.14	303.44	229.72	190.34	275.28	297.17	165.57	2047.0	253.23
FRAS1	0.74	3.59	6.52	3.76	4.98	9.78	1.39	5.63	0.0	0.27	180.02	55.89	896.64	98.04	379.04	34.75	764.36	521.76	115.16	1175.27	651.58	104.42	249.73	75.64	297.17	713.11	121.79
FRS2	56.28	99.43	68.55	53.95	56.28	80.57	71.5	42.71	0.0	0.4	149.12	100.13	183.82	123.5	180.02	122.64	503.95	339.14	301.33	429.54	323.03	143.01	234.57	267.73	223.41	447.82	309.83
