	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.Y5V6.0226.SM.4V6G7	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.XV7Q.0426.SM.4BRVN	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.SNOS.0426.SM.32PMH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.139YR.0926.SM.5LZYB	GTEX.QDVJ.0926.SM.2I5FU	GTEX.13O21.3026.SM.5J2NI	GTEX.147F3.0726.SM.5NQ9U	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.1339X.0626.SM.5IJER	GTEX.13VXT.1426.SM.5LU4B	GTEX.Q2AH.0426.SM.2I3EP	GTEX.XGQ4.0826.SM.4AT4T	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.QCQG.0326.SM.2I3ES	GTEX.UJMC.0726.SM.3GADX	GTEX.QEG5.1126.SM.33HC2	GTEX.11WQK.2926.SM.5EQKT
ABCA8	3.26	8.32	5.54	52.08	0.85	7.17	16.51	0.0	0.39	1242.34	351.14	629.35	1350.18	50.63	660.68	20.86	70.51	738.29	215.77	85.82	81.71	665.29	884.29	373.81	571.05	22.43	723.08	244.57	1151.06	775.05	31.9	616.37	343.89	29.91	86.43	1191.69	303.44	420.68	679.29	218.79	10.88
AC132186.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.55	1.48	2.16	5.19	0.0	3.06	0.56	2.16	3.82	1.17	0.0	0.89	3.2	2.16	3.99	0.0	0.0	3.69	3.08	2.73	2.1	0.34	0.0	1.43	0.16	1.87	3.66	1.3	2.18	4.28	2.78	0.95
ACOX2	466.88	34.51	126.12	72.01	20.26	10.31	24.99	0.0	0.45	769.69	62.12	417.77	363.56	218.79	392.44	22.75	101.54	1159.07	120.94	111.99	177.53	480.04	780.44	234.57	242.88	124.37	921.88	295.11	583.07	303.44	232.94	842.36	463.65	112.77	108.9	514.56	163.28	536.45	947.83	51.71	16.75
ADAM22	1.0	1.14	4.82	2.56	1.62	0.58	2.43	0.0	0.25	40.64	10.0	15.8	29.7	6.67	9.93	8.78	7.4	13.52	9.85	5.02	5.77	34.51	8.32	22.75	25.91	3.79	38.12	34.02	16.27	13.12	6.67	15.91	9.2	1.45	3.76	32.82	1.33	49.56	9.93	4.46	0.65
ADAMTSL3	0.99	4.24	0.53	19.82	0.0	0.91	0.59	0.0	0.34	450.94	139.07	343.89	389.72	9.85	187.71	24.28	109.66	234.57	96.68	18.7	47.84	93.35	224.97	206.94	172.65	17.64	314.17	339.14	127.89	145.02	53.95	51.71	169.07	24.99	88.26	309.83	74.58	164.42	106.63	73.03	10.0
ADCY1	1.33	3.99	3.14	3.92	3.08	2.29	6.41	2.1	27.64	60.39	15.11	64.8	95.34	13.93	19.68	0.0	2.97	10.47	24.81	4.98	16.15	18.03	21.63	27.64	10.16	0.92	6.94	34.26	44.25	13.03	1.77	33.3	10.88	2.63	10.71	37.32	16.51	30.78	29.27	3.5	1.58
ADH5	808.0	2287.2	3395.89	2609.3	1242.34	1806.78	2018.8	0.0	0.34	5183.54	2835.7	7180.15	3928.15	1572.76	3794.3	1477.58	4639.29	4066.71	3847.29	3768.09	3325.99	5995.9	5954.47	3955.48	3589.58	3303.0	4575.41	3372.43	5041.77	4802.93	5517.27	3515.68	5255.91	3168.41	6887.62	3716.2	5292.48	5711.87	5555.65	3768.09	764.36
ADHFE1	6.26	5.63	20.56	33.54	82.87	30.56	15.45	0.0	0.46	314.17	412.0	348.71	395.18	28.65	366.09	35.0	158.79	612.11	165.57	45.53	71.0	733.19	441.64	223.41	256.78	269.6	583.07	218.79	595.34	688.78	95.34	320.8	343.89	33.78	223.41	764.36	269.6	909.17	703.28	223.41	14.14
ADI1	848.22	872.1	638.15	928.3	587.13	733.19	896.64	0.0	0.4	2468.49	1605.83	2573.36	2335.28	679.29	2018.8	890.44	1757.34	3349.13	1388.16	1467.37	1806.78	2777.33	2720.15	1417.35	1313.23	1340.84	2935.74	2502.97	2555.58	2796.65	1709.26	2133.97	2384.37	1697.45	1407.55	2664.15	2224.63	3018.3	2209.26	981.29	406.31
AL049840.1	9.06	7.0	23.25	16.75	8.38	5.19	9.2	0.0	0.37	38.12	68.07	26.67	19.97	2.66	21.32	11.3	12.09	101.54	11.13	4.86	23.59	17.51	27.05	21.01	22.59	16.15	30.56	29.91	74.58	45.21	1.64	12.0	12.18	27.64	27.44	42.71	13.03	28.04	48.18	3.06	17.38
AMOT	57.49	7.0	7.06	23.25	1.07	7.51	6.67	0.0	0.21	149.12	201.25	143.01	358.54	12.93	109.66	30.56	35.0	256.78	44.89	18.84	52.82	162.14	135.24	38.67	58.71	6.67	123.5	99.43	104.42	183.82	61.68	52.45	158.79	14.03	87.03	503.95	23.59	314.17	208.38	24.81	26.67
AP001816.1	256.78	122.64	61.68	85.82	150.17	103.69	218.79	0.0	0.13	429.54	154.42	476.71	327.56	176.29	175.07	102.97	149.12	293.07	143.01	205.5	136.19	563.18	381.68	228.13	205.5	134.3	269.6	144.01	348.71	256.78	165.57	406.31	301.33	163.28	224.97	366.09	256.78	291.04	234.57	291.04	82.29
ARRB1	127.0	232.94	110.43	93.35	460.44	109.66	177.53	0.0	0.52	4575.41	2895.31	8191.0	13681.08	1135.2	7589.61	819.3	3212.66	4358.66	2018.8	1651.0	4388.98	5292.48	4481.23	995.0	2255.7	909.17	6207.38	2502.97	3325.99	8134.41	2720.15	3443.31	3515.68	1340.84	2075.59	12415.75	1651.0	7230.1	4937.99	954.43	89.51
B3GNT1	376.41	305.55	131.51	102.25	115.16	102.25	152.28	0.0	0.19	1015.93	480.04	1225.22	1088.92	387.02	1081.39	185.11	583.07	1088.92	420.68	361.04	460.44	1127.35	759.08	674.59	796.86	457.25	967.76	785.88	808.0	1208.34	373.81	921.88	698.41	559.28	529.06	1167.14	624.99	909.17	753.83	493.56	48.18
