	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13N1W.1926.SM.5IJCH	GTEX.13PVQ.1926.SM.5L3GN	GTEX.11NUK.1726.SM.5A5L2	GTEX.113JC.1026.SM.5H117	GTEX.Y111.1826.SM.4SOIR	GTEX.13FLV.1326.SM.5L3EJ	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.11OF3.2326.SM.5GU73	GTEX.144GM.1626.SM.5O9AG	GTEX.13OVJ.1426.SM.5K7Z2	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.ZYFC.1726.SM.5GZYX	GTEX.145MO.1526.SM.5QGQC	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.13QJ3.1826.SM.5S2PT	GTEX.13PVQ.1826.SM.5L3GU	GTEX.ZAB4.1226.SM.5CVN5	GTEX.T5JC.1826.SM.4DM6E	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.145MH.1226.SM.5RQJT	GTEX.13OVJ.1326.SM.5K7Z9	GTEX.T2IS.0926.SM.4DM5B	GTEX.RWSA.1326.SM.47JX9	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.139D8.2326.SM.5IFGE	GTEX.13N1W.2026.SM.5K7YU	GTEX.YFC4.2826.SM.5P9FR
ABCB8	262.2	500.46	543.96	493.56	351.14	497.0	209.84	392.44	511.0	264.03	642.59	409.15	607.87	688.78	748.61	339.14	414.87	708.18	559.28	555.41	529.06	660.68	764.36	624.99	651.58	441.64	521.76	403.5	514.56	708.18	599.49	384.34	563.18	525.39	0.0	0.36	808.0	363.56	665.29
ABHD17A	748.61	1295.13	1340.84	1407.55	1487.87	1427.22	1583.71	1286.18	2303.12	2061.24	2664.15	1498.22	1923.14	2303.12	1883.54	1242.34	1340.84	2956.17	2303.12	2018.8	1950.0	1832.01	2417.67	2018.8	2384.37	1870.53	1909.85	1950.0	1369.04	2255.7	2090.03	1322.37	2163.77	1857.6	0.0	0.68	3395.89	995.0	2664.15
ACE	115.97	215.77	264.03	305.55	158.79	155.5	146.03	195.72	555.41	249.73	1697.45	303.44	583.07	633.73	547.75	206.94	83.45	1551.09	309.83	1001.93	87.65	698.41	813.63	981.29	500.46	136.19	353.59	291.04	169.07	441.64	642.59	96.01	693.58	289.02	0.0	0.0	1104.13	195.72	1977.24
ALKBH4	48.87	271.48	152.28	154.42	127.89	126.12	55.49	134.3	153.34	86.43	224.97	75.11	180.02	217.27	279.14	62.56	105.89	220.32	145.02	221.86	142.01	208.38	205.5	152.28	146.03	87.65	175.07	162.14	96.68	190.34	204.07	89.51	281.09	142.01	0.0	0.0	221.86	43.94	368.65
ANKRD54	234.57	571.05	356.05	435.55	599.49	379.04	309.83	305.55	500.46	289.02	723.08	403.5	532.74	575.03	764.36	239.52	511.0	723.08	633.73	665.29	426.57	575.03	743.43	607.87	543.96	244.57	463.65	470.14	454.09	579.04	607.87	423.61	733.19	384.34	0.0	0.16	728.11	295.11	878.17
APBA3	146.03	343.89	361.04	387.02	287.01	473.41	325.29	356.05	460.44	373.81	796.86	307.69	486.75	775.05	733.19	287.01	507.46	733.19	480.04	713.11	500.46	616.37	629.35	708.18	651.58	438.59	555.41	591.22	384.34	559.28	620.67	470.14	684.02	346.29	0.0	0.59	1044.52	220.32	567.1
AQP7	111.21	22.59	25.17	59.55	31.22	46.84	14.89	24.11	63.0	14.45	136.19	14.89	43.94	135.24	43.02	7.46	36.27	111.21	46.18	45.53	19.68	42.71	151.22	131.51	173.85	11.13	29.7	26.1	11.3	108.9	76.17	33.3	139.07	32.59	0.0	0.13	303.44	17.0	175.07
ARAP1	669.92	1066.48	1104.13	1175.27	1037.29	921.88	921.88	536.45	1540.37	808.0	2047.0	1340.84	1467.37	1963.57	1733.13	651.58	1151.06	1991.0	1447.15	2148.82	1487.87	2240.11	1844.76	1721.16	1628.26	563.18	1519.15	1208.34	1233.75	1697.45	1572.76	830.75	1685.71	1081.39	0.0	0.77	1857.6	525.39	3467.27
ARMC7	47.84	199.85	145.02	139.07	96.68	136.19	61.25	74.58	232.94	88.88	279.14	92.05	209.84	229.72	260.38	72.01	131.51	246.28	205.5	279.14	151.22	209.84	246.28	229.72	204.07	73.03	273.37	218.79	112.77	281.09	217.27	123.5	295.11	139.07	0.0	0.4	376.41	62.12	379.04
ARSA	444.72	633.73	660.68	974.5	642.59	753.83	693.58	830.75	941.27	819.3	1769.57	854.13	1277.29	1159.07	1662.49	563.18	1059.11	1819.35	1286.18	1388.16	1073.91	1427.22	1594.73	1259.69	1477.58	890.44	1225.22	775.05	1051.79	1143.1	1127.35	878.17	1159.07	1183.45	0.0	1.01	1857.6	583.07	1175.27
BTBD2	733.19	1781.89	1561.89	1561.89	1561.89	1397.83	1001.93	728.11	2287.2	1001.93	2664.15	1437.15	1936.53	2018.8	2591.27	1001.93	1216.75	3060.45	2271.4	2591.27	1794.29	2758.13	2701.35	2163.77	2417.67	1119.56	2018.8	1991.0	2209.26	2224.63	2287.2	1001.93	2468.49	1617.0	0.0	0.66	2935.74	688.78	3168.41
C16orf13	1081.39	1857.6	1883.54	1378.57	1519.15	1388.16	1498.22	1487.87	3190.46	2555.58	3039.3	2090.03	2384.37	3146.52	3443.31	2032.85	2434.5	3467.27	4066.71	2502.97	2573.36	2434.5	3349.13	2739.08	3303.0	1936.53	2502.97	2777.33	2032.85	3614.55	3443.31	2400.97	3716.2	2104.58	0.0	0.69	5147.73	1388.16	3349.13
C16orf70	111.99	336.79	363.56	400.71	275.28	291.04	223.41	221.86	260.38	175.07	353.59	127.89	323.03	348.71	334.46	144.01	256.78	343.89	211.31	332.14	209.84	303.44	356.05	389.72	273.37	194.36	334.46	260.38	234.57	334.46	301.33	177.53	373.81	223.41	0.0	0.22	497.0	148.09	463.65
C19orf73	11.38	7.06	26.47	14.89	19.82	32.82	0.0	8.78	31.9	13.83	44.57	4.66	39.79	33.54	11.04	13.93	13.93	53.57	39.22	32.82	18.43	46.84	18.16	15.45	37.85	6.01	28.45	15.11	25.35	35.76	43.63	16.03	19.68	6.89	0.0	0.0	46.18	4.5	49.91
C1orf56	84.63	204.07	102.97	142.01	125.24	143.01	64.34	87.03	171.45	82.87	138.1	108.9	87.65	141.02	205.5	60.39	98.73	110.43	143.01	155.5	159.9	236.21	175.07	129.69	95.34	47.5	158.79	111.99	80.57	152.28	122.64	87.03	204.07	109.66	0.0	0.31	223.41	60.39	299.25
C1orf74	4.9	21.01	20.26	14.89	7.4	41.22	17.25	10.96	21.78	16.88	36.01	12.45	20.71	40.64	29.27	9.7	24.81	43.63	18.03	37.05	18.16	23.59	30.56	29.7	29.48	22.59	16.27	26.67	4.62	37.32	55.1	11.47	36.27	9.27	0.0	0.09	45.53	7.46	51.35
C2orf81	10.63	112.77	41.81	40.07	25.91	37.59	34.02	24.11	71.5	36.53	155.5	28.86	82.29	79.45	128.79	21.16	80.01	156.59	40.64	109.66	79.45	93.35	153.34	75.64	123.5	23.42	110.43	70.01	42.11	80.57	108.14	38.67	91.41	55.49	0.0	0.0	111.99	9.48	813.63
CAPN1	1498.22	2240.11	2287.2	2209.26	1909.85	1769.57	1991.0	1447.15	3103.19	1794.29	2758.13	1977.24	2502.97	2935.74	2537.92	1977.24	1950.0	2855.44	2609.3	2609.3	2520.38	2835.7	2502.97	2537.92	2796.65	1963.57	2400.97	2240.11	2319.15	2664.15	2224.63	1733.13	2417.67	2384.37	2351.53	915.51	3794.3	2400.97	2682.69
CHRNB1	46.18	255.0	106.63	166.73	151.22	118.43	52.45	23.59	149.12	60.82	180.02	105.15	123.5	177.53	307.69	43.02	59.55	157.68	74.06	154.42	137.14	135.24	167.9	190.34	138.1	32.82	130.6	102.25	76.71	206.94	194.36	41.22	183.82	115.16	0.0	0.35	241.19	18.29	163.28
CIZ1	1757.34	2895.31	2061.24	1923.14	2720.15	2485.67	1427.22	1963.57	2287.2	1572.76	2875.3	2255.7	2537.92	3349.13	2855.44	1909.85	1870.53	3039.3	2956.17	2739.08	2335.28	3146.52	3395.89	3081.75	3039.3	2018.8	2835.7	2119.22	2739.08	3349.13	2835.7	1417.35	2758.13	2555.58	0.0	0.85	5366.37	1844.76	2816.11
CLIP2	336.79	454.09	242.88	275.28	307.69	336.79	279.14	251.48	525.39	400.71	571.05	403.5	376.41	480.04	995.0	450.94	269.6	555.41	473.41	490.14	356.05	579.04	473.41	466.88	493.56	351.14	414.87	476.71	275.28	438.59	444.72	220.32	583.07	400.71	0.0	0.61	599.49	325.29	460.44
COMMD9	420.68	607.87	406.31	460.44	409.15	403.5	258.57	373.81	486.75	191.67	567.1	397.93	567.1	633.73	638.15	277.2	381.68	575.03	796.86	511.0	334.46	563.18	728.11	497.0	525.39	256.78	660.68	397.93	500.46	679.29	684.02	329.84	764.36	466.88	0.0	0.12	708.18	248.0	1167.14
CTD-2228K2.5	137.14	665.29	159.9	190.34	194.36	1008.9	256.78	457.25	808.0	438.59	1477.58	287.01	674.59	854.13	1304.15	249.73	417.77	1561.89	748.61	1051.79	583.07	825.0	854.13	1037.29	866.07	265.87	575.03	551.56	463.65	674.59	1111.82	256.78	1304.15	575.03	0.0	0.65	1819.35	127.89	947.83
CUL7	163.28	279.14	194.36	262.2	206.94	256.78	202.66	121.79	293.07	175.07	366.09	217.27	249.73	269.6	490.14	258.57	199.85	348.71	269.6	305.55	232.94	332.14	366.09	400.71	323.03	123.5	291.04	231.32	255.0	309.83	353.59	136.19	327.56	260.38	0.0	0.47	299.25	122.64	733.19
DALRD3	231.32	366.09	384.34	307.69	162.14	417.77	244.57	229.72	733.19	320.8	878.17	429.54	571.05	679.29	1191.69	283.05	316.37	1023.0	633.73	638.15	366.09	629.35	842.36	642.59	819.3	208.38	647.07	299.25	387.02	656.11	665.29	234.57	780.44	373.81	0.0	0.15	796.86	204.07	1639.59
DNAJB2	723.08	1583.71	808.0	1111.82	1313.23	1286.18	775.05	599.49	1639.59	698.41	1923.14	1242.34	1388.16	2133.97	2032.85	1066.48	1322.37	2119.22	1378.57	1757.34	1259.69	1721.16	1806.78	1769.57	1639.59	738.29	1498.22	1030.12	1175.27	1685.71	1806.78	1051.79	1806.78	836.53	0.0	0.6	2119.22	490.14	1685.71
DNAL4	158.79	325.29	236.21	246.28	190.34	301.33	145.02	132.44	358.54	100.83	403.5	166.73	358.54	329.84	511.0	137.14	253.23	518.15	314.17	376.41	253.23	320.8	403.5	336.79	279.14	126.12	358.54	309.83	212.78	293.07	403.5	236.21	363.56	215.77	0.0	0.0	473.41	95.34	1008.9
