	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.12WSJ.0826.SM.5PNWV	TCGA.A3.A6NL.01A.11R.A33J.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.CJ.4886.01A.01R.1305.07	TCGA.EU.5906.01A.11R.1672.07	TCGA.B0.5709.01A.11R.1541.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.CW.5589.01A.01R.1541.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CW.6097.01A.11R.1672.07	TCGA.BJ.A291.01A.11R.A16R.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.BJ.A2N9.01A.11R.A18C.07
ABHD2	177.53	149.12	128.79	299.25	713.11	555.41	813.63	1135.2	511.0	854.13	486.75	361.04	291.04	775.05	146.03	115.97	118.43
ABI1	4704.07	2451.44	348.71	698.41	974.5	884.29	921.88	1242.34	332.14	759.08	808.0	490.14	567.1	1225.22	371.22	392.44	307.69
AC026202.1	3.14	0.0	0.0	3.08	0.99	0.0	1.71	1.06	0.0	4.13	0.0	0.0	0.0	3.96	0.0	0.0	0.0
ACLY	2119.22	981.29	521.76	3768.09	5594.3	4512.4	5555.65	5292.48	122.64	6471.02	4210.15	2935.74	2367.9	7382.04	915.51	813.63	457.25
ADAM10	567.1	271.48	162.14	1340.84	1745.2	1216.75	1397.83	1674.06	543.96	1529.73	1127.35	825.0	854.13	2520.38	346.29	529.06	339.14
ADNP	351.14	616.37	209.84	595.34	890.44	684.02	693.58	825.0	341.51	836.53	647.07	429.54	497.0	988.12	373.81	457.25	318.57
ALDH8A1	3.23	1.27	9.7	848.22	212.78	775.05	1697.45	1457.23	3.53	1529.73	1268.46	31.67	173.85	1870.53	10.39	24.28	0.83
ARHGAP19-SLIT1	0.0	21.32	8.51	11.64	46.18	14.35	20.26	43.02	0.0	80.01	36.01	6.57	13.03	60.82	5.41	2.03	3.0
ARHGAP28	96.01	656.11	3.59	72.01	309.83	120.1	205.5	108.9	15.22	151.22	131.51	80.57	88.26	152.28	45.21	67.59	9.48
ASAH2B	66.65	92.05	31.9	76.17	125.24	115.97	121.79	102.97	52.82	115.16	139.07	39.5	90.77	114.36	30.78	45.85	44.25
BIRC6	500.46	497.0	267.73	551.56	769.69	571.05	642.59	679.29	75.64	718.08	529.06	403.5	466.88	723.08	368.65	463.65	289.02
BRPF3	120.94	191.67	169.07	392.44	460.44	403.5	551.56	432.53	22.26	555.41	412.0	155.5	275.28	543.96	237.86	325.29	299.25
C10orf12	37.59	16.39	7.51	19.11	40.93	22.43	39.5	40.36	3.06	38.95	21.94	8.32	15.34	62.56	9.27	15.45	8.85
C1orf27	90.14	389.72	136.19	318.57	412.0	358.54	392.44	329.84	223.41	406.31	285.03	289.02	325.29	397.93	309.83	327.56	251.48
C6orf120	147.06	242.88	305.55	412.0	426.57	400.71	417.77	708.18	204.07	423.61	307.69	156.59	204.07	713.11	129.69	85.82	116.78
CAND1	1277.29	642.59	325.29	1066.48	1313.23	1030.12	1397.83	1437.15	231.32	1378.57	1088.92	674.59	624.99	1806.78	571.05	435.55	587.13
CEACAM1	16611.71	642.59	24.11	214.27	403.5	371.22	503.95	387.02	170.25	674.59	329.84	85.22	599.49	836.53	220.32	66.65	45.21
CEP350	134.3	153.34	80.57	193.01	392.44	201.25	285.03	281.09	31.22	323.03	186.4	124.37	116.78	450.94	70.51	71.5	56.28
CHUK	173.85	158.79	237.86	215.77	381.68	297.17	351.14	314.17	224.97	237.86	275.28	155.5	211.31	389.72	161.02	133.36	178.77
CLDN19	0.57	0.49	3.59	3.32	12.09	8.85	1.97	24.99	0.0	44.25	30.12	1.68	0.95	44.57	1.77	0.0	0.0
CLUH	1685.71	1104.13	497.0	842.36	842.36	638.15	988.12	1151.06	128.79	1143.1	872.1	521.76	647.07	1159.07	559.28	567.1	708.18
CNNM1	124.37	66.18	10.39	21.47	29.48	13.93	57.89	39.22	0.0	69.52	51.71	4.82	16.51	94.67	0.93	0.26	1.87
COL4A3BP	743.43	529.06	279.14	514.56	842.36	612.11	679.29	656.11	423.61	679.29	483.38	256.78	289.02	698.41	447.82	423.61	599.49
CREB1	320.8	181.28	122.64	392.44	612.11	420.68	563.18	718.08	44.25	555.41	363.56	231.32	214.27	802.41	156.59	171.45	107.38
CSNK2A3	18.97	10.31	3.56	33.3	34.26	14.89	18.56	36.53	0.0	41.81	24.63	11.64	11.3	40.93	5.87	10.47	2.18
