	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.XJ.A9DI.01A.11R.A37L.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.HC.7745.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
ALDH3B1	41.81	49.21	15.45	27.84	14.24	36.53	35.0	224.97	57.49	41.81	26.67	99.43	82.29	24.99	64.34	22.1	35.76	24.28	24.11	45.21	29.06	22.1	40.36	16.75	47.17	55.49	112.77	77.25	15.45	45.53	63.45	38.12	62.12	77.79	36.53	32.59	48.87	53.19	11.73	14.03	52.45	30.56	23.93	40.07	21.78	41.22	48.87	20.11	84.63	85.82	48.52	53.19	66.65	57.89	17.25	87.03	55.89	141.02	73.03	68.07	73.03	52.45	33.06	130.6
ANGPTL2	105.15	392.44	79.45	28.04	18.56	262.2	241.19	1119.56	202.66	293.07	92.7	356.05	438.59	255.0	780.44	90.14	139.07	164.42	82.29	339.14	108.9	127.89	256.78	52.08	158.79	193.01	748.61	441.64	54.33	409.15	320.8	180.02	258.57	521.76	291.04	44.89	173.85	185.11	59.97	104.42	158.79	87.03	90.77	78.34	129.69	346.29	325.29	197.09	332.14	1151.06	134.3	201.25	514.56	211.31	146.03	708.18	507.46	629.35	559.28	463.65	647.07	775.05	616.37	305.55
ANO1	46.84	260.38	62.56	21.47	13.72	336.79	269.6	536.45	239.52	102.25	48.87	320.8	435.55	71.0	612.11	37.32	103.69	88.88	40.93	169.07	120.94	80.01	116.78	38.4	131.51	81.14	373.81	325.29	21.63	339.14	217.27	305.55	195.72	476.71	120.94	24.99	97.36	59.13	61.25	36.53	81.71	96.01	85.22	84.63	44.57	146.03	163.28	154.42	176.29	536.45	116.78	98.73	688.78	112.77	70.51	483.38	583.07	688.78	325.29	497.0	503.95	587.13	299.25	299.25
ARHGAP23	46.84	162.14	70.51	22.92	28.04	147.06	223.41	703.28	180.02	149.12	44.25	309.83	275.28	52.45	460.44	64.34	88.88	211.31	55.49	143.01	78.89	91.41	113.56	27.05	116.78	82.29	518.15	295.11	20.41	190.34	239.52	138.1	154.42	258.57	141.02	13.93	76.17	52.82	41.22	18.16	95.34	85.22	83.45	45.85	27.84	155.5	104.42	75.11	180.02	417.77	126.12	84.63	341.51	96.01	41.22	353.59	348.71	785.88	267.73	295.11	361.04	323.03	323.03	256.78
ARHGEF2	167.9	343.89	195.72	81.14	62.56	185.11	387.02	791.35	336.79	253.23	165.57	497.0	423.61	221.86	532.74	186.4	166.73	256.78	170.25	309.83	167.9	176.29	325.29	108.14	285.03	209.84	693.58	376.41	116.78	346.29	441.64	205.5	323.03	444.72	237.86	115.97	226.54	241.19	97.36	80.01	289.02	172.65	201.25	172.65	190.34	307.69	214.27	205.5	348.71	567.1	368.65	220.32	470.14	368.65	98.73	387.02	327.56	759.08	332.14	403.5	412.0	314.17	571.05	361.04
AXL	66.18	232.94	123.5	29.91	23.25	209.84	181.28	583.07	237.86	234.57	75.64	361.04	336.79	62.56	412.0	92.7	123.5	157.68	96.68	151.22	94.67	144.01	201.25	34.51	211.31	118.43	395.18	314.17	42.41	246.28	251.48	189.02	183.82	406.31	178.77	31.67	102.25	115.16	48.18	49.56	83.45	105.15	107.38	77.25	64.34	267.73	197.09	87.03	256.78	473.41	106.63	167.9	361.04	125.24	78.89	299.25	287.01	480.04	277.2	406.31	417.77	285.03	358.54	189.02
BMP1	115.97	231.32	122.64	27.64	94.01	194.36	193.01	642.59	183.82	191.67	88.26	420.68	231.32	114.36	236.21	121.79	163.28	124.37	108.14	211.31	137.14	87.03	112.77	256.78	194.36	167.9	295.11	279.14	89.51	217.27	201.25	197.09	197.09	346.29	165.57	40.93	178.77	100.83	94.01	33.54	190.34	149.12	151.22	136.19	101.54	155.5	161.02	145.02	197.09	299.25	299.25	151.22	351.14	234.57	117.6	228.13	295.11	450.94	244.57	299.25	281.09	223.41	217.27	218.79
C9orf3	412.0	902.89	490.14	209.84	148.09	808.0	941.27	3060.45	954.43	1008.9	249.73	1651.0	1259.69	463.65	1498.22	435.55	444.72	743.43	412.0	769.69	441.64	400.71	759.08	140.04	921.88	759.08	1963.57	1331.57	251.48	1167.14	921.88	830.75	995.0	921.88	587.13	131.51	409.15	616.37	314.17	267.73	713.11	387.02	476.71	400.71	309.83	647.07	629.35	463.65	928.3	1923.14	536.45	819.3	1757.34	703.28	206.94	2032.85	1388.16	2193.99	2682.69	1617.0	1870.53	1073.91	1477.58	1313.23
CHD5	0.78	4.39	2.46	0.4	2.41	2.92	3.44	21.16	3.32	9.48	1.17	8.25	17.9	4.21	28.45	1.31	2.25	3.23	1.53	3.72	1.89	2.81	5.82	1.39	4.98	5.41	9.48	12.09	1.48	6.67	4.1	5.92	4.82	7.69	2.63	3.23	2.63	2.92	0.82	0.73	2.2	2.61	2.92	2.89	6.21	3.69	10.63	2.56	5.45	12.27	1.6	2.32	7.75	2.23	1.69	17.38	17.64	16.15	10.31	8.0	28.24	11.64	17.25	1.91
CLIP2	34.02	120.1	69.03	18.43	18.56	96.01	114.36	228.13	150.17	123.5	45.21	180.02	176.29	41.52	187.71	30.12	87.65	120.94	44.25	85.22	67.12	45.53	97.36	27.25	112.77	72.52	237.86	166.73	19.97	173.85	158.79	105.15	91.41	248.0	101.54	38.67	76.71	100.83	33.78	31.45	45.21	70.01	49.91	77.79	51.71	141.02	117.6	37.59	155.5	221.86	73.03	74.06	215.77	86.43	96.01	162.14	175.07	275.28	201.25	167.9	172.65	134.3	145.02	100.13
