	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.XF.AAME.01A.12R.A42T.07	TCGA.AO.A1KO.01A.31R.A13Q.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.A7.A0CE.11A.21R.A089.07	TCGA.DD.A3A8.11A.11R.A22L.07
AP2B1	780.44	842.36	1104.13	2303.12	780.44	2351.53	2255.7	1857.6	1909.85	1832.01	417.77
APC	44.89	52.08	84.04	237.86	43.02	303.44	348.71	201.25	182.55	84.04	21.01
APPL1	183.82	229.72	258.57	780.44	138.1	872.1	1073.91	587.13	567.1	323.03	44.25
AREL1	223.41	190.34	249.73	426.57	134.3	371.22	379.04	318.57	325.29	264.03	108.9
ARHGAP12	131.51	346.29	265.87	733.19	115.97	769.69	915.51	698.41	567.1	463.65	96.01
ARHGAP5	239.52	175.07	376.41	1477.58	84.63	1794.29	2148.82	1111.82	934.76	536.45	96.01
ARMCX5	73.54	129.69	185.11	293.07	141.02	303.44	334.46	271.48	299.25	224.97	81.71
ATF2	106.63	262.2	287.01	836.53	98.04	836.53	1015.93	656.11	575.03	325.29	122.64
BAZ2A	248.0	246.28	387.02	961.07	336.79	1104.13	1397.83	860.08	791.35	435.55	95.34
BRWD3	24.63	24.11	49.56	107.38	18.97	134.3	165.57	95.34	67.59	39.5	9.27
BTBD7	145.02	180.02	193.01	392.44	96.68	435.55	500.46	403.5	366.09	224.97	46.18
C10orf12	18.97	21.16	19.25	52.82	9.7	48.18	58.3	38.12	34.51	23.42	9.06
C1orf27	182.55	224.97	229.72	571.05	77.25	525.39	583.07	460.44	420.68	412.0	122.64
CCBL2	414.87	532.74	532.74	890.44	358.54	825.0	928.3	563.18	921.88	753.83	228.13
CCNT1	59.55	93.35	157.68	417.77	81.71	400.71	595.34	295.11	281.09	166.73	38.67
CDKN2AIP	100.83	218.79	251.48	555.41	185.11	432.53	708.18	470.14	486.75	325.29	65.72
CEP44	48.87	93.35	137.14	303.44	45.53	303.44	432.53	271.48	226.54	124.37	13.32
CLASP2	75.64	182.55	195.72	642.59	99.43	723.08	791.35	559.28	447.82	363.56	65.72
CMTR2	90.14	108.14	182.55	392.44	82.29	518.15	543.96	483.38	409.15	206.94	90.14
CREB1	166.73	211.31	256.78	698.41	98.04	769.69	1066.48	660.68	500.46	262.2	103.69
CSGALNACT2	202.66	208.38	379.04	291.04	103.69	473.41	441.64	447.82	211.31	197.09	63.0
CSN2	0.0	0.0	0.0	6581567.44	0.0	2.12	480.04	0.99	65082.31	2.63	0.0
CTDSP2	753.83	1066.48	1561.89	3124.78	1651.0	3665.02	3690.52	3325.99	3515.68	1896.65	743.43
CTDSPL2	127.89	132.44	178.77	532.74	71.5	567.1	808.0	417.77	371.22	191.67	37.59
CWC22	173.85	237.86	281.09	567.1	127.0	583.07	703.28	438.59	454.09	361.04	40.36
CYB5R4	195.72	214.27	287.01	242.88	120.94	366.09	332.14	327.56	258.57	220.32	72.01
DCAF5	234.57	454.09	483.38	738.29	325.29	753.83	813.63	647.07	718.08	660.68	232.94
DCP1A	71.5	137.14	143.01	438.59	93.35	432.53	536.45	312.0	299.25	215.77	48.52
DCTN5	483.38	642.59	656.11	713.11	432.53	693.58	848.22	660.68	532.74	497.0	212.78
DENND6A	170.25	236.21	262.2	466.88	98.73	547.75	698.41	356.05	332.14	242.88	48.52
DNAJB14	75.64	127.89	223.41	373.81	59.97	470.14	532.74	409.15	297.17	167.9	26.47
DNAJC3	269.6	444.72	575.03	1044.52	162.14	967.76	967.76	921.88	656.11	620.67	248.0
DUSP19	4.06	37.59	27.84	64.34	13.42	47.84	76.17	64.8	52.45	24.11	15.34
EDEM3	194.36	309.83	368.65	543.96	90.14	620.67	583.07	514.56	316.37	305.55	118.43
EIF4B	1733.13	3081.75	3820.7	10959.3	3146.52	7857.29	12764.83	6840.04	7433.4	6607.01	1806.78
ELF2	155.5	285.03	457.25	890.44	231.32	909.17	1015.93	764.36	802.41	460.44	125.24
ERLEC1	947.83	1088.92	1407.55	1551.09	587.13	1583.71	1304.15	1540.37	1191.69	1268.46	307.69
FAM126B	30.34	59.13	59.55	170.25	31.0	224.97	229.72	147.06	116.78	65.72	30.34
FAM208A	497.0	599.49	603.67	1135.2	297.17	1175.27	1487.87	954.43	928.3	616.37	75.11
FNDC3A	5.63	172.65	329.84	995.0	63.0	896.64	1037.29	743.43	536.45	435.55	146.03
FOXJ3	229.72	249.73	366.09	928.3	267.73	848.22	1073.91	555.41	629.35	423.61	121.79
FOXN2	76.71	71.5	151.22	231.32	16.51	318.57	307.69	221.86	94.01	72.52	34.51
FUT10	28.45	69.52	47.5	123.5	61.25	167.9	181.28	128.79	115.97	75.11	38.95
GNPTAB	543.96	249.73	486.75	941.27	187.71	733.19	743.43	723.08	651.58	591.22	74.06
GNRHR	1.16	0.36	0.74	8.71	0.0	3.79	8.65	7.51	2.39	2.78	0.0
GPR75-ASB3	204.07	162.14	231.32	389.72	120.1	346.29	463.65	297.17	303.44	305.55	105.15
GTF2A1	96.68	143.01	239.52	511.0	73.54	518.15	591.22	414.87	318.57	209.84	92.7
HCFC2	64.34	102.25	155.5	201.25	48.18	246.28	343.89	198.47	127.89	131.51	44.89
HSPA13	113.56	154.42	293.07	454.09	125.24	575.03	529.06	444.72	231.32	237.86	76.71
IKZF5	57.08	94.67	121.79	460.44	57.89	507.46	616.37	389.72	371.22	198.47	59.55
IL6ST	153.34	563.18	1001.93	2645.74	281.09	4152.18	2645.74	2319.15	1561.89	2163.77	301.33
INMT-FAM188B	0.0	1.77	7.34	18.43	5.11	61.68	87.03	18.97	17.25	4.43	3.08
KDM1B	137.14	87.65	153.34	289.02	61.68	285.03	341.51	223.41	211.31	164.42	51.71
KDM3A	265.87	279.14	356.05	753.83	381.68	769.69	1096.5	703.28	713.11	426.57	73.03
KIAA1430	83.45	149.12	205.5	842.36	84.04	947.83	1268.46	595.34	525.39	312.0	63.89
KIAA2022	0.0	4.21	2.94	14.67	2.61	10.63	15.11	10.24	13.72	4.46	0.0
KIF2A	171.45	167.9	262.2	536.45	85.82	563.18	688.78	312.0	283.05	190.34	18.16
KLHL28	20.86	48.87	57.89	205.5	36.01	226.54	353.59	191.67	137.14	80.01	22.43
LANCL1	163.28	281.09	336.79	1350.18	358.54	1277.29	1457.23	884.29	813.63	571.05	191.67
LCOR	40.64	105.89	74.06	277.2	32.13	299.25	387.02	211.31	166.73	97.36	17.77
LEPROT	708.18	521.76	1104.13	1844.76	460.44	2400.97	2895.31	2287.2	1709.26	1447.15	438.59
LMBRD2	50.98	63.89	87.03	201.25	22.43	208.38	223.41	199.85	120.1	86.43	28.65
LYSMD3	86.43	108.14	175.07	343.89	34.02	432.53	480.04	387.02	251.48	141.02	81.71
MAGT1	595.34	571.05	928.3	1529.73	303.44	1427.22	1397.83	1313.23	981.29	808.0	718.08
MAN2A1	346.29	191.67	358.54	559.28	77.79	688.78	718.08	656.11	371.22	291.04	473.41
MIB1	70.01	88.88	137.14	514.56	55.1	567.1	674.59	417.77	323.03	198.47	46.18
MIER1	204.07	256.78	356.05	463.65	87.03	688.78	743.43	591.22	392.44	289.02	81.71
MMGT1	348.71	316.37	414.87	500.46	211.31	599.49	753.83	490.14	420.68	332.14	87.65
MOB1A	1111.82	743.43	1111.82	1199.98	387.02	1883.54	1806.78	1605.83	1268.46	928.3	228.13
MORC3	152.28	165.57	264.03	624.99	124.37	753.83	1044.52	567.1	490.14	285.03	89.51
MPP5	105.15	151.22	172.65	486.75	81.14	486.75	529.06	389.72	397.93	212.78	141.02
MSANTD4	52.82	94.01	171.45	234.57	39.22	277.2	232.94	251.48	202.66	173.85	34.51
MTX3	14.24	10.71	28.24	211.31	8.25	190.34	295.11	144.01	96.01	50.63	4.7
NAA25	121.79	111.21	165.57	334.46	79.45	283.05	429.54	241.19	194.36	124.37	29.06
NEK4	157.68	135.24	119.26	336.79	64.8	351.14	376.41	327.56	332.14	237.86	69.03
NEK9	234.57	723.08	753.83	1008.9	450.94	1208.34	1208.34	1081.39	967.76	909.17	376.41
NFYA	190.34	147.06	214.27	493.56	126.12	507.46	693.58	429.54	500.46	283.05	104.42
NUMB	287.01	587.13	718.08	1378.57	406.31	1175.27	1477.58	1250.98	1001.93	748.61	454.09
