	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.144GM.1626.SM.5O9AG	GTEX.146FQ.1126.SM.5NQBM	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12584.1426.SM.5EGJ9	GTEX.13OVH.1026.SM.5J2NP	GTEX.147F4.0926.SM.5Q5EO	GTEX.11NV4.1126.SM.5HL6J	GTEX.13VXU.2726.SM.5LU4N	GTEX.11OF3.1126.SM.5986C	TCGA.EJ.7783.11A.01R.2118.07	GTEX.13111.1326.SM.5GCNO	GTEX.12696.2226.SM.5EQ65	TCGA.BR.A453.01A.11R.A24K.31	GTEX.T5JC.1926.SM.4DM6Q	GTEX.P4PQ.1526.SM.3NMCK	GTEX.R55C.1026.SM.48FCM	GTEX.U8T8.1226.SM.4E3IH	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.R55G.1126.SM.48FDG	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.S4P3.0726.SM.4AD57	GTEX.11EQ9.1226.SM.5987E	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.WFJO.1126.SM.4LVLZ	GTEX.XPVG.1526.SM.4B66C	GTEX.T5JW.1526.SM.4DM5E	GTEX.ZP4G.0726.SM.4WWF2	GTEX.PWN1.2026.SM.48TD9	GTEX.S341.1026.SM.4AD71	GTEX.R55G.1626.SM.48FF4
ACTG2	527933.71	726195.27	3406832.48	1048575.0	313910.86	593956.43	0.0	0.61	738.29	6983.79	4836.35	2573.36	1923.14	1487.87	425853.18	475800.4	509950.32	627822.72	641014.63	610654.84	292889.12	839981.65	767601.56	645473.24	663619.99	706337.4	998912.34	456418.21	1078054.48	223512.12	214407.12	1055868.42	998912.34	834179.46	405683.88	945028.61	762299.34	479109.86	672883.8	265802.39	263966.36	345900.08	373305.21	262143.0
AL591479.1	30.56	42.41	57.89	23.93	21.63	38.95	0.0	0.01	11.3	7.4	8.32	7.22	12.09	23.93	64.34	102.25	45.21	57.49	47.5	77.79	41.22	18.97	62.56	72.52	28.04	40.64	41.52	75.64	68.55	19.39	18.84	22.59	17.9	81.14	11.13	26.28	23.93	27.25	65.72	94.01	58.3	80.01	119.26	68.55
ALKBH3	575.03	540.19	620.67	441.64	265.87	638.15	0.0	0.23	127.89	269.6	134.3	127.0	155.5	142.01	642.59	878.17	954.43	551.56	429.54	753.83	269.6	295.11	642.59	532.74	287.01	312.0	435.55	780.44	607.87	229.72	267.73	647.07	463.65	748.61	144.01	441.64	403.5	400.71	518.15	674.59	555.41	1594.73	698.41	563.18
ALKBH4	228.13	279.14	271.48	127.89	62.56	204.07	0.0	0.0	51.71	71.5	66.65	71.0	67.59	73.54	262.2	264.03	262.2	182.55	214.27	215.77	119.26	101.54	145.02	197.09	107.38	178.77	157.68	190.34	140.04	98.73	186.4	145.02	173.85	348.71	43.94	165.57	119.26	87.65	226.54	486.75	363.56	500.46	309.83	371.22
ALKBH8	74.58	82.87	94.67	81.14	38.67	84.63	0.0	0.0	31.22	36.01	30.12	5.96	22.43	17.51	110.43	120.94	117.6	72.01	79.45	88.88	81.14	65.26	91.41	66.18	55.49	64.8	69.03	81.14	56.68	31.22	56.68	67.12	65.72	94.01	22.75	52.82	61.25	57.49	75.11	187.71	156.59	265.87	154.42	140.04
ARIH2OS	43.63	49.21	55.1	27.64	15.91	50.27	0.0	0.0	3.38	8.19	9.85	3.41	13.42	4.46	84.63	107.38	50.63	69.52	66.18	69.52	18.84	22.59	46.84	36.79	17.77	24.99	38.12	73.54	32.13	8.78	14.14	31.67	39.22	78.89	16.88	19.39	32.82	19.39	52.45	78.34	68.07	41.81	57.49	63.45
ASF1A	329.84	237.86	289.02	185.11	70.51	161.02	0.0	0.22	74.58	76.17	93.35	94.67	148.09	239.52	332.14	314.17	293.07	223.41	249.73	305.55	132.44	96.68	199.85	185.11	169.07	163.28	159.9	273.37	237.86	82.29	116.78	146.03	165.57	262.2	66.65	191.67	157.68	154.42	205.5	281.09	403.5	521.76	507.46	629.35
BOLA1	660.68	764.36	796.86	543.96	395.18	728.11	0.0	0.33	90.14	165.57	74.58	105.89	176.29	90.77	954.43	1183.45	830.75	500.46	802.41	595.34	334.46	193.01	316.37	480.04	251.48	450.94	674.59	500.46	420.68	234.57	265.87	665.29	384.34	872.1	191.67	483.38	447.82	392.44	483.38	1111.82	928.3	620.67	842.36	791.35
C21orf119	237.86	264.03	205.5	137.14	195.72	262.2	0.0	0.26	51.35	76.71	49.56	45.21	78.89	43.02	287.01	591.22	329.84	265.87	161.02	152.28	111.21	180.02	158.79	173.85	115.16	130.6	351.14	170.25	87.65	112.77	70.01	309.83	95.34	303.44	54.72	134.3	140.04	130.6	195.72	466.88	547.75	567.1	336.79	327.56
C21orf67	38.67	34.75	40.07	13.03	9.63	36.53	0.0	0.03	30.56	46.5	23.08	1.06	15.56	9.48	52.82	58.3	41.81	72.01	27.64	43.94	30.12	14.03	48.18	31.67	38.67	32.82	42.71	41.22	34.26	17.9	6.89	54.72	8.99	52.45	17.13	32.13	25.17	33.78	22.92	50.63	51.71	46.84	53.19	50.27
C2orf81	63.0	78.89	112.77	25.91	21.16	92.7	0.0	0.0	38.95	23.42	24.28	29.48	25.35	8.25	111.99	198.47	88.88	119.26	80.57	112.77	31.22	28.86	53.57	99.43	34.51	61.25	61.68	86.43	55.1	21.94	26.47	74.58	67.59	116.78	9.48	33.54	69.03	49.21	60.82	271.48	293.07	358.54	262.2	271.48
C5orf55	86.43	78.34	90.14	82.29	50.98	120.1	0.0	0.13	26.1	49.91	21.47	8.13	12.64	17.13	139.07	185.11	148.09	67.59	25.54	66.65	58.71	48.52	130.6	98.73	44.57	71.5	119.26	122.64	108.14	37.32	47.5	85.22	70.01	152.28	11.38	68.07	70.01	55.89	101.54	165.57	341.51	198.47	75.64	138.1
C6orf203	591.22	629.35	579.04	320.8	172.65	483.38	0.0	0.0	65.26	144.01	120.94	80.01	118.43	102.25	713.11	447.82	490.14	521.76	363.56	400.71	255.0	161.02	301.33	305.55	329.84	334.46	412.0	332.14	295.11	234.57	277.2	392.44	275.28	429.54	79.45	406.31	269.6	197.09	316.37	547.75	713.11	703.28	599.49	748.61
C6orf226	435.55	429.54	483.38	343.89	318.57	536.45	0.0	0.45	183.82	379.04	164.42	170.25	293.07	123.5	595.34	1096.5	743.43	647.07	551.56	642.59	265.87	612.11	486.75	698.41	223.41	403.5	780.44	376.41	432.53	221.86	265.87	928.3	343.89	866.07	346.29	392.44	476.71	336.79	688.78	878.17	1081.39	1295.13	406.31	447.82
CCDC115	738.29	954.43	947.83	490.14	486.75	775.05	0.0	0.07	684.02	551.56	473.41	511.0	444.72	412.0	1183.45	2075.59	1437.15	514.56	703.28	878.17	406.31	323.03	728.11	1059.11	371.22	463.65	684.02	1001.93	647.07	387.02	400.71	607.87	603.67	1167.14	275.28	532.74	647.07	583.07	836.53	1322.37	1233.75	1397.83	1369.04	1051.79
CCDC121	100.13	122.64	123.5	61.68	30.34	107.38	0.0	0.0	24.81	13.32	46.84	19.97	15.91	13.22	105.89	98.73	100.13	71.0	76.71	102.97	50.98	20.56	47.17	68.07	55.1	59.55	67.59	96.01	57.49	22.26	28.04	52.08	81.71	96.01	10.0	50.27	34.75	57.49	66.18	98.73	277.2	144.01	164.42	153.34
CCDC87	9.13	7.51	10.47	2.78	2.71	10.79	0.0	0.0	1.41	0.0	2.1	1.33	0.0	5.59	6.57	19.53	24.28	12.18	3.17	11.13	2.14	0.85	7.69	13.83	7.22	12.93	11.21	13.62	9.85	2.73	3.92	10.71	4.54	14.24	0.82	6.21	5.92	6.16	8.85	12.93	13.83	12.83	9.2	16.51
COIL	248.0	264.03	285.03	166.73	172.65	193.01	0.0	0.31	64.8	135.24	91.41	83.45	138.1	123.5	279.14	228.13	265.87	183.82	172.65	226.54	157.68	98.73	186.4	154.42	176.29	178.77	190.34	193.01	140.04	176.29	159.9	152.28	154.42	220.32	97.36	172.65	170.25	105.15	191.67	262.2	314.17	325.29	264.03	273.37
CTCF	665.29	540.19	607.87	457.25	289.02	450.94	0.0	0.26	279.14	234.57	195.72	258.57	303.44	420.68	511.0	529.06	629.35	457.25	444.72	466.88	429.54	258.57	343.89	460.44	376.41	543.96	490.14	514.56	423.61	323.03	279.14	497.0	376.41	543.96	181.28	457.25	403.5	417.77	417.77	571.05	733.19	703.28	633.73	698.41
DBR1	206.94	271.48	275.28	154.42	122.64	215.77	0.0	0.0	40.07	105.89	55.89	70.51	87.65	90.77	226.54	201.25	220.32	181.28	153.34	205.5	115.97	62.56	193.01	177.53	130.6	138.1	157.68	183.82	157.68	127.89	100.83	120.94	163.28	199.85	44.89	172.65	120.1	126.12	180.02	229.72	325.29	277.2	246.28	224.97
DHFRL1	145.02	132.44	166.73	71.5	28.45	102.97	0.0	0.0	14.78	25.91	28.45	16.75	31.0	18.84	98.73	170.25	146.03	120.1	86.43	127.0	59.13	25.54	122.64	81.14	74.58	81.14	93.35	98.73	70.51	29.48	41.52	82.87	66.18	106.63	14.56	92.7	66.18	81.71	66.65	291.04	343.89	185.11	242.88	244.57
ELAC1	193.01	171.45	162.14	93.35	88.26	221.86	0.0	0.0	37.85	68.07	63.45	15.8	52.45	38.4	221.86	283.05	279.14	144.01	92.7	169.07	120.1	47.84	136.19	144.01	127.0	74.58	141.02	159.9	143.01	88.26	84.04	191.67	114.36	189.02	20.71	92.05	76.71	121.79	123.5	248.0	309.83	239.52	283.05	239.52
ETAA1	146.03	148.09	148.09	99.43	73.54	156.59	0.0	0.2	71.5	62.12	98.73	42.11	68.55	46.5	177.53	159.9	128.79	120.94	102.25	95.34	63.45	121.79	124.37	91.41	71.5	127.0	98.73	136.19	201.25	64.8	40.36	94.01	134.3	130.6	77.25	117.6	32.82	60.82	132.44	316.37	285.03	206.94	314.17	144.01
