	TCGA.ZF.AA4N.01A.11R.A38B.07	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.FD.A43Y.01A.21R.A26T.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.BT.A42E.01A.11R.A23W.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.FD.A3N6.01A.11R.A21D.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.C5.A1ML.01A.11R.A14Y.07	TCGA.C5.A902.01A.11R.A37O.07	TCGA.UC.A7PD.01A.11R.A352.07	TCGA.JW.A5VI.01A.11R.A28H.07	TCGA.C5.A7CL.01A.11R.A32P.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.GH.A9DA.01A.21R.A37O.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.Z6.A8JD.01A.11R.A36D.31	TCGA.LN.A8HZ.01A.11R.A36D.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.IG.A3I8.01A.11R.A24K.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.VR.A8EZ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A49M.01A.21R.A260.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A49K.01A.11R.A24K.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.Z6.A9VB.01A.21R.A37I.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.V5.AASV.01A.11R.A38D.31	TCGA.LN.A8I1.01A.11R.A36D.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.IG.A97I.01A.11R.A38D.31	TCGA.LN.A7HZ.01A.31R.A354.31	TCGA.V5.A7RC.01B.11R.A406.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.CV.A45U.01A.12R.A24H.07	TCGA.CV.6961.01A.21R.1915.07	TCGA.CV.5970.01A.11R.1686.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.BA.5556.01A.01R.1514.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.HD.8634.01A.11R.2403.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.DQ.7592.01A.11R.2081.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CQ.6222.01A.11R.1915.07	TCGA.BB.4227.01A.01R.1873.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.6959.01A.11R.1915.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.BA.4076.01A.01R.1436.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.5979.01A.11R.1686.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CN.A49A.01A.11R.A24H.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.CN.4725.01A.01R.1436.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.BA.5151.01A.01R.1436.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.CN.6018.01A.11R.1686.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CQ.A4CD.01A.21R.A24Z.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.D6.A4ZB.01A.11R.A24Z.07	TCGA.IQ.7632.01A.11R.2081.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CV.A45Y.01A.11R.A24Z.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CN.4742.01A.02R.1514.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.UF.A7J9.01A.12R.A34R.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CQ.5326.01A.01R.1873.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7423.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.63.5128.01A.01R.1443.07	TCGA.90.A4ED.01A.31R.A24Z.07	TCGA.58.A46N.01A.11R.A24H.07	TCGA.56.7730.01A.11R.2125.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
AGAP6	205.5	78.89	187.71	120.1	521.76	143.01	366.09	111.99	123.5	98.04	90.77	29.48	49.21	114.36	119.26	223.41	218.79	273.37	351.14	171.45	376.41	67.59	105.89	148.09	143.01	253.23	262.2	285.03	303.44	176.29	358.54	426.57	329.84	406.31	217.27	536.45	412.0	503.95	525.39	314.17	211.31	802.41	563.18	273.37	551.56	273.37	228.13	400.71	157.68	303.44	260.38	204.07	29.7	55.89	70.01	11.3	120.94	32.59	108.14	21.01	138.1	153.34	180.02	50.63	43.94	221.86	183.82	79.45	88.88	21.94	56.68	92.05	54.33	242.88	55.49	58.71	36.53	114.36	121.79	135.24	152.28	89.51	190.34	269.6	115.97	43.32	27.05	34.75	57.89	61.68	81.71	32.82	105.15	204.07	186.4	148.09	84.63	175.07	61.25	33.06	74.58	120.94	50.27	66.18	136.19	68.07	25.54	127.89	116.78	141.02	27.25	78.34	26.1	178.77	75.11	131.51	29.91	120.94	41.52	69.52	57.89	37.59	99.43	237.86	39.5	232.94	24.63	309.83	256.78	223.41	34.75	112.77	34.02	79.45	149.12	66.18	50.27	36.27	180.02	55.49	20.86	34.02	45.21	147.06	70.51	124.37	34.51	65.26	71.5	32.36	1.19	97.36	848.22	185.11	255.0	53.19	114.36
AHSA2	825.0	113.56	651.58	543.96	2664.15	241.19	785.88	316.37	507.46	343.89	226.54	239.52	262.2	480.04	967.76	753.83	698.41	543.96	2163.77	995.0	1023.0	220.32	277.2	463.65	703.28	921.88	1529.73	1066.48	1896.65	403.5	842.36	2104.58	1167.14	1183.45	1561.89	1427.22	1104.13	2520.38	2627.46	2739.08	934.76	2997.45	2351.53	2591.27	2609.3	1081.39	1104.13	1991.0	575.03	1233.75	2032.85	954.43	110.43	82.87	332.14	48.52	392.44	56.68	255.0	17.38	307.69	376.41	444.72	115.97	65.72	748.61	363.56	202.66	201.25	43.02	143.01	633.73	114.36	660.68	95.34	146.03	58.71	244.57	255.0	420.68	265.87	438.59	579.04	547.75	237.86	102.25	40.64	48.52	115.16	165.57	154.42	90.14	164.42	309.83	1023.0	368.65	85.22	447.82	40.07	52.45	124.37	376.41	89.51	231.32	256.78	125.24	73.03	214.27	447.82	532.74	96.01	123.5	39.22	532.74	128.79	575.03	105.89	214.27	128.79	218.79	149.12	104.42	356.05	961.07	80.01	759.08	44.57	395.18	718.08	283.05	70.01	514.56	64.8	265.87	995.0	102.25	167.9	47.84	361.04	143.01	86.43	96.68	153.34	460.44	164.42	460.44	80.01	177.53	102.97	34.75	1.58	679.29	2956.17	1001.93	2255.7	20.11	37.05
AKAP8L	921.88	1008.9	1143.1	591.22	2664.15	775.05	1628.26	669.92	1059.11	1081.39	813.63	915.51	813.63	575.03	1191.69	2915.45	1044.52	1313.23	1662.49	1313.23	656.11	902.89	738.29	941.27	1111.82	1119.56	1697.45	1923.14	1519.15	1066.48	1457.23	2018.8	1498.22	1304.15	1697.45	2209.26	1378.57	3589.58	2502.97	2240.11	1769.57	2119.22	4836.35	3491.39	1674.06	1697.45	1359.57	1651.0	1519.15	1628.26	2367.9	974.5	860.08	543.96	808.0	384.34	1051.79	500.46	780.44	507.46	669.92	842.36	813.63	559.28	571.05	1015.93	848.22	665.29	551.56	571.05	713.11	796.86	599.49	1529.73	679.29	660.68	629.35	743.43	769.69	1286.18	583.07	1104.13	860.08	1242.34	587.13	555.41	551.56	607.87	543.96	796.86	616.37	679.29	738.29	1477.58	1359.57	909.17	1001.93	1183.45	684.02	575.03	825.0	713.11	703.28	529.06	884.29	620.67	748.61	607.87	791.35	1407.55	525.39	872.1	698.41	825.0	450.94	988.12	536.45	708.18	693.58	669.92	559.28	748.61	830.75	1104.13	587.13	1135.2	603.67	791.35	1477.58	1104.13	629.35	1001.93	466.88	819.3	1199.98	633.73	660.68	529.06	612.11	447.82	616.37	547.75	616.37	1350.18	703.28	698.41	579.04	1051.79	575.03	497.0	1.06	1286.18	2855.44	1628.26	1322.37	547.75	808.0
ALKBH6	414.87	511.0	470.14	318.57	1551.09	551.56	733.19	417.77	444.72	559.28	346.29	334.46	287.01	429.54	476.71	595.34	525.39	563.18	693.58	551.56	503.95	417.77	438.59	457.25	571.05	713.11	2796.65	909.17	1388.16	507.46	466.88	743.43	1477.58	947.83	620.67	764.36	934.76	836.53	796.86	1359.57	638.15	878.17	665.29	1216.75	743.43	698.41	1008.9	518.15	1167.14	555.41	802.41	633.73	327.56	275.28	420.68	146.03	381.68	141.02	221.86	193.01	191.67	371.22	486.75	187.71	146.03	356.05	217.27	301.33	579.04	217.27	281.09	563.18	211.31	454.09	283.05	206.94	248.0	229.72	395.18	358.54	547.75	285.03	341.51	638.15	271.48	183.82	473.41	258.57	202.66	348.71	246.28	208.38	332.14	285.03	420.68	490.14	406.31	521.76	231.32	190.34	258.57	305.55	223.41	303.44	447.82	202.66	186.4	239.52	595.34	638.15	172.65	183.82	260.38	341.51	301.33	412.0	301.33	392.44	198.47	358.54	285.03	226.54	403.5	532.74	234.57	387.02	318.57	287.01	571.05	346.29	271.48	2485.67	232.94	275.28	595.34	242.88	297.17	178.77	529.06	587.13	221.86	241.19	221.86	307.69	248.0	223.41	218.79	397.93	224.97	156.59	0.73	423.61	656.11	785.88	808.0	95.34	100.83
ANAPC2	583.07	358.54	567.1	579.04	1096.5	884.29	679.29	463.65	223.41	620.67	633.73	255.0	381.68	438.59	669.92	1350.18	656.11	819.3	1073.91	1183.45	830.75	511.0	629.35	395.18	441.64	934.76	674.59	629.35	1104.13	647.07	571.05	909.17	848.22	738.29	981.29	466.88	813.63	878.17	909.17	1583.71	1242.34	1359.57	830.75	607.87	813.63	693.58	1066.48	769.69	583.07	1427.22	808.0	656.11	466.88	656.11	698.41	312.0	514.56	575.03	669.92	460.44	221.86	620.67	507.46	389.72	336.79	567.1	603.67	429.54	555.41	417.77	521.76	403.5	381.68	748.61	293.07	371.22	507.46	555.41	791.35	633.73	368.65	642.59	638.15	688.78	373.81	511.0	441.64	376.41	463.65	432.53	607.87	420.68	397.93	392.44	1183.45	718.08	603.67	503.95	902.89	486.75	466.88	543.96	500.46	417.77	599.49	334.46	314.17	466.88	444.72	872.1	490.14	480.04	444.72	819.3	511.0	703.28	417.77	435.55	460.44	363.56	591.22	575.03	551.56	796.86	371.22	633.73	332.14	947.83	518.15	612.11	395.18	878.17	307.69	384.34	764.36	567.1	343.89	327.56	351.14	450.94	363.56	307.69	518.15	420.68	460.44	463.65	490.14	665.29	567.1	432.53	0.91	329.84	1191.69	954.43	616.37	277.2	279.14
ANAPC7	808.0	813.63	1369.04	854.13	1519.15	1104.13	1745.2	1119.56	872.1	988.12	981.29	514.56	1397.83	1216.75	1388.16	1111.82	981.29	1295.13	921.88	1135.2	1277.29	1059.11	981.29	967.76	902.89	1519.15	1175.27	2018.8	1806.78	1199.98	2004.85	1685.71	2537.92	2591.27	3060.45	1286.18	2591.27	2895.31	2682.69	3395.89	3146.52	4038.61	2468.49	3564.78	3146.52	1794.29	2739.08	2061.24	1605.83	1923.14	2351.53	1250.98	915.51	836.53	1674.06	743.43	1111.82	616.37	878.17	551.56	674.59	1225.22	1073.91	743.43	848.22	872.1	928.3	1037.29	483.38	441.64	819.3	780.44	638.15	775.05	708.18	796.86	1159.07	1001.93	1059.11	884.29	954.43	713.11	909.17	1378.57	830.75	647.07	583.07	532.74	748.61	860.08	909.17	1350.18	738.29	854.13	1183.45	1127.35	813.63	738.29	764.36	764.36	603.67	830.75	819.3	1233.75	1709.26	842.36	775.05	656.11	1167.14	1617.0	703.28	607.87	866.07	1023.0	995.0	1151.06	842.36	1167.14	529.06	928.3	981.29	656.11	1259.69	1023.0	669.92	981.29	647.07	733.19	1030.12	1167.14	728.11	981.29	363.56	941.27	1233.75	785.88	769.69	785.88	708.18	713.11	547.75	769.69	559.28	620.67	775.05	1008.9	796.86	988.12	878.17	1008.9	0.64	947.83	1119.56	2240.11	2061.24	1159.07	808.0
ANKS3	218.79	147.06	167.9	221.86	743.43	111.21	209.84	229.72	194.36	281.09	123.5	97.36	183.82	232.94	320.8	423.61	373.81	264.03	316.37	229.72	551.56	314.17	133.36	234.57	214.27	197.09	414.87	237.86	414.87	217.27	348.71	532.74	325.29	444.72	387.02	205.5	271.48	647.07	511.0	567.1	348.71	1059.11	748.61	633.73	497.0	403.5	429.54	507.46	283.05	305.55	389.72	264.03	117.6	134.3	136.19	34.26	202.66	72.52	128.79	46.5	155.5	204.07	167.9	94.67	72.01	162.14	197.09	128.79	140.04	60.82	93.35	176.29	106.63	412.0	142.01	129.69	66.65	146.03	111.99	105.15	132.44	88.26	147.06	406.31	102.25	105.89	68.07	68.07	115.97	165.57	120.1	105.89	137.14	275.28	435.55	265.87	150.17	376.41	142.01	65.26	102.25	155.5	112.77	71.5	164.42	92.05	55.49	115.97	217.27	289.02	122.64	166.73	64.8	189.02	159.9	226.54	120.1	125.24	110.43	94.67	139.07	105.89	191.67	371.22	76.17	255.0	94.01	166.73	368.65	185.11	76.71	329.84	90.14	231.32	361.04	98.04	110.43	135.24	291.04	145.02	57.49	94.67	81.14	127.89	125.24	185.11	102.97	181.28	142.01	85.82	0.78	158.79	723.08	206.94	312.0	115.97	131.51
ATAT1	275.28	63.0	167.9	211.31	941.27	154.42	154.42	206.94	119.26	102.25	85.22	177.53	127.0	143.01	293.07	363.56	244.57	159.9	289.02	124.37	159.9	58.3	78.89	97.36	173.85	151.22	353.59	275.28	275.28	285.03	237.86	616.37	368.65	532.74	323.03	299.25	305.55	483.38	381.68	514.56	255.0	368.65	444.72	674.59	775.05	480.04	400.71	444.72	511.0	414.87	348.71	159.9	122.64	90.77	224.97	64.34	119.26	55.49	96.68	80.57	197.09	173.85	154.42	43.02	63.45	145.02	122.64	251.48	115.97	58.71	82.87	170.25	76.71	237.86	94.01	106.63	54.72	208.38	146.03	68.07	137.14	70.01	100.13	191.67	136.19	62.12	74.06	43.94	76.17	132.44	87.65	72.52	93.35	262.2	435.55	102.97	157.68	244.57	96.68	73.03	62.12	124.37	111.21	92.05	123.5	83.45	65.72	82.87	108.9	77.79	115.16	90.14	117.6	88.88	56.28	145.02	90.77	151.22	91.41	105.15	142.01	108.14	139.07	189.02	65.72	172.65	109.66	135.24	185.11	136.19	85.22	162.14	71.5	91.41	186.4	76.17	98.73	108.14	171.45	135.24	67.59	71.0	70.01	93.35	95.34	111.99	78.89	173.85	91.41	100.83	0.89	139.07	848.22	258.57	559.28	83.45	109.66
ATXN2L	2133.97	2075.59	2645.74	2148.82	3081.75	2935.74	3395.89	2485.67	2209.26	2701.35	1745.2	2004.85	1477.58	2555.58	1540.37	3372.43	2682.69	2777.33	2240.11	2451.44	3124.78	1208.34	1340.84	2209.26	2018.8	2777.33	4769.75	3716.2	3955.48	2875.3	2335.28	4181.07	3540.14	4095.0	3589.58	4481.23	3665.02	5076.84	5517.27	4268.94	3716.2	3212.66	4419.52	4419.52	4769.75	3190.46	3665.02	3928.15	3124.78	3768.09	3742.05	2758.13	1950.0	1685.71	1191.69	698.41	1697.45	1583.71	1991.0	1119.56	1950.0	1936.53	2004.85	1447.15	1487.87	1605.83	1844.76	1909.85	2090.03	1594.73	1359.57	1991.0	1794.29	2997.45	2047.0	1769.57	1437.15	1733.13	2645.74	1628.26	2287.2	1457.23	1844.76	2875.3	1709.26	1561.89	2004.85	1487.87	1051.79	2032.85	1745.2	1651.0	1457.23	1721.16	2609.3	2777.33	2417.67	2148.82	2032.85	1923.14	2104.58	1594.73	1721.16	1529.73	2047.0	1350.18	2075.59	1685.71	1477.58	2739.08	2956.17	2032.85	1467.37	2664.15	1870.53	1617.0	1378.57	1447.15	1628.26	2303.12	2018.8	2319.15	1709.26	2468.49	2163.77	1950.0	1870.53	1721.16	2148.82	1991.0	1467.37	3124.78	1457.23	2193.99	2319.15	1572.76	1467.37	1051.79	3168.41	2018.8	1498.22	2209.26	1286.18	1794.29	1977.24	1963.57	1674.06	2163.77	1313.23	1498.22	1159.07	2701.35	4419.52	2367.9	3928.15	1519.15	1721.16
BRICD5	88.88	25.35	110.43	46.84	620.67	15.68	211.31	108.14	38.4	20.71	10.63	4.78	29.06	68.07	131.51	121.79	127.0	271.48	285.03	133.36	486.75	73.03	64.8	147.06	175.07	115.97	81.71	65.72	253.23	31.67	62.56	162.14	226.54	283.05	215.77	170.25	224.97	152.28	384.34	708.18	318.57	503.95	368.65	371.22	167.9	155.5	277.2	205.5	79.45	123.5	193.01	42.41	39.79	6.67	86.43	2.41	16.03	6.31	41.81	1.0	37.59	76.17	154.42	5.82	4.54	131.51	33.3	34.51	32.59	1.51	44.89	57.49	3.76	269.6	25.54	29.91	17.25	23.76	35.76	102.25	69.52	24.46	64.34	206.94	31.45	9.78	10.71	4.94	17.51	19.97	34.02	15.11	24.99	47.84	94.01	125.24	18.97	72.52	17.9	6.94	6.84	20.71	22.92	27.84	13.32	5.02	15.91	91.41	57.49	149.12	28.65	16.75	4.78	88.88	10.63	93.35	6.41	31.67	10.08	7.94	22.43	2.53	70.51	87.03	17.64	78.34	7.28	11.64	170.25	146.03	18.7	67.59	34.26	41.22	155.5	36.79	10.71	8.06	139.07	19.68	5.36	12.55	61.68	35.0	37.59	25.35	26.86	137.14	10.31	21.47	1.2	37.32	486.75	239.52	387.02	36.79	14.03
