	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.13PVQ.1926.SM.5L3GN	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZYW4.1626.SM.5GIE6	GTEX.Y111.1826.SM.4SOIR	GTEX.132NY.2026.SM.5L3FM	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.11OF3.2326.SM.5GU73	GTEX.ZAK1.1826.SM.5HL93	GTEX.13VXU.1126.SM.5LU3U	GTEX.13OVJ.1426.SM.5K7Z2	GTEX.Y111.1726.SM.4SOIQ	GTEX.13O3P.1326.SM.5K7Y8	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.145MO.1526.SM.5QGQC	GTEX.13G51.1026.SM.5K7YQ	GTEX.U8XE.1826.SM.4E3HV	GTEX.ZYW4.1426.SM.5SIAX	GTEX.RNOR.1326.SM.48FDE	GTEX.QESD.0726.SM.4R1KQ	GTEX.11DYG.1426.SM.5A5JR	GTEX.T6MN.1526.SM.4DM5P	GTEX.RTLS.1226.SM.46MUP	GTEX.ZYVF.2326.SM.5E44Z	GTEX.REY6.1426.SM.48FDK	GTEX.YB5K.0726.SM.5LU8R	GTEX.OIZI.1326.SM.3NB1B	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.13PVQ.1826.SM.5L3GU	GTEX.RWS6.0726.SM.47JXI	GTEX.T5JC.1826.SM.4DM6E	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.145MH.1226.SM.5RQJT	GTEX.X8HC.1526.SM.46MWD	GTEX.12ZZY.1526.SM.5LZWF	GTEX.ZYT6.1226.SM.5E44Q	GTEX.13OVJ.1326.SM.5K7Z9	GTEX.ZG7Y.1326.SM.4WWBL	GTEX.T2IS.0926.SM.4DM5B	GTEX.Q2AH.1026.SM.48TZI	GTEX.RWSA.1326.SM.47JX9	GTEX.QCQG.0726.SM.48U1Z
ABHD10	395.18	234.57	221.86	208.38	244.57	463.65	532.74	119.26	400.71	236.21	426.57	497.0	305.55	341.51	507.46	392.44	476.71	242.88	366.09	134.3	262.2	384.34	346.29	228.13	348.71	151.22	244.57	429.54	135.24	289.02	366.09	269.6	309.83	223.41	151.22	269.6	414.87	277.2	150.17	167.9	232.94	301.33	348.71	343.89	164.42	521.76	323.03	218.79	182.55	389.72	159.9	239.52	195.72
ABHD14A	503.95	215.77	287.01	265.87	353.59	1044.52	1066.48	295.11	669.92	271.48	860.08	1199.98	543.96	665.29	1073.91	723.08	1001.93	215.77	703.28	204.07	599.49	909.17	854.13	454.09	693.58	267.73	244.57	723.08	211.31	463.65	660.68	525.39	409.15	206.94	251.48	180.02	825.0	579.04	258.57	182.55	476.71	493.56	429.54	559.28	267.73	808.0	620.67	218.79	198.47	819.3	249.73	595.34	397.93
AC139100.2	42.11	19.97	31.67	24.81	27.84	53.95	41.52	25.35	31.22	44.25	55.89	73.03	34.75	62.12	45.53	51.35	29.06	21.63	50.98	18.29	44.57	29.27	42.71	33.54	45.21	30.34	40.07	84.04	17.9	76.17	42.71	44.89	27.25	29.48	9.56	19.11	36.53	38.95	27.64	10.88	63.45	50.98	55.49	42.71	26.67	72.52	23.59	21.32	13.42	40.93	31.0	42.41	17.64
ACAP3	1350.18	1508.65	1175.27	1350.18	1407.55	2956.17	2739.08	902.89	2502.97	1487.87	3955.48	2047.0	2502.97	4038.61	3257.52	3235.01	3168.41	1359.57	3901.01	1857.6	2555.58	2739.08	2875.3	1870.53	4419.52	780.44	1183.45	3564.78	764.36	2104.58	3103.19	2367.9	3280.18	1030.12	616.37	532.74	2520.38	3018.3	1369.04	1119.56	2956.17	2502.97	3716.2	2319.15	1259.69	2090.03	2573.36	1066.48	1127.35	2739.08	921.88	1883.54	902.89
AGRN	540.19	1447.15	796.86	441.64	579.04	1066.48	1127.35	293.07	988.12	400.71	1159.07	796.86	743.43	1199.98	1322.37	825.0	1313.23	624.99	1159.07	392.44	738.29	1127.35	1051.79	435.55	1242.34	503.95	246.28	961.07	511.0	651.58	713.11	708.18	412.0	256.78	209.84	343.89	1051.79	1081.39	412.0	414.87	764.36	896.64	848.22	878.17	299.25	866.07	674.59	490.14	312.0	909.17	414.87	728.11	329.84
ALS2CL	108.14	163.28	195.72	133.36	299.25	679.29	1023.0	159.9	532.74	246.28	607.87	366.09	450.94	444.72	836.53	656.11	656.11	256.78	733.19	301.33	381.68	473.41	674.59	260.38	1008.9	85.22	228.13	521.76	153.34	323.03	547.75	473.41	156.59	163.28	75.64	166.73	563.18	693.58	132.44	102.25	547.75	629.35	457.25	595.34	182.55	444.72	432.53	202.66	171.45	483.38	88.88	271.48	100.83
AMOT	178.77	76.17	108.14	73.03	158.79	432.53	441.64	16.75	165.57	43.32	223.41	343.89	83.45	100.13	145.02	177.53	373.81	43.94	120.94	24.28	57.49	170.25	185.11	47.5	166.73	16.03	29.7	163.28	13.12	90.14	114.36	95.34	57.08	19.82	14.14	34.26	199.85	59.55	22.75	35.0	85.22	49.91	75.64	149.12	15.45	429.54	90.77	47.5	38.67	149.12	58.3	88.88	34.75
APOBEC3C	1008.9	525.39	473.41	441.64	381.68	603.67	529.06	111.99	244.57	166.73	575.03	909.17	525.39	325.29	563.18	514.56	591.22	239.52	389.72	139.07	493.56	713.11	674.59	417.77	466.88	187.71	205.5	476.71	183.82	575.03	571.05	490.14	271.48	208.38	348.71	323.03	493.56	397.93	94.67	287.01	642.59	384.34	305.55	470.14	251.48	620.67	497.0	148.09	133.36	733.19	264.03	429.54	708.18
ARHGEF40	518.15	500.46	738.29	497.0	497.0	1259.69	2018.8	339.14	1111.82	599.49	1151.06	1037.29	836.53	1477.58	1457.23	896.64	1909.85	629.35	1119.56	638.15	1030.12	1059.11	1268.46	684.02	1487.87	587.13	575.03	941.27	466.88	674.59	1073.91	902.89	703.28	633.73	351.14	242.88	1159.07	1143.1	518.15	353.59	633.73	563.18	1250.98	872.1	633.73	1199.98	954.43	536.45	381.68	1096.5	241.19	780.44	301.33
ASIC1	921.88	100.13	94.67	108.14	150.17	166.73	239.52	34.02	90.77	105.89	221.86	226.54	169.07	267.73	518.15	175.07	122.64	60.82	224.97	26.47	120.1	171.45	206.94	102.97	249.73	31.9	79.45	265.87	32.59	163.28	198.47	139.07	129.69	33.06	13.12	39.5	202.66	256.78	38.4	14.45	273.37	178.77	316.37	234.57	36.27	139.07	215.77	24.81	25.17	204.07	30.78	115.97	18.29
