	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.DM.A28C.01A.11R.A32Y.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.KL.8330.01A.11R.2315.07	TCGA.CJ.4882.01A.02R.1426.07	TCGA.DD.AAW2.01A.11R.A41C.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.DD.AAW3.01A.11R.A41C.07	TCGA.G3.A25U.01A.11R.A16W.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.VQ.A8E3.01A.11R.A39E.31	TCGA.BR.8372.01A.11R.2343.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.BR.8366.01A.11R.2343.13	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.F1.6874.01A.11R.1884.13	TCGA.BR.8296.01A.11R.2343.13	TCGA.D7.8572.01A.11R.2343.13	TCGA.D7.6817.01A.11R.1884.13	TCGA.HJ.7597.01A.21R.2203.13	TCGA.D7.A747.01A.22R.A33Y.31
AC000003.2	0.85	0.0	0.0	0.53	0.0	0.16	3.44	0.0	0.0	9.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.96	0.65	7.88	2.12	1.66	5.15	11.47	0.51	2.71	3.06	2.03
AC016745.1	0.0	0.0	1.85	3.66	10.0	1.45	20.11	0.0	0.0	16.15	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.0	0.0	0.89	0.83	12.0	3.29	19.39	13.42	20.86	14.67	21.78	3.38	9.27	15.34	3.72
AC104472.1	0.0	0.0	0.66	0.39	3.47	0.42	6.46	0.0	0.35	17.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	8.06	3.47	2.92	0.8	0.82	8.13	18.97	4.43	4.58	8.78	6.06
ACTL7A	0.0	0.0	0.0	3.03	1.68	0.0	10.31	1.0	0.0	3.26	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.16	0.09	0.32	0.83	3.47	0.96	3.38	3.08	0.6	0.55	0.61	0.58	0.0	3.38	4.98
AL353608.1	0.0	0.0	1.85	3.66	10.0	1.45	20.11	0.0	0.0	16.15	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.0	0.0	0.89	0.83	12.0	3.29	19.39	13.42	20.86	14.67	21.78	3.38	9.27	15.34	3.72
ARHGAP9	98.04	28.04	191.67	242.88	540.19	189.02	320.8	320.8	27.84	1037.29	56.68	25.17	37.32	51.35	249.73	63.45	142.01	191.67	158.79	44.89	61.25	457.25	329.84	1378.57	780.44	1923.14	395.18	703.28	429.54	426.57	309.83	896.64
ARRDC5	3.38	0.0	1.99	6.31	9.85	2.84	12.18	3.32	0.0	38.4	1.03	0.0	0.95	0.6	0.0	1.33	3.69	0.48	2.53	3.82	1.53	16.88	7.94	59.55	28.86	97.36	10.39	24.46	10.24	9.85	23.76	36.27
C12orf42	0.0	0.06	0.93	3.17	12.09	0.78	13.83	2.53	0.0	19.39	0.0	0.75	0.0	0.41	0.0	0.0	0.0	2.29	2.2	0.0	0.0	12.18	3.59	58.3	3.76	77.25	1.19	30.56	10.31	15.8	10.08	21.16
C16orf54	20.26	0.31	11.13	21.78	21.78	4.35	25.35	20.26	5.11	137.14	3.47	2.68	3.47	3.26	32.82	7.94	26.47	18.84	32.36	12.27	5.19	26.67	39.5	262.2	103.69	255.0	25.17	86.43	45.21	45.53	29.91	64.34
CR2	3.11	0.11	3.79	0.67	18.43	0.0	3.5	26.47	0.66	29.91	0.49	0.0	0.0	0.0	3.89	0.0	0.0	1.79	9.2	2.07	0.0	9.85	7.28	679.29	178.77	813.63	2.81	583.07	49.91	86.43	75.11	373.81
CTD-3138B18.4	0.0	0.0	1.23	0.34	3.2	0.14	10.55	0.0	0.34	49.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.41	1.99	2.05	4.62	5.59	8.51	14.67	6.57	7.11	13.42	3.38
CUBN	3.99	1.64	4.98	7.46	11.55	4.03	20.11	4.21	1.07	236.21	2.94	0.68	0.66	0.72	0.14	1.38	3.08	1.83	0.72	1.3	0.19	11.47	5.54	19.82	7.88	34.75	6.62	32.13	8.45	7.06	8.32	20.11
CXXC11	0.16	0.0	1.79	2.25	8.71	0.0	10.71	0.66	0.0	7.06	0.0	0.53	0.0	0.0	0.0	0.79	3.32	2.43	0.0	0.79	0.46	5.15	2.51	16.51	5.02	10.47	2.78	2.56	1.91	2.32	5.96	6.31
DNAJC5G	0.0	0.0	0.0	0.0	7.46	0.0	67.59	0.0	0.0	40.07	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.16	0.18	8.78	1.43	1.75	9.06	1.77	1.6	22.43	3.66	4.7	7.46	0.0
ERVFRD-1	0.68	0.0	8.99	17.9	12.64	1.17	77.79	2.53	0.33	33.06	0.0	0.0	0.92	0.0	1.06	0.0	1.36	1.93	0.27	0.4	0.73	9.41	3.72	9.06	2.53	4.98	5.63	19.82	3.23	8.85	6.46	12.74
FAM65B	7.0	2.01	35.0	30.78	69.03	16.51	112.77	81.14	3.5	287.01	25.72	5.11	14.78	8.45	43.63	26.1	45.85	48.18	31.22	19.11	27.05	76.17	54.72	567.1	193.01	1857.6	150.17	316.37	99.43	134.3	80.57	228.13
FMNL1	205.5	66.65	358.54	318.57	791.35	229.72	503.95	414.87	36.01	1242.34	53.19	15.34	34.26	45.53	165.57	106.63	271.48	141.02	163.28	73.54	37.05	547.75	318.57	1119.56	665.29	2240.11	693.58	802.41	698.41	536.45	575.03	583.07
GFI1	9.34	1.64	18.43	32.13	51.35	7.82	38.67	13.52	6.57	85.22	3.99	2.14	28.65	9.34	4.21	0.04	19.39	6.31	11.64	6.62	0.6	75.64	51.71	159.9	105.15	170.25	49.56	56.28	55.1	47.84	46.5	78.89
IKZF1	36.01	3.79	61.68	55.89	120.1	24.46	77.25	68.07	2.39	289.02	11.3	3.56	9.2	8.45	46.5	7.11	56.68	27.84	41.81	17.77	3.82	138.1	115.97	563.18	339.14	1407.55	194.36	412.0	226.54	214.27	97.36	297.17
IKZF3	4.21	1.53	17.51	17.0	29.48	3.92	18.84	20.71	1.35	51.35	1.28	0.46	0.82	2.14	0.18	2.76	64.34	3.82	13.03	1.55	0.92	134.3	63.89	438.59	202.66	902.89	106.63	178.77	124.37	132.44	94.67	189.02
IRGM	0.04	0.0	0.29	2.81	6.78	1.07	23.59	1.08	0.0	10.47	0.77	0.0	0.0	0.4	0.0	0.0	2.97	3.06	0.0	0.0	1.14	7.17	3.86	4.24	18.16	14.89	6.26	32.13	2.61	4.86	14.03	6.57
ITGAL	130.6	4.58	62.56	101.54	202.66	51.35	180.02	96.68	7.57	612.11	175.07	61.68	30.12	72.01	24.99	43.94	81.14	74.06	232.94	21.94	2.68	363.56	212.78	1151.06	738.29	2417.67	275.28	591.22	379.04	293.07	249.73	563.18
ITK	17.77	4.03	29.7	31.0	75.64	10.24	76.71	31.22	3.79	273.37	7.75	1.89	10.63	12.55	3.69	31.67	118.43	17.9	29.27	8.25	8.0	115.97	78.34	356.05	193.01	808.0	109.66	236.21	72.52	59.55	67.59	146.03
JAK3	44.57	14.67	127.89	85.82	226.54	47.84	195.72	111.99	10.63	902.89	7.0	11.21	7.69	12.09	13.62	19.11	182.55	32.59	65.26	14.24	21.32	236.21	152.28	543.96	521.76	1605.83	285.03	620.67	423.61	194.36	397.93	320.8
KCNA3	4.06	0.21	3.72	2.68	5.87	0.93	8.58	3.44	0.68	32.59	1.85	0.0	0.68	0.78	0.35	0.0	3.23	1.71	7.69	1.28	0.0	9.78	10.88	163.28	58.3	183.82	28.86	66.18	31.22	51.35	11.3	26.86
KLHL6	12.55	1.39	26.67	16.63	79.45	9.85	43.32	34.02	1.77	178.77	4.9	2.68	6.36	5.92	7.88	0.44	7.88	14.89	13.62	6.16	1.51	73.03	59.13	457.25	208.38	532.74	82.29	260.38	88.26	111.21	47.17	81.71
KLRC3	2.89	0.0	3.5	6.62	11.82	1.28	9.85	1.89	0.0	13.32	0.0	0.0	1.19	0.0	0.0	0.0	3.44	1.66	1.66	0.0	0.77	40.64	20.56	33.54	18.97	5.06	28.65	9.13	13.22	4.24	24.99	12.45
KRT4	3.697379928E7	0.0	1.810644424E7	6140819.49	122293.5	2.276004283E7	21468.49	3.109113511E7	0.0	1.33	0.0	0.0	0.0	0.0	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	5.54	0.97	2.51	2.92	1.07	1.91	7.4	1.04	7.11	4.28	4.58
LHB	19.39	0.0	4.78	36.53	23.25	0.0	7.51	0.0	11.64	13.72	0.0	0.0	0.0	0.0	0.16	2.18	4.35	0.16	1.38	3.89	0.56	41.81	11.3	15.11	28.65	12.36	17.64	18.97	52.45	43.32	54.33	12.0
LIMD2	193.01	97.36	249.73	346.29	688.78	155.5	426.57	397.93	42.71	2061.24	73.03	33.3	72.52	51.71	205.5	64.34	167.9	165.57	239.52	110.43	42.41	698.41	426.57	1832.01	954.43	2956.17	395.18	1073.91	518.15	595.34	620.67	848.22
MAP4K1	89.51	21.32	137.14	133.36	309.83	62.56	231.32	157.68	8.32	595.34	16.03	23.25	16.15	35.25	38.4	49.21	81.14	24.63	77.25	23.93	25.91	234.57	108.14	808.0	356.05	1322.37	124.37	493.56	162.14	191.67	146.03	366.09
NXNL2	0.95	1.38	7.63	37.05	16.88	0.0	45.53	8.0	1.79	97.36	0.0	0.0	0.0	0.57	0.0	0.22	2.36	1.71	1.95	0.56	0.0	9.41	3.47	1.48	2.63	10.55	2.81	16.39	4.98	12.0	6.46	18.43
P2RY10	8.45	0.0	14.45	10.71	33.78	5.59	45.53	28.24	1.69	194.36	0.8	0.0	2.1	2.76	8.65	9.93	41.52	5.68	8.85	3.89	0.29	38.4	96.01	483.38	146.03	503.95	42.71	232.94	85.82	76.71	47.84	204.07
PRKCB	14.03	7.69	40.07	29.91	77.25	15.91	92.7	73.54	1.69	148.09	7.4	2.43	6.41	8.0	81.14	16.75	28.65	14.67	20.11	26.1	9.2	71.0	75.11	507.46	198.47	848.22	70.01	348.71	82.29	111.21	82.29	514.56
PTPN22	9.93	3.35	22.75	55.89	90.77	30.56	70.01	39.5	2.1	118.43	8.32	0.69	3.82	6.06	24.46	14.89	40.93	28.86	13.42	14.03	9.63	226.54	115.16	532.74	249.73	397.93	102.97	162.14	93.35	53.57	93.35	136.19
PTPRCAP	124.37	32.13	183.82	157.68	414.87	114.36	229.72	346.29	50.98	1369.04	52.45	36.53	27.64	47.17	21.01	57.49	123.5	97.36	346.29	48.52	45.21	301.33	341.51	1662.49	1073.91	2075.59	234.57	921.88	269.6	575.03	387.02	743.43
PVRIG	37.32	4.86	27.64	17.25	52.82	14.67	35.76	43.63	3.89	303.44	6.52	0.0	0.0	6.36	8.58	1.85	14.45	4.74	10.47	6.52	1.28	74.58	65.72	318.57	234.57	555.41	55.49	231.32	51.35	83.45	69.52	202.66
PYHIN1	25.54	0.69	15.0	22.75	74.06	15.11	105.89	15.68	0.0	239.52	15.68	1.87	4.9	7.75	10.79	15.56	20.71	5.06	18.29	0.28	3.99	82.29	68.07	381.68	164.42	305.55	48.52	140.04	63.45	39.22	55.49	127.89
RHOH	73.54	4.24	62.56	48.87	158.79	21.47	122.64	92.05	3.76	525.39	12.55	2.81	20.26	8.13	75.11	7.28	90.14	34.75	20.71	14.03	6.36	94.67	166.73	551.56	336.79	1008.9	158.79	447.82	146.03	149.12	110.43	283.05
RP11-332O19.5	0.0	0.0	0.0	0.31	1.68	0.35	12.27	0.84	0.34	6.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.26	2.68	1.64	1.2	2.73	2.48	16.27	3.41	2.76	5.15	3.69
RUNX3	38.12	8.45	76.17	155.5	269.6	43.94	366.09	81.14	7.63	743.43	16.27	3.06	10.08	10.63	27.64	57.49	186.4	102.97	65.72	51.35	37.05	178.77	82.29	343.89	339.14	866.07	253.23	412.0	208.38	256.78	1417.35	438.59
SLAMF6	18.7	103.69	30.78	24.46	85.82	9.48	46.84	30.34	1.36	221.86	5.63	2.1	8.45	8.06	7.82	1.71	73.03	44.57	25.35	10.47	4.82	176.29	77.25	486.75	242.88	629.35	78.89	211.31	78.89	111.21	105.89	198.47
SLC5A11	1.19	0.57	1.87	6.89	10.31	3.96	44.57	2.27	1.71	31.9	0.0	8.06	1.79	0.95	0.0	2.29	1.01	0.0	0.0	1.33	0.0	10.55	7.75	2.89	2.92	13.22	18.43	19.82	5.92	13.03	8.71	1.31
SLFN12L	23.93	8.06	13.42	21.32	29.7	3.76	30.56	10.16	0.69	41.22	0.82	2.63	4.62	5.23	0.16	7.57	13.72	7.28	6.31	2.12	0.0	42.71	27.25	98.73	93.35	208.38	52.45	71.0	26.47	34.02	68.07	48.52
SP140	21.78	4.74	31.0	46.18	123.5	14.24	242.88	63.89	1.41	237.86	6.52	21.63	7.22	10.08	12.55	7.88	31.67	22.43	31.0	11.82	0.83	112.77	275.28	583.07	217.27	708.18	124.37	368.65	95.34	152.28	120.1	158.79
TAF1L	0.0	0.0	0.0	0.0	0.92	0.0	2.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71	0.79	0.87	0.65	0.67	0.61	3.92	2.63	1.99	1.68	0.82
TBC1D10C	180.02	7.51	94.67	90.14	167.9	60.39	115.16	152.28	10.47	616.37	20.41	17.77	92.7	29.06	24.11	13.42	113.56	52.08	190.34	12.74	14.14	197.09	185.11	743.43	420.68	1295.13	128.79	384.34	144.01	228.13	145.02	262.2
TMC8	100.83	29.06	154.42	198.47	759.08	108.9	228.13	214.27	8.38	514.56	37.85	15.22	17.0	22.1	20.86	35.5	100.13	53.95	79.45	32.13	15.0	361.04	169.07	1096.5	532.74	3349.13	753.83	854.13	209.84	373.81	202.66	642.59
TMCO5A	0.0	0.0	0.0	0.0	4.06	0.0	7.94	0.0	0.0	9.27	0.0	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.62	2.76	18.16	2.97	15.34	2.89	2.2	2.01	19.97	2.81	8.99	7.82	18.16
TMEM156	28.86	0.55	7.57	6.78	43.94	8.19	31.9	15.11	0.36	162.14	5.11	1.87	4.31	1.14	19.97	0.99	8.58	14.35	21.16	5.73	0.0	25.17	17.9	297.17	102.25	224.97	16.75	109.66	28.65	22.43	19.39	65.72
WNT1	8.58	0.0	1.89	2.66	4.35	0.96	8.25	0.8	0.0	3.66	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.42	0.0	0.0	0.0	3.26	1.28	10.08	5.45	13.22	2.07	4.39	1.85	6.36	4.94	1.6
ZNF80	1.17	0.0	0.87	2.89	5.54	0.0	9.78	4.21	1.73	21.63	0.0	0.0	0.0	0.99	0.0	0.16	2.18	0.0	1.75	0.0	0.0	3.32	1.43	18.7	13.52	53.95	3.35	16.75	3.5	6.78	8.51	14.89
