	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.XF.A9T6.01A.11R.A42T.07	TCGA.JX.A3PZ.01A.11R.A32Y.07	TCGA.CV.5966.01A.11R.1686.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.FV.A2QR.01A.11R.A213.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.A1EG.11A.11R.A213.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.X4EO.1126.SM.4QARQ	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07
ACOX2	12.18	66.65	39.5	12.36	33.06	44.25	1551.09	2739.08	3874.05	1697.45	2133.97	1313.23	1844.76	1407.55	3124.78	2104.58	1572.76	4937.99	5366.37	4210.15	13306.94	17197.56	24832.5	3820.7	24660.96	19082.0	25005.23	8778.97	31650.8	8538.88	12502.12	10585.95	17197.56	25708.25	19892.37	19618.49	10084.54	21919.61	11745.96	25887.07	21320.18	12764.83	15607.02	7803.01	14867.79	19214.73	6516.03	16496.96	4736.79	21919.61	20030.74	0.0	36.79
ACSM2A	0.0	0.0	0.0	0.0	0.0	0.0	486.75	2224.63	4575.41	3395.89	6652.97	1936.53	796.86	6337.83	3874.05	7180.15	1745.2	6294.04	5791.62	7749.1	14561.8	33688.23	68318.04	2287.2	63742.91	65082.31	42054.3	15180.22	105727.15	13033.07	38430.46	12676.65	45386.27	48982.22	8134.41	87075.75	13306.94	70727.3	14971.21	46339.95	53230.77	7589.61	29124.6	35856.82	18178.19	85283.74	5441.3	54349.29	3614.55	37121.34	38164.99	0.0	8.25
AFF1	72.01	72.52	82.29	237.86	108.14	99.43	99.43	204.07	95.34	94.01	234.57	96.68	90.77	122.64	111.99	162.14	58.3	146.03	239.52	260.38	327.56	343.89	412.0	186.4	432.53	457.25	323.03	353.59	599.49	285.03	318.57	217.27	256.78	525.39	406.31	547.75	305.55	379.04	329.84	536.45	217.27	483.38	299.25	195.72	395.18	334.46	141.02	599.49	275.28	376.41	529.06	231.32	20.56
AFM	0.0	0.29	0.0	0.0	0.0	0.0	59.13	2573.36	4210.15	3690.52	1977.24	3124.78	633.73	4038.61	1378.57	1250.98	1477.58	5954.47	7280.4	10154.69	16269.83	12589.08	61146.25	10296.45	59887.86	17681.08	69271.73	32540.65	48982.22	26431.04	16496.96	4358.66	14461.21	42641.37	10084.54	26614.89	51062.33	110216.97	23330.64	45072.75	12589.08	24321.43	55491.3	23820.89	66912.05	36357.37	3372.43	44452.21	12502.12	37901.36	37121.34	0.0	18.03
AGL	90.14	50.63	77.25	147.06	54.72	92.7	61.25	150.17	148.09	72.01	182.55	39.5	61.68	92.05	82.29	90.77	80.57	95.34	371.22	483.38	420.68	571.05	540.19	271.48	934.76	525.39	642.59	500.46	591.22	392.44	791.35	551.56	476.71	854.13	381.68	656.11	514.56	764.36	395.18	775.05	587.13	854.13	341.51	281.09	507.46	738.29	473.41	878.17	255.0	529.06	780.44	0.0	94.67
APLNR	5.23	135.24	90.14	15.22	54.72	10.96	35.25	34.75	44.25	182.55	381.68	279.14	43.94	239.52	156.59	166.73	33.54	231.32	229.72	45.21	507.46	264.03	435.55	190.34	934.76	518.15	769.69	500.46	348.71	175.07	32.59	293.07	447.82	389.72	483.38	444.72	323.03	1051.79	743.43	854.13	329.84	493.56	591.22	119.26	872.1	403.5	32.59	616.37	387.02	878.17	507.46	0.0	5.15
ARID4A	24.99	22.26	38.4	49.91	24.99	41.52	53.95	81.14	66.65	87.03	81.14	100.13	82.87	80.01	51.35	148.09	26.67	54.33	120.1	134.3	137.14	267.73	155.5	82.29	255.0	153.34	251.48	255.0	265.87	159.9	142.01	180.02	181.28	341.51	173.85	161.02	305.55	201.25	181.28	279.14	190.34	244.57	291.04	109.66	346.29	217.27	87.65	323.03	92.7	269.6	249.73	0.0	49.56
ART4	178.77	0.0	0.0	0.0	0.0	0.0	30.56	90.14	392.44	150.17	316.37	205.5	111.21	182.55	417.77	363.56	35.5	470.14	371.22	764.36	595.34	389.72	575.03	155.5	497.0	231.32	493.56	629.35	808.0	915.51	567.1	660.68	612.11	896.64	363.56	624.99	928.3	426.57	878.17	1628.26	429.54	995.0	674.59	291.04	1225.22	660.68	860.08	738.29	105.89	591.22	743.43	0.0	0.33
ATP11C	156.59	90.14	124.37	108.14	95.34	178.77	248.0	258.57	122.64	162.14	802.41	147.06	162.14	151.22	169.07	167.9	74.06	171.45	366.09	269.6	616.37	698.41	1417.35	470.14	748.61	921.88	1277.29	1561.89	961.07	555.41	902.89	599.49	928.3	1427.22	836.53	1233.75	638.15	1639.59	1151.06	1331.57	759.08	728.11	830.75	403.5	1216.75	651.58	728.11	2287.2	397.93	1407.55	2193.99	0.0	81.14
BDH2	303.44	1369.04	860.08	353.59	127.0	178.77	518.15	1561.89	1594.73	718.08	1685.71	444.72	441.64	595.34	1359.57	981.29	348.71	2133.97	2485.67	2367.9	2796.65	2875.3	3467.27	2758.13	3589.58	2351.53	2796.65	2701.35	2796.65	2855.44	2400.97	3716.2	1991.0	4010.71	2701.35	3419.52	3257.52	4671.57	2384.37	3614.55	2119.22	2935.74	2075.59	2061.24	4181.07	3982.99	3491.39	3491.39	2835.7	2434.5	3257.52	0.0	547.75
