	TCGA.GI.A2C8.11A.22R.A16F.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.U8XE.1326.SM.4E3JK	GTEX.13PVQ.1926.SM.5L3GN	GTEX.144GM.1626.SM.5O9AG	GTEX.11UD2.1526.SM.5EQLQ	GTEX.U8XE.1826.SM.4E3HV	GTEX.13O1R.1526.SM.5J1O7	GTEX.13PVQ.1826.SM.5L3GU	TCGA.WA.A7GZ.11A.11R.A34R.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.6939.11A.01R.1915.07	GTEX.11OF3.1326.SM.5N9FJ	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.AG.3732.11A.01R.1660.07	GTEX.13CF2.2426.SM.5LZYL
ABCA1	301.33	229.72	309.83	343.89	543.96	251.48	206.94	674.59	490.14	759.08	616.37	813.63	264.03	656.11	96.01	66.65	130.6	123.5	35.5	50.98	55.1	387.02	60.39
AC145676.2	4.46	3.72	4.7	37.32	28.24	10.24	42.41	83.45	34.26	43.63	55.89	104.42	71.0	58.71	3.08	13.83	34.51	1.91	38.95	0.0	0.41	1.53	1.97
AC187652.1	1.77	0.0	0.0	2.51	63.89	1.45	10.88	24.99	0.0	9.27	11.91	13.42	0.0	30.78	2.89	0.0	10.55	0.0	3.99	0.0	0.0	0.0	0.0
ADAM19	73.54	262.2	521.76	764.36	559.28	819.3	417.77	1059.11	629.35	769.69	941.27	1225.22	954.43	1111.82	87.65	102.97	98.04	55.1	8.13	3.76	0.82	417.77	205.5
AL590560.1	0.0	0.0	0.0	4.5	9.7	3.41	0.0	52.08	0.0	0.0	96.01	14.03	56.68	84.63	0.0	48.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALPK1	48.52	195.72	178.77	318.57	532.74	164.42	236.21	921.88	825.0	518.15	1199.98	1008.9	848.22	896.64	228.13	85.22	135.24	125.24	92.7	54.33	31.45	214.27	87.03
APOL1	258.57	583.07	780.44	995.0	988.12	503.95	503.95	3349.13	3372.43	3467.27	2701.35	2367.9	2224.63	3325.99	173.85	211.31	708.18	503.95	514.56	147.06	158.79	718.08	490.14
APOL2	353.59	575.03	651.58	656.11	836.53	567.1	463.65	3372.43	4543.8	4607.24	4769.75	1991.0	1268.46	6607.01	351.14	583.07	1044.52	679.29	323.03	236.21	181.28	638.15	271.48
APOL6	92.7	199.85	142.01	155.5	173.85	106.63	132.44	423.61	314.17	543.96	591.22	400.71	334.46	476.71	104.42	99.43	426.57	157.68	98.73	39.79	43.02	246.28	55.1
BCL3	486.75	825.0	579.04	3325.99	2555.58	6792.79	2193.99	8305.36	5517.27	7749.1	17197.56	6745.86	6337.83	7642.41	260.38	753.83	1950.0	532.74	172.65	87.03	29.27	493.56	1662.49
BCOR	323.03	248.0	486.75	420.68	486.75	490.14	460.44	860.08	332.14	1233.75	1066.48	947.83	536.45	543.96	395.18	329.84	397.93	353.59	299.25	90.14	31.45	457.25	389.72
BRD4	583.07	490.14	819.3	1037.29	1104.13	961.07	1044.52	1733.13	1369.04	1697.45	1151.06	1709.26	1268.46	1605.83	743.43	500.46	660.68	651.58	277.2	202.66	50.27	651.58	571.05
C11orf96	454.09	620.67	595.34	5219.6	7230.1	4575.41	10296.45	40341.14	17804.06	19892.37	24660.96	7695.57	8479.89	18560.17	88.26	624.99	1936.53	173.85	157.68	148.09	24.28	341.51	454.09
C19orf55	35.25	156.59	267.73	366.09	417.77	303.44	353.59	579.04	819.3	323.03	463.65	420.68	651.58	836.53	141.02	78.89	100.83	83.45	59.55	23.42	19.82	197.09	145.02
CCDC9	208.38	493.56	624.99	723.08	769.69	854.13	785.88	1769.57	1225.22	2485.67	1199.98	1628.26	1167.14	1572.76	371.22	346.29	503.95	341.51	228.13	158.79	111.21	511.0	353.59
CDK2	201.25	669.92	587.13	1242.34	866.07	1073.91	642.59	1295.13	1001.93	1832.01	1073.91	1277.29	1111.82	1135.2	339.14	228.13	420.68	217.27	208.38	258.57	81.14	423.61	228.13
CEACAM19	53.57	53.19	87.03	187.71	217.27	151.22	202.66	2032.85	595.34	309.83	1963.57	656.11	518.15	1159.07	281.09	232.94	49.91	28.45	22.43	7.34	7.63	88.88	131.51
CEP170B	37.05	371.22	395.18	693.58	633.73	713.11	642.59	902.89	703.28	587.13	651.58	836.53	743.43	1151.06	444.72	403.5	111.99	134.3	85.82	30.12	31.9	387.02	332.14
CHD1	209.84	426.57	289.02	813.63	780.44	764.36	842.36	1498.22	1407.55	1295.13	1605.83	1104.13	902.89	1857.6	301.33	275.28	309.83	187.71	170.25	84.04	46.5	555.41	291.04
CHD2	460.44	397.93	536.45	470.14	571.05	587.13	813.63	1467.37	1617.0	1417.35	1111.82	1059.11	1135.2	1685.71	497.0	258.57	332.14	426.57	231.32	99.43	54.33	603.67	265.87
CHPF2	128.79	384.34	295.11	473.41	483.38	277.2	371.22	802.41	624.99	414.87	738.29	708.18	748.61	733.19	226.54	301.33	318.57	423.61	242.88	323.03	161.02	299.25	201.25
CIC	371.22	656.11	1191.69	1295.13	1769.57	1359.57	1437.15	2555.58	1551.09	1832.01	2417.67	2224.63	1870.53	1883.54	616.37	521.76	698.41	616.37	409.15	161.02	100.13	764.36	620.67
CLCF1	28.04	127.0	169.07	368.65	389.72	656.11	141.02	866.07	638.15	1143.1	1498.22	860.08	981.29	1037.29	23.08	102.25	111.21	59.97	71.5	221.86	2.84	56.28	67.12
CNTD1	8.71	28.04	53.57	15.22	23.42	28.86	80.57	108.14	133.36	75.11	251.48	104.42	193.01	323.03	27.05	15.11	26.1	27.64	63.0	25.72	38.67	42.71	3.5
