	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6601.11A.01R.1774.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	GTEX.ZYFG.1926.SM.5GID5	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.XGQ4.1226.SM.4AT67	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.S4UY.0826.SM.4AD4Z	GTEX.Y5LM.1426.SM.5RQJL	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.AH.6643.11A.01R.1830.07	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.S4Z8.1226.SM.4AD6W	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.TKQ2.0926.SM.4DXU5	GTEX.11EQ9.1226.SM.5987E	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.TKQ1.0526.SM.4DXTG	GTEX.11P7K.1726.SM.5GU6F	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
ABHD11	241.19	297.17	769.69	555.41	1037.29	1757.34	172.65	723.08	633.73	1923.14	1313.23	2287.2	3280.18	3018.3	1508.65	244.57	532.74	339.14	232.94	271.48	291.04	429.54	258.57	295.11	420.68	215.77	327.56	269.6	169.07	201.25	441.64	320.8	221.86	211.31	587.13	384.34
ABHD17C	103.69	85.22	543.96	403.5	780.44	547.75	14.67	819.3	420.68	1313.23	1674.06	1674.06	2591.27	3146.52	748.61	10.47	954.43	111.21	65.26	43.94	40.36	242.88	212.78	186.4	147.06	122.64	88.26	169.07	126.12	99.43	191.67	94.67	82.29	142.01	406.31	142.01
ABHD3	119.26	57.89	808.0	748.61	1088.92	1096.5	93.35	896.64	567.1	1268.46	1697.45	1561.89	2255.7	3349.13	921.88	98.04	1639.59	169.07	104.42	159.9	98.04	256.78	248.0	206.94	215.77	199.85	204.07	144.01	228.13	142.01	161.02	327.56	244.57	305.55	466.88	237.86
AGPAT2	688.78	759.08	3235.01	1225.22	2384.37	3690.52	543.96	2119.22	1388.16	2209.26	3081.75	3665.02	4639.29	7331.05	2303.12	559.28	1977.24	466.88	507.46	669.92	417.77	3768.09	941.27	775.05	2090.03	909.17	620.67	909.17	967.76	1119.56	1030.12	587.13	1119.56	872.1	1909.85	934.76
AHCYL2	81.71	73.03	1427.22	1674.06	1508.65	1594.73	314.17	1508.65	813.63	3280.18	3060.45	2956.17	5147.73	6699.25	1628.26	146.03	2720.15	289.02	208.38	301.33	251.48	150.17	381.68	244.57	148.09	132.44	142.01	273.37	121.79	82.29	251.48	157.68	195.72	177.53	301.33	198.47
AKR1A1	1674.06	1883.54	2193.99	3124.78	3190.46	3124.78	1819.35	2645.74	2591.27	3614.55	3349.13	4575.41	5292.48	4736.79	3060.45	808.0	2520.38	1081.39	1143.1	1233.75	928.3	1870.53	2287.2	1697.45	2209.26	1733.13	1794.29	2133.97	1561.89	2090.03	1662.49	1697.45	1628.26	1794.29	2591.27	1628.26
AP1S1	540.19	633.73	860.08	1583.71	1540.37	1498.22	579.04	928.3	1104.13	1427.22	1322.37	2018.8	2119.22	2976.74	1051.79	379.04	723.08	379.04	293.07	334.46	334.46	547.75	414.87	289.02	620.67	518.15	341.51	500.46	366.09	529.06	575.03	323.03	500.46	547.75	775.05	376.41
APH1A	1250.98	941.27	2384.37	2520.38	2319.15	2855.44	1001.93	2664.15	2451.44	3716.2	3212.66	3235.01	4419.52	4512.4	2976.74	543.96	2319.15	915.51	775.05	1208.34	967.76	1295.13	1350.18	1844.76	2047.0	1697.45	1081.39	1594.73	1447.15	1199.98	1540.37	1594.73	1561.89	1605.83	1832.01	1594.73
APPL2	297.17	255.0	647.07	878.17	866.07	1151.06	226.54	1721.16	1088.92	1529.73	1923.14	1844.76	2976.74	3443.31	1313.23	253.23	2075.59	417.77	277.2	444.72	346.29	486.75	466.88	267.73	429.54	264.03	297.17	483.38	273.37	283.05	417.77	384.34	332.14	363.56	500.46	289.02
ARHGEF5	17.25	10.96	384.34	231.32	514.56	353.59	67.12	289.02	229.72	529.06	490.14	497.0	703.28	1088.92	397.93	34.51	400.71	138.1	38.95	51.71	37.05	62.12	110.43	187.71	92.7	115.16	48.87	103.69	153.34	70.51	105.15	62.56	90.14	119.26	234.57	75.11
ARRDC1	256.78	273.37	848.22	693.58	1135.2	1216.75	244.57	791.35	674.59	1685.71	1417.35	2004.85	2609.3	2664.15	1378.57	173.85	1001.93	320.8	314.17	348.71	264.03	688.78	529.06	483.38	633.73	571.05	483.38	514.56	583.07	438.59	703.28	511.0	529.06	406.31	1008.9	571.05
ASL	291.04	287.01	1037.29	1242.34	1733.13	1583.71	285.03	921.88	902.89	2451.44	1923.14	2997.45	3955.48	4210.15	2004.85	397.93	947.83	387.02	226.54	258.57	205.5	559.28	412.0	540.19	679.29	400.71	277.2	301.33	432.53	379.04	371.22	536.45	441.64	511.0	603.67	547.75
ATP6V0D1	2148.82	2224.63	2555.58	2875.3	3018.3	3491.39	1870.53	2997.45	3280.18	4066.71	3982.99	4671.57	6516.03	5954.47	3716.2	1870.53	3639.7	1794.29	1819.35	1923.14	1447.15	1844.76	1923.14	3395.89	2417.67	2367.9	2875.3	1977.24	2777.33	2956.17	2573.36	2537.92	2520.38	2018.8	2351.53	3280.18
BCL2L10	1.77	0.0	10.71	12.93	12.64	22.59	1.04	17.38	18.7	57.08	60.39	41.81	123.5	145.02	24.81	0.0	31.22	0.48	0.99	3.59	0.53	2.01	2.32	3.56	0.96	2.36	1.93	9.2	1.97	1.83	4.06	3.41	0.93	0.0	19.97	2.86
C6orf136	241.19	220.32	620.67	559.28	1081.39	1023.0	262.2	866.07	684.02	1417.35	1111.82	1508.65	1883.54	1896.65	1175.27	251.48	1008.9	271.48	316.37	327.56	346.29	466.88	381.68	341.51	373.81	332.14	376.41	397.93	241.19	236.21	575.03	275.28	291.04	281.09	438.59	409.15
CIB1	1277.29	1277.29	2664.15	3146.52	2915.45	2997.45	1111.82	3235.01	2758.13	3901.01	4239.45	5441.3	6561.36	6745.86	3443.31	995.0	3060.45	1191.69	1397.83	1277.29	1183.45	848.22	2133.97	1388.16	1950.0	1407.55	2018.8	1059.11	1369.04	1950.0	2417.67	1936.53	1870.53	1104.13	2720.15	1883.54
CLCN2	32.13	30.78	412.0	303.44	587.13	371.22	62.56	426.57	293.07	638.15	708.18	915.51	1674.06	1745.2	567.1	59.97	748.61	35.5	53.57	62.12	55.89	236.21	136.19	129.69	244.57	138.1	127.89	157.68	134.3	70.51	283.05	99.43	215.77	75.11	141.02	142.01
CORO2A	17.77	10.55	94.01	171.45	161.02	277.2	13.03	146.03	114.36	518.15	579.04	612.11	934.76	1037.29	228.13	4.7	194.36	33.06	20.56	16.88	8.78	78.89	66.65	63.89	66.18	73.54	39.79	73.54	60.82	43.02	46.5	37.05	45.85	77.79	255.0	33.3
CTSZ	3639.7	3540.14	4543.8	5183.54	5954.47	6840.04	3614.55	5441.3	5219.6	6164.49	7130.55	8363.13	9279.58	9344.14	5112.16	3443.31	5711.87	2555.58	2303.12	2758.13	2287.2	2739.08	4268.94	3257.52	5594.3	3146.52	4010.71	5441.3	4388.98	4704.07	4066.71	3257.52	2796.65	3018.3	4239.45	3540.14
CYB561D2	135.24	94.67	297.17	409.15	414.87	417.77	47.84	409.15	429.54	603.67	599.49	1001.93	1135.2	1051.79	493.56	88.88	435.55	154.42	98.73	108.9	84.63	204.07	177.53	141.02	229.72	178.77	186.4	232.94	202.66	197.09	211.31	249.73	199.85	165.57	348.71	198.47
