	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.11ZTT.2326.SM.5EQLG	GTEX.S32W.2026.SM.4AD6E	GTEX.SE5C.2126.SM.4BRUJ	GTEX.YJ8O.2226.SM.5IFHW	GTEX.YB5K.1626.SM.5IFIN	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07
LTN1	37.85	381.68	366.09	82.87	212.78	269.6	329.84	289.02	145.02	414.87	599.49	194.36	379.04	376.41	221.86	256.78	371.22	212.78	285.03	303.44	251.48	228.13	130.6	260.38	253.23	178.77	91.41	392.44	412.0	126.12	121.79	100.13	269.6	131.51	152.28	147.06	154.42	55.89	21.94	44.25	22.75	47.84	33.54
MAP3K7	169.07	620.67	532.74	209.84	325.29	400.71	444.72	395.18	293.07	532.74	688.78	327.56	525.39	607.87	373.81	371.22	540.19	332.14	414.87	420.68	363.56	320.8	241.19	438.59	397.93	262.2	220.32	529.06	470.14	264.03	271.48	244.57	361.04	234.57	205.5	395.18	343.89	194.36	101.54	206.94	150.17	143.01	64.34
MIB1	55.1	521.76	567.1	130.6	303.44	329.84	457.25	289.02	186.4	490.14	674.59	236.21	511.0	447.82	301.33	376.41	463.65	279.14	356.05	341.51	299.25	258.57	215.77	334.46	395.18	209.84	152.28	500.46	473.41	132.44	187.71	242.88	384.34	262.2	142.01	264.03	215.77	56.28	18.29	69.03	51.71	57.49	46.18
MIS18BP1	108.9	420.68	559.28	156.59	389.72	279.14	435.55	325.29	265.87	575.03	688.78	277.2	476.71	414.87	356.05	392.44	400.71	307.69	447.82	409.15	412.0	255.0	483.38	426.57	343.89	289.02	171.45	567.1	329.84	237.86	318.57	120.94	348.71	214.27	285.03	423.61	287.01	31.67	33.54	59.97	20.56	46.84	16.27
NAA15	85.22	414.87	450.94	111.21	217.27	297.17	305.55	316.37	231.32	423.61	647.07	241.19	336.79	414.87	232.94	279.14	420.68	224.97	223.41	368.65	209.84	223.41	161.02	316.37	336.79	289.02	202.66	314.17	412.0	170.25	309.83	226.54	353.59	202.66	178.77	255.0	384.34	90.14	24.28	85.82	56.68	113.56	31.22
NAF1	152.28	334.46	287.01	111.21	226.54	228.13	251.48	217.27	131.51	307.69	476.71	164.42	291.04	307.69	198.47	262.2	283.05	206.94	267.73	218.79	199.85	241.19	162.14	190.34	181.28	171.45	103.69	244.57	271.48	121.79	170.25	96.01	466.88	112.77	117.6	204.07	148.09	96.68	94.67	108.14	108.9	67.59	81.71
NPAT	42.71	242.88	264.03	62.56	148.09	141.02	242.88	162.14	115.97	283.05	384.34	149.12	234.57	231.32	162.14	197.09	262.2	122.64	166.73	202.66	177.53	131.51	105.89	161.02	181.28	135.24	78.89	234.57	220.32	81.71	180.02	90.77	183.82	99.43	99.43	143.01	149.12	31.9	9.2	38.12	24.99	29.06	12.64
PELI1	105.89	813.63	967.76	258.57	454.09	351.14	651.58	470.14	237.86	693.58	1662.49	327.56	902.89	1135.2	314.17	490.14	713.11	325.29	532.74	514.56	400.71	384.34	198.47	265.87	287.01	389.72	241.19	728.11	759.08	153.34	381.68	314.17	612.11	144.01	209.84	373.81	293.07	121.79	110.43	156.59	189.02	73.54	56.68
PHIP	38.95	612.11	620.67	88.26	281.09	256.78	540.19	301.33	161.02	607.87	872.1	211.31	591.22	457.25	307.69	420.68	665.29	208.38	457.25	356.05	336.79	234.57	220.32	295.11	269.6	191.67	141.02	547.75	483.38	169.07	173.85	143.01	318.57	178.77	116.78	191.67	157.68	38.4	12.55	49.56	41.52	22.75	9.63
PLIN1	7.82	6887.62	10883.59	45701.96	64632.75	54349.29	15715.58	53230.77	59474.18	9279.58	4903.87	55107.99	26067.14	22850.48	50359.33	41763.8	6745.86	57448.23	46986.85	30785.28	62431.08	52497.92	50709.61	84694.64	78476.96	82378.63	46339.95	25354.3	45701.96	66912.05	51775.15	41188.81	59063.35	85876.94	97965.44	88291.3	67377.47	0.74	3.41	10.31	1.06	23.25	197.09
