	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A092.01A.11R.A00Z.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.AR.A0TZ.01A.12R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A2.A0YT.01A.11R.A109.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.D8.A1JD.01A.11R.A13Q.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.BH.A18L.01A.32R.A12D.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.AAVV.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07
ABCE1	373.81	753.83	753.83	961.07	1369.04	693.58	1044.52	651.58	497.0	423.61	532.74	591.22	708.18	647.07	769.69	629.35	1096.5	967.76	703.28	928.3	764.36	896.64	866.07	638.15	848.22	559.28	842.36	529.06	718.08	1111.82	674.59	309.83	854.13	769.69	660.68	283.05	587.13	785.88	500.46	1477.58	698.41	1037.29	665.29	915.51	1096.5	1096.5	1628.26	620.67	848.22	698.41	738.29	665.29	647.07	624.99	518.15	1745.2	1030.12	444.72	941.27	591.22	624.99	583.07	1111.82	633.73	587.13	890.44	555.41	748.61	432.53	775.05	753.83	514.56	738.29	540.19	466.88	633.73	473.41	563.18	967.76	651.58	961.07	915.51	928.3	457.25	575.03	339.14	186.4	289.02	249.73	169.07	361.04	351.14	387.02	258.57	371.22	293.07	228.13	248.0	267.73	215.77	303.44	389.72	441.64	366.09	356.05	178.77	303.44	154.42
ACAP2	107.38	470.14	332.14	417.77	679.29	205.5	212.78	281.09	156.59	154.42	155.5	244.57	229.72	201.25	149.12	186.4	473.41	327.56	248.0	327.56	293.07	368.65	454.09	172.65	267.73	223.41	253.23	220.32	231.32	486.75	177.53	120.94	283.05	444.72	251.48	172.65	199.85	258.57	242.88	336.79	193.01	327.56	336.79	307.69	397.93	551.56	486.75	244.57	460.44	536.45	223.41	329.84	441.64	181.28	130.6	595.34	376.41	229.72	316.37	279.14	186.4	111.99	332.14	162.14	145.02	275.28	303.44	295.11	314.17	281.09	332.14	279.14	226.54	167.9	136.19	275.28	204.07	228.13	376.41	346.29	285.03	256.78	206.94	162.14	164.42	127.89	66.18	109.66	62.12	49.91	85.82	102.97	86.43	88.26	108.14	67.59	73.03	81.14	63.89	52.08	84.63	90.14	105.15	69.03	137.14	70.51	74.06	48.87
AGO1	68.07	159.9	191.67	120.94	142.01	67.12	134.3	255.0	87.65	151.22	84.04	97.36	96.01	82.87	55.1	194.36	241.19	133.36	163.28	147.06	149.12	165.57	158.79	136.19	129.69	96.01	187.71	121.79	127.0	144.01	129.69	91.41	206.94	144.01	153.34	104.42	141.02	169.07	137.14	182.55	348.71	117.6	202.66	182.55	209.84	163.28	141.02	143.01	204.07	214.27	156.59	231.32	253.23	98.04	116.78	172.65	239.52	106.63	132.44	76.71	139.07	75.64	181.28	182.55	106.63	139.07	183.82	136.19	307.69	111.99	140.04	134.3	95.34	116.78	128.79	77.79	131.51	135.24	208.38	241.19	202.66	187.71	111.99	69.52	122.64	63.89	47.17	55.49	41.52	43.63	26.67	42.11	37.59	37.59	68.07	59.97	43.63	52.82	34.51	44.89	53.95	57.49	90.77	84.04	47.17	29.27	55.1	41.52
AGTPBP1	67.12	101.54	150.17	163.28	583.07	110.43	101.54	88.88	60.82	71.0	139.07	79.45	88.26	92.7	54.33	113.56	185.11	143.01	91.41	127.0	129.69	166.73	121.79	90.77	69.03	89.51	143.01	76.71	119.26	136.19	71.0	36.79	214.27	95.34	32.59	77.79	88.26	215.77	115.97	140.04	132.44	72.52	96.68	113.56	190.34	152.28	214.27	92.7	139.07	159.9	94.67	63.45	226.54	63.0	86.43	289.02	153.34	74.06	139.07	33.06	134.3	67.59	127.0	69.03	126.12	107.38	75.64	115.97	126.12	87.03	98.73	101.54	63.45	42.71	49.56	53.95	55.89	48.52	145.02	167.9	201.25	154.42	115.16	24.63	68.07	63.45	40.93	46.84	52.82	30.56	40.64	58.3	98.73	55.49	55.89	49.91	21.16	42.11	40.36	45.85	40.93	42.11	77.79	55.1	85.22	29.91	56.68	19.39
ANAPC1	193.01	265.87	289.02	149.12	332.14	154.42	206.94	255.0	152.28	173.85	208.38	172.65	228.13	157.68	201.25	183.82	301.33	289.02	152.28	224.97	283.05	327.56	409.15	164.42	208.38	142.01	208.38	143.01	140.04	271.48	221.86	120.94	256.78	253.23	205.5	170.25	133.36	220.32	193.01	320.8	205.5	224.97	251.48	194.36	295.11	312.0	325.29	204.07	285.03	273.37	197.09	198.47	271.48	189.02	139.07	503.95	267.73	155.5	265.87	214.27	218.79	248.0	212.78	128.79	158.79	279.14	226.54	206.94	249.73	206.94	164.42	157.68	133.36	142.01	170.25	242.88	205.5	177.53	327.56	234.57	269.6	169.07	100.83	163.28	153.34	137.14	148.09	77.25	108.9	154.42	172.65	127.89	107.38	111.21	151.22	159.9	112.77	113.56	84.04	84.04	115.16	138.1	121.79	108.14	120.1	106.63	110.43	78.34
ANKIB1	201.25	633.73	559.28	665.29	674.59	314.17	420.68	928.3	325.29	255.0	356.05	417.77	373.81	309.83	153.34	262.2	595.34	543.96	351.14	473.41	480.04	660.68	753.83	249.73	351.14	490.14	454.09	323.03	543.96	466.88	281.09	327.56	575.03	603.67	473.41	271.48	384.34	490.14	193.01	417.77	387.02	409.15	409.15	438.59	603.67	1073.91	1104.13	426.57	346.29	591.22	309.83	395.18	708.18	336.79	264.03	785.88	674.59	275.28	339.14	348.71	303.44	236.21	595.34	435.55	248.0	409.15	327.56	395.18	547.75	518.15	486.75	483.38	346.29	287.01	155.5	595.34	327.56	392.44	775.05	753.83	329.84	348.71	323.03	237.86	334.46	143.01	64.34	107.38	80.57	89.51	63.45	87.03	57.08	70.01	121.79	107.38	103.69	127.0	57.49	72.52	72.52	99.43	110.43	73.54	117.6	106.63	110.43	57.89
AP4E1	38.4	145.02	102.25	134.3	70.51	101.54	59.55	139.07	77.25	47.5	54.72	87.03	72.52	72.52	59.97	77.25	151.22	109.66	71.0	67.12	111.99	120.94	166.73	71.5	115.16	99.43	82.29	53.95	98.04	149.12	58.3	45.21	128.79	117.6	156.59	137.14	62.12	105.89	77.79	134.3	111.21	110.43	111.99	125.24	94.01	234.57	166.73	79.45	121.79	164.42	64.34	105.89	156.59	68.55	75.64	105.89	100.13	74.58	88.88	116.78	94.67	56.68	88.88	67.12	53.19	124.37	88.26	113.56	114.36	101.54	132.44	102.25	289.02	53.57	49.21	163.28	231.32	100.83	125.24	86.43	108.14	74.06	105.89	50.98	68.07	46.18	29.48	34.02	36.53	31.45	33.54	28.24	32.13	34.75	54.72	67.59	28.24	28.45	31.67	28.45	35.0	43.02	28.86	28.24	45.53	29.27	36.01	15.56
APC	35.25	171.45	224.97	175.07	140.04	94.01	124.37	146.03	102.25	80.01	72.01	147.06	98.73	71.0	49.21	97.36	208.38	215.77	113.56	178.77	156.59	202.66	242.88	178.77	191.67	114.36	158.79	104.42	167.9	309.83	125.24	82.29	248.0	198.47	125.24	126.12	119.26	124.37	135.24	262.2	175.07	209.84	182.55	248.0	237.86	206.94	309.83	102.25	242.88	309.83	130.6	187.71	181.28	140.04	81.71	224.97	237.86	67.59	90.77	113.56	105.89	64.8	183.82	85.22	111.21	139.07	215.77	150.17	116.78	181.28	212.78	106.63	124.37	87.03	99.43	133.36	102.97	102.25	198.47	198.47	301.33	148.09	138.1	85.82	108.14	61.25	28.86	41.81	30.78	42.11	43.94	51.71	35.5	35.5	85.22	63.89	32.82	43.63	77.79	43.63	32.13	86.43	61.25	41.22	65.72	29.48	59.55	21.01
API5	620.67	2047.0	1950.0	1008.9	2303.12	1233.75	1697.45	1397.83	1119.56	915.51	802.41	1594.73	1242.34	921.88	1216.75	1008.9	1991.0	1369.04	1081.39	1407.55	1191.69	1721.16	2240.11	1008.9	1457.23	941.27	1427.22	981.29	1268.46	2061.24	748.61	647.07	1447.15	1457.23	1081.39	1037.29	967.76	1397.83	1340.84	1250.98	915.51	1313.23	1745.2	1015.93	1477.58	2018.8	3982.99	1286.18	1268.46	1127.35	1037.29	1216.75	2319.15	1135.2	967.76	2591.27	1467.37	961.07	1417.35	1417.35	1183.45	1044.52	1111.82	866.07	961.07	1487.87	1001.93	1350.18	1529.73	928.3	1322.37	1286.18	1216.75	934.76	759.08	1233.75	497.0	1135.2	2777.33	1008.9	1175.27	1111.82	1023.0	860.08	1104.13	656.11	486.75	547.75	486.75	507.46	551.56	559.28	591.22	543.96	457.25	633.73	423.61	463.65	547.75	503.95	500.46	543.96	587.13	612.11	656.11	483.38	536.45	543.96
ARHGAP5	358.54	429.54	525.39	507.46	684.02	256.78	620.67	669.92	420.68	320.8	178.77	395.18	651.58	297.17	130.6	301.33	854.13	796.86	688.78	633.73	954.43	612.11	860.08	483.38	967.76	351.14	518.15	521.76	518.15	693.58	397.93	211.31	575.03	860.08	74.06	438.59	497.0	490.14	703.28	463.65	518.15	525.39	543.96	693.58	878.17	974.5	2090.03	371.22	733.19	1081.39	540.19	279.14	854.13	503.95	249.73	1540.37	656.11	301.33	420.68	343.89	414.87	244.57	738.29	507.46	435.55	409.15	435.55	620.67	473.41	808.0	813.63	426.57	728.11	414.87	215.77	497.0	435.55	309.83	769.69	318.57	825.0	607.87	438.59	441.64	447.82	348.71	173.85	194.36	151.22	144.01	249.73	146.03	145.02	187.71	231.32	224.97	180.02	260.38	130.6	104.42	176.29	384.34	166.73	115.97	246.28	191.67	191.67	96.01
