	TCGA.KM.8639.01A.11R.2403.07	TCGA.KM.8438.01A.11R.2315.07	TCGA.KL.8337.01A.11R.2315.07	TCGA.KL.8324.01A.11R.2315.07	TCGA.KN.8418.01A.11R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8425.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KL.8330.01A.11R.2315.07	TCGA.KN.8434.01A.11R.2315.07	TCGA.KL.8336.01A.11R.2315.07	TCGA.KO.8417.01A.11R.2315.07	TCGA.KM.8441.01A.11R.2315.07	TCGA.KN.8424.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KL.8329.01A.11R.2315.07	TCGA.KL.8343.01A.11R.2315.07	TCGA.KL.8334.01A.11R.2315.07	TCGA.KN.8430.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	TCGA.KN.8435.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.KN.8429.01A.11R.2315.07	TCGA.KO.8415.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8422.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.N7MS.1626.SM.3LK5F	GTEX.13112.2126.SM.5GCO4	TCGA.B0.5117.01A.01R.1420.07	TCGA.A3.3328.01A.01R.0864.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.A4.7732.01A.11R.2139.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.G7.A4TM.01A.11R.A31O.07	TCGA.DW.5561.01A.01R.1592.07	TCGA.5P.A9K8.01A.11R.A42S.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.MH.A857.01A.11R.A355.07	TCGA.DW.7840.01A.11R.A32Z.07	TCGA.A4.A4ZT.11A.11R.A26U.07	TCGA.Y8.A8RY.11A.11R.A37K.07	TCGA.P4.A5ED.11A.11R.A28H.07	TCGA.BQ.7055.11A.01R.1965.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.EY.A3L3.01A.11R.A22K.07	TCGA.FL.A3WE.11A.11R.A22K.07	TCGA.N5.A59F.01A.11R.A28V.07	TCGA.N5.A4R8.01A.11R.A28V.07
LYRM4	392.44	486.75	392.44	285.03	206.94	249.73	389.72	156.59	295.11	323.03	229.72	273.37	155.5	258.57	320.8	283.05	236.21	264.03	285.03	275.28	279.14	279.14	441.64	563.18	299.25	180.02	176.29	208.38	343.89	291.04	647.07	529.06	435.55	718.08	921.88	703.28	283.05	470.14	511.0	3235.01	299.25	463.65	693.58	470.14	780.44	587.13	660.68	753.83	656.11	947.83	543.96	583.07	289.02	595.34	518.15	480.04	595.34	346.29	450.94	1250.98	909.17	1417.35	947.83
MEA1	2351.53	1111.82	878.17	1081.39	1023.0	860.08	1073.91	860.08	2240.11	941.27	848.22	896.64	848.22	909.17	1143.1	961.07	1508.65	896.64	1477.58	1096.5	902.89	995.0	921.88	1757.34	813.63	1175.27	1015.93	961.07	928.3	872.1	2061.24	1508.65	1628.26	2537.92	3372.43	1923.14	1359.57	1757.34	1605.83	3039.3	890.44	1923.14	2627.46	1991.0	1923.14	1963.57	2075.59	2682.69	1963.57	2758.13	2645.74	1806.78	1697.45	1561.89	1594.73	1745.2	1685.71	1417.35	1369.04	2895.31	2520.38	4010.71	3395.89
MED24	1242.34	872.1	563.18	1119.56	514.56	490.14	698.41	642.59	1295.13	759.08	555.41	738.29	713.11	679.29	723.08	551.56	1015.93	567.1	1104.13	1059.11	698.41	595.34	587.13	866.07	693.58	866.07	808.0	518.15	733.19	591.22	872.1	1059.11	1066.48	651.58	507.46	1697.45	775.05	981.29	1467.37	438.59	507.46	1119.56	1331.57	1135.2	82.87	921.88	1909.85	2133.97	1794.29	2351.53	988.12	2061.24	1037.29	1870.53	1175.27	1051.79	1037.29	1135.2	878.17	3280.18	5403.7	2075.59	2255.7
MRPL18	2271.4	1313.23	896.64	884.29	1015.93	1183.45	1242.34	915.51	2303.12	1030.12	995.0	988.12	974.5	1250.98	1242.34	1340.84	1457.23	941.27	1685.71	1757.34	1167.14	1175.27	974.5	2351.53	974.5	1199.98	1417.35	1135.2	1059.11	967.76	2018.8	1639.59	1617.0	1991.0	3018.3	1685.71	1322.37	1923.14	1233.75	2303.12	1175.27	1437.15	2417.67	1605.83	1135.2	1870.53	1977.24	2367.9	1832.01	2875.3	2367.9	1437.15	1561.89	1529.73	1508.65	1467.37	1605.83	1340.84	1388.16	2367.9	2777.33	2351.53	3325.99
NCOR1	1286.18	470.14	483.38	571.05	473.41	392.44	500.46	336.79	1268.46	718.08	463.65	444.72	728.11	595.34	543.96	660.68	1313.23	480.04	1617.0	420.68	603.67	483.38	536.45	1127.35	507.46	607.87	486.75	543.96	500.46	603.67	915.51	1008.9	1417.35	1733.13	967.76	2224.63	688.78	1378.57	1923.14	325.29	473.41	1350.18	1216.75	723.08	106.63	1457.23	3060.45	1467.37	1519.15	2090.03	1388.16	1651.0	1135.2	1781.89	1540.37	1561.89	1378.57	1378.57	743.43	808.0	1561.89	769.69	988.12
NOL11	343.89	358.54	279.14	248.0	223.41	271.48	356.05	224.97	607.87	246.28	262.2	264.03	309.83	305.55	318.57	316.37	511.0	253.23	507.46	371.22	325.29	271.48	293.07	454.09	289.02	325.29	299.25	253.23	305.55	320.8	612.11	521.76	579.04	660.68	493.56	638.15	406.31	540.19	579.04	447.82	429.54	703.28	728.11	476.71	204.07	624.99	1369.04	1378.57	1313.23	954.43	624.99	1286.18	559.28	1259.69	536.45	460.44	563.18	507.46	819.3	2104.58	1277.29	7695.57	2224.63
NUP88	283.05	260.38	339.14	215.77	381.68	356.05	543.96	275.28	559.28	384.34	226.54	195.72	224.97	267.73	447.82	226.54	620.67	403.5	373.81	400.71	595.34	376.41	435.55	595.34	353.59	389.72	493.56	540.19	503.95	356.05	941.27	1044.52	915.51	1030.12	728.11	1111.82	507.46	981.29	733.19	1697.45	595.34	532.74	1340.84	698.41	718.08	1417.35	1733.13	1844.76	1199.98	1685.71	638.15	1397.83	429.54	1350.18	1037.29	995.0	769.69	1030.12	1216.75	2119.22	1286.18	2224.63	2468.49
PBX2	1250.98	480.04	463.65	532.74	429.54	356.05	563.18	293.07	679.29	536.45	432.53	460.44	555.41	575.03	376.41	490.14	642.59	457.25	688.78	551.56	490.14	447.82	348.71	660.68	435.55	595.34	392.44	476.71	435.55	511.0	1051.79	854.13	1331.57	591.22	536.45	1295.13	536.45	909.17	420.68	251.48	277.2	1127.35	1208.34	928.3	63.0	995.0	1359.57	1225.22	1561.89	1651.0	780.44	1819.35	669.92	1175.27	1051.79	967.76	961.07	967.76	713.11	2645.74	1721.16	2224.63	2148.82
PFDN6	2133.97	2193.99	1794.29	1685.71	1628.26	1369.04	2193.99	1151.06	2351.53	1225.22	1286.18	1417.35	1286.18	1447.15	1551.09	1923.14	1467.37	1417.35	1295.13	2537.92	2351.53	1457.23	1304.15	1883.54	1745.2	1477.58	1447.15	1551.09	2119.22	1359.57	2520.38	1991.0	1923.14	2303.12	3303.0	1529.73	2367.9	2855.44	1417.35	3257.52	1685.71	1963.57	4010.71	2520.38	1963.57	2573.36	3257.52	4268.94	3212.66	3690.52	2384.37	3928.15	2047.0	2739.08	1721.16	2271.4	1757.34	1819.35	3081.75	4769.75	5041.77	9876.98	11189.6
POLR1C	457.25	260.38	202.66	224.97	217.27	275.28	267.73	138.1	426.57	197.09	197.09	223.41	212.78	231.32	264.03	269.6	373.81	226.54	332.14	289.02	241.19	234.57	204.07	379.04	242.88	287.01	215.77	220.32	155.5	217.27	624.99	563.18	642.59	500.46	412.0	460.44	267.73	389.72	384.34	616.37	314.17	500.46	656.11	476.71	214.27	555.41	796.86	791.35	896.64	890.44	444.72	967.76	514.56	638.15	500.46	551.56	587.13	497.0	514.56	1457.23	934.76	1242.34	974.5
