	TCGA.GC.A3WC.01A.31R.A22U.07	TCGA.A2.A0EM.01A.11R.A034.07	TCGA.AR.A256.01A.11R.A169.07	TCGA.A2.A0EM.01A.11R.A034.07.1	TCGA.BH.A18Q.01A.12R.A12D.07	TCGA.75.5147.01A.01R.1628.07	TCGA.BR.4191.01A.02R.1131.13	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.ET.A3DS.01A.11R.A19O.07	TCGA.FE.A239.01A.11R.A16R.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.EL.A3ZP.11A.11R.A23N.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.SUCS.0226.SM.32PLQ	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.ZLWG.0526.SM.4WWFB	GTEX.139YR.1226.SM.5IFEU	GTEX.YEC3.0826.SM.4WWFP	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.WFG8.0426.SM.3GILD	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.Z9EW.0226.SM.5CVM7
ANLN	547.75	127.89	1208.34	127.89	532.74	295.11	241.19	55.49	69.03	80.57	68.55	49.91	20.26	35.5	9.13	10.79	39.79	7.51	13.42	3.92	18.7	45.53	8.32	26.28	11.64	22.1	7.94	27.05	26.28	10.71	68.07	15.56	25.91	8.13	7.94	6.16	11.38	8.25	14.89	10.39	10.47	49.21	37.85	9.56	19.25
ARHGAP11A	255.0	111.99	575.03	111.99	159.9	117.6	154.42	49.56	53.19	70.51	110.43	83.45	34.26	97.36	46.84	48.18	95.34	16.51	13.42	26.47	28.65	54.72	44.89	14.14	39.79	11.64	36.53	22.26	63.0	43.02	73.03	20.86	17.13	24.99	40.07	73.03	24.46	19.53	37.32	31.67	29.91	64.34	61.25	18.56	34.02
ASF1B	708.18	258.57	559.28	258.57	599.49	447.82	334.46	181.28	100.83	204.07	177.53	98.73	45.21	47.5	10.96	20.41	77.79	6.46	8.99	21.94	20.86	28.65	32.82	48.18	21.94	35.0	42.71	29.27	59.55	22.43	125.24	85.22	74.06	17.0	55.49	9.13	6.11	42.41	67.12	28.86	25.72	80.57	84.04	15.68	20.26
ASPM	373.81	54.72	713.11	54.72	414.87	100.13	75.64	19.11	11.38	38.95	58.3	25.91	3.96	11.82	2.32	3.44	17.38	0.84	1.22	1.38	1.83	3.92	1.79	4.13	0.89	6.52	5.23	3.92	13.42	1.39	25.54	3.2	2.89	0.42	1.87	1.89	1.33	0.39	10.63	3.96	0.0	20.26	9.7	0.8	0.43
AURKA	529.06	176.29	1651.0	176.29	420.68	368.65	723.08	68.07	73.54	95.34	164.42	93.35	55.89	89.51	39.79	51.35	90.77	41.52	14.03	47.84	50.63	43.63	87.65	61.25	40.64	22.43	45.21	64.34	66.65	53.95	105.89	78.34	64.8	57.08	32.36	41.81	33.54	66.18	64.8	55.1	31.67	66.18	68.07	24.28	22.75
AURKB	1059.11	136.19	1030.12	136.19	591.22	629.35	656.11	114.36	70.01	177.53	447.82	145.02	19.97	41.81	17.25	14.14	47.17	5.5	20.86	14.24	18.7	25.35	48.87	38.4	9.13	29.27	26.86	17.77	43.94	52.08	66.65	51.71	36.27	7.28	13.83	17.0	6.84	17.0	78.34	31.22	9.93	79.45	57.49	11.38	10.08
BIRC5	638.15	260.38	1605.83	260.38	854.13	902.89	486.75	111.99	120.1	181.28	193.01	77.79	16.39	35.76	7.88	18.56	42.41	13.12	6.16	3.0	6.01	13.42	24.11	19.53	3.76	22.59	14.67	24.11	25.91	11.55	75.64	28.65	18.56	9.13	8.51	4.58	2.53	12.64	21.16	11.55	0.73	49.21	62.56	11.04	12.74
BRIP1	72.01	32.59	98.73	32.59	264.03	46.18	64.8	9.85	11.38	14.24	24.46	10.88	4.28	9.56	0.0	2.14	1.81	0.85	4.28	0.48	1.3	5.54	2.92	2.2	0.89	0.84	1.31	4.24	1.36	1.75	6.62	12.74	0.48	0.48	1.31	1.33	0.88	0.0	2.23	2.97	1.3	3.92	8.13	1.58	0.91
BUB1	305.55	85.22	1397.83	85.22	447.82	351.14	387.02	58.3	42.41	108.14	154.42	65.72	17.25	90.14	3.92	23.42	18.97	3.82	1.55	4.98	4.9	18.7	16.27	28.45	4.03	5.54	22.59	4.86	40.36	6.57	65.26	13.83	8.92	10.31	8.99	4.06	1.69	0.8	23.42	6.36	8.92	41.52	21.16	5.87	3.14
BUB1B	351.14	88.88	555.41	88.88	381.68	217.27	178.77	181.28	44.57	53.19	190.34	61.68	16.15	67.12	28.45	12.18	21.63	12.74	26.86	12.27	9.78	66.65	14.03	12.45	10.63	19.11	14.56	31.9	19.11	9.7	36.01	18.56	7.51	5.54	7.63	8.45	10.39	8.06	27.44	24.63	13.72	47.5	46.84	11.55	7.69
