	TCGA.C4.A0F0.01A.12R.A10U.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CN.6998.01A.23R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.49.AAQV.01A.11R.A39D.07	TCGA.05.4402.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.J2.A4AD.01A.11R.A24H.07	TCGA.49.AARO.01A.12R.A41B.07	TCGA.44.6147.01A.11R.A278.07	TCGA.NJ.A4YQ.01A.11R.A262.07	GTEX.X3Y1.0626.SM.3P5YS	GTEX.ZE7O.0826.SM.57WCP	TCGA.22.4596.01A.01R.1201.07	TCGA.98.A53H.01A.12R.A262.07	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.8296.01A.11R.2343.13
ABCC3	21.94	536.45	253.23	93.35	135.24	102.25	503.95	1794.29	934.76	104.42	4543.8	2303.12	2209.26	4268.94	854.13	769.69	1350.18	713.11	61.25	59.55	231.32	57.49	154.42	136.19	3443.31
ABHD2	351.14	177.53	316.37	185.11	297.17	220.32	205.5	417.77	848.22	88.26	633.73	414.87	1397.83	2796.65	1104.13	909.17	444.72	961.07	438.59	575.03	429.54	165.57	297.17	209.84	1268.46
AC226150.4	9.78	3.14	7.34	12.09	3.44	5.59	0.0	43.63	16.39	0.0	40.64	55.1	19.68	201.25	53.95	44.25	14.78	28.86	7.28	1.17	13.72	10.08	27.64	15.22	13.42
ALDH3B1	40.64	220.32	164.42	287.01	303.44	28.65	148.09	351.14	571.05	463.65	1023.0	1143.1	902.89	1015.93	7081.29	17078.76	934.76	1233.75	91.41	37.85	171.45	241.19	117.6	141.02	718.08
APH1B	106.63	41.22	115.16	44.89	48.18	112.77	0.0	237.86	255.0	0.35	214.27	193.01	223.41	507.46	575.03	389.72	265.87	287.01	14.24	23.08	60.82	39.5	51.35	27.64	171.45
B3GALNT1	361.04	28.65	61.25	43.63	47.17	73.03	0.0	72.52	251.48	0.28	514.56	129.69	137.14	825.0	153.34	830.75	164.42	187.71	61.68	18.29	123.5	61.68	41.22	45.21	303.44
B3GNTL1	67.59	69.03	120.1	89.51	102.25	27.84	0.0	423.61	161.02	0.64	175.07	414.87	173.85	483.38	265.87	297.17	241.19	291.04	51.71	53.57	109.66	40.36	59.97	40.93	195.72
BBS4	73.54	134.3	170.25	135.24	98.73	39.22	0.0	336.79	334.46	0.57	414.87	297.17	366.09	616.37	679.29	1096.5	339.14	500.46	62.56	46.84	130.6	49.21	69.03	81.71	312.0
BTN1A1	0.0	0.0	0.0	0.0	0.56	0.0	0.0	1.53	1.58	0.03	0.0	1.31	4.39	7.22	0.84	2.25	2.97	5.82	0.02	0.0	0.0	0.0	0.0	0.0	5.5
C1QTNF8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	2.34	4.43	1.55	4.35	7.34	0.77	3.47	0.0	0.0	0.0	0.0	0.0	0.0	0.39
