	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.6955.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.X5EB.1826.SM.4E3K8	GTEX.11NSD.0826.SM.5986S	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.ZTX8.1026.SM.5EGHD	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ACADL	7.0	7.28	0.0	0.0	0.0	17.64	0.89	23.08	0.0	0.1	490.14	708.18	563.18	860.08	896.64	232.94	1295.13	708.18	934.76	376.41	514.56	450.94	633.73	460.44	688.78	466.88	660.68	1225.22	1059.11	1639.59	343.89	400.71	1096.5	723.08	460.44	17.38	2.89	12.74	2.84
ADHFE1	148.09	164.42	66.65	33.54	14.35	26.47	15.45	44.89	0.0	0.46	299.25	733.19	381.68	629.35	454.09	293.07	1143.1	490.14	629.35	397.93	389.72	297.17	587.13	476.71	444.72	518.15	603.67	521.76	698.41	698.41	547.75	366.09	1295.13	412.0	277.2	53.19	43.32	48.87	61.25
AFF3	11.21	41.52	2.25	2.76	1.64	2.61	3.11	9.85	0.0	0.26	409.15	1191.69	693.58	1407.55	1104.13	406.31	1745.2	642.59	878.17	503.95	579.04	511.0	679.29	555.41	1870.53	941.27	1295.13	1551.09	2335.28	2148.82	493.56	587.13	988.12	1427.22	612.11	3.2	1.69	7.17	1.17
ARL17A	127.89	155.5	45.21	45.85	47.5	44.25	49.91	44.57	0.0	0.52	154.42	98.04	158.79	113.56	116.78	145.02	161.02	237.86	152.28	164.42	96.68	170.25	221.86	96.01	121.79	136.19	140.04	151.22	248.0	283.05	146.03	159.9	316.37	143.01	54.33	49.21	76.17	123.5	32.82
C1QTNF9B	7.51	0.0	0.0	4.9	1.66	3.11	0.0	0.0	0.0	0.16	11.13	17.51	17.9	73.54	83.45	2.03	145.02	29.06	45.21	34.26	28.45	7.0	16.03	22.43	31.67	23.42	46.84	20.11	157.68	124.37	47.84	29.91	41.22	76.71	3.96	0.44	0.62	1.39	0.6
C1orf27	132.44	123.5	145.02	164.42	293.07	182.55	157.68	234.57	0.0	0.68	480.04	587.13	395.18	454.09	629.35	389.72	476.71	543.96	607.87	463.65	503.95	363.56	612.11	368.65	503.95	454.09	547.75	575.03	500.46	698.41	466.88	466.88	607.87	503.95	381.68	169.07	110.43	153.34	138.1
CAB39L	473.41	848.22	224.97	96.68	145.02	212.78	51.35	376.41	0.0	0.11	1199.98	1015.93	1081.39	718.08	1896.65	785.88	703.28	1081.39	1487.87	1487.87	1286.18	780.44	1857.6	1073.91	1397.83	1605.83	1359.57	1437.15	1909.85	2209.26	796.86	1135.2	1709.26	1313.23	902.89	447.82	647.07	444.72	660.68
CCDC68	19.11	26.86	4.7	4.7	43.63	14.78	25.91	7.63	0.0	0.47	89.51	162.14	63.45	70.01	165.57	63.45	104.42	109.66	92.7	134.3	64.34	145.02	151.22	115.97	150.17	137.14	149.12	246.28	158.79	226.54	84.04	59.55	327.56	102.25	98.04	11.04	0.54	8.71	3.92
CEP89	211.31	186.4	145.02	146.03	166.73	208.38	158.79	144.01	0.0	0.39	312.0	607.87	660.68	318.57	325.29	265.87	318.57	579.04	785.88	277.2	285.03	307.69	536.45	384.34	454.09	884.29	674.59	587.13	358.54	486.75	314.17	532.74	420.68	366.09	532.74	258.57	143.01	175.07	93.35
CHKA	67.59	87.65	54.33	63.89	75.11	94.01	69.03	84.63	0.0	0.75	1397.83	1457.23	1175.27	1427.22	947.83	579.04	785.88	1111.82	1617.0	842.36	575.03	1096.5	713.11	1008.9	759.08	854.13	1008.9	1397.83	1909.85	2485.67	651.58	988.12	1030.12	1127.35	532.74	127.89	52.08	115.97	45.85
