	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.K7.AAU7.01A.11R.A38B.07	TCGA.ED.A97K.01A.21R.A38B.07	TCGA.HP.A5MZ.01A.21R.A27V.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.13N11.0926.SM.5IJG2	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1497J.0726.SM.5Q5D1	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.WFON.1726.SM.4LVMQ	GTEX.13VXU.0926.SM.5IFFH	TCGA.69.7761.01A.11R.2170.07	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.HU.A4HB.01A.12R.A251.31	TCGA.MX.A666.01A.11R.A31P.31	TCGA.D7.8578.01A.21R.2343.13	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.FP.8210.01A.11R.2343.13	TCGA.D7.8575.01A.11R.2343.13	TCGA.VQ.A8PM.01A.21R.A414.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.MX.A663.01A.11R.A31P.31
IGSF11	4.62	4.62	6.01	22.43	13.72	0.0	0.17	5.06	2.56	0.25	0.47	1.39	2.61	0.0	0.0	0.0	1.3	3.11	0.0	0.0	0.82	4.43	0.0	0.0	1.3	0.0	0.0	2.46	0.54	0.89	3.56	0.0	8.45	3.47	7.88	15.22	29.91	7.82	16.15	6.62	8.45	39.22	23.93
KCNH8	18.56	18.56	19.53	63.89	22.43	0.71	0.0	9.27	0.0	5.41	0.71	1.35	4.13	2.32	1.6	12.09	0.04	0.0	0.0	3.0	1.79	7.88	5.73	3.82	1.22	4.46	4.03	2.05	2.86	1.95	0.55	0.92	17.64	111.21	29.7	38.4	25.17	40.64	38.4	44.89	25.17	13.32	18.84
KIF3C	115.16	115.16	45.85	115.97	58.3	27.84	25.91	17.9	8.19	9.27	4.17	4.78	36.53	2.66	80.57	5.06	1.97	122.64	8.45	12.64	18.7	11.73	56.68	11.64	7.46	8.38	2.01	33.06	26.86	10.24	32.36	6.46	50.63	80.57	71.5	182.55	153.34	218.79	180.02	78.89	58.71	102.25	214.27
LETM2	32.82	32.82	22.26	127.89	113.56	15.68	23.59	20.71	4.13	5.73	4.17	17.9	7.11	28.65	14.45	16.39	1.01	5.82	15.56	9.63	8.92	7.94	6.16	40.93	11.04	4.58	1.06	9.34	8.51	3.0	7.75	36.79	463.65	128.79	149.12	49.21	118.43	78.89	73.03	108.14	59.55	66.18	44.57
LRRC66	8.13	8.13	13.03	42.11	43.32	2.58	0.0	7.22	1.43	3.72	7.51	3.96	18.84	14.89	2.1	5.41	0.91	2.43	5.02	2.86	1.83	3.76	1.91	2.36	7.94	0.16	14.78	2.12	2.61	5.36	0.0	15.45	72.52	135.24	249.73	24.46	66.65	68.55	46.5	258.57	40.64	74.58	30.12
MISP	112.77	112.77	104.42	954.43	529.06	65.26	1.2	7.94	0.0	33.78	2.39	1.81	0.29	31.0	4.86	25.91	0.0	2.27	64.8	3.38	0.0	0.0	142.01	343.89	1.64	0.0	3.89	33.78	0.0	0.0	0.36	143.01	718.08	2047.0	2645.74	1794.29	1023.0	2090.03	1030.12	3491.39	995.0	2047.0	2591.27
MLLT3	265.87	265.87	110.43	366.09	161.02	63.0	25.35	111.99	23.25	12.18	38.12	8.13	182.55	33.06	12.74	102.97	43.32	19.25	8.99	26.1	11.21	33.06	77.79	17.13	61.68	23.25	3.14	124.37	25.72	37.05	8.99	79.45	438.59	271.48	221.86	229.72	264.03	303.44	341.51	251.48	234.57	244.57	193.01
NFKBIZ	575.03	575.03	743.43	2032.85	1697.45	361.04	136.19	723.08	66.18	183.82	39.5	81.71	273.37	206.94	241.19	353.59	139.07	199.85	46.18	215.77	75.11	420.68	351.14	368.65	490.14	612.11	684.02	87.65	318.57	728.11	197.09	224.97	698.41	1183.45	612.11	878.17	503.95	941.27	473.41	1477.58	928.3	723.08	764.36
NRARP	102.97	102.97	194.36	503.95	223.41	151.22	34.26	76.71	7.75	92.7	94.67	66.65	40.93	36.01	20.11	87.03	36.27	11.55	215.77	44.57	187.71	63.0	22.59	197.09	56.28	57.08	67.59	54.33	33.78	151.22	15.34	35.25	163.28	403.5	368.65	392.44	483.38	703.28	563.18	283.05	902.89	1104.13	738.29
PGM2L1	52.82	52.82	27.05	68.07	113.56	17.64	30.56	8.71	7.11	8.0	3.23	2.63	2.58	1.93	10.63	8.71	5.28	27.84	1.16	3.5	1.33	10.0	8.38	7.63	6.89	6.78	5.41	11.47	9.63	10.55	9.78	4.13	142.01	145.02	88.88	48.87	195.72	157.68	105.15	281.09	112.77	220.32	137.14
