	TCGA.K4.A5RJ.01A.11R.A28M.07	TCGA.CC.A7IE.01A.21R.A38B.07	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.BW.A5NO.01A.11R.A27V.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.DD.AACW.01A.11R.A41C.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.CC.A8HT.01A.11R.A36F.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.ES.A2HT.11A.11R.A180.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.147JS.1126.SM.5RQIW	GTEX.ZF2S.3026.SM.4WWCH	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.ZVT4.0626.SM.5E45T	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA
APOE	242898.5	143430.26	313910.86	275175.93	248002.34	524287.0	269512.87	687022.54	73730.83	258533.99	301123.38	175363.84	386469.83	378516.38	226632.25	225066.78	466008.55	220434.95	863596.77	1078054.48	726195.27	731246.37	1290947.48	783730.52	951601.81	828417.36	783730.52	2636147.11	201440.3	964885.69	1442359.14	619179.28	327241.36
BANF1	8479.89	6792.79	7382.04	7803.01	5403.7	5219.6	6745.86	5041.77	7857.29	5403.7	5954.47	6935.54	4869.99	6745.86	5403.7	2255.7	2956.17	3124.78	3235.01	4512.4	2956.17	3190.46	2777.33	3190.46	2976.74	3614.55	2178.83	5112.16	2193.99	3847.29	3716.2	2591.27	2335.28
BOLA3	1639.59	2555.58	1167.14	2997.45	1388.16	1508.65	1487.87	1639.59	2384.37	1437.15	1369.04	2758.13	1216.75	1923.14	872.1	518.15	327.56	327.56	432.53	813.63	836.53	392.44	1322.37	571.05	684.02	698.41	638.15	1044.52	348.71	563.18	693.58	450.94	389.72
BRMS1	1388.16	1233.75	1407.55	1769.57	1208.34	1617.0	967.76	896.64	1733.13	854.13	1225.22	2287.2	830.75	1159.07	890.44	483.38	559.28	438.59	514.56	665.29	444.72	441.64	540.19	444.72	583.07	511.0	450.94	651.58	450.94	525.39	563.18	221.86	279.14
C11orf48	3280.18	5112.16	3212.66	4607.24	3190.46	2664.15	2468.49	2133.97	5791.62	2287.2	3325.99	3982.99	2178.83	3768.09	2335.28	1250.98	1242.34	1159.07	1685.71	1572.76	1477.58	1277.29	1369.04	1127.35	1417.35	1417.35	813.63	2701.35	1059.11	1331.57	1088.92	896.64	1073.91
C11orf73	1388.16	743.43	934.76	1191.69	665.29	961.07	872.1	890.44	1359.57	872.1	909.17	1208.34	967.76	748.61	423.61	327.56	353.59	336.79	466.88	540.19	346.29	629.35	819.3	336.79	420.68	384.34	409.15	476.71	320.8	397.93	373.81	262.2	195.72
C2orf68	842.36	872.1	693.58	1295.13	759.08	896.64	493.56	525.39	1437.15	836.53	915.51	708.18	836.53	1119.56	480.04	316.37	287.01	612.11	486.75	395.18	500.46	406.31	389.72	620.67	713.11	521.76	447.82	493.56	279.14	480.04	376.41	438.59	176.29
CDK1	2047.0	703.28	305.55	629.35	151.22	348.71	197.09	65.26	1286.18	514.56	616.37	441.64	279.14	708.18	88.88	2.76	5.36	20.41	15.91	13.22	59.13	8.38	5.82	44.57	13.83	136.19	72.01	32.59	5.02	20.41	13.62	6.06	6.94
CENPM	791.35	353.59	152.28	819.3	241.19	241.19	104.42	85.22	493.56	275.28	493.56	1044.52	220.32	651.58	66.18	4.1	7.06	13.12	18.7	19.39	40.64	14.67	27.64	51.35	8.99	47.84	36.53	56.28	10.24	18.7	10.79	0.0	10.0
COA4	3564.78	3103.19	2520.38	4066.71	2895.31	3794.3	2997.45	1331.57	4671.57	3103.19	3589.58	3742.05	3124.78	3665.02	2224.63	1757.34	1427.22	1286.18	1250.98	1745.2	2090.03	1857.6	1923.14	1127.35	1794.29	1936.53	1923.14	1832.01	1135.2	1733.13	1857.6	1697.45	1051.79
CPSF6	854.13	743.43	579.04	791.35	563.18	688.78	693.58	607.87	1088.92	703.28	830.75	1030.12	743.43	961.07	429.54	237.86	234.57	191.67	332.14	273.37	363.56	295.11	271.48	255.0	285.03	316.37	248.0	325.29	172.65	316.37	314.17	150.17	189.02
