	TCGA.D8.A1J9.01A.11R.A13Q.07	TCGA.C8.A12L.01A.11R.A115.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.C8.A12Q.01A.11R.A115.07	TCGA.A8.A09G.01A.21R.A00Z.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.B6.A0WZ.01A.11R.A109.07	GTEX.131YS.0626.SM.5EGKL	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.11ZUS.2526.SM.59872	GTEX.SJXC.1226.SM.4DM78	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NYC.2626.SM.5K7VN
ACBD3	1447.15	1819.35	529.06	830.75	974.5	1529.73	1407.55	769.69	1923.14	2209.26	941.27	1350.18	473.41	379.04	511.0	258.57	226.54	190.34	182.55	363.56	137.14	177.53	221.86	279.14	583.07
ADAT1	679.29	620.67	483.38	514.56	1151.06	679.29	624.99	848.22	860.08	872.1	493.56	547.75	366.09	525.39	514.56	253.23	267.73	281.09	228.13	314.17	444.72	146.03	277.2	237.86	387.02
ADIPOR1	4010.71	3395.89	2018.8	2090.03	5006.93	4388.98	3540.14	2645.74	9151.82	5403.7	3190.46	2555.58	3280.18	1437.15	3018.3	1605.83	1674.06	1605.83	1617.0	1757.34	1127.35	1378.57	1721.16	1963.57	1605.83
ARHGAP11A	98.04	264.03	38.95	80.57	162.14	334.46	80.57	120.1	376.41	81.14	262.2	80.01	60.39	17.9	29.7	3.41	12.27	6.84	6.36	16.51	7.22	4.39	18.03	2.56	153.34
ARL1	2502.97	2875.3	1896.65	2591.27	2935.74	2976.74	2835.7	1806.78	4328.55	2537.92	1407.55	2591.27	2537.92	1322.37	3212.66	718.08	1051.79	660.68	878.17	1233.75	447.82	791.35	890.44	723.08	780.44
ARMC1	819.3	497.0	392.44	348.71	587.13	547.75	470.14	221.86	981.29	813.63	543.96	400.71	307.69	426.57	466.88	217.27	249.73	90.14	239.52	299.25	181.28	221.86	215.77	237.86	371.22
ASPH	5403.7	5633.22	2720.15	1605.83	5329.3	2835.7	2997.45	3146.52	11909.94	5183.54	7485.11	3280.18	2090.03	2163.77	2627.46	769.69	830.75	441.64	1059.11	1143.1	363.56	575.03	633.73	1378.57	1208.34
ATAD2	366.09	665.29	146.03	176.29	249.73	432.53	366.09	291.04	660.68	339.14	291.04	193.01	209.84	96.68	189.02	54.72	108.14	36.79	73.54	115.97	85.22	85.22	97.36	73.54	63.0
AVL9	301.33	660.68	483.38	633.73	1199.98	633.73	400.71	579.04	688.78	493.56	629.35	571.05	713.11	358.54	211.31	183.82	169.07	145.02	172.65	209.84	102.97	111.99	242.88	170.25	283.05
BMI1	884.29	1096.5	728.11	928.3	3060.45	3018.3	2796.65	928.3	3928.15	1183.45	591.22	1709.26	791.35	603.67	902.89	295.11	420.68	212.78	389.72	599.49	301.33	291.04	334.46	417.77	361.04
BPNT1	1369.04	1617.0	624.99	571.05	1167.14	1143.1	1322.37	713.11	2032.85	785.88	1709.26	848.22	775.05	563.18	1159.07	339.14	395.18	366.09	348.71	529.06	214.27	267.73	371.22	379.04	334.46
