	TCGA.AZ.4323.01A.21R.1839.07	TCGA.CM.6167.01A.11R.1653.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.Y114.1126.SM.4TT7V	GTEX.12C56.0426.SM.5FQU1	GTEX.Y111.1826.SM.4SOIR	GTEX.YEC4.1226.SM.5CVLX	GTEX.Y111.1726.SM.4SOIQ	GTEX.146FR.0526.SM.5Q5EX	GTEX.ZYFC.1726.SM.5GZYX	GTEX.WFJO.0726.SM.4LVM8	GTEX.1122O.1626.SM.5N9CX	GTEX.ZQUD.0326.SM.4YCEN	GTEX.ZT9W.1226.SM.57WE4	GTEX.111YS.1026.SM.5GZYE	GTEX.131XF.0926.SM.5BC69	GTEX.13X6H.1426.SM.5SI91	GTEX.ZXES.1226.SM.5NQ8G	GTEX.U4B1.0926.SM.4DXUV	GTEX.WRHK.0426.SM.4MVOG	GTEX.YEC4.1126.SM.5CVLW	GTEX.13QJ3.1826.SM.5S2PT	GTEX.ZZ64.0326.SM.5E45S	GTEX.P4QT.0726.SM.3NMCM	TCGA.BR.A4IV.01A.31R.A251.31	TCGA.VQ.A94P.01A.13R.A414.31	TCGA.BR.8371.01A.11R.2343.13	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.BR.A4IU.01A.22R.A251.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.HU.A4G3.11A.11R.A24K.31
ACAD10	503.95	366.09	329.84	205.5	293.07	199.85	343.89	299.25	264.03	688.78	289.02	819.3	301.33	503.95	241.19	246.28	299.25	173.85	187.71	258.57	165.57	195.72	251.48	217.27	236.21	450.94	194.36	246.28	358.54	343.89	356.05	277.2	332.14	497.0	423.61	536.45	283.05	395.18	397.93
AL161915.1	59.97	63.45	63.45	43.02	52.45	71.0	40.36	13.62	26.28	84.63	47.84	94.01	47.84	81.14	46.18	20.26	25.35	39.22	33.54	31.22	27.84	17.77	30.56	27.44	39.5	80.57	24.46	19.82	58.3	69.52	81.71	60.82	74.58	72.52	52.45	67.12	61.25	52.82	67.59
ANGEL1	371.22	373.81	318.57	239.52	325.29	176.29	314.17	204.07	241.19	473.41	325.29	426.57	336.79	353.59	267.73	279.14	241.19	205.5	253.23	295.11	204.07	305.55	275.28	193.01	358.54	361.04	249.73	144.01	435.55	412.0	334.46	379.04	305.55	454.09	400.71	395.18	348.71	346.29	356.05
AP4B1	521.76	503.95	281.09	289.02	332.14	231.32	409.15	221.86	265.87	928.3	265.87	890.44	202.66	748.61	260.38	205.5	224.97	163.28	177.53	221.86	149.12	211.31	253.23	214.27	293.07	638.15	180.02	119.26	412.0	414.87	486.75	395.18	239.52	473.41	435.55	336.79	226.54	507.46	237.86
ARHGAP15	470.14	291.04	127.0	486.75	175.07	175.07	103.69	34.75	69.52	599.49	97.36	624.99	56.28	836.53	73.54	69.03	76.17	30.56	72.52	115.16	77.25	90.14	69.03	61.68	82.29	532.74	91.41	33.54	143.01	301.33	395.18	228.13	318.57	423.61	176.29	336.79	264.03	267.73	234.57
ARHGAP19	232.94	102.25	127.89	116.78	108.9	110.43	107.38	57.08	74.06	199.85	80.01	157.68	58.71	132.44	72.01	82.29	107.38	59.13	47.84	88.88	44.57	94.01	57.89	57.49	92.7	155.5	67.12	29.91	72.52	114.36	74.06	71.0	65.72	129.69	128.79	103.69	76.71	170.25	111.99
ARHGAP39	150.17	142.01	41.52	85.22	62.56	62.56	47.84	35.76	34.75	134.3	53.19	133.36	25.35	105.15	20.86	28.45	31.45	29.48	28.86	33.78	21.63	34.02	33.54	27.44	64.8	111.99	42.41	48.18	73.03	100.83	60.39	44.89	102.25	115.97	107.38	115.97	67.59	131.51	56.68
ASNS	884.29	842.36	733.19	521.76	387.02	480.04	819.3	521.76	591.22	1023.0	620.67	1151.06	483.38	1096.5	460.44	483.38	480.04	490.14	435.55	466.88	466.88	543.96	559.28	454.09	595.34	967.76	412.0	389.72	1242.34	947.83	607.87	974.5	660.68	947.83	896.64	629.35	902.89	775.05	633.73
BAI1	199.85	42.41	25.17	17.64	17.13	30.56	27.44	4.74	9.78	153.34	8.71	169.07	9.85	135.24	6.36	4.46	8.25	1.99	6.73	8.65	15.0	5.82	9.27	5.45	21.78	141.02	4.21	2.68	30.34	48.52	30.34	52.08	23.59	48.18	41.52	70.01	25.72	31.0	77.25
BTN3A1	642.59	518.15	327.56	346.29	323.03	162.14	323.03	81.71	110.43	660.68	163.28	587.13	185.11	813.63	198.47	195.72	138.1	128.79	114.36	153.34	104.42	249.73	201.25	108.14	189.02	470.14	150.17	77.25	281.09	624.99	441.64	277.2	361.04	536.45	500.46	656.11	307.69	511.0	209.84
