	GTEX.1399R.2226.SM.5P9JB	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.14E6E.1526.SM.5RQIG	GTEX.R53T.1326.SM.48FCQ	GTEX.13S86.1626.SM.5Q5C5	GTEX.SNMC.1126.SM.4DM5M	GTEX.132AR.2726.SM.5PNVN	GTEX.11EM3.1526.SM.5A5KN	GTEX.UJHI.1126.SM.4IHLN	GTEX.146FH.2426.SM.5Q5EW	GTEX.O5YT.1426.SM.3MJHC	GTEX.139YR.2126.SM.5KM11	GTEX.Y8E4.2426.SM.4WWDN	GTEX.QMRM.1226.SM.447C6	GTEX.ZT9W.1826.SM.51MQX	GTEX.Q2AI.0826.SM.48TZO
ADARB1	53.95	105.15	56.28	39.22	89.51	190.34	332.14	54.72	67.59	76.17	265.87	138.1	84.04	242.88	218.79	47.84	145.02
AHNAK2	32.59	476.71	29.27	25.35	88.88	587.13	1111.82	36.53	58.3	60.39	1709.26	271.48	131.51	723.08	555.41	21.94	175.07
AMOTL1	24.28	143.01	40.36	18.56	70.51	194.36	432.53	35.76	42.41	39.5	392.44	140.04	61.25	327.56	312.0	21.32	115.16
ARHGEF4	4.5	92.7	11.64	8.85	14.03	124.37	218.79	5.32	19.82	11.64	320.8	39.79	17.9	195.72	92.05	6.06	53.57
ATN1	981.29	1819.35	808.0	693.58	961.07	2303.12	1883.54	1175.27	791.35	819.3	2287.2	1561.89	1331.57	1551.09	1870.53	1143.1	1628.26
BCL2L2	432.53	928.3	612.11	500.46	629.35	1059.11	1167.14	660.68	656.11	616.37	1685.71	764.36	738.29	941.27	1081.39	476.71	698.41
C16orf45	70.01	309.83	72.52	41.81	138.1	381.68	780.44	112.77	141.02	82.87	825.0	303.44	190.34	543.96	351.14	57.08	312.0
C19orf44	33.06	67.12	31.67	26.28	78.89	69.03	56.28	37.59	39.5	49.56	146.03	58.3	46.84	87.65	64.34	18.7	74.06
C1orf216	60.82	129.69	36.79	28.65	85.22	173.85	209.84	67.59	58.71	63.89	287.01	127.0	81.71	202.66	151.22	47.84	84.63
C20orf27	551.56	660.68	341.51	279.14	536.45	1104.13	1199.98	271.48	426.57	547.75	1857.6	551.56	412.0	981.29	915.51	307.69	660.68
C3orf80	4.03	59.97	6.78	2.25	14.45	125.24	121.79	5.82	8.06	10.79	163.28	14.14	5.19	107.38	63.45	1.16	50.27
C9orf3	529.06	1015.93	412.0	381.68	679.29	1135.2	1617.0	603.67	525.39	376.41	2209.26	743.43	620.67	1674.06	1175.27	400.71	947.83
CAND2	9.85	37.59	9.7	5.92	23.59	52.45	102.25	18.7	10.71	17.38	113.56	32.82	23.25	75.11	43.32	6.67	62.56
CCDC102A	48.52	163.28	29.27	19.68	96.68	221.86	121.79	67.12	26.1	67.59	348.71	66.65	77.25	150.17	116.78	38.12	73.03
CHST10	12.0	49.91	10.47	3.89	24.63	64.8	99.43	12.0	11.91	11.04	181.28	46.18	19.82	104.42	62.56	7.51	71.0
CHST15	30.78	277.2	94.01	12.74	205.5	429.54	470.14	175.07	149.12	100.13	713.11	198.47	121.79	366.09	249.73	43.94	134.3
COPRS	532.74	785.88	414.87	379.04	595.34	1233.75	1183.45	368.65	511.0	543.96	2119.22	669.92	540.19	1059.11	1135.2	412.0	947.83
CPO	0.84	6.31	0.49	2.94	1.38	10.16	8.71	4.31	0.85	0.22	36.53	2.97	2.66	4.74	6.26	2.12	5.92
CRTC3	120.1	273.37	193.01	122.64	267.73	368.65	371.22	201.25	223.41	165.57	460.44	242.88	262.2	361.04	403.5	141.02	285.03
DAND5	3.08	7.82	0.0	3.59	1.23	10.96	35.76	0.0	1.38	1.87	22.92	2.81	4.24	17.77	9.7	1.13	5.32
DCBLD2	25.72	92.7	40.64	25.72	69.03	101.54	205.5	39.79	43.63	34.51	241.19	75.11	74.58	127.0	107.38	25.17	64.8
DCP1B	143.01	237.86	171.45	108.9	198.47	277.2	389.72	171.45	154.42	176.29	599.49	223.41	209.84	470.14	265.87	147.06	255.0
DENND5A	112.77	379.04	138.1	95.34	258.57	483.38	674.59	175.07	172.65	142.01	842.36	332.14	253.23	571.05	463.65	115.97	289.02
DLG5	126.12	299.25	149.12	132.44	248.0	432.53	397.93	217.27	229.72	162.14	536.45	269.6	293.07	417.77	397.93	155.5	356.05
DMD	34.26	190.34	61.25	29.7	78.89	178.77	450.94	64.34	71.5	45.53	518.15	118.43	96.68	343.89	201.25	31.22	133.36
DMWD	256.78	392.44	260.38	223.41	343.89	435.55	616.37	244.57	244.57	295.11	616.37	384.34	305.55	525.39	444.72	258.57	503.95
DTX3	120.1	493.56	102.25	78.34	251.48	665.29	708.18	159.9	128.79	172.65	1119.56	287.01	249.73	514.56	432.53	120.94	273.37
DUSP22	397.93	718.08	379.04	334.46	669.92	854.13	825.0	728.11	529.06	536.45	1135.2	559.28	703.28	791.35	961.07	334.46	723.08
DUSP3	555.41	1015.93	669.92	819.3	674.59	1175.27	1844.76	713.11	713.11	656.11	1572.76	791.35	723.08	1651.0	1498.22	684.02	1143.1
EBF4	82.87	183.82	56.28	74.58	80.01	255.0	341.51	57.89	59.55	104.42	583.07	117.6	104.42	239.52	281.09	100.83	198.47
ESYT3	1.25	24.11	4.13	1.13	6.78	25.72	49.56	4.1	5.23	1.71	105.89	10.24	4.7	37.05	10.71	0.28	21.47
EVC	6.31	47.5	20.86	5.87	29.91	43.32	141.02	13.12	23.25	18.16	128.79	45.21	36.01	115.97	55.49	5.15	64.8
FABP1	2011721.67	925580.18	1412675.8	1070607.81	851707.37	919186.72	479109.86	951601.81	1078054.48	1034138.94	52863.07	577714.63	1019901.63	711250.37	687022.54	1273174.62	1393227.06
FAM149A	96.68	214.27	48.18	105.15	180.02	256.78	303.44	72.01	131.51	137.14	279.14	145.02	93.35	176.29	167.9	48.18	185.11
