	TCGA.UY.A78N.01A.12R.A33J.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.E7.A5KE.01A.11R.A28M.07	TCGA.FD.A6TC.01A.21R.A33J.07	TCGA.E7.A8O7.01A.11R.A36F.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.FD.A5C0.01A.11R.A28M.07	TCGA.DK.A1AA.01A.11R.A13Y.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.BL.A13J.01A.11R.A10U.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.FD.A6TA.01A.12R.A33J.07	TCGA.XF.A9T0.01A.11R.A39I.07	TCGA.CF.A9FM.01A.11R.A38B.07	TCGA.UY.A9PD.01A.11R.A38B.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.A2.A3Y0.01A.11R.A239.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.VS.A954.01A.11R.A38B.07	TCGA.C5.A1M8.01A.21R.A13Y.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.97.7552.01A.11R.2039.07	GTEX.U3ZN.0626.SM.3DB7U	TCGA.BR.6803.01A.11R.1884.13	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.VQ.A8P8.01A.11R.A39E.31	TCGA.BR.8364.01A.11R.2343.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
PRMT3	267.73	223.41	126.12	166.73	152.28	167.9	224.97	134.3	208.38	89.51	323.03	198.47	175.07	96.68	108.14	205.5	214.27	145.02	232.94	264.03	211.31	75.64	165.57	249.73	251.48	244.57	118.43	267.73	181.28	289.02	129.69	246.28	336.79	232.94	169.07	224.97	287.01	204.07	351.14	191.67	187.71	264.03	201.25	106.63	163.28	151.22	109.66	178.77	119.26	167.9
PRR13	4066.71	4095.0	5672.41	4358.66	4869.99	6337.83	6516.03	4704.07	6935.54	5183.54	6516.03	5479.15	3039.3	5403.7	3982.99	4607.24	6792.79	3794.3	5112.16	4639.29	4268.94	4704.07	5219.6	4123.49	5076.84	2004.85	3665.02	5831.91	8247.98	8538.88	6207.38	6426.31	4358.66	6426.31	8658.09	7331.05	5255.91	6381.92	7803.01	6426.31	3280.18	6561.36	4512.4	13492.72	6561.36	10659.59	11112.3	7803.01	16960.78	9279.58
PSMA1	3982.99	4152.18	2367.9	2664.15	3060.45	2591.27	3820.7	2271.4	3372.43	2816.11	3467.27	3235.01	1963.57	2417.67	2555.58	3540.14	2777.33	2367.9	2976.74	3443.31	3690.52	1819.35	2502.97	3257.52	3901.01	3018.3	1950.0	3325.99	3372.43	4607.24	2976.74	3614.55	3349.13	4095.0	2720.15	3742.05	4972.34	4010.71	7032.37	3768.09	2875.3	3874.05	3212.66	2956.17	2796.65	4095.0	3039.3	4481.23	3168.41	4481.23
PTAFR	20.26	82.87	18.29	164.42	31.0	199.85	309.83	31.67	107.38	173.85	195.72	31.22	39.22	59.97	197.09	67.59	249.73	16.88	44.25	106.63	66.65	59.97	141.02	132.44	279.14	48.18	75.64	180.02	599.49	802.41	198.47	224.97	121.79	177.53	237.86	258.57	256.78	121.79	242.88	90.14	197.09	170.25	279.14	176.29	148.09	201.25	147.06	154.42	108.14	141.02
PTER	159.9	145.02	132.44	128.79	143.01	150.17	341.51	172.65	13.42	293.07	325.29	152.28	264.03	185.11	123.5	191.67	295.11	131.51	85.82	226.54	194.36	133.36	146.03	441.64	343.89	83.45	129.69	860.08	518.15	476.71	163.28	341.51	358.54	348.71	103.69	665.29	441.64	412.0	312.0	318.57	149.12	323.03	307.69	361.04	878.17	320.8	305.55	470.14	381.68	358.54
PTPN14	47.5	52.08	45.21	85.22	59.13	137.14	181.28	74.58	55.49	87.65	119.26	25.17	108.9	44.25	106.63	108.9	86.43	146.03	53.19	110.43	33.54	61.68	43.94	872.1	733.19	107.38	67.12	713.11	111.99	204.07	361.04	87.65	137.14	137.14	141.02	115.97	195.72	146.03	120.1	190.34	237.86	115.16	412.0	108.14	127.0	47.5	76.71	74.58	115.97	66.18
RAPGEF2	120.1	153.34	75.11	126.12	279.14	80.01	277.2	220.32	134.3	208.38	265.87	54.72	127.89	50.63	223.41	48.18	237.86	104.42	69.03	94.01	108.9	85.82	92.7	860.08	915.51	124.37	77.25	665.29	708.18	1044.52	500.46	480.04	848.22	656.11	336.79	426.57	679.29	551.56	638.15	435.55	872.1	476.71	703.28	435.55	563.18	373.81	426.57	334.46	532.74	373.81
RRAS2	463.65	381.68	314.17	305.55	318.57	211.31	332.14	353.59	67.59	260.38	647.07	113.56	271.48	281.09	397.93	371.22	417.77	143.01	435.55	432.53	269.6	189.02	293.07	780.44	1104.13	373.81	215.77	1175.27	620.67	1457.23	426.57	669.92	587.13	460.44	159.9	309.83	205.5	503.95	551.56	320.8	273.37	403.5	507.46	368.65	356.05	447.82	341.51	339.14	237.86	612.11
SCP2	2720.15	3257.52	3212.66	2537.92	4575.41	2645.74	4972.34	3928.15	3690.52	4836.35	4450.27	2367.9	3235.01	1769.57	4298.64	3540.14	4802.93	2701.35	1963.57	3928.15	2573.36	3515.68	2119.22	4010.71	4802.93	3372.43	3614.55	7081.29	4152.18	6745.86	2255.7	3395.89	2451.44	4450.27	4512.4	2664.15	4268.94	3665.02	3349.13	3639.7	2224.63	4210.15	3540.14	3928.15	5555.65	4239.45	4972.34	3235.01	3395.89	3847.29
SECISBP2L	128.79	161.02	98.73	155.5	171.45	137.14	351.14	175.07	141.02	121.79	236.21	68.55	253.23	35.76	175.07	113.56	267.73	59.97	50.63	73.54	111.21	115.16	63.45	665.29	723.08	64.34	67.59	1066.48	698.41	1340.84	348.71	412.0	327.56	612.11	236.21	251.48	429.54	295.11	500.46	384.34	543.96	327.56	660.68	173.85	435.55	307.69	265.87	246.28	353.59	297.17
SGK3	64.34	64.8	47.17	41.52	50.63	57.49	90.14	52.82	54.33	75.64	125.24	29.7	41.81	31.67	77.25	24.28	96.01	54.72	18.56	47.5	67.59	51.35	55.89	733.19	638.15	149.12	73.54	336.79	206.94	518.15	115.97	189.02	314.17	275.28	145.02	138.1	229.72	226.54	226.54	195.72	185.11	201.25	214.27	96.01	182.55	145.02	82.87	206.94	115.97	170.25
SLC22A4	13.32	19.82	10.08	13.52	4.9	13.62	24.11	4.98	8.51	7.94	56.68	7.94	6.52	9.78	5.45	16.75	20.41	6.67	3.47	4.35	17.64	17.77	23.42	73.03	75.11	13.22	5.23	47.84	120.94	281.09	8.71	10.31	38.4	25.54	25.72	9.41	22.26	8.92	21.63	12.0	104.42	16.27	12.55	38.4	23.76	32.82	13.42	12.18	5.28	8.78
SMIM18	0.0	1.27	0.0	0.0	0.0	0.0	1.23	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.56	0.69	0.0	0.41	0.67	0.0	0.0	4.86	0.0	0.0	1.99	1.04	1.36	1.3	9.63	0.0	0.0	1.07	2.39	2.05	0.92	0.0	0.0	2.39
SNX19	85.22	180.02	42.41	297.17	138.1	258.57	759.08	166.73	87.65	148.09	466.88	165.57	518.15	187.71	312.0	256.78	547.75	142.01	19.11	251.48	303.44	136.19	193.01	1066.48	954.43	215.77	12.83	947.83	759.08	1259.69	884.29	733.19	802.41	830.75	591.22	1001.93	909.17	738.29	1059.11	698.41	890.44	638.15	854.13	536.45	902.89	575.03	441.64	764.36	563.18	435.55
STAM2	190.34	178.77	273.37	215.77	229.72	199.85	323.03	218.79	138.1	114.36	361.04	130.6	208.38	115.16	229.72	125.24	363.56	124.37	67.12	180.02	199.85	142.01	80.57	540.19	521.76	117.6	76.17	928.3	400.71	571.05	285.03	507.46	406.31	559.28	329.84	392.44	497.0	327.56	612.11	463.65	447.82	395.18	674.59	242.88	423.61	289.02	236.21	403.5	285.03	351.14
SUCLG2	529.06	813.63	343.89	412.0	1015.93	633.73	1088.92	934.76	540.19	1199.98	1001.93	490.14	1167.14	318.57	559.28	551.56	1167.14	616.37	780.44	395.18	435.55	543.96	854.13	1331.57	1277.29	61.25	293.07	2061.24	1304.15	2047.0	1639.59	1277.29	1216.75	1936.53	1044.52	1806.78	1617.0	1561.89	1709.26	1498.22	620.67	1832.01	1081.39	1733.13	2609.3	1721.16	2090.03	1909.85	3146.52	1769.57
SWAP70	199.85	320.8	132.44	277.2	215.77	297.17	878.17	660.68	314.17	287.01	693.58	718.08	262.2	273.37	303.44	267.73	500.46	255.0	234.57	305.55	289.02	289.02	148.09	1088.92	1111.82	232.94	138.1	1407.55	813.63	1167.14	423.61	1529.73	412.0	813.63	403.5	329.84	476.71	412.0	454.09	229.72	728.11	693.58	480.04	303.44	397.93	547.75	323.03	289.02	269.6	603.67
TEX9	98.04	77.25	37.85	32.36	72.01	31.45	117.6	33.54	8.85	87.65	78.89	3.99	63.0	28.45	96.68	9.27	126.12	35.5	28.04	55.49	90.77	25.17	15.0	193.01	163.28	36.27	31.0	607.87	283.05	220.32	57.49	285.03	108.14	228.13	113.56	115.16	115.16	149.12	123.5	96.01	96.68	119.26	211.31	85.22	211.31	256.78	150.17	150.17	139.07	231.32
TGFBR2	223.41	348.71	353.59	260.38	693.58	279.14	836.53	563.18	138.1	246.28	780.44	75.64	529.06	329.84	503.95	158.79	660.68	154.42	314.17	536.45	301.33	253.23	128.79	4869.99	6381.92	104.42	49.91	3395.89	3212.66	7589.61	1896.65	1963.57	1628.26	2335.28	1628.26	1477.58	2367.9	1295.13	1819.35	1359.57	1870.53	2163.77	3190.46	1259.69	1963.57	1936.53	1437.15	1277.29	1529.73	1427.22
TIGD4	3.89	4.43	2.36	5.36	3.69	4.74	12.0	1.99	0.92	3.23	3.92	0.35	4.43	1.64	4.74	2.76	6.89	2.53	4.06	2.86	1.55	4.13	0.57	12.0	13.12	1.35	1.89	23.76	12.93	18.7	2.25	3.59	11.55	9.27	5.54	4.54	10.55	9.13	12.55	11.73	4.78	9.41	6.01	2.63	6.41	8.65	3.41	3.08	0.0	6.67
TIRAP	136.19	126.12	97.36	143.01	88.26	71.0	177.53	93.35	82.87	108.9	237.86	98.04	198.47	88.88	94.01	120.1	190.34	108.14	105.15	92.7	176.29	66.65	63.89	287.01	183.82	32.36	22.59	133.36	248.0	206.94	277.2	220.32	241.19	249.73	183.82	173.85	273.37	244.57	170.25	177.53	215.77	191.67	414.87	285.03	204.07	212.78	237.86	189.02	186.4	193.01
TLR3	12.45	60.39	5.77	28.45	2.92	55.49	232.94	163.28	5.23	102.97	144.01	3.03	33.78	25.35	145.02	3.44	201.25	5.77	2.25	71.0	6.84	42.11	55.49	269.6	392.44	40.64	33.06	909.17	518.15	780.44	105.15	40.36	55.89	111.21	58.71	84.04	119.26	69.03	104.42	85.22	52.82	90.14	197.09	153.34	198.47	88.88	77.25	182.55	169.07	87.65
TMEM110	163.28	127.89	438.59	127.89	211.31	142.01	371.22	148.09	267.73	201.25	209.84	124.37	181.28	136.19	223.41	111.99	256.78	176.29	58.3	201.25	137.14	255.0	406.31	267.73	249.73	183.82	120.1	297.17	299.25	316.37	307.69	237.86	214.27	236.21	242.88	205.5	277.2	231.32	165.57	201.25	275.28	239.52	307.69	271.48	267.73	316.37	293.07	275.28	177.53	256.78
TMEM131	232.94	265.87	204.07	229.72	293.07	248.0	420.68	301.33	211.31	275.28	409.15	198.47	334.46	156.59	309.83	291.04	423.61	183.82	132.44	126.12	183.82	155.5	150.17	642.59	713.11	389.72	153.34	796.86	836.53	713.11	486.75	1159.07	738.29	1191.69	536.45	674.59	1127.35	698.41	791.35	607.87	1111.82	872.1	902.89	607.87	1008.9	511.0	656.11	429.54	579.04	470.14
TMEM41B	420.68	435.55	260.38	332.14	387.02	281.09	457.25	329.84	414.87	287.01	511.0	536.45	327.56	215.77	273.37	785.88	476.71	327.56	237.86	507.46	148.09	320.8	191.67	518.15	414.87	429.54	234.57	819.3	567.1	961.07	193.01	441.64	647.07	679.29	291.04	363.56	241.19	463.65	503.95	336.79	493.56	529.06	483.38	379.04	406.31	307.69	258.57	409.15	473.41	253.23
TMX3	373.81	376.41	204.07	273.37	305.55	283.05	432.53	423.61	323.03	255.0	547.75	211.31	316.37	155.5	273.37	293.07	457.25	279.14	156.59	260.38	163.28	273.37	242.88	842.36	884.29	208.38	232.94	1304.15	483.38	1015.93	316.37	693.58	559.28	802.41	339.14	341.51	563.18	432.53	587.13	1167.14	753.83	540.19	532.74	191.67	325.29	384.34	199.85	275.28	186.4	318.57
TMX4	108.9	153.34	105.15	182.55	209.84	283.05	463.65	161.02	341.51	244.57	269.6	244.57	249.73	127.89	173.85	80.01	503.95	149.12	23.42	156.59	170.25	173.85	316.37	967.76	854.13	256.78	297.17	1662.49	555.41	928.3	723.08	480.04	373.81	587.13	447.82	353.59	420.68	400.71	334.46	212.78	563.18	638.15	738.29	246.28	503.95	348.71	262.2	450.94	351.14	525.39
TRAF3	165.57	111.21	87.03	116.78	169.07	164.42	173.85	129.69	106.63	119.26	171.45	120.1	171.45	121.79	145.02	78.34	170.25	101.54	92.7	130.6	156.59	113.56	217.27	271.48	177.53	208.38	231.32	277.2	293.07	273.37	255.0	486.75	289.02	314.17	193.01	212.78	371.22	256.78	169.07	145.02	457.25	269.6	273.37	242.88	182.55	291.04	217.27	140.04	137.14	173.85
TRAF5	95.34	183.82	99.43	159.9	165.57	82.29	267.73	113.56	10.88	59.97	104.42	33.06	59.13	64.8	93.35	41.22	194.36	81.71	41.81	202.66	111.21	100.83	69.52	373.81	567.1	111.21	57.89	199.85	309.83	147.06	351.14	1304.15	500.46	995.0	242.88	202.66	728.11	547.75	536.45	325.29	703.28	470.14	603.67	149.12	199.85	514.56	181.28	175.07	133.36	341.51
TRIM14	141.02	265.87	135.24	265.87	100.83	248.0	753.83	204.07	199.85	351.14	205.5	96.68	181.28	146.03	329.84	56.28	295.11	92.7	77.25	441.64	156.59	205.5	376.41	420.68	307.69	217.27	120.94	289.02	688.78	397.93	441.64	669.92	447.82	454.09	329.84	607.87	373.81	802.41	361.04	201.25	312.0	579.04	403.5	743.43	384.34	529.06	358.54	532.74	373.81	316.37
TRIM22	80.01	368.65	190.34	42.41	43.63	316.37	1605.83	412.0	59.13	444.72	825.0	64.8	185.11	105.15	1008.9	148.09	2061.24	115.16	126.12	511.0	143.01	171.45	830.75	1870.53	1936.53	599.49	155.5	1407.55	3303.0	1857.6	703.28	2287.2	669.92	1950.0	642.59	412.0	775.05	819.3	941.27	387.02	780.44	1088.92	1268.46	563.18	647.07	2255.7	607.87	620.67	529.06	1794.29
TRIM34	65.26	153.34	77.25	75.11	61.68	183.82	307.69	73.54	131.51	152.28	246.28	34.02	67.12	40.36	156.59	76.71	129.69	9.93	76.17	54.72	40.07	22.75	72.01	231.32	262.2	13.83	37.05	275.28	214.27	371.22	87.65	223.41	87.65	142.01	102.25	69.52	232.94	120.1	197.09	85.82	62.12	146.03	84.04	112.77	169.07	148.09	101.54	123.5	155.5	190.34
TSPYL1	769.69	808.0	547.75	708.18	507.46	476.71	1359.57	651.58	713.11	476.71	1427.22	532.74	612.11	305.55	780.44	395.18	1745.2	500.46	595.34	551.56	435.55	389.72	559.28	1583.71	1583.71	466.88	366.09	2520.38	1322.37	1350.18	915.51	791.35	819.3	860.08	507.46	665.29	728.11	974.5	1059.11	830.75	559.28	775.05	1242.34	819.3	1044.52	941.27	890.44	595.34	791.35	902.89
UBLCP1	426.57	403.5	228.13	320.8	395.18	249.73	447.82	197.09	129.69	197.09	551.56	295.11	283.05	255.0	323.03	291.04	460.44	255.0	50.63	204.07	289.02	163.28	426.57	769.69	728.11	395.18	500.46	928.3	563.18	954.43	429.54	656.11	371.22	684.02	343.89	343.89	642.59	429.54	836.53	493.56	454.09	536.45	486.75	273.37	525.39	476.71	432.53	373.81	460.44	529.06
UNC50	703.28	854.13	647.07	866.07	1225.22	941.27	1104.13	1023.0	1359.57	406.31	896.64	915.51	1030.12	954.43	941.27	698.41	1233.75	629.35	629.35	743.43	780.44	819.3	457.25	1183.45	1259.69	633.73	438.59	1359.57	1143.1	1359.57	748.61	981.29	988.12	1467.37	830.75	769.69	1628.26	941.27	1721.16	1388.16	947.83	1001.93	1059.11	848.22	915.51	1208.34	860.08	1191.69	995.0	1313.23
USP47	703.28	500.46	420.68	470.14	403.5	450.94	703.28	327.56	567.1	406.31	802.41	409.15	473.41	346.29	460.44	368.65	974.5	373.81	305.55	480.04	381.68	423.61	260.38	1073.91	909.17	336.79	149.12	830.75	842.36	656.11	503.95	674.59	723.08	981.29	384.34	563.18	728.11	511.0	961.07	454.09	713.11	713.11	813.63	348.71	647.07	497.0	406.31	239.52	547.75	358.54
VWA5A	34.75	336.79	191.67	295.11	287.01	255.0	1427.22	170.25	29.7	366.09	896.64	32.36	43.63	140.04	551.56	41.52	1191.69	182.55	15.0	45.85	40.93	312.0	190.34	1191.69	825.0	49.56	140.04	1295.13	954.43	1745.2	500.46	387.02	224.97	660.68	429.54	457.25	620.67	603.67	780.44	373.81	301.33	743.43	579.04	651.58	753.83	612.11	764.36	679.29	579.04	514.56
WBP4	301.33	173.85	195.72	208.38	129.69	191.67	224.97	201.25	234.57	228.13	224.97	199.85	111.21	120.1	201.25	178.77	206.94	148.09	136.19	191.67	175.07	255.0	75.11	371.22	363.56	115.16	211.31	353.59	205.5	403.5	277.2	363.56	236.21	387.02	212.78	171.45	457.25	414.87	941.27	212.78	305.55	325.29	267.73	157.68	199.85	242.88	177.53	127.0	202.66	246.28
YIPF5	514.56	379.04	267.73	567.1	583.07	551.56	896.64	400.71	642.59	444.72	1340.84	363.56	728.11	368.65	450.94	748.61	503.95	507.46	312.0	334.46	536.45	217.27	500.46	1023.0	1208.34	287.01	438.59	1159.07	981.29	1359.57	603.67	521.76	785.88	660.68	529.06	764.36	819.3	497.0	954.43	647.07	753.83	521.76	854.13	780.44	866.07	703.28	748.61	860.08	665.29	728.11
YTHDF3	320.8	318.57	251.48	249.73	279.14	341.51	454.09	373.81	285.03	309.83	473.41	191.67	303.44	122.64	351.14	387.02	486.75	299.25	273.37	215.77	341.51	139.07	327.56	860.08	928.3	373.81	258.57	1359.57	660.68	928.3	575.03	583.07	1015.93	703.28	432.53	514.56	866.07	660.68	974.5	1175.27	909.17	743.43	819.3	423.61	612.11	438.59	368.65	559.28	460.44	486.75
ZBTB14	181.28	155.5	98.73	134.3	186.4	141.02	239.52	153.34	87.65	183.82	147.06	98.73	102.97	49.91	153.34	78.34	163.28	101.54	82.87	115.97	102.25	111.99	128.79	412.0	346.29	123.5	165.57	303.44	236.21	269.6	209.84	334.46	226.54	293.07	153.34	155.5	412.0	139.07	242.88	287.01	167.9	228.13	224.97	99.43	253.23	218.79	102.25	153.34	110.43	223.41
ZBTB38	237.86	146.03	143.01	133.36	234.57	289.02	346.29	275.28	232.94	309.83	454.09	110.43	403.5	96.01	420.68	226.54	353.59	167.9	59.13	170.25	269.6	120.94	87.03	1388.16	1304.15	142.01	42.41	1806.78	1030.12	909.17	872.1	1216.75	769.69	921.88	738.29	642.59	941.27	684.02	743.43	748.61	915.51	780.44	1870.53	547.75	848.22	684.02	688.78	842.36	616.37	733.19
ZBTB43	69.52	57.89	71.0	58.3	91.41	96.68	132.44	43.02	85.22	80.01	61.68	55.49	100.83	44.57	44.57	52.08	209.84	92.7	43.32	56.28	53.57	40.64	39.5	209.84	182.55	96.01	68.07	126.12	183.82	379.04	75.11	199.85	136.19	353.59	50.27	120.94	194.36	157.68	208.38	143.01	242.88	96.01	152.28	72.52	178.77	94.67	88.26	72.52	78.34	80.01
ZC3H12C	62.56	46.18	17.77	15.91	25.91	15.56	120.94	24.63	26.28	30.56	93.35	28.86	42.71	15.68	11.21	41.22	96.01	4.82	11.91	31.9	40.36	7.4	30.78	111.21	119.26	9.7	17.51	165.57	35.76	258.57	71.5	38.4	70.01	81.71	31.45	49.91	111.99	54.72	80.01	77.79	211.31	39.5	82.87	47.17	96.01	57.49	48.52	102.97	52.82	49.56
ZDHHC21	73.54	59.97	24.99	48.52	86.43	63.45	176.29	40.07	65.72	37.59	63.0	67.12	95.34	23.59	45.53	92.7	189.02	70.01	61.25	82.87	40.36	51.35	59.97	199.85	145.02	37.05	73.03	307.69	115.97	514.56	41.22	178.77	96.68	164.42	49.91	63.45	102.25	142.01	122.64	131.51	167.9	142.01	76.71	92.05	85.82	87.65	49.91	70.51	39.5	71.0
ZNF641	124.37	110.43	60.39	85.82	116.78	165.57	248.0	98.73	40.93	90.77	139.07	98.04	108.14	49.21	90.77	85.22	161.02	75.11	31.45	61.25	149.12	76.71	69.52	318.57	262.2	102.25	99.43	366.09	255.0	301.33	267.73	267.73	231.32	287.01	193.01	130.6	246.28	148.09	236.21	309.83	209.84	231.32	356.05	142.01	178.77	224.97	212.78	152.28	175.07	205.5
