	TCGA.UY.A78N.01A.12R.A33J.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.E7.A5KE.01A.11R.A28M.07	TCGA.FD.A6TC.01A.21R.A33J.07	TCGA.E7.A8O7.01A.11R.A36F.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.FD.A5C0.01A.11R.A28M.07	TCGA.DK.A1AA.01A.11R.A13Y.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.BL.A13J.01A.11R.A10U.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.FD.A6TA.01A.12R.A33J.07	TCGA.XF.A9T0.01A.11R.A39I.07	TCGA.CF.A9FM.01A.11R.A38B.07	TCGA.UY.A9PD.01A.11R.A38B.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.A2.A3Y0.01A.11R.A239.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.VS.A954.01A.11R.A38B.07	TCGA.C5.A1M8.01A.21R.A13Y.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.97.7552.01A.11R.2039.07	GTEX.U3ZN.0626.SM.3DB7U	TCGA.BR.6803.01A.11R.1884.13	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.VQ.A8P8.01A.11R.A39E.31	TCGA.BR.8364.01A.11R.2343.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
ITGA6	358.54	466.88	599.49	283.05	1167.14	1268.46	2609.3	3874.05	129.69	1674.06	3212.66	444.72	454.09	358.54	896.64	182.55	1508.65	703.28	30.78	339.14	638.15	579.04	165.57	1733.13	2287.2	679.29	64.34	1208.34	2047.0	1572.76	603.67	928.3	1883.54	2287.2	1008.9	1794.29	2119.22	1477.58	2502.97	1407.55	1769.57	4123.49	1519.15	1806.78	1936.53	967.76	1250.98	947.83	1073.91	718.08
ITGAV	170.25	232.94	255.0	217.27	356.05	718.08	1127.35	819.3	202.66	647.07	830.75	417.77	738.29	125.24	547.75	414.87	587.13	387.02	212.78	262.2	139.07	142.01	285.03	1199.98	1651.0	325.29	38.12	5672.41	1286.18	738.29	796.86	665.29	1059.11	909.17	896.64	591.22	921.88	830.75	1378.57	769.69	2119.22	1096.5	1313.23	327.56	785.88	414.87	387.02	728.11	336.79	417.77
KIAA1244	99.43	159.9	134.3	105.15	123.5	32.36	258.57	94.67	141.02	72.52	135.24	87.03	94.67	36.79	85.22	66.65	106.63	117.6	59.13	83.45	70.01	67.59	4.13	262.2	185.11	4.7	14.89	202.66	148.09	571.05	206.94	106.63	389.72	392.44	264.03	376.41	262.2	312.0	591.22	217.27	575.03	403.5	212.78	239.52	684.02	149.12	226.54	185.11	327.56	86.43
KIF1C	1151.06	543.96	679.29	406.31	759.08	1199.98	1417.35	1806.78	718.08	1119.56	1617.0	563.18	902.89	934.76	819.3	1250.98	819.3	808.0	316.37	1175.27	463.65	718.08	1208.34	1674.06	1359.57	1350.18	1127.35	1551.09	1498.22	2875.3	2720.15	872.1	2335.28	1685.71	1295.13	2739.08	1551.09	1572.76	753.83	1477.58	2209.26	2061.24	2193.99	2720.15	2520.38	1225.22	2133.97	1427.22	2075.59	1127.35
KLHL29	64.34	102.25	4.13	7.63	3.53	35.76	117.6	11.04	8.65	38.95	142.01	12.36	61.25	152.28	15.0	15.45	96.01	72.52	3.23	10.47	31.0	11.3	12.74	327.56	159.9	9.63	9.34	75.11	68.55	113.56	185.11	106.63	189.02	90.14	86.43	40.64	61.68	102.97	81.14	65.26	178.77	74.58	241.19	19.53	14.89	58.3	23.59	18.43	8.78	54.33
LACTB	158.79	457.25	281.09	303.44	228.13	195.72	438.59	379.04	267.73	143.01	406.31	275.28	441.64	208.38	406.31	642.59	343.89	187.71	105.89	381.68	224.97	175.07	205.5	429.54	466.88	181.28	150.17	703.28	480.04	1066.48	275.28	423.61	426.57	397.93	363.56	258.57	447.82	323.03	463.65	226.54	406.31	327.56	432.53	265.87	307.69	309.83	253.23	287.01	236.21	260.38
LAMA3	58.71	144.01	30.34	117.6	2.43	26.86	764.36	417.77	40.36	31.22	1001.93	88.26	63.0	84.63	37.32	126.12	941.27	14.45	14.78	141.02	27.05	373.81	101.54	2664.15	1794.29	264.03	571.05	312.0	1923.14	1167.14	624.99	796.86	536.45	1233.75	438.59	2384.37	651.58	532.74	2816.11	387.02	120.1	2758.13	1183.45	1350.18	860.08	551.56	764.36	1059.11	1151.06	612.11
LIMA1	518.15	1044.52	1159.07	563.18	1388.16	2645.74	2400.97	1950.0	1167.14	1628.26	1467.37	928.3	1044.52	301.33	954.43	336.79	2400.97	275.28	206.94	759.08	1159.07	579.04	392.44	3168.41	3928.15	249.73	703.28	3742.05	4010.71	1794.29	974.5	1561.89	1388.16	2664.15	1561.89	1909.85	2032.85	2018.8	4066.71	1757.34	1806.78	4388.98	2255.7	1896.65	2367.9	1119.56	1685.71	2032.85	1519.15	1104.13
LIN7C	195.72	232.94	137.14	193.01	144.01	205.5	214.27	170.25	172.65	151.22	307.69	133.36	132.44	62.56	109.66	178.77	289.02	172.65	138.1	181.28	138.1	87.03	94.01	450.94	384.34	226.54	6.26	583.07	258.57	299.25	187.71	307.69	392.44	373.81	169.07	251.48	201.25	299.25	273.37	204.07	341.51	454.09	379.04	131.51	277.2	186.4	169.07	189.02	165.57	187.71
LONRF3	11.13	23.42	3.08	12.0	20.56	18.29	32.13	31.0	2.48	26.28	53.19	46.5	15.34	22.43	12.93	10.47	35.0	1.31	9.7	20.26	10.71	6.46	5.59	43.32	100.13	22.26	43.32	57.49	75.64	325.29	57.49	62.12	38.12	63.89	48.18	115.97	74.58	73.54	87.03	88.88	218.79	98.04	118.43	116.78	90.77	50.27	63.89	141.02	64.34	62.12
