	GTEX.YB5E.0326.SM.5IFHU	GTEX.RM2N.1926.SM.48FCU	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF29.2026.SM.4WWB7	GTEX.13PVR.0126.SM.5S2PY	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.EL.A3ZT.11A.13R.A23N.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.PLZ4.1226.SM.2I5FE	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.13FTW.0626.SM.5IFEX
ABTB1	336.79	244.57	146.03	269.6	181.28	397.93	211.31	1427.22	1242.34	1059.11	947.83	543.96	384.34	361.04	473.41	490.14	444.72	743.43	684.02	368.65	620.67	291.04	441.64	463.65	242.88	665.29	836.53	748.61	1088.92	743.43	511.0	583.07	854.13	381.68	305.55	493.56	334.46	281.09	718.08	563.18	555.41	346.29	334.46	297.17	395.18	1127.35	343.89	603.67	629.35	866.07	525.39	334.46	239.52
AC174470.1	0.53	0.0	1.36	1.97	0.33	0.97	5.5	59.13	30.12	44.57	47.5	36.53	11.73	20.86	33.06	4.98	20.86	16.75	22.1	18.43	15.11	18.16	27.84	15.0	8.13	34.26	18.97	20.56	50.98	17.13	20.71	17.9	31.45	10.55	20.11	17.0	11.64	26.86	34.02	14.67	21.16	12.64	9.63	8.13	22.26	28.04	14.67	19.39	22.26	43.02	18.16	11.3	11.3
ACRC	3.35	5.02	3.23	3.56	2.73	1.6	6.62	49.21	58.3	66.65	49.21	58.71	18.56	28.65	36.27	21.16	38.4	34.75	53.95	38.67	20.71	44.89	18.43	45.53	19.97	93.35	52.82	58.71	88.88	16.27	65.26	22.26	63.0	20.11	52.82	29.91	46.5	37.59	55.89	31.67	22.92	26.28	31.22	26.1	33.78	84.04	28.04	26.86	34.02	73.03	36.01	27.64	14.24
ADCY6	71.5	81.14	69.03	87.03	63.45	64.8	77.79	651.58	532.74	759.08	785.88	728.11	441.64	376.41	414.87	397.93	429.54	624.99	567.1	361.04	473.41	381.68	412.0	540.19	395.18	660.68	723.08	703.28	708.18	579.04	651.58	525.39	567.1	305.55	366.09	409.15	269.6	444.72	603.67	450.94	454.09	361.04	417.77	199.85	454.09	808.0	368.65	529.06	503.95	521.76	518.15	486.75	309.83
ANKZF1	115.16	164.42	209.84	162.14	190.34	209.84	198.47	1487.87	1277.29	1733.13	1508.65	1127.35	476.71	733.19	733.19	397.93	511.0	961.07	802.41	497.0	819.3	503.95	629.35	708.18	426.57	780.44	780.44	1295.13	1340.84	802.41	718.08	599.49	1216.75	460.44	555.41	723.08	441.64	642.59	1250.98	872.1	748.61	414.87	684.02	532.74	698.41	1259.69	599.49	698.41	723.08	825.0	961.07	490.14	400.71
AP006621.5	109.66	84.04	130.6	68.55	85.82	85.82	107.38	563.18	202.66	426.57	301.33	363.56	180.02	150.17	156.59	248.0	123.5	217.27	305.55	133.36	287.01	155.5	239.52	201.25	84.04	249.73	316.37	392.44	277.2	327.56	336.79	264.03	287.01	137.14	127.89	187.71	197.09	145.02	400.71	217.27	171.45	96.68	185.11	182.55	156.59	708.18	144.01	334.46	190.34	269.6	343.89	197.09	102.97
AP3B2	0.17	0.0	13.62	0.0	0.0	0.0	0.0	273.37	395.18	239.52	209.84	176.29	41.22	31.67	40.07	69.52	81.71	158.79	94.67	43.63	153.34	45.53	125.24	50.63	81.71	162.14	224.97	127.0	128.79	234.57	85.82	157.68	111.99	60.82	31.45	154.42	35.5	36.01	165.57	104.42	70.51	115.16	30.56	11.82	61.25	159.9	97.36	118.43	94.01	89.51	255.0	95.34	49.91
ATG16L2	128.79	141.02	83.45	163.28	90.77	115.16	177.53	1378.57	775.05	902.89	848.22	764.36	379.04	269.6	503.95	665.29	291.04	738.29	579.04	293.07	521.76	277.2	575.03	334.46	239.52	813.63	718.08	928.3	1167.14	753.83	450.94	583.07	1023.0	412.0	432.53	441.64	444.72	301.33	791.35	447.82	351.14	241.19	432.53	267.73	373.81	1167.14	423.61	595.34	669.92	703.28	796.86	432.53	236.21
BCL7A	32.36	45.21	76.71	108.9	129.69	119.26	137.14	307.69	303.44	301.33	444.72	323.03	301.33	205.5	215.77	253.23	220.32	281.09	297.17	130.6	325.29	171.45	224.97	209.84	215.77	400.71	314.17	269.6	258.57	332.14	363.56	285.03	334.46	198.47	124.37	285.03	129.69	132.44	273.37	297.17	379.04	158.79	341.51	165.57	244.57	470.14	148.09	277.2	256.78	265.87	293.07	348.71	228.13
CALCOCO1	497.0	647.07	753.83	733.19	395.18	708.18	507.46	3768.09	3665.02	3564.78	4388.98	2956.17	1733.13	1806.78	2047.0	1909.85	2303.12	2032.85	3018.3	1870.53	3349.13	1583.71	2255.7	2367.9	1794.29	3018.3	2645.74	2573.36	3847.29	2537.92	2163.77	2061.24	4095.0	1844.76	1369.04	2367.9	1883.54	1572.76	2720.15	2915.45	2956.17	1991.0	1883.54	1447.15	2502.97	5292.48	2090.03	2400.97	1832.01	2997.45	2133.97	1857.6	1477.58
