	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.145MH.0626.SM.5NQAK	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.12WSD.0826.SM.5GCNE	GTEX.12584.1426.SM.5EGJ9	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.X5EB.0426.SM.46MVY	GTEX.S7SE.0926.SM.2XCD6	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.147F4.0926.SM.5Q5EO	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.X4XX.1026.SM.4QARO	GTEX.WWYW.0926.SM.3NB2Z	GTEX.13O61.0726.SM.5J2MD	GTEX.13O3P.1026.SM.5N9E7	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13YAN.1026.SM.5O9CF	GTEX.13FTY.0126.SM.5J2NZ	GTEX.12696.1026.SM.5FQUV	GTEX.11NV4.1126.SM.5HL6J	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1128S.0726.SM.5N9D6	GTEX.145MN.0926.SM.5NQBT	GTEX.1497J.0326.SM.5Q5CN	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.12ZZW.0926.SM.5LZUD	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.13O3Q.0526.SM.5KM18	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.11ZTT.0626.SM.5EQLM	GTEX.1399U.0826.SM.5KM1P	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
AASDH	92.7	98.04	146.03	31.67	87.03	106.63	45.21	147.06	241.19	115.97	150.17	67.12	151.22	51.71	66.65	55.49	141.02	69.03	153.34	74.06	197.09	34.26	64.34	60.39	148.09	24.28	80.57	94.01	180.02	138.1	186.4	198.47	102.97	127.0	171.45	64.8	147.06	85.82	144.01	80.01	27.44	229.72	158.79	115.16	142.01	150.17	144.01	66.65	65.26
AGGF1	181.28	202.66	269.6	115.16	242.88	214.27	51.71	231.32	334.46	256.78	303.44	140.04	285.03	110.43	139.07	143.01	305.55	153.34	241.19	153.34	314.17	110.43	158.79	80.57	314.17	53.19	128.79	189.02	241.19	231.32	320.8	343.89	244.57	237.86	303.44	137.14	301.33	118.43	198.47	183.82	111.99	258.57	264.03	249.73	172.65	312.0	242.88	123.5	123.5
ALG12	291.04	226.54	400.71	128.79	366.09	368.65	132.44	521.76	567.1	454.09	616.37	239.52	567.1	236.21	483.38	191.67	500.46	232.94	438.59	363.56	571.05	154.42	395.18	121.79	343.89	139.07	312.0	291.04	620.67	423.61	476.71	555.41	334.46	420.68	470.14	202.66	878.17	212.78	483.38	260.38	193.01	483.38	543.96	473.41	521.76	403.5	406.31	195.72	185.11
ARAF	1119.56	1639.59	1639.59	1059.11	1250.98	1709.26	2645.74	2485.67	1844.76	2573.36	1977.24	1175.27	2148.82	1037.29	1191.69	1096.5	1977.24	1447.15	2119.22	1322.37	1757.34	1015.93	1487.87	543.96	1883.54	1059.11	1073.91	1427.22	2148.82	2004.85	2303.12	1857.6	1277.29	1896.65	1721.16	909.17	2502.97	1242.34	1769.57	1313.23	947.83	2075.59	2224.63	1806.78	1709.26	1477.58	2047.0	743.43	941.27
ARFGAP2	1111.82	1407.55	1909.85	934.76	1159.07	1781.89	825.0	1844.76	1936.53	2555.58	1832.01	1417.35	2319.15	679.29	1551.09	1322.37	1529.73	1508.65	2090.03	1437.15	2303.12	988.12	1628.26	1037.29	1844.76	599.49	1674.06	1359.57	2319.15	2075.59	2104.58	2119.22	1870.53	2520.38	1936.53	967.76	2319.15	974.5	1844.76	1259.69	830.75	2400.97	2090.03	1709.26	1674.06	1883.54	2075.59	974.5	967.76
ARMC7	312.0	371.22	559.28	204.07	297.17	397.93	271.48	486.75	583.07	493.56	444.72	209.84	1066.48	253.23	336.79	220.32	500.46	373.81	595.34	339.14	293.07	379.04	325.29	249.73	397.93	332.14	255.0	198.47	490.14	417.77	547.75	444.72	426.57	444.72	497.0	264.03	466.88	182.55	353.59	229.72	156.59	529.06	836.53	514.56	497.0	389.72	536.45	275.28	223.41
ARV1	329.84	395.18	629.35	148.09	438.59	429.54	109.66	563.18	688.78	532.74	607.87	223.41	603.67	153.34	348.71	217.27	381.68	277.2	514.56	305.55	507.46	157.68	283.05	148.09	555.41	58.3	283.05	231.32	665.29	480.04	633.73	679.29	432.53	507.46	638.15	145.02	651.58	231.32	470.14	400.71	171.45	647.07	575.03	400.71	447.82	529.06	595.34	185.11	129.69
ASB16	3.79	9.2	29.48	3.92	6.78	17.64	7.11	11.04	14.45	39.79	19.68	7.46	4.74	0.32	3.92	7.94	8.78	4.98	17.13	12.93	40.36	0.0	10.31	3.72	20.11	0.0	5.82	9.41	31.22	11.64	14.67	19.53	6.57	13.03	31.45	2.66	29.48	4.24	18.7	5.59	4.9	10.71	29.27	13.93	17.0	25.72	18.16	3.66	4.86
ASPSCR1	312.0	591.22	854.13	376.41	387.02	884.29	329.84	1529.73	1073.91	1651.0	759.08	660.68	733.19	194.36	679.29	483.38	703.28	679.29	1498.22	540.19	651.58	403.5	647.07	417.77	796.86	269.6	493.56	283.05	1331.57	703.28	723.08	941.27	791.35	2047.0	718.08	358.54	1268.46	397.93	1277.29	403.5	460.44	1572.76	1081.39	616.37	665.29	612.11	1199.98	334.46	297.17
ASTE1	80.57	53.57	141.02	43.63	102.25	118.43	27.64	124.37	137.14	149.12	172.65	55.1	177.53	28.24	45.21	59.13	115.16	52.45	118.43	64.8	187.71	57.08	75.11	29.27	155.5	19.68	81.71	71.5	190.34	147.06	205.5	136.19	98.04	120.1	149.12	33.54	154.42	74.06	118.43	76.71	40.93	167.9	146.03	84.04	96.68	92.05	150.17	66.18	43.63
