	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A091.01A.11R.A00Z.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.BH.A0DG.11A.43R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.13FTY.2226.SM.5J1ND	GTEX.P4QT.0626.SM.3NMCP	GTEX.UJMC.0926.SM.4IHLK	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.G3.AAV5.01A.11R.A37K.07
ACTN1	2303.12	3372.43	4937.99	2682.69	656.11	5633.22	5441.3	3955.48	4038.61	5711.87	1844.76	2627.46	1397.83	1417.35	1427.22	1259.69
ADNP2	166.73	141.02	223.41	269.6	147.06	277.2	301.33	305.55	228.13	260.38	173.85	202.66	67.59	64.34	56.28	72.52
AKAP11	127.0	244.57	579.04	368.65	158.79	466.88	514.56	703.28	698.41	514.56	131.51	149.12	46.18	41.52	15.34	53.57
AKAP2	172.65	163.28	356.05	260.38	96.68	438.59	1044.52	638.15	753.83	698.41	389.72	206.94	244.57	198.47	55.49	100.83
ANKFY1	291.04	277.2	493.56	503.95	228.13	583.07	624.99	698.41	738.29	890.44	356.05	511.0	79.45	121.79	46.5	64.8
ANKRD12	124.37	197.09	567.1	312.0	101.54	438.59	473.41	341.51	429.54	361.04	295.11	154.42	45.21	49.21	47.5	33.06
ANKRD28	234.57	271.48	532.74	529.06	265.87	547.75	878.17	575.03	679.29	497.0	536.45	387.02	151.22	175.07	106.63	91.41
AP000275.65	42.41	67.59	98.73	199.85	30.12	220.32	76.17	97.36	89.51	167.9	8.19	0.0	26.47	9.27	4.62	11.13
AP000322.54	11.21	24.11	69.03	67.12	23.42	63.45	48.52	137.14	77.25	83.45	46.84	74.06	10.39	9.48	2.46	14.45
ARID1B	228.13	323.03	718.08	460.44	249.73	525.39	753.83	802.41	775.05	825.0	329.84	323.03	66.18	141.02	90.14	76.71
ARID5B	76.71	29.27	318.57	108.14	12.27	384.34	1111.82	1001.93	507.46	921.88	285.03	287.01	29.91	30.56	26.86	19.82
ARL14EP	371.22	620.67	733.19	674.59	420.68	660.68	813.63	1073.91	890.44	813.63	275.28	218.79	218.79	127.0	205.5	152.28
ATG5	299.25	265.87	301.33	348.71	255.0	460.44	480.04	486.75	514.56	429.54	293.07	249.73	275.28	209.84	251.48	220.32
ATM	135.24	191.67	379.04	193.01	94.67	423.61	703.28	780.44	902.89	638.15	190.34	228.13	64.34	93.35	64.8	99.43
AZU1	8.19	21.47	31.45	77.25	7.82	55.89	41.52	13.62	67.59	40.36	3.99	5.45	0.0	0.82	0.0	1.55
BCLAF1	713.11	1561.89	1991.0	1857.6	909.17	2468.49	2915.45	2682.69	2434.5	2855.44	1030.12	1023.0	255.0	309.83	339.14	228.13
BMPR1A	85.22	150.17	320.8	316.37	145.02	406.31	444.72	665.29	521.76	327.56	113.56	122.64	31.67	47.5	28.24	48.18
BPTF	466.88	836.53	1268.46	1008.9	480.04	1295.13	1794.29	1923.14	1870.53	1896.65	728.11	860.08	255.0	348.71	265.87	267.73
C1orf112	73.54	66.18	218.79	190.34	40.07	269.6	138.1	237.86	138.1	217.27	23.08	110.43	47.5	37.05	88.88	76.71
C21orf91	65.72	105.15	130.6	191.67	76.17	255.0	490.14	303.44	293.07	277.2	141.02	159.9	28.86	26.28	24.99	15.22
C22orf46	175.07	239.52	346.29	248.0	194.36	303.44	395.18	371.22	616.37	363.56	131.51	185.11	72.52	52.82	105.89	120.94
CAAP1	269.6	307.69	262.2	339.14	191.67	384.34	373.81	921.88	540.19	363.56	218.79	212.78	258.57	248.0	147.06	289.02
CACUL1	283.05	368.65	412.0	511.0	264.03	381.68	647.07	748.61	493.56	698.41	303.44	371.22	180.02	211.31	148.09	244.57
CAPN7	339.14	432.53	470.14	497.0	295.11	575.03	713.11	1066.48	624.99	743.43	343.89	435.55	153.34	139.07	164.42	130.6
CCDC176	297.17	267.73	457.25	356.05	241.19	947.83	414.87	775.05	1143.1	1119.56	75.64	186.4	40.36	28.45	40.07	38.67
CCDC66	173.85	244.57	339.14	232.94	120.1	406.31	473.41	607.87	612.11	603.67	198.47	297.17	52.45	59.13	58.71	61.25
CCDC77	107.38	120.1	127.0	159.9	121.79	191.67	301.33	231.32	483.38	159.9	83.45	185.11	34.51	140.04	35.76	65.72
CD160	4.03	4.1	8.0	5.11	1.25	15.22	56.28	15.45	35.25	15.45	8.51	10.31	0.0	9.34	2.89	3.66
CDC40	256.78	287.01	346.29	353.59	256.78	420.68	497.0	647.07	612.11	281.09	229.72	201.25	146.03	138.1	145.02	120.94
CEP192	231.32	166.73	356.05	237.86	94.01	283.05	376.41	529.06	332.14	579.04	218.79	277.2	130.6	90.14	72.52	110.43
CEP76	85.22	109.66	118.43	157.68	102.97	155.5	137.14	127.89	249.73	148.09	106.63	155.5	38.67	69.03	23.42	40.64
CLEC17A	1.97	3.32	8.71	7.88	0.0	6.62	7.63	32.82	56.28	8.06	8.13	7.57	0.73	0.0	0.0	0.28
CWF19L2	138.1	198.47	186.4	199.85	138.1	236.21	429.54	620.67	387.02	376.41	163.28	157.68	53.19	50.98	49.91	53.57
CYB5R1	1529.73	2335.28	3168.41	2796.65	2119.22	3901.01	1529.73	2720.15	2367.9	4038.61	1745.2	2224.63	1175.27	1001.93	2485.67	1639.59
DCAF17	130.6	146.03	285.03	316.37	132.44	348.71	353.59	241.19	320.8	339.14	135.24	191.67	65.72	40.07	35.76	52.08
DDX6	283.05	808.0	1208.34	775.05	511.0	1407.55	1697.45	2104.58	1923.14	2163.77	591.22	514.56	71.5	158.79	66.65	71.5
DENND4C	231.32	361.04	603.67	591.22	285.03	599.49	909.17	1175.27	830.75	718.08	329.84	334.46	60.82	142.01	40.64	55.49
DHX33	115.97	147.06	190.34	191.67	99.43	228.13	277.2	264.03	246.28	214.27	176.29	211.31	47.84	53.95	42.11	46.18
EFHD1	2591.27	6207.38	7589.61	13306.94	2796.65	8598.28	7280.4	2997.45	15824.9	10585.95	237.86	281.09	80.01	27.05	19.68	507.46
EIF4ENIF1	348.71	444.72	607.87	583.07	339.14	514.56	607.87	624.99	624.99	629.35	447.82	376.41	130.6	146.03	120.94	148.09
EPC2	212.78	368.65	420.68	371.22	228.13	457.25	688.78	896.64	656.11	679.29	212.78	190.34	171.45	87.65	47.17	62.56
FAM172A	111.21	194.36	373.81	182.55	154.42	409.15	633.73	507.46	791.35	497.0	176.29	185.11	55.89	35.76	57.89	89.51
FIGNL1	87.03	89.51	123.5	177.53	41.81	239.52	291.04	295.11	343.89	214.27	100.83	154.42	18.7	55.1	45.21	44.89
FOXO4	75.11	30.34	497.0	170.25	237.86	353.59	583.07	764.36	759.08	836.53	258.57	264.03	107.38	91.41	67.59	136.19
FZD7	57.89	187.71	483.38	651.58	67.12	500.46	1605.83	1883.54	1883.54	909.17	134.3	155.5	5.02	0.68	15.56	23.93
GLRA4	0.0	0.0	4.13	0.28	0.87	4.74	43.02	12.27	18.84	10.88	0.68	1.04	0.0	0.0	0.0	0.0
GLTSCR1L	140.04	267.73	444.72	267.73	172.65	358.54	450.94	571.05	543.96	381.68	114.36	133.36	31.67	46.5	39.22	43.32
GON4L	279.14	414.87	642.59	432.53	197.09	921.88	647.07	785.88	780.44	878.17	583.07	674.59	189.02	124.37	156.59	231.32
GTF2H1	470.14	514.56	567.1	753.83	376.41	583.07	866.07	1350.18	947.83	928.3	559.28	665.29	293.07	281.09	514.56	264.03
HACE1	107.38	112.77	156.59	186.4	101.54	173.85	265.87	426.57	223.41	271.48	125.24	152.28	30.56	11.73	29.06	28.04
HCAR1	237.86	164.42	1127.35	363.56	131.51	1447.15	743.43	447.82	3982.99	1135.2	30.12	38.4	0.0	0.0	0.36	0.0
HEATR5B	199.85	273.37	466.88	444.72	353.59	473.41	470.14	669.92	656.11	460.44	295.11	343.89	67.59	72.01	36.27	66.18
HP1BP3	775.05	2047.0	2816.11	2720.15	753.83	3081.75	3395.89	3874.05	2956.17	3235.01	1870.53	2240.11	579.04	791.35	819.3	490.14
HPS5	162.14	166.73	279.14	301.33	162.14	351.14	612.11	463.65	420.68	447.82	186.4	146.03	177.53	88.88	62.56	83.45
IKZF5	221.86	291.04	414.87	406.31	183.82	500.46	567.1	559.28	525.39	587.13	201.25	176.29	46.84	76.17	64.34	120.94
JOSD1	493.56	476.71	599.49	748.61	466.88	607.87	848.22	1340.84	743.43	830.75	620.67	514.56	441.64	316.37	269.6	412.0
KATNAL1	38.12	53.57	134.3	173.85	53.57	234.57	204.07	251.48	220.32	177.53	31.45	39.5	49.21	39.79	13.22	38.95
KDM3B	371.22	674.59	974.5	909.17	423.61	1015.93	1242.34	1313.23	1225.22	995.0	660.68	723.08	121.79	218.79	248.0	212.78
KIAA0753	147.06	128.79	242.88	193.01	81.14	392.44	341.51	368.65	432.53	348.71	246.28	267.73	24.11	32.13	17.0	28.65
