	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A23B.11A.11R.A16W.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.14753.1626.SM.5NQ9L	GTEX.QV31.0726.SM.3GAEG	GTEX.11I78.0526.SM.5986A	GTEX.13N11.1026.SM.5K7XQ	GTEX.XUJ4.0726.SM.4BOOP	GTEX.117YX.1226.SM.5H11S
ACIN1	1605.83	1806.78	703.28	529.06	1111.82	728.11	264.03	3039.3	2573.36	2682.69	2573.36	2682.69
ACPL2	96.01	130.6	49.21	48.87	94.01	59.55	21.63	218.79	165.57	500.46	127.89	199.85
ACVR1	205.5	500.46	237.86	178.77	412.0	332.14	153.34	1225.22	995.0	1225.22	713.11	995.0
ADO	164.42	193.01	75.64	57.49	141.02	107.38	53.95	264.03	279.14	275.28	248.0	305.55
AL589739.1	2.56	0.0	0.0	10.08	4.78	0.0	2.32	99.43	49.56	115.16	70.51	41.22
ANKRD49	99.43	253.23	157.68	15.22	189.02	84.63	73.54	785.88	395.18	633.73	483.38	612.11
AP000275.65	9.63	0.0	6.73	0.0	15.22	6.11	0.0	78.34	44.25	40.64	47.5	83.45
ARL14EP	190.34	529.06	236.21	104.42	336.79	226.54	144.01	775.05	525.39	819.3	503.95	647.07
BANK1	289.02	67.59	18.29	2.76	19.11	5.54	7.75	420.68	275.28	237.86	279.14	314.17
BEND7	0.0	3.82	150.17	136.19	186.4	143.01	163.28	679.29	507.46	679.29	476.71	500.46
C12orf39	12.36	56.68	47.84	6.89	17.25	17.51	9.34	947.83	183.82	1059.11	218.79	620.67
C18orf21	287.01	669.92	279.14	141.02	373.81	249.73	108.9	603.67	447.82	406.31	529.06	629.35
C9orf153	0.49	0.0	0.0	0.0	0.72	0.0	0.0	4.39	5.77	1.0	4.78	0.33
CDKL3	24.99	79.45	26.67	10.47	45.53	39.22	19.25	87.03	123.5	171.45	104.42	136.19
COPS8	232.94	775.05	470.14	480.04	620.67	432.53	376.41	1508.65	995.0	1030.12	1096.5	1191.69
CPSF7	733.19	674.59	529.06	346.29	723.08	480.04	297.17	2303.12	1250.98	1819.35	1662.49	1794.29
CWC15	785.88	934.76	866.07	397.93	915.51	718.08	591.22	1225.22	1001.93	1467.37	1037.29	1304.15
CWC22	204.07	316.37	162.14	40.36	239.52	156.59	84.63	514.56	366.09	444.72	351.14	454.09
DDX47	587.13	780.44	595.34	529.06	718.08	536.45	356.05	1378.57	1250.98	1183.45	1096.5	1242.34
DENND5A	75.11	208.38	318.57	183.82	447.82	242.88	177.53	995.0	860.08	656.11	698.41	563.18
DHRS7	1030.12	616.37	3190.46	2855.44	2976.74	1769.57	3768.09	4066.71	3081.75	3349.13	3742.05	3491.39
DIS3L	191.67	255.0	237.86	115.97	291.04	285.03	152.28	651.58	341.51	493.56	579.04	497.0
DNAJC2	220.32	532.74	295.11	55.1	348.71	205.5	164.42	620.67	480.04	624.99	414.87	559.28
DNTTIP2	708.18	995.0	470.14	112.77	718.08	518.15	376.41	974.5	819.3	947.83	848.22	1250.98
DYRK1A	262.2	536.45	226.54	106.63	329.84	206.94	120.94	947.83	738.29	759.08	1001.93	1073.91
EAPP	921.88	1369.04	718.08	514.56	860.08	733.19	500.46	1467.37	1233.75	1487.87	1313.23	1583.71
EIF1B	376.41	1081.39	1268.46	703.28	1397.83	995.0	660.68	1769.57	1769.57	2303.12	1551.09	2004.85
EIF2B1	432.53	753.83	435.55	343.89	532.74	444.72	309.83	785.88	599.49	718.08	629.35	624.99
ENKUR	6.41	4.43	4.17	0.0	8.06	3.53	2.01	16.75	5.87	75.64	16.15	16.27
FAM160A2	271.48	579.04	571.05	429.54	656.11	503.95	409.15	1066.48	698.41	878.17	860.08	1135.2
FAM211A	6.01	8.51	5.19	6.21	18.43	7.11	0.29	64.34	52.08	69.52	50.98	49.56
FAM216A	24.81	46.84	102.97	26.86	111.99	101.54	52.45	144.01	132.44	255.0	127.89	136.19
FUCA1	341.51	346.29	1561.89	1225.22	1594.73	1651.0	1498.22	1936.53	1540.37	2319.15	1594.73	2178.83
GUF1	202.66	397.93	217.27	153.34	267.73	178.77	128.79	444.72	180.02	339.14	287.01	361.04
HDAC8	258.57	303.44	269.6	187.71	318.57	218.79	309.83	486.75	323.03	403.5	420.68	435.55
HENMT1	24.63	137.14	50.98	26.1	39.5	21.47	5.73	108.14	76.71	84.63	67.12	129.69
HTATSF1	738.29	995.0	470.14	255.0	536.45	476.71	358.54	1628.26	1322.37	1540.37	1350.18	1605.83
IFT20	395.18	620.67	915.51	389.72	1096.5	688.78	500.46	1304.15	1477.58	1551.09	1104.13	1561.89
IFT74	170.25	312.0	137.14	18.7	177.53	114.36	68.07	532.74	249.73	785.88	381.68	444.72
IFT88	36.01	84.63	239.52	79.45	269.6	181.28	183.82	684.02	500.46	518.15	454.09	684.02
