	TCGA.AR.A0TU.01A.31R.A109.07	TCGA.35.5375.01A.01R.1628.07	TCGA.64.5774.01A.01R.1628.07	TCGA.73.4659.01A.01R.1206.07	TCGA.05.4390.01A.02R.1755.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.144GN.0426.SM.5O9AP	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.P4QT.0526.SM.2I3EX	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WFG7.0526.SM.3GIKI	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.XGQ4.0826.SM.4AT4T	GTEX.1399S.1726.SM.5L3DI	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.T8EM.0326.SM.3DB7F	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.QEG5.1126.SM.33HC2	GTEX.13OVG.0326.SM.5KM57	TCGA.37.4132.01A.01R.1100.07	TCGA.66.2782.01A.01R.0851.07	TCGA.66.2771.01A.01R.0980.07	TCGA.18.3411.01A.01R.0980.07	TCGA.39.5031.01A.01R.1443.07	TCGA.NK.A5D1.01A.11R.A26W.07	TCGA.37.4132.01A.01R.1100.07.1
AHSA1	5076.84	6207.38	3395.89	3349.13	6121.9	1806.78	1832.01	1529.73	4066.71	1340.84	1794.29	1295.13	2720.15	2271.4	2777.33	2163.77	2319.15	1594.73	1896.65	1883.54	2835.7	1909.85	2417.67	1733.13	2148.82	2816.11	2417.67	2319.15	1923.14	2351.53	1498.22	1781.89	1369.04	1909.85	1233.75	5255.91	3515.68	3928.15	5041.77	4388.98	5517.27	5255.91
ALKBH2	1175.27	1119.56	848.22	444.72	954.43	476.71	262.2	199.85	483.38	397.93	297.17	211.31	406.31	371.22	316.37	212.78	371.22	432.53	540.19	139.07	387.02	400.71	368.65	412.0	334.46	616.37	547.75	237.86	529.06	490.14	253.23	318.57	327.56	343.89	271.48	1119.56	1151.06	1175.27	669.92	764.36	1111.82	1119.56
ANAPC5	2895.31	3039.3	1674.06	2468.49	2255.7	1225.22	1183.45	1023.0	1857.6	860.08	1529.73	1487.87	1685.71	2104.58	1662.49	665.29	2209.26	1896.65	1896.65	1001.93	1936.53	941.27	1794.29	1991.0	1594.73	1487.87	1977.24	1388.16	1594.73	1572.76	1617.0	1427.22	1936.53	1397.83	1378.57	3928.15	2758.13	4639.29	3349.13	2682.69	2664.15	3928.15
ANLN	753.83	329.84	351.14	275.28	536.45	36.01	49.91	20.26	102.25	22.43	10.47	7.22	127.0	92.05	336.79	33.3	111.99	11.13	121.79	12.93	20.71	27.84	8.58	16.51	127.89	38.4	201.25	21.01	31.0	224.97	40.93	35.0	27.64	23.76	21.16	336.79	591.22	450.94	854.13	493.56	511.0	336.79
APEX1	5403.7	10808.41	6471.02	4736.79	7130.55	2400.97	2875.3	2061.24	4066.71	2018.8	2855.44	2485.67	3820.7	3168.41	3018.3	1572.76	3303.0	2627.46	3467.27	1651.0	2875.3	2645.74	2417.67	3190.46	3060.45	3690.52	4607.24	1923.14	3768.09	3349.13	2739.08	3901.01	3395.89	2609.3	2664.15	6037.61	6516.03	6561.36	8840.04	5041.77	8305.36	6037.61
ASF1B	902.89	441.64	521.76	325.29	500.46	50.98	105.15	38.4	307.69	29.27	57.08	54.72	279.14	143.01	503.95	58.71	260.38	31.45	127.89	47.17	60.82	44.25	29.27	53.19	356.05	77.79	253.23	26.47	87.03	209.84	75.11	94.67	50.63	57.49	40.93	373.81	483.38	1001.93	1540.37	684.02	775.05	373.81
ATAD2	713.11	320.8	441.64	356.05	1417.35	76.71	76.71	111.99	208.38	155.5	100.13	60.82	180.02	146.03	248.0	189.02	212.78	64.8	88.26	161.02	83.45	72.01	115.97	125.24	175.07	33.3	113.56	92.7	96.68	135.24	127.0	83.45	100.83	154.42	99.43	603.67	521.76	307.69	299.25	387.02	532.74	603.67
AURKB	1322.37	2018.8	1001.93	679.29	1572.76	42.41	131.51	23.42	149.12	31.67	26.86	71.0	234.57	96.01	423.61	92.05	167.9	19.11	53.57	55.49	35.25	41.52	14.89	40.07	239.52	100.13	202.66	20.11	53.95	165.57	58.71	32.36	53.95	46.84	53.19	603.67	769.69	934.76	802.41	1447.15	4543.8	603.67
BIRC5	2178.83	1487.87	1208.34	713.11	1313.23	33.54	90.77	28.86	145.02	22.1	19.82	21.47	231.32	60.82	555.41	37.32	98.04	11.13	92.7	14.67	28.24	22.92	5.45	20.86	258.57	69.03	260.38	13.42	67.12	178.77	50.27	40.36	37.85	36.27	15.91	2468.49	1225.22	3103.19	2758.13	1286.18	1977.24	2468.49
BOLA3	1594.73	3639.7	1977.24	1583.71	1651.0	412.0	547.75	406.31	1233.75	412.0	444.72	497.0	921.88	854.13	1167.14	423.61	902.89	848.22	836.53	379.04	836.53	599.49	555.41	616.37	808.0	1388.16	1350.18	780.44	1059.11	819.3	616.37	1051.79	567.1	866.07	497.0	2758.13	2451.44	2627.46	2061.24	2224.63	1340.84	2758.13
