	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.11ZUS.2526.SM.59872	GTEX.TKQ2.1726.SM.4DXUP	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZPU1.0826.SM.57WG2	GTEX.145LU.1326.SM.5LU9N	GTEX.14AS3.0126.SM.5Q5F4	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.12WSM.0726.SM.5GCOW	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QV44.0326.SM.4R1KD	GTEX.XBEC.1526.SM.4AT68	GTEX.ZZPU.0426.SM.5GZYH	GTEX.QESD.2026.SM.447BI	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.UPIC.0926.SM.4IHLV	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.S4Z8.0526.SM.4AD4T	GTEX.13VXU.0926.SM.5IFFH	GTEX.11WQC.0726.SM.5EQMR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.DJ.A3V9.01A.11R.A23N.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.ET.A3BQ.01B.11R.A206.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.ET.A3DP.01A.11R.A21D.07	TCGA.DJ.A4V5.01A.11R.A250.07
AC010327.2	14.14	25.35	8.38	12.36	10.79	3.69	22.59	4.82	22.43	25.54	15.45	12.0	0.0	26.1	17.77	26.1	11.64	58.71	15.8	12.36	13.52	20.26	10.39	35.25	13.62	16.27	3.79	29.91	15.56	18.43	12.45	17.25	21.32	0.0	0.0	89.51	67.59	95.34	73.03	59.97	90.77	60.39	64.34	81.71	95.34	50.98	79.45	69.52	74.58	69.52	67.59	65.72	85.82	84.63	84.63	72.01	65.26	68.55	63.89	98.04
AC011551.3	8.65	6.94	0.0	7.4	0.0	0.0	0.0	0.0	10.24	0.0	6.06	9.63	0.0	0.0	0.0	9.34	10.31	0.0	7.51	0.0	0.0	9.7	7.82	17.64	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.11	2.41	6.01	2.76	10.31	4.21	3.96	2.03	1.01	3.35	0.61	0.0	5.11	8.99	0.62	5.82	7.11	1.19	0.0	17.9	0.65	1.51	1.14	9.93	2.97
AC021860.1	0.0	7.06	0.0	6.36	2.1	0.44	8.13	0.01	1.81	4.24	4.58	4.62	2.63	5.15	4.28	11.55	1.46	2.94	2.1	1.33	4.62	8.25	4.46	10.47	0.52	3.96	0.08	0.38	5.77	7.06	0.0	4.58	2.48	0.0	0.39	59.13	64.8	25.17	26.47	24.63	12.0	40.36	77.79	27.05	95.34	9.27	46.84	25.54	49.21	19.82	33.06	31.9	143.01	30.56	16.39	34.75	35.0	55.89	35.0	16.27
AC110615.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.09	2.58	1.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.45	10.24	0.0	12.0	0.0	0.0
AC145676.2	0.95	2.89	1.77	0.02	3.92	2.97	0.0	2.32	0.97	0.0	1.06	0.0	1.0	0.57	0.33	0.0	1.71	0.0	2.27	0.47	0.39	1.41	0.42	0.49	1.25	0.37	2.63	1.79	4.17	0.02	1.38	0.36	1.11	0.0	0.15	1.43	0.74	2.48	0.0	2.41	1.51	1.53	1.5	0.0	0.73	0.0	2.53	0.0	0.72	0.72	1.58	0.0	0.73	6.11	3.53	1.55	1.55	3.35	0.75	2.43
AJAP1	1.6	20.41	4.13	1.93	1.73	2.39	2.27	0.0	1.81	0.49	1.64	0.54	4.46	4.17	1.06	10.71	3.11	3.86	1.73	0.09	4.86	0.61	2.46	0.56	1.97	2.81	2.56	17.51	9.85	3.2	20.11	2.2	4.82	0.0	0.15	53.19	36.79	41.52	57.08	11.64	59.97	44.25	29.27	37.59	90.77	35.76	41.81	36.27	62.56	95.34	61.68	138.1	98.73	21.63	29.7	71.0	37.32	33.54	69.03	19.11
ANKRD30BL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66	0.48	0.0	0.47	0.0	0.85	1.33	1.27	0.0	0.88	0.0	0.85	0.85	2.89	0.0	0.0	0.88	1.25	0.0	0.0	1.2	0.49	0.0
ANO6	435.55	595.34	693.58	575.03	718.08	1216.75	713.11	1268.46	438.59	1066.48	454.09	934.76	1359.57	674.59	543.96	647.07	961.07	264.03	866.07	775.05	791.35	647.07	995.0	320.8	718.08	403.5	575.03	323.03	363.56	543.96	866.07	780.44	708.18	397.93	66.18	995.0	521.76	366.09	967.76	1259.69	332.14	928.3	961.07	525.39	587.13	412.0	1088.92	974.5	1340.84	587.13	674.59	947.83	896.64	743.43	633.73	1487.87	698.41	860.08	518.15	567.1
AP4M1	124.37	151.22	95.34	56.28	90.77	64.8	57.08	187.71	86.43	156.59	120.1	102.25	91.41	145.02	161.02	167.9	155.5	118.43	176.29	70.01	115.97	143.01	110.43	96.68	130.6	122.64	87.03	223.41	43.63	141.02	119.26	82.29	72.01	0.0	0.31	836.53	842.36	791.35	808.0	612.11	738.29	616.37	693.58	642.59	981.29	708.18	591.22	688.78	660.68	660.68	679.29	579.04	909.17	536.45	759.08	587.13	698.41	698.41	457.25	764.36
ARAP3	22.75	244.57	31.9	38.95	59.97	56.68	71.0	37.85	52.45	66.65	96.68	31.22	78.34	87.65	37.32	89.51	82.87	111.99	43.94	58.71	44.25	93.35	71.5	43.63	125.24	93.35	21.01	58.3	69.52	51.71	74.58	26.47	81.71	0.0	0.59	493.56	381.68	483.38	392.44	389.72	343.89	346.29	339.14	397.93	470.14	198.47	334.46	305.55	476.71	518.15	587.13	358.54	514.56	414.87	651.58	575.03	466.88	420.68	336.79	366.09
