	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	GTEX.11ZTS.1526.SM.5N9G7	GTEX.11GSP.1626.SM.5986N	GTEX.ZDTS.2726.SM.5L3E2	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.11NUK.1726.SM.5A5L2	GTEX.12WSD.2026.SM.5HL7D	GTEX.Y111.1826.SM.4SOIR	GTEX.13OVL.2726.SM.5J2MP	GTEX.14DAQ.1626.SM.5S2R1	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.Y111.1726.SM.4SOIQ	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.11DYG.1426.SM.5A5JR	GTEX.RTLS.1226.SM.46MUP	GTEX.YECK.1726.SM.5IFI3	GTEX.XQ8I.1626.SM.4BOOI	TCGA.CV.A463.01A.11R.A266.07	TCGA.D6.6516.01A.11R.1873.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.38.4625.01A.01R.1206.07	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AF.2691.11A.01R.A32Z.07	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07
ABCB9	45.21	57.49	67.59	96.01	40.93	49.56	65.72	73.54	29.91	220.32	64.8	89.51	41.22	67.59	90.77	193.01	199.85	145.02	127.89	116.78	152.28	190.34	181.28	208.38	64.8	159.9	128.79	84.04	23.42	56.68	37.85	48.87	0.0	59.55	47.17	43.94	53.19
ABHD1	9.2	8.99	8.99	7.46	28.86	19.25	34.75	16.75	5.23	24.99	12.45	11.73	24.46	11.73	44.89	48.18	95.34	70.01	49.56	35.0	89.51	62.56	91.41	94.67	47.5	58.3	84.04	39.79	3.47	4.86	1.93	0.0	0.0	19.39	3.59	26.1	5.82
ABHD8	301.33	289.02	336.79	329.84	660.68	248.0	265.87	343.89	236.21	490.14	289.02	351.14	429.54	297.17	638.15	500.46	633.73	698.41	511.0	409.15	708.18	651.58	567.1	591.22	356.05	507.46	500.46	466.88	72.01	37.85	28.45	100.83	0.0	271.48	177.53	363.56	260.38
AC019294.1	4.74	3.32	2.39	2.39	13.42	0.0	1.87	6.26	2.58	5.28	10.47	3.76	4.06	5.32	1.75	12.09	6.16	17.0	10.88	3.38	10.63	8.92	5.06	10.0	8.06	8.92	13.62	4.5	3.17	1.51	0.0	0.0	0.0	1.62	3.14	2.46	6.46
ADCY5	669.92	718.08	633.73	470.14	2075.59	665.29	559.28	791.35	403.5	2537.92	6471.02	11035.54	8658.09	3768.09	1769.57	3124.78	1457.23	2148.82	1950.0	1806.78	1561.89	2319.15	1870.53	1467.37	1561.89	1467.37	1781.89	1757.34	2.27	8.13	2.36	3.38	0.0	536.45	329.84	909.17	665.29
ADRA1B	13.03	17.38	24.99	13.03	27.05	24.28	10.71	6.21	6.84	21.01	24.28	18.56	24.28	22.43	60.39	49.56	44.89	39.22	30.12	37.32	33.54	24.11	41.22	26.1	20.71	35.5	62.56	30.56	2.36	1.28	1.68	2.29	0.0	6.57	10.96	15.91	20.26
AUTS2	318.57	392.44	229.72	287.01	281.09	273.37	483.38	312.0	115.97	291.04	423.61	656.11	470.14	723.08	420.68	934.76	616.37	346.29	713.11	583.07	547.75	571.05	748.61	656.11	423.61	842.36	785.88	836.53	346.29	211.31	299.25	228.13	155.5	299.25	358.54	366.09	363.56
BBS1	567.1	785.88	612.11	547.75	1331.57	599.49	511.0	660.68	417.77	872.1	785.88	1259.69	1119.56	1191.69	802.41	1119.56	981.29	981.29	1183.45	1225.22	921.88	934.76	967.76	954.43	860.08	1051.79	1008.9	928.3	165.57	153.34	169.07	186.4	0.0	507.46	412.0	915.51	728.11
C7orf63	60.39	61.68	82.87	76.17	122.64	105.89	116.78	56.28	69.03	147.06	143.01	190.34	128.79	187.71	165.57	279.14	325.29	312.0	206.94	169.07	435.55	343.89	244.57	265.87	195.72	262.2	285.03	165.57	10.88	11.73	11.38	25.72	0.0	81.14	55.49	127.0	72.01
CAPRIN2	291.04	267.73	285.03	215.77	384.34	258.57	251.48	269.6	164.42	287.01	466.88	457.25	480.04	341.51	476.71	842.36	647.07	536.45	607.87	642.59	679.29	698.41	674.59	647.07	607.87	743.43	780.44	540.19	93.35	91.41	124.37	231.32	0.0	170.25	136.19	409.15	264.03
