	GTEX.SE5C.1026.SM.4BRUG	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.ZF.AA58.01A.12R.A42T.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.CV.5966.01A.11R.1686.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VN.A88P.01A.11R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.11TT1.2026.SM.5EQM8	GTEX.Q2AI.1126.SM.48U19	GTEX.11NSD.0826.SM.5986S	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.117YW.1426.SM.5EGGO	GTEX.1399R.0526.SM.5IJEF	GTEX.QV31.1026.SM.4R1K3
ABCC5	186.4	251.48	309.83	256.78	403.5	0.0	1.0	384.34	193.01	567.1	94.67	136.19	130.6	275.28	412.0	316.37	454.09	258.57	366.09	392.44	236.21	629.35	309.83	249.73	397.93	205.5	341.51	429.54	363.56	264.03	444.72	571.05	547.75	251.48	320.8	318.57	802.41	555.41	785.88
AC103801.2	22.59	28.65	6.94	0.0	38.95	0.0	0.0	75.64	54.33	87.03	0.0	0.0	0.0	134.3	14.56	0.0	96.68	176.29	57.89	92.7	56.68	100.83	76.71	73.54	114.36	0.0	136.19	146.03	0.0	126.12	86.43	162.14	71.0	217.27	141.02	145.02	75.11	187.71	447.82
ALDH1L1	94.01	6.57	3.44	3.79	5.23	0.0	0.45	85.82	169.07	414.87	283.05	0.59	68.55	289.02	142.01	135.24	191.67	314.17	323.03	309.83	224.97	674.59	289.02	332.14	239.52	239.52	208.38	303.44	102.97	312.0	1030.12	1096.5	651.58	102.97	769.69	159.9	860.08	237.86	1313.23
ANO3	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.38	0.0	0.38	0.39	0.0	0.4	0.39	0.41	1.41	2.03	0.73	0.38	0.75	0.0	0.39	0.39	0.39	1.01	0.41	0.38	0.71	1.38	0.0	7.46	0.77	3.76	0.79	0.84	0.78	4.46	2.23	1.66
AVPR1A	6.26	0.69	1.51	0.37	4.1	0.0	0.0	14.67	6.94	35.25	3.53	1.89	6.31	8.85	17.38	4.62	42.71	3.2	1.07	30.56	7.82	53.19	30.34	6.11	17.77	29.27	52.08	29.27	6.62	48.18	113.56	16.51	31.0	29.27	37.05	15.22	92.05	73.03	6.84
BAZ2B	124.37	63.89	72.01	61.68	34.02	0.0	0.49	190.34	181.28	320.8	147.06	45.85	123.5	175.07	341.51	320.8	323.03	205.5	133.36	334.46	224.97	532.74	348.71	187.71	373.81	214.27	323.03	435.55	275.28	301.33	587.13	239.52	624.99	318.57	511.0	194.36	748.61	620.67	540.19
CHST9	3.14	0.0	0.0	0.0	0.0	0.0	0.0	0.35	40.07	70.01	3.86	40.36	7.0	22.92	26.47	105.15	98.04	73.03	80.57	71.5	12.93	206.94	104.42	55.89	162.14	53.19	54.72	159.9	37.85	74.06	325.29	98.73	159.9	67.12	40.36	48.18	928.3	384.34	389.72
CYP7B1	8.65	68.07	23.76	7.06	25.54	0.0	0.35	29.7	64.8	82.87	33.78	8.13	53.95	52.82	34.26	99.43	63.89	59.97	49.56	84.04	50.63	83.45	137.14	54.72	92.7	52.45	69.52	94.01	32.82	183.82	226.54	76.17	85.82	177.53	122.64	136.19	149.12	194.36	116.78
DAPL1	3.86	23.76	0.0	1.93	0.0	0.0	0.25	0.0	69.52	178.77	7.94	3.08	0.0	31.67	693.58	15.56	14.56	226.54	36.27	67.12	10.55	256.78	237.86	80.57	217.27	35.0	165.57	220.32	854.13	305.55	447.82	236.21	323.03	77.25	37.85	29.91	780.44	303.44	3928.15
DNMT3A	129.69	137.14	105.89	131.51	73.03	0.0	0.68	176.29	206.94	195.72	163.28	114.36	150.17	190.34	195.72	193.01	228.13	221.86	158.79	220.32	137.14	190.34	211.31	145.02	162.14	112.77	169.07	180.02	144.01	164.42	353.59	202.66	291.04	187.71	232.94	166.73	193.01	285.03	218.79
EPB41L4A-AS2	4.98	8.0	3.32	1.93	5.23	0.0	0.06	38.67	20.11	14.24	20.86	32.36	20.86	41.22	44.25	15.45	35.5	26.47	39.79	48.52	36.53	44.25	36.53	20.11	45.53	14.56	51.71	43.94	16.27	43.02	50.98	78.34	81.71	80.57	47.84	47.84	110.43	43.02	121.79
ERV3-1	39.79	35.5	71.5	43.02	30.12	0.0	0.84	236.21	356.05	181.28	100.83	130.6	81.71	115.16	223.41	242.88	397.93	195.72	164.42	204.07	376.41	320.8	336.79	241.19	177.53	140.04	98.04	260.38	201.25	178.77	397.93	358.54	234.57	258.57	255.0	127.89	400.71	420.68	318.57
GNPTAB	301.33	414.87	301.33	511.0	161.02	214.27	368.65	162.14	450.94	748.61	490.14	215.77	170.25	426.57	329.84	476.71	595.34	718.08	460.44	733.19	417.77	1605.83	743.43	660.68	967.76	373.81	674.59	981.29	429.54	457.25	1407.55	1044.52	679.29	493.56	728.11	279.14	1561.89	1143.1	1313.23
IKZF2	13.12	22.43	8.71	12.55	10.31	0.0	0.24	50.63	37.32	91.41	33.3	12.83	49.91	31.45	91.41	83.45	81.71	52.82	43.94	79.45	55.89	195.72	115.16	36.53	114.36	40.93	61.68	96.68	48.18	66.18	159.9	147.06	104.42	79.45	103.69	47.17	305.55	145.02	185.11
IRAK4	97.36	154.42	118.43	56.28	96.68	0.0	0.48	176.29	153.34	264.03	126.12	81.71	140.04	139.07	228.13	246.28	236.21	175.07	142.01	209.84	135.24	267.73	262.2	147.06	371.22	150.17	208.38	211.31	202.66	232.94	249.73	316.37	205.5	201.25	229.72	161.02	172.65	236.21	305.55
KCTD1	144.01	253.23	521.76	551.56	242.88	0.0	0.49	167.9	620.67	791.35	563.18	120.94	575.03	629.35	532.74	660.68	559.28	633.73	503.95	669.92	551.56	842.36	743.43	703.28	612.11	532.74	612.11	555.41	612.11	988.12	791.35	728.11	476.71	575.03	698.41	438.59	941.27	866.07	1088.92
KIAA1671	153.34	98.73	108.14	96.01	226.54	154.42	37.85	209.84	228.13	336.79	217.27	136.19	183.82	265.87	351.14	476.71	432.53	305.55	279.14	497.0	258.57	703.28	432.53	327.56	307.69	351.14	447.82	507.46	366.09	450.94	629.35	718.08	536.45	483.38	414.87	368.65	780.44	555.41	688.78
KRBA2	27.44	7.34	10.47	6.52	0.48	0.0	0.0	29.48	40.64	65.72	18.84	23.08	20.41	29.27	44.25	52.08	48.87	32.36	34.75	53.95	24.28	70.01	65.26	35.25	75.64	25.72	57.08	65.26	39.22	36.27	94.67	57.49	84.63	48.52	63.0	33.54	69.52	107.38	90.14
KRIT1	218.79	156.59	189.02	122.64	194.36	0.0	0.54	329.84	265.87	503.95	211.31	246.28	265.87	236.21	417.77	379.04	353.59	301.33	248.0	438.59	279.14	563.18	493.56	262.2	497.0	269.6	371.22	493.56	438.59	381.68	454.09	507.46	529.06	376.41	460.44	332.14	507.46	529.06	551.56
LTN1	68.55	52.45	64.8	53.57	61.25	0.0	0.37	176.29	108.14	212.78	94.67	65.72	88.88	99.43	204.07	309.83	271.48	135.24	99.43	191.67	186.4	323.03	248.0	118.43	260.38	142.01	256.78	221.86	187.71	318.57	329.84	275.28	260.38	260.38	332.14	190.34	307.69	343.89	521.76
MECOM	70.01	46.5	20.56	37.05	83.45	0.0	0.49	41.22	52.45	171.45	30.34	13.62	47.17	66.18	96.68	82.29	115.16	145.02	72.01	220.32	32.59	417.77	244.57	85.82	232.94	113.56	148.09	236.21	127.89	114.36	713.11	269.6	316.37	190.34	171.45	95.34	480.04	214.27	299.25
METAP1	1051.79	318.57	518.15	529.06	764.36	0.0	0.68	1066.48	808.0	1088.92	624.99	441.64	759.08	698.41	1119.56	1001.93	854.13	1059.11	802.41	915.51	854.13	1127.35	1096.5	825.0	1159.07	759.08	974.5	941.27	1066.48	921.88	1159.07	1073.91	1066.48	981.29	988.12	928.3	1397.83	1183.45	1143.1
MPZL2	251.48	249.73	802.41	368.65	764.36	0.0	0.42	909.17	1628.26	2351.53	974.5	253.23	1191.69	1242.34	1551.09	1594.73	1651.0	1508.65	1259.69	2384.37	1437.15	2997.45	2451.44	2047.0	3039.3	1508.65	1397.83	2163.77	1417.35	1936.53	4123.49	3190.46	2555.58	2047.0	2468.49	1529.73	4639.29	2319.15	3146.52
MSMB	4.94	0.0	0.0	1.77	0.0	0.0	0.0	800198.39	894051.48	783730.52	27938.14	5112.16	71714.63	711250.37	1019901.63	811368.76	778316.89	691801.16	659036.03	845824.19	1212874.47	554180.87	778316.89	1308968.45	1139523.1	636586.81	1171559.48	919186.72	958220.73	919186.72	334117.42	239554.43	509950.32	1645391.11	894051.48	619179.28	85876.94	211455.3	350728.68
MTUS2	0.99	0.36	0.0	0.89	1.14	0.0	0.0	4.78	4.9	25.54	4.58	1.89	1.08	5.92	8.58	15.91	16.15	6.11	16.63	9.48	3.63	9.41	20.86	5.87	7.22	8.25	7.4	13.42	12.55	8.65	36.53	12.27	18.84	7.57	11.04	1.85	65.72	11.64	32.59
NEK4	76.71	126.12	162.14	88.88	138.1	0.0	0.12	182.55	211.31	194.36	116.78	131.51	109.66	163.28	212.78	289.02	281.09	187.71	105.89	193.01	172.65	295.11	202.66	175.07	269.6	144.01	244.57	209.84	161.02	185.11	299.25	236.21	260.38	185.11	206.94	139.07	348.71	273.37	236.21
NFAT5	37.85	10.47	39.79	29.7	29.7	0.0	0.48	54.72	78.34	128.79	33.54	7.46	35.5	65.26	130.6	197.09	181.28	71.5	23.76	139.07	63.89	241.19	140.04	77.25	146.03	123.5	153.34	142.01	119.26	221.86	287.01	177.53	167.9	173.85	309.83	88.88	239.52	246.28	299.25
NTN4	76.17	255.0	24.11	167.9	90.77	0.0	0.27	150.17	500.46	1225.22	409.15	27.25	129.69	647.07	1001.93	967.76	718.08	1199.98	665.29	1617.0	205.5	1674.06	1540.37	825.0	1208.34	896.64	1127.35	1030.12	785.88	1369.04	2090.03	1991.0	2090.03	1594.73	947.83	728.11	3060.45	2224.63	1685.71
NYNRIN	66.18	30.56	28.24	30.56	4.82	0.0	0.39	19.53	48.52	116.78	22.1	3.5	19.82	90.77	114.36	94.01	92.7	92.7	109.66	164.42	35.0	260.38	181.28	136.19	99.43	148.09	115.16	181.28	126.12	156.59	351.14	212.78	583.07	124.37	121.79	171.45	656.11	267.73	299.25
OXR1	246.28	159.9	193.01	244.57	99.43	0.0	0.39	289.02	215.77	341.51	153.34	152.28	211.31	193.01	389.72	395.18	353.59	279.14	215.77	395.18	154.42	551.56	540.19	255.0	540.19	305.55	376.41	447.82	366.09	518.15	536.45	486.75	532.74	450.94	529.06	395.18	988.12	665.29	583.07
POF1B	6.06	16.88	0.0	0.71	2.32	0.0	0.26	38.67	14.35	41.52	10.55	0.0	0.0	20.71	40.64	53.19	58.71	40.93	34.26	38.67	14.56	134.3	85.82	21.78	105.15	38.95	51.35	81.14	16.03	34.51	122.64	119.26	147.06	88.26	138.1	56.68	312.0	128.79	212.78
RFX7	45.21	47.84	43.32	38.95	50.63	0.0	0.39	53.19	67.59	88.26	69.03	41.52	36.27	57.49	101.54	127.0	97.36	85.22	58.71	100.83	53.95	152.28	116.78	65.26	78.34	80.57	110.43	92.7	83.45	121.79	120.1	102.25	114.36	90.77	130.6	74.58	140.04	166.73	161.02
RNF128	10.71	36.27	8.58	14.89	8.65	0.0	0.07	2.84	41.22	55.1	10.31	0.99	1.22	33.06	78.89	61.68	85.22	35.25	57.08	53.95	43.94	111.99	63.89	43.94	74.06	53.57	62.12	76.71	50.98	64.34	153.34	178.77	72.01	127.89	126.12	92.05	466.88	212.78	223.41
RP11-12J10.3	2.29	1.66	0.91	0.56	0.67	0.0	0.01	2.86	1.08	7.69	1.5	0.68	2.36	3.0	3.96	6.94	6.41	5.45	3.17	10.88	1.11	13.62	11.55	2.63	7.94	4.35	6.01	6.62	3.63	4.66	6.01	7.57	10.0	6.62	6.36	4.35	11.82	13.42	10.55
SCAI	21.47	28.86	13.12	39.5	13.03	21.32	29.48	36.53	28.86	47.84	23.93	24.11	28.04	27.64	34.51	55.49	48.52	53.57	31.67	48.52	31.22	84.63	54.33	32.82	65.26	32.13	58.71	39.22	37.05	35.0	42.41	64.8	69.03	26.86	25.17	22.43	74.06	69.52	75.11
SEMA5A	24.28	12.83	11.55	8.92	6.06	0.0	0.14	25.91	17.0	39.79	7.63	3.79	7.75	36.53	46.84	48.18	48.52	53.95	21.32	43.32	11.64	120.1	100.83	45.85	58.3	39.22	48.87	70.01	28.86	34.75	97.36	118.43	144.01	53.57	26.1	36.01	185.11	120.1	161.02
SERPINI1	20.11	115.16	80.01	67.12	42.41	0.0	0.31	37.59	279.14	281.09	43.63	108.14	105.15	116.78	139.07	171.45	106.63	318.57	108.9	187.71	255.0	194.36	514.56	253.23	260.38	144.01	180.02	212.78	105.15	228.13	279.14	293.07	287.01	351.14	316.37	199.85	387.02	764.36	1081.39
