	GTEX.14A5I.1726.SM.5QGQ5	GTEX.RTLS.1326.SM.46MUN	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YFC4.1526.SM.5IFJS	GTEX.ZAB4.0826.SM.5LU9D	GTEX.TKQ2.1726.SM.4DXUP	GTEX.11GSP.0626.SM.5986T	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.X261.1726.SM.4PQYT	GTEX.X4EP.1026.SM.4QAS5	GTEX.ZPU1.0826.SM.57WG2	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.XBEC.1526.SM.4AT68	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.Q734.0326.SM.48U15	GTEX.11ZVC.0726.SM.5FQT9	GTEX.132NY.0926.SM.5P9G3	GTEX.XOTO.0826.SM.4B65O	GTEX.UPIC.0926.SM.4IHLV	GTEX.UPK5.1426.SM.4JBHH	GTEX.REY6.1226.SM.48FDR	TCGA.BJ.A45C.01A.11R.A23W.07	GTEX.YJ89.0726.SM.5P9F7	GTEX.14AS3.0226.SM.5Q5B6	GTEX.11NSD.0126.SM.5987F	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.SE5C.0726.SM.4BRWY	GTEX.1399R.0126.SM.5IFEV	GTEX.13113.0126.SM.5LZVX	GTEX.Y3IK.0526.SM.4WWE3	GTEX.WFG7.0326.SM.5SI7L	GTEX.PX3G.2626.SM.2I3EG	GTEX.YB5K.0526.SM.5LUAS	GTEX.1192W.0126.SM.5EGGS	GTEX.XMK1.0626.SM.4B65A	GTEX.QMRM.0726.SM.2I5G8	GTEX.ZVZQ.0626.SM.59HJU	GTEX.11VI4.0226.SM.5GU6C	GTEX.Y8E4.0126.SM.4VBQ2	GTEX.V1D1.0926.SM.4JBHQ
AATK	6.52	28.86	35.5	7.34	119.26	7.34	44.57	7.4	35.25	8.06	5.5	10.0	0.15	6.67	4.1	27.64	4.7	11.91	10.71	36.01	6.89	48.52	9.34	33.54	159.9	5.59	6.62	22.26	27.84	8.06	24.99	13.93	7.94	2.46	17.38	2.92	10.88	76.71	361.04	137.14	246.28	202.66	189.02	90.77	301.33	129.69	167.9	232.94	316.37	78.89	39.22	23.59	379.04	295.11	137.14	175.07	104.42	198.47	299.25
AC020922.1	2.78	5.41	7.46	3.41	4.7	1.13	3.2	0.0	6.67	2.12	1.03	0.0	1.53	6.94	2.53	4.13	4.06	2.14	2.34	0.28	2.58	5.92	0.58	6.84	0.26	4.21	8.25	4.46	4.82	0.2	1.01	6.73	4.7	4.5	1.99	4.43	5.19	2.39	40.93	12.64	17.0	20.11	16.51	16.88	27.05	17.0	10.88	24.81	22.75	7.75	16.63	6.21	27.44	12.64	9.13	27.05	7.63	12.74	26.47
AC062017.1	12.18	62.56	40.93	25.17	24.46	18.84	24.11	27.44	28.65	77.79	8.13	0.0	40.36	28.65	25.35	21.78	14.03	67.12	10.31	7.22	56.68	21.01	10.88	27.05	0.0	21.32	64.8	48.52	40.07	28.45	71.5	28.65	35.5	29.7	37.05	63.89	36.27	48.18	346.29	148.09	99.43	67.12	135.24	140.04	100.13	153.34	92.7	166.73	151.22	59.97	43.63	70.51	62.56	51.35	33.54	201.25	49.91	151.22	145.02
ACD	161.02	228.13	297.17	193.01	438.59	99.43	206.94	86.43	397.93	197.09	63.45	69.03	115.16	194.36	63.45	236.21	134.3	148.09	127.89	88.26	142.01	277.2	100.13	327.56	197.09	123.5	164.42	262.2	158.79	103.69	172.65	152.28	166.73	139.07	161.02	363.56	128.79	199.85	791.35	718.08	775.05	684.02	872.1	713.11	748.61	460.44	483.38	651.58	638.15	441.64	361.04	480.04	612.11	423.61	447.82	780.44	463.65	559.28	738.29
AL590822.1	3.66	9.56	14.89	1.68	6.36	1.08	5.77	1.19	1.03	11.55	2.16	1.0	1.79	6.46	1.03	4.03	3.47	3.79	0.89	0.01	5.41	7.34	3.32	3.56	0.72	0.89	3.89	22.75	3.03	6.94	13.22	4.31	5.82	4.39	2.94	6.06	2.25	3.38	18.03	23.25	14.89	26.47	34.75	38.12	21.32	29.48	12.74	30.34	27.05	7.0	19.11	14.56	29.06	19.97	16.63	27.25	24.63	30.12	19.97
ANKS3	127.89	100.13	136.19	236.21	251.48	53.19	358.54	58.3	142.01	83.45	64.8	53.57	147.06	193.01	53.19	96.68	154.42	59.97	108.9	81.14	65.72	312.0	98.73	197.09	277.2	117.6	107.38	118.43	223.41	88.26	119.26	129.69	177.53	121.79	165.57	132.44	150.17	133.36	1008.9	753.83	718.08	514.56	669.92	698.41	769.69	563.18	432.53	595.34	603.67	358.54	571.05	457.25	733.19	511.0	420.68	902.89	460.44	684.02	764.36
ANO9	10.31	8.06	73.03	3.2	146.03	24.11	46.5	6.73	17.64	36.53	4.66	0.0	13.93	7.51	2.53	2.34	19.39	5.96	0.84	3.66	10.79	115.16	55.49	35.5	92.7	9.27	2.86	12.93	13.03	4.9	6.26	69.03	11.55	2.97	19.82	3.92	18.43	28.45	29.27	941.27	438.59	137.14	392.44	470.14	295.11	173.85	106.63	312.0	303.44	137.14	155.5	167.9	323.03	112.77	134.3	503.95	185.11	253.23	258.57
APBB3	470.14	470.14	376.41	320.8	1259.69	138.1	854.13	154.42	426.57	217.27	92.7	117.6	379.04	483.38	80.01	884.29	460.44	195.72	275.28	336.79	154.42	555.41	191.67	802.41	343.89	269.6	134.3	348.71	358.54	202.66	212.78	738.29	514.56	493.56	808.0	281.09	361.04	356.05	1628.26	1127.35	1322.37	1277.29	1561.89	1572.76	1322.37	1096.5	660.68	1467.37	1159.07	595.34	647.07	775.05	1397.83	1331.57	651.58	1467.37	884.29	1340.84	2004.85
ARHGAP33	20.56	16.27	109.66	59.55	89.51	38.95	98.04	14.67	27.84	58.3	19.53	12.45	70.51	69.03	6.52	66.18	18.84	35.76	19.11	18.03	28.04	112.77	33.78	74.06	15.34	19.11	32.59	48.52	65.26	56.28	60.82	76.17	54.33	52.45	36.01	182.55	56.28	52.45	988.12	813.63	536.45	669.92	738.29	543.96	412.0	373.81	447.82	483.38	540.19	165.57	144.01	209.84	660.68	381.68	260.38	551.56	234.57	842.36	1051.79
ARVCF	114.36	511.0	620.67	406.31	1674.06	392.44	366.09	129.69	435.55	567.1	130.6	118.43	351.14	785.88	119.26	583.07	316.37	255.0	183.82	99.43	251.48	791.35	309.83	511.0	118.43	171.45	314.17	397.93	571.05	246.28	309.83	277.2	332.14	332.14	175.07	450.94	441.64	371.22	1427.22	1427.22	1551.09	1268.46	1159.07	1651.0	1369.04	1819.35	1286.18	1350.18	1487.87	884.29	1909.85	813.63	1857.6	1498.22	1023.0	1662.49	1388.16	1508.65	1794.29
