	TCGA.AK.3447.01A.01R.1766.07	TCGA.B2.3923.01A.02R.A277.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYS.1626.SM.5J2MU	GTEX.12WSI.0826.SM.5EGKD	GTEX.X5EB.0426.SM.46MVY	GTEX.YECK.0926.SM.4W214	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WWYW.0926.SM.3NB2Z	GTEX.SNOS.0426.SM.32PMH	GTEX.X3Y1.0626.SM.3P5YS	GTEX.13S86.0626.SM.5Q5E7	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.ZTPG.0926.SM.5O99H	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.111VG.0726.SM.5GIDC	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.OIZH.0526.SM.2HMKV	GTEX.11ZTT.0626.SM.5EQLM	GTEX.ZYWO.0826.SM.5E45W	GTEX.X4EP.0526.SM.3P5YW	GTEX.12WSD.2826.SM.59HKT
PEF1	1561.89	1073.91	0.0	0.8	1151.06	2133.97	2090.03	2485.67	2956.17	1674.06	3614.55	1051.79	2796.65	1896.65	2384.37	2351.53	2119.22	2148.82	2075.59	2935.74	1051.79	3665.02	2209.26	1769.57	1819.35	2075.59	2645.74	3589.58	1628.26	2434.5	2915.45	1594.73
PF4	19.25	7.17	0.0	0.0	38.67	14.35	267.73	21.01	171.45	43.63	264.03	6.26	1183.45	34.26	281.09	1628.26	106.63	11.91	67.12	373.81	18.7	1519.15	1059.11	17.13	42.11	15.22	486.75	195.72	72.52	708.18	555.41	60.39
PMM2	201.25	483.38	0.0	0.18	236.21	483.38	438.59	234.57	759.08	497.0	620.67	361.04	629.35	318.57	392.44	753.83	728.11	379.04	339.14	571.05	251.48	785.88	595.34	486.75	323.03	470.14	480.04	543.96	346.29	607.87	808.0	262.2
PPBP	27.44	71.5	0.0	0.14	44.57	194.36	713.11	37.59	647.07	262.2	688.78	0.85	5751.61	43.32	796.86	13123.73	303.44	19.53	88.26	1015.93	70.51	4607.24	5112.16	91.41	61.25	157.68	1745.2	769.69	376.41	1233.75	1457.23	14.35
PSMF1	1059.11	1104.13	0.0	0.91	2720.15	2701.35	1639.59	1769.57	2835.7	1963.57	4095.0	1651.0	3235.01	2537.92	2573.36	2796.65	3124.78	2417.67	2032.85	4419.52	1709.26	3235.01	3325.99	2224.63	2240.11	2627.46	4298.64	6207.38	3212.66	5441.3	5751.61	2178.83
PTCRA	1.17	7.11	0.0	0.01	13.22	118.43	232.94	13.62	72.52	105.15	147.06	83.45	151.22	36.01	249.73	647.07	98.04	13.83	65.26	142.01	12.09	185.11	387.02	71.5	2.63	61.25	100.83	211.31	143.01	85.22	239.52	0.0
RAMP3	1457.23	426.57	0.0	0.31	5403.7	1304.15	1369.04	486.75	1950.0	2816.11	4066.71	1331.57	4038.61	3146.52	2319.15	7642.41	2240.11	1883.54	1001.93	2502.97	1417.35	10659.59	5292.48	1594.73	2209.26	2520.38	3146.52	2682.69	3443.31	2645.74	11584.24	1359.57
RNASE2	1.16	3.14	0.0	0.2	34.51	9.7	111.21	12.27	212.78	51.35	221.86	43.63	136.19	1.08	104.42	127.89	130.6	81.71	5.28	72.52	6.84	490.14	77.25	16.51	43.32	67.12	265.87	198.47	134.3	253.23	293.07	2.63
RNH1	3467.27	3443.31	0.0	0.93	2384.37	4010.71	5147.73	4038.61	6294.04	2287.2	9215.48	5147.73	4419.52	3955.48	5292.48	4869.99	6607.01	4972.34	3467.27	6037.61	2468.49	9344.14	8247.98	4181.07	4388.98	4328.55	7911.95	6935.54	3874.05	7130.55	8901.53	2956.17
RP4-576H24.4	0.0	0.0	0.0	0.0	0.0	12.0	11.55	0.0	12.64	0.0	8.99	0.0	9.34	0.0	31.22	38.12	13.83	0.0	0.0	21.94	0.0	38.12	27.44	10.71	0.0	0.0	18.29	35.0	22.43	39.22	18.29	0.0
