	TCGA.AC.A3QQ.01B.06R.A22O.07	TCGA.A7.A13G.01A.11R.A13Q.07.1	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.WQUQ.2526.SM.4MVNO	GTEX.ZPCL.1626.SM.57WGC	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.XUZC.0926.SM.4BOQF
ABHD17A	231.32	334.46	258.57	1295.13	1963.57	1295.13	1340.84	1487.87	1427.22	0.0	0.68	1447.15
ACTR1B	514.56	884.29	503.95	1844.76	1427.22	2148.82	1159.07	1487.87	1551.09	0.0	0.88	1757.34
AIP	339.14	733.19	384.34	2119.22	2335.28	2739.08	1819.35	1709.26	1487.87	0.0	0.72	2591.27
ALAS1	480.04	780.44	738.29	764.36	1104.13	1030.12	493.56	555.41	559.28	0.0	0.16	1407.55
ANKS6	48.87	21.47	73.54	287.01	307.69	371.22	371.22	297.17	368.65	0.0	0.37	397.93
B3GALT4	163.28	260.38	101.54	323.03	532.74	514.56	206.94	220.32	253.23	0.0	0.25	500.46
BCL2L12	153.34	70.01	182.55	389.72	514.56	381.68	454.09	236.21	255.0	0.0	0.66	339.14
BSG	3081.75	3768.09	2739.08	13492.72	17437.64	22692.63	6381.92	5913.33	7642.41	0.0	1.31	55877.28
C19orf43	3742.05	1388.16	2915.45	4639.29	6381.92	5831.91	4903.87	4210.15	4239.45	0.0	1.0	5831.91
C6orf47	327.56	463.65	166.73	660.68	665.29	679.29	341.51	476.71	395.18	457.25	301.33	708.18
C7orf26	228.13	88.26	403.5	612.11	708.18	665.29	532.74	500.46	543.96	0.0	0.54	995.0
C9orf89	595.34	836.53	444.72	1417.35	1407.55	1551.09	1322.37	1250.98	1008.9	0.0	0.51	1286.18
CACFD1	316.37	376.41	114.36	285.03	698.41	684.02	111.21	220.32	281.09	0.0	0.32	819.3
CHMP1A	341.51	603.67	551.56	1397.83	2240.11	1769.57	1295.13	1286.18	1225.22	0.0	0.89	2047.0
CHMP4B	1794.29	954.43	2645.74	4736.79	5183.54	9740.98	3665.02	3039.3	2935.74	0.0	0.84	4639.29
CPNE2	260.38	130.6	559.28	780.44	1088.92	934.76	1199.98	748.61	540.19	0.0	0.59	1044.52
CRTC1	131.51	29.48	66.65	314.17	271.48	198.47	193.01	189.02	231.32	0.0	0.6	358.54
CSRP1	4481.23	2855.44	10808.41	1645391.11	23656.34	36357.37	428815.23	938500.81	246289.25	2047.0	291.04	24660.96
DCTN2	1304.15	1183.45	2997.45	6840.04	4836.35	7382.04	3768.09	5555.65	4010.71	0.0	1.25	4836.35
DDX28	59.13	58.71	109.66	82.29	175.07	191.67	115.97	104.42	128.79	0.0	0.0	234.57
DDX39A	587.13	389.72	395.18	551.56	2032.85	1159.07	2032.85	651.58	896.64	0.0	1.38	866.07
DHRS1	249.73	194.36	928.3	796.86	947.83	693.58	438.59	267.73	466.88	0.0	0.72	836.53
DNLZ	33.54	109.66	80.01	329.84	503.95	454.09	358.54	412.0	206.94	0.0	0.35	651.58
DYNLL1	5751.61	3257.52	8963.45	8901.53	9876.98	10659.59	9876.98	10154.69	6561.36	0.0	0.16	11424.74
EPN1	303.44	248.0	414.87	1662.49	3212.66	2777.33	934.76	1066.48	2075.59	1044.52	802.41	1963.57
FAM213B	242.88	363.56	232.94	679.29	1088.92	796.86	339.14	336.79	339.14	0.0	0.57	571.05
FAM32A	1044.52	1268.46	1529.73	2303.12	2400.97	3395.89	1447.15	1417.35	1331.57	0.0	0.51	2591.27
FAM58A	356.05	251.48	351.14	507.46	780.44	1322.37	514.56	529.06	432.53	0.0	0.49	1015.93
FBXW5	381.68	1030.12	457.25	2627.46	3901.01	3982.99	2451.44	3303.0	2758.13	0.0	0.97	2367.9
GNB1L	38.12	42.71	13.32	105.15	115.16	231.32	291.04	115.16	84.63	0.0	0.59	221.86
GPATCH3	47.84	129.69	103.69	232.94	336.79	275.28	141.02	146.03	189.02	0.0	0.0	368.65
GSK3A	395.18	297.17	974.5	1508.65	1870.53	2777.33	1498.22	1594.73	1407.55	0.0	1.06	1594.73
HEPH	253.23	116.78	361.04	2915.45	974.5	2976.74	1322.37	1594.73	802.41	70.51	114.36	3564.78
HIGD2A	1417.35	559.28	2591.27	5791.62	8479.89	8191.0	3564.78	4181.07	3716.2	0.0	0.88	10225.32
HNRNPUL2-BSCL2	0.0	22.26	397.93	909.17	723.08	309.83	921.88	988.12	775.05	0.0	0.89	775.05
HOXD9	58.71	9.06	77.25	674.59	114.36	153.34	47.5	15.0	29.48	0.0	0.24	273.37
HPS6	90.77	307.69	101.54	236.21	381.68	368.65	122.64	153.34	223.41	0.0	0.0	351.14
ITFG3	974.5	656.11	842.36	2645.74	2384.37	2645.74	1583.71	2061.24	1857.6	1104.13	159.9	2915.45
KEAP1	503.95	1359.57	476.71	1030.12	1427.22	1844.76	1199.98	967.76	928.3	0.0	0.38	1832.01
KIAA2013	269.6	543.96	463.65	961.07	1583.71	1733.13	961.07	1104.13	954.43	0.0	0.32	1721.16
LHPP	105.89	251.48	400.71	825.0	941.27	995.0	409.15	429.54	551.56	0.0	0.41	1594.73
LRFN4	46.5	57.49	48.52	183.82	463.65	157.68	555.41	264.03	125.24	0.0	0.78	255.0
LRWD1	94.67	144.01	85.82	231.32	309.83	224.97	305.55	223.41	199.85	0.0	0.17	281.09
LSM10	275.28	136.19	555.41	1781.89	1685.71	1923.14	1832.01	1709.26	1073.91	0.0	0.54	2224.63
MCRS1	624.99	703.28	420.68	995.0	1519.15	1350.18	967.76	1037.29	974.5	0.0	0.34	1151.06
