	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6601.11A.01R.1774.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.ZYFG.1926.SM.5GID5	GTEX.ZYFG.1826.SM.5GZWX	GTEX.WYVS.1126.SM.4SOJX	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.YEC3.2426.SM.5IFJR	GTEX.Y5LM.1526.SM.4VDTA	GTEX.1211K.1826.SM.5EGJ2	GTEX.ZA64.1426.SM.5CVMC	GTEX.ZGAY.2126.SM.4YCFB	GTEX.13QBU.2026.SM.5KLZB	GTEX.Y114.1626.SM.4TT7I	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y5LM.1426.SM.5RQJL	GTEX.O5YW.1426.SM.3MJHF	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.144GM.1626.SM.5O9AG	GTEX.12BJ1.1226.SM.5LUAE	GTEX.11P7K.0626.SM.5985Z	GTEX.11EQ9.1726.SM.5HL6U	TCGA.AH.6643.11A.01R.1830.07	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.S4Z8.1226.SM.4AD6W	GTEX.T5JC.1926.SM.4DM6Q	GTEX.P4PQ.1526.SM.3NMCK	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.11P82.0726.SM.5PNYL	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.TKQ2.0926.SM.4DXU5	GTEX.S4P3.0726.SM.4AD57	GTEX.11EQ9.1226.SM.5987E	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.UJHI.1026.SM.4IHJP	GTEX.PLZ6.0826.SM.3P61K	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.11P7K.1726.SM.5GU6F	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
ABCD3	426.57	547.75	463.65	473.41	669.92	802.41	366.09	1044.52	1819.35	878.17	928.3	967.76	1151.06	1008.9	1757.34	791.35	753.83	1457.23	890.44	1059.11	1794.29	808.0	1127.35	395.18	265.87	1051.79	928.3	967.76	1030.12	808.0	860.08	480.04	400.71	426.57	450.94	432.53	414.87	457.25	339.14	493.56	346.29	395.18	454.09	563.18	435.55	497.0	379.04	334.46	348.71	297.17	363.56	358.54	366.09	403.5	423.61	371.22	371.22	503.95	457.25	497.0	438.59
ABRACL	454.09	414.87	275.28	258.57	514.56	808.0	85.82	1605.83	4388.98	791.35	688.78	693.58	3614.55	2224.63	5006.93	764.36	620.67	2935.74	551.56	802.41	4903.87	1167.14	2047.0	32.82	144.01	629.35	507.46	463.65	2609.3	995.0	620.67	329.84	182.55	154.42	109.66	228.13	202.66	273.37	246.28	157.68	248.0	260.38	173.85	150.17	149.12	234.57	195.72	316.37	162.14	195.72	201.25	309.83	198.47	251.48	165.57	74.58	206.94	124.37	223.41	368.65	128.79
AFG3L2	743.43	647.07	753.83	743.43	967.76	1044.52	480.04	947.83	1923.14	954.43	909.17	813.63	1617.0	1322.37	2163.77	902.89	1119.56	1477.58	878.17	909.17	2090.03	1059.11	1407.55	567.1	656.11	928.3	848.22	872.1	1066.48	860.08	1127.35	511.0	420.68	473.41	460.44	438.59	356.05	507.46	351.14	642.59	518.15	525.39	438.59	438.59	555.41	514.56	395.18	470.14	454.09	395.18	483.38	371.22	473.41	412.0	432.53	305.55	470.14	595.34	540.19	536.45	525.39
ANXA4	928.3	1044.52	1340.84	1457.23	2555.58	1844.76	1457.23	2739.08	5913.33	3280.18	2664.15	2417.67	5183.54	3395.89	6381.92	2816.11	2224.63	4123.49	2178.83	2255.7	5479.15	2816.11	3955.48	1081.39	1259.69	3742.05	3018.3	2956.17	1870.53	1781.89	2271.4	1359.57	660.68	651.58	595.34	780.44	1127.35	1268.46	1651.0	638.15	1662.49	1322.37	1277.29	1104.13	1001.93	1583.71	1477.58	1008.9	769.69	909.17	947.83	1721.16	813.63	1794.29	1037.29	624.99	890.44	802.41	1111.82	2417.67	961.07
AP1S1	941.27	674.59	540.19	633.73	860.08	1540.37	579.04	928.3	2384.37	1104.13	1037.29	1023.0	2119.22	1427.22	2701.35	947.83	775.05	1617.0	769.69	954.43	2193.99	1051.79	1950.0	379.04	447.82	884.29	1639.59	890.44	723.08	872.1	860.08	379.04	293.07	334.46	334.46	547.75	470.14	497.0	414.87	289.02	620.67	395.18	450.94	518.15	341.51	587.13	500.46	665.29	366.09	312.0	529.06	447.82	575.03	503.95	323.03	175.07	457.25	500.46	547.75	775.05	376.41
APEX2	201.25	241.19	189.02	226.54	314.17	316.37	194.36	293.07	483.38	236.21	241.19	256.78	476.71	356.05	486.75	255.0	228.13	376.41	231.32	249.73	466.88	327.56	346.29	127.89	166.73	275.28	309.83	299.25	309.83	172.65	279.14	171.45	148.09	167.9	145.02	217.27	180.02	275.28	189.02	260.38	231.32	218.79	236.21	208.38	248.0	209.84	157.68	264.03	171.45	277.2	191.67	221.86	246.28	242.88	251.48	103.69	249.73	234.57	201.25	277.2	271.48
C21orf33	1857.6	1662.49	1639.59	1457.23	1819.35	2303.12	1551.09	1977.24	3146.52	2104.58	2018.8	2047.0	3395.89	2895.31	3982.99	2061.24	1781.89	2627.46	2104.58	1977.24	3235.01	2485.67	2520.38	1143.1	825.0	1923.14	2664.15	2193.99	1977.24	1709.26	1883.54	836.53	967.76	1216.75	954.43	1088.92	1030.12	1561.89	1111.82	1088.92	1359.57	1340.84	981.29	941.27	1044.52	1487.87	995.0	1104.13	1023.0	884.29	1151.06	1081.39	1001.93	1001.93	1427.22	518.15	1119.56	1199.98	1457.23	1369.04	1457.23
CCDC12	1369.04	1167.14	1437.15	1594.73	1477.58	1477.58	1295.13	1427.22	1662.49	1674.06	1685.71	1127.35	1896.65	1594.73	1883.54	1457.23	1350.18	1259.69	1561.89	1417.35	1519.15	1745.2	1745.2	723.08	1037.29	1605.83	2104.58	2104.58	1487.87	1233.75	1313.23	780.44	808.0	934.76	743.43	1059.11	825.0	638.15	1369.04	921.88	1242.34	579.04	947.83	629.35	928.3	902.89	669.92	674.59	1051.79	688.78	934.76	1001.93	954.43	728.11	819.3	612.11	723.08	775.05	764.36	1088.92	872.1
CLCN3	217.27	267.73	255.0	241.19	497.0	825.0	214.27	514.56	1529.73	384.34	409.15	447.82	836.53	629.35	1388.16	432.53	379.04	703.28	325.29	395.18	1561.89	447.82	915.51	100.83	126.12	769.69	723.08	376.41	703.28	603.67	651.58	220.32	154.42	199.85	183.82	189.02	228.13	199.85	265.87	146.03	181.28	287.01	135.24	176.29	123.5	226.54	242.88	205.5	124.37	107.38	163.28	150.17	149.12	251.48	164.42	127.0	163.28	159.9	249.73	224.97	118.43
CLN3	507.46	620.67	733.19	540.19	1159.07	2209.26	497.0	1286.18	3395.89	1135.2	1073.91	1044.52	3060.45	2240.11	3794.3	1259.69	988.12	2061.24	915.51	1081.39	3768.09	2004.85	2133.97	412.0	351.14	941.27	1073.91	1322.37	1427.22	785.88	1167.14	387.02	403.5	457.25	348.71	547.75	599.49	551.56	591.22	334.46	665.29	503.95	559.28	521.76	521.76	587.13	620.67	603.67	441.64	414.87	525.39	536.45	543.96	679.29	483.38	234.57	612.11	435.55	480.04	595.34	450.94
