	GTEX.W5X1.2326.SM.3GIL6	GTEX.TML8.1226.SM.32QON	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA	TCGA.38.4625.01A.01R.1206.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.13N11.0326.SM.5LUA3	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.QDT8.0926.SM.32PL2	GTEX.YEC3.0226.SM.5IFJO	GTEX.U3ZH.0526.SM.3DB75	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.P78B.0926.SM.2I5FA	GTEX.13PL7.1726.SM.5J2NX	GTEX.XQ3S.0926.SM.4BOPI	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.QMRM.0826.SM.3NB33
AC093157.1	14.78	9.85	0.0	2.07	2.61	0.0	0.0	0.0	1.19	1.99	2.05	1.33	12.18	0.0	0.8	0.37	6.67	4.13	2.48	16.88	4.21	0.49	1.68	5.68	3.32	12.27	14.24	2.92	14.78	2.78	7.69	3.79	3.66	13.03	0.0	0.2	3.86	9.63	2.63	2.07	0.34	1.1	6.73	7.82
ALG13	1088.92	1216.75	316.37	423.61	432.53	320.8	361.04	0.0	612.11	336.79	928.3	423.61	1208.34	361.04	400.71	1350.18	679.29	480.04	620.67	1467.37	551.56	387.02	353.59	647.07	460.44	1008.9	1561.89	583.07	1757.34	759.08	575.03	559.28	346.29	1059.11	759.08	373.81	743.43	1457.23	1030.12	341.51	417.77	723.08	693.58	1008.9
AP4B1	559.28	551.56	65.72	118.43	131.51	31.45	131.51	0.0	129.69	139.07	217.27	211.31	395.18	146.03	165.57	154.42	209.84	265.87	262.2	743.43	358.54	234.57	198.47	363.56	432.53	738.29	733.19	242.88	733.19	291.04	273.37	178.77	173.85	381.68	314.17	195.72	373.81	507.46	267.73	197.09	258.57	361.04	249.73	293.07
BBIP1	1508.65	808.0	164.42	490.14	202.66	271.48	167.9	0.0	500.46	387.02	454.09	371.22	547.75	217.27	208.38	540.19	607.87	518.15	607.87	358.54	348.71	194.36	387.02	599.49	395.18	743.43	1037.29	507.46	708.18	514.56	473.41	748.61	228.13	819.3	575.03	255.0	514.56	928.3	718.08	312.0	283.05	320.8	409.15	723.08
C10orf88	414.87	258.57	43.32	22.26	43.02	16.39	19.53	0.0	70.01	68.55	96.01	102.25	141.02	82.87	43.63	96.68	111.21	119.26	148.09	136.19	123.5	104.42	63.45	177.53	125.24	164.42	167.9	124.37	173.85	120.94	129.69	100.13	58.3	134.3	72.52	82.87	127.0	190.34	133.36	102.25	64.34	108.14	109.66	183.82
C18orf54	98.73	118.43	1.03	0.24	0.75	0.28	2.68	0.0	10.96	13.42	5.36	12.36	34.02	13.32	3.11	13.72	24.99	19.39	34.51	55.89	19.97	14.89	7.75	26.1	17.38	62.12	72.52	18.03	53.19	33.06	13.93	15.56	3.69	29.27	10.71	11.55	24.63	69.03	24.28	12.0	10.31	13.83	22.75	26.67
C1orf131	718.08	368.65	65.72	145.02	236.21	43.94	52.45	0.0	129.69	130.6	186.4	123.5	339.14	82.29	111.21	120.94	231.32	191.67	231.32	429.54	220.32	146.03	98.73	237.86	193.01	435.55	518.15	195.72	486.75	234.57	244.57	209.84	171.45	297.17	141.02	139.07	269.6	366.09	215.77	182.55	98.04	161.02	125.24	297.17
C2CD5	1242.34	1044.52	57.89	70.01	148.09	32.59	173.85	0.0	264.03	346.29	376.41	221.86	583.07	343.89	195.72	384.34	447.82	457.25	514.56	769.69	595.34	307.69	131.51	555.41	466.88	830.75	967.76	480.04	896.64	503.95	521.76	341.51	190.34	563.18	470.14	161.02	733.19	848.22	460.44	325.29	351.14	563.18	480.04	551.56
CARD8	1191.69	1104.13	155.5	121.79	258.57	155.5	123.5	368.65	483.38	656.11	629.35	454.09	1369.04	642.59	150.17	890.44	796.86	1119.56	1096.5	1304.15	1073.91	743.43	387.02	733.19	830.75	1397.83	2319.15	842.36	1417.35	825.0	954.43	866.07	291.04	1096.5	642.59	323.03	921.88	1519.15	1051.79	830.75	647.07	842.36	1037.29	1199.98
CCDC132	738.29	583.07	47.84	32.59	49.56	33.78	47.17	0.0	181.28	218.79	287.01	189.02	334.46	236.21	109.66	211.31	262.2	332.14	241.19	366.09	366.09	220.32	108.9	395.18	279.14	414.87	420.68	271.48	397.93	341.51	309.83	206.94	108.14	363.56	231.32	134.3	348.71	529.06	275.28	234.57	172.65	287.01	376.41	332.14
CCDC14	981.29	791.35	48.52	34.51	68.55	59.55	121.79	0.0	151.22	339.14	293.07	256.78	780.44	209.84	82.87	447.82	511.0	518.15	679.29	1233.75	769.69	138.1	285.03	693.58	571.05	470.14	723.08	500.46	1617.0	1519.15	665.29	486.75	172.65	595.34	483.38	473.41	684.02	1870.53	563.18	206.94	460.44	941.27	656.11	438.59
