	TCGA.AC.A2QH.01A.11R.A18M.07	TCGA.A7.A26I.01B.06R.A22O.07	TCGA.BH.A0BW.01A.11R.A115.07	TCGA.2H.A9GN.01A.11R.A37I.31	GTEX.11WQK.2226.SM.5CVL7	TCGA.78.7161.01A.11R.2039.07	TCGA.44.2668.01A.01R.A278.07	TCGA.50.5932.01A.11R.1755.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.99.7458.01A.11R.2039.07	TCGA.55.6970.01A.11R.1949.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.P4QT.0526.SM.2I3EX	GTEX.SNOS.0426.SM.32PMH	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.12WSN.0626.SM.5BC61	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.XGQ4.0826.SM.4AT4T	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.11LCK.0426.SM.5A5M8	GTEX.11OF3.1126.SM.5986C	TCGA.BK.A26L.01A.11R.A277.07
ABHD14B	309.83	620.67	332.14	595.34	273.37	1268.46	334.46	878.17	0.56	1936.53	1628.26	2148.82	2537.92	2287.2	486.75	1583.71	1331.57	2796.65	2148.82	954.43	3103.19	1437.15	3820.7	1896.65	2193.99	785.88	2255.7	2119.22	2335.28	1551.09	2400.97	3395.89	3103.19	2997.45	2720.15	1757.34	1923.14	559.28	96.68
AC090616.2	1.53	0.0	19.82	0.0	1.57	9.27	14.89	24.99	0.0	44.89	33.78	323.03	819.3	353.59	140.04	325.29	246.28	387.02	366.09	226.54	567.1	314.17	748.61	371.22	384.34	204.07	759.08	273.37	679.29	289.02	395.18	995.0	575.03	603.67	633.73	559.28	414.87	16.75	0.0
ALKBH7	470.14	94.01	293.07	961.07	587.13	1199.98	743.43	669.92	0.48	1242.34	1359.57	1572.76	2119.22	2032.85	536.45	1697.45	1605.83	2133.97	1477.58	1059.11	1781.89	1127.35	2915.45	1508.65	2163.77	836.53	2417.67	3540.14	1844.76	1143.1	1844.76	3372.43	3081.75	2682.69	1950.0	2104.58	1378.57	748.61	55.1
ASL	148.09	123.5	420.68	764.36	277.2	854.13	1030.12	674.59	0.41	1119.56	759.08	1628.26	1757.34	1721.16	1757.34	1498.22	1628.26	1651.0	961.07	1340.84	1950.0	1685.71	2148.82	2573.36	2271.4	1594.73	2319.15	1447.15	1909.85	1757.34	2400.97	1769.57	2240.11	2434.5	1844.76	2047.0	1950.0	146.03	229.72
B3GNT8	11.64	44.89	10.88	902.89	36.53	363.56	47.5	423.61	0.12	279.14	256.78	1059.11	1508.65	5041.77	674.59	1277.29	1369.04	1407.55	1508.65	748.61	1487.87	1044.52	1519.15	1769.57	791.35	642.59	842.36	1674.06	1331.57	2163.77	1561.89	703.28	2485.67	878.17	1487.87	1191.69	1923.14	62.56	17.9
BCAT2	320.8	567.1	384.34	981.29	547.75	599.49	285.03	638.15	0.0	674.59	708.18	1015.93	1628.26	1529.73	327.56	1594.73	1437.15	1781.89	1407.55	1397.83	1628.26	748.61	2271.4	1745.2	1697.45	540.19	2075.59	2119.22	1697.45	1605.83	1794.29	2119.22	2148.82	1896.65	2193.99	1794.29	1794.29	309.83	255.0
BLOC1S1	1397.83	974.5	1127.35	1950.0	1651.0	3491.39	2720.15	2875.3	915.51	2591.27	2701.35	3928.15	5751.61	3614.55	2148.82	4575.41	4972.34	5633.22	6337.83	4152.18	6079.61	3146.52	5329.3	4607.24	5872.48	2573.36	6121.9	3847.29	5366.37	4972.34	6792.79	7911.95	4903.87	6792.79	5403.7	5791.62	5147.73	1662.49	1388.16
C22orf39	287.01	265.87	287.01	204.07	607.87	555.41	209.84	262.2	0.55	417.77	406.31	497.0	954.43	738.29	295.11	543.96	688.78	1159.07	679.29	819.3	974.5	476.71	1119.56	511.0	884.29	339.14	748.61	1023.0	915.51	555.41	684.02	974.5	1015.93	738.29	854.13	555.41	753.83	353.59	323.03
C5orf38	29.48	441.64	9.48	24.81	21.32	341.51	50.63	59.55	0.43	961.07	133.36	2018.8	5112.16	4903.87	361.04	2701.35	1037.29	2163.77	1208.34	1639.59	1950.0	1175.27	4802.93	3665.02	2935.74	555.41	3018.3	3325.99	4066.71	1259.69	3820.7	3639.7	7537.18	4836.35	3419.52	2047.0	2335.28	246.28	1.38
CHMP2A	1073.91	1111.82	3124.78	3303.0	2720.15	3168.41	2400.97	2758.13	1.01	4903.87	3168.41	3874.05	5219.6	3716.2	2303.12	3419.52	4575.41	4972.34	5006.93	4239.45	4298.64	4038.61	5791.62	3443.31	5711.87	4095.0	6037.61	3564.78	4419.52	6250.56	6337.83	7032.37	3690.52	7911.95	4388.98	3564.78	4836.35	1529.73	1806.78
