	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.E2.A1IG.11A.22R.A144.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.E9.A1NA.11A.33R.A144.07	GTEX.145ME.1526.SM.5Q5F2	GTEX.XUW1.2326.SM.4BOO5	TCGA.3X.AAV9.01A.72R.A41I.07	TCGA.ZU.A8S4.11A.11R.A41I.07	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.12ZZY.2726.SM.5EQ45	GTEX.YECK.2826.SM.5IFHF	GTEX.11GS4.1826.SM.5HL4T	GTEX.11EI6.2626.SM.5PNVT	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZAB4.0826.SM.5LU9D	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.12WSI.0226.SM.5GCNA	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.UTHO.2426.SM.4JBHD	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.13N2G.0926.SM.5IFGJ	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.1497J.0726.SM.5Q5D1	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.VUSG.0126.SM.4KL1X	GTEX.11WQC.0726.SM.5EQMR	GTEX.ZXG5.0826.SM.5GID6	GTEX.12696.1026.SM.5FQUV	TCGA.BR.7704.11A.01R.2055.13	GTEX.14BMV.2226.SM.5RQHX	GTEX.139D8.2326.SM.5IFGE
ABCC1	332.14	316.37	356.05	387.02	301.33	381.68	180.02	503.95	316.37	51.71	358.54	291.04	299.25	303.44	309.83	146.03	19.97	87.65	150.17	6.57	85.82	21.63	24.63	75.11	9.93	149.12	8.06	69.03	16.27	38.95	4.54	58.71	42.11	63.45	35.5	47.17	154.42	125.24	47.17	14.78	91.41	9.78	68.55	52.82	55.1	10.31	23.42	64.8	23.93	56.28	43.02	6.52	248.0	381.68	470.14	15.11	44.57	104.42	16.15	36.53	20.11	19.39	511.0	6.21	22.59	128.79	125.24	53.95	27.25	186.4	45.21	50.63	83.45	31.9	10.88	189.02	46.18	13.12	149.12	24.81	146.03	19.82	14.56	39.22	71.0	56.28	343.89	529.06	559.28	555.41	514.56
ABR	981.29	1135.2	1023.0	1023.0	1073.91	1051.79	603.67	1233.75	981.29	127.0	1340.84	1417.35	1551.09	1447.15	1498.22	373.81	85.82	181.28	171.45	31.0	109.66	62.56	93.35	136.19	38.12	470.14	20.41	94.01	94.67	93.35	22.43	176.29	126.12	185.11	154.42	189.02	361.04	281.09	169.07	39.22	256.78	40.36	176.29	123.5	173.85	53.57	120.94	178.77	116.78	151.22	151.22	39.5	532.74	409.15	1225.22	106.63	226.54	279.14	97.36	122.64	164.42	262.2	1216.75	53.95	130.6	22.75	262.2	341.51	49.21	246.28	108.14	267.73	226.54	555.41	20.41	412.0	35.0	40.93	633.73	129.69	320.8	26.28	51.71	142.01	92.7	115.16	1286.18	2032.85	1757.34	2384.37	2148.82
AC129492.6	2.16	1.11	1.17	0.77	1.83	2.23	0.0	2.89	14.56	0.0	0.0	5.06	2.36	2.48	4.39	1.19	0.77	0.0	0.0	0.0	0.0	0.72	0.0	10.79	0.0	2.76	0.0	1.83	0.67	0.65	0.0	0.0	0.69	2.29	0.0	0.69	0.66	0.69	0.0	0.0	1.33	0.0	0.8	0.0	0.0	0.0	0.75	1.36	0.0	0.0	0.83	0.01	3.11	1.3	9.27	0.0	0.62	1.6	1.95	2.2	0.0	4.21	25.35	0.07	2.61	1.1	2.61	1.28	0.0	0.53	0.07	1.95	5.59	0.56	1.39	3.26	0.0	0.0	1.07	0.0	2.73	0.93	0.0	0.99	3.69	0.91	1.06	2.25	4.46	12.55	23.08
ADAMTS2	497.0	297.17	612.11	559.28	329.84	571.05	295.11	473.41	796.86	131.51	102.97	59.97	148.09	67.59	153.34	139.07	90.14	211.31	202.66	8.32	16.63	47.84	60.39	67.12	10.55	1008.9	7.69	92.05	30.56	98.73	3.5	115.97	85.82	108.14	139.07	162.14	902.89	164.42	56.68	11.55	329.84	21.78	49.56	228.13	336.79	72.52	129.69	291.04	114.36	258.57	205.5	46.84	1350.18	1487.87	1745.2	149.12	660.68	1268.46	117.6	157.68	194.36	231.32	3212.66	63.0	87.65	55.1	246.28	209.84	248.0	848.22	283.05	255.0	303.44	112.77	77.79	947.83	348.71	44.57	1242.34	138.1	780.44	136.19	55.49	204.07	95.34	127.0	120.1	387.02	260.38	234.57	507.46
AJAP1	7.17	6.16	6.52	8.13	10.08	10.63	1.13	5.73	8.51	1.3	7.82	14.35	11.82	7.0	6.62	0.51	0.0	0.48	0.0	0.0	1.3	0.0	0.0	0.46	0.0	1.99	0.0	0.43	0.46	0.0	0.0	0.59	0.48	3.76	1.68	7.0	22.43	1.77	0.92	0.37	20.71	0.0	1.62	3.99	11.64	1.6	3.29	11.38	1.2	1.83	1.33	0.52	20.41	14.78	43.94	1.73	8.58	27.84	0.99	2.73	8.13	1.6	185.11	0.0	0.0	0.62	4.24	0.93	0.62	10.79	3.32	1.62	1.38	0.61	4.17	14.89	3.44	4.86	1.66	0.13	11.82	0.0	2.56	3.23	16.51	4.82	33.3	15.56	61.25	21.16	16.39
AKT3	368.65	480.04	518.15	521.76	603.67	447.82	848.22	642.59	273.37	53.95	275.28	389.72	314.17	368.65	336.79	48.52	417.77	76.17	63.0	6.94	16.63	21.32	50.27	36.01	64.34	157.68	9.85	36.53	27.25	15.68	7.82	56.28	81.14	43.32	39.22	45.21	135.24	75.11	83.45	6.41	91.41	16.03	47.84	69.03	99.43	18.43	54.33	67.59	48.87	73.54	76.71	38.67	249.73	156.59	642.59	23.76	58.3	124.37	43.02	17.13	113.56	81.71	934.76	52.08	15.11	19.82	52.82	45.53	25.35	83.45	86.43	85.82	130.6	38.4	32.82	392.44	117.6	43.02	108.9	87.65	111.21	13.83	32.59	40.93	39.22	95.34	1199.98	525.39	633.73	420.68	543.96
ANO9	107.38	204.07	45.85	35.25	103.69	108.9	9.27	111.99	476.71	19.97	242.88	187.71	251.48	102.97	80.01	79.45	27.05	27.44	40.93	21.78	26.28	38.95	31.9	63.89	14.67	197.09	6.62	35.25	24.81	40.64	1.33	17.9	20.41	129.69	17.38	81.71	142.01	127.89	48.87	25.54	39.5	7.51	23.08	9.13	12.27	4.9	8.71	44.25	24.28	21.32	38.12	10.31	73.03	87.65	146.03	24.11	119.26	532.74	18.16	36.53	0.0	26.28	1216.75	2.53	19.39	0.84	78.34	76.17	3.66	43.32	59.97	10.0	55.49	10.96	3.08	35.5	9.27	2.86	31.9	10.96	69.03	2.97	18.03	18.43	43.63	64.34	92.7	167.9	320.8	438.59	336.79
ANXA3	1369.04	2573.36	1896.65	1388.16	2018.8	1151.06	2224.63	3665.02	1572.76	98.04	1651.0	693.58	406.31	567.1	764.36	15.68	16.51	31.45	23.59	14.45	4.39	23.42	14.45	17.77	10.88	435.55	10.63	22.59	13.42	19.97	29.7	66.18	17.38	31.22	13.32	30.78	400.71	35.5	13.93	9.13	236.21	11.82	66.18	59.55	83.45	43.63	83.45	124.37	72.01	55.49	80.01	85.82	607.87	155.5	961.07	12.74	46.5	961.07	12.09	14.24	14.56	32.36	6250.56	32.13	4.43	151.22	551.56	24.11	13.72	123.5	120.94	69.03	7.63	35.25	11.55	204.07	231.32	19.39	2976.74	63.89	206.94	18.84	26.1	100.83	102.97	131.51	6079.61	902.89	1857.6	967.76	3257.52
AQP1	9945.68	9945.68	9740.98	11745.96	10084.54	11504.21	16269.83	10808.41	4419.52	836.53	4704.07	3955.48	4769.75	3690.52	4328.55	1030.12	105.89	1427.22	1583.71	88.88	303.44	379.04	995.0	954.43	287.01	3124.78	483.38	902.89	583.07	728.11	323.03	988.12	1407.55	896.64	518.15	928.3	2895.31	1870.53	995.0	260.38	2777.33	299.25	1519.15	698.41	988.12	211.31	665.29	1388.16	603.67	493.56	441.64	813.63	4972.34	6561.36	4181.07	234.57	21919.61	3190.46	255.0	353.59	559.28	1175.27	12853.63	444.72	483.38	395.18	3467.27	1167.14	334.46	12244.81	3018.3	878.17	878.17	708.18	387.02	1359.57	423.61	567.1	5403.7	486.75	2555.58	102.25	229.72	435.55	2335.28	5255.91	100023.92	13033.07	5672.41	6745.86	6516.03
ARL4C	718.08	1359.57	743.43	395.18	791.35	633.73	69.52	909.17	934.76	137.14	105.15	57.49	102.97	197.09	149.12	189.02	191.67	127.0	218.79	30.34	59.13	80.57	96.68	138.1	43.32	392.44	8.51	118.43	68.07	140.04	14.14	91.41	103.69	181.28	138.1	169.07	708.18	447.82	176.29	33.78	186.4	15.45	287.01	236.21	148.09	63.45	130.6	208.38	111.21	214.27	190.34	16.63	2090.03	376.41	2485.67	148.09	182.55	376.41	267.73	71.5	99.43	146.03	2104.58	128.79	38.4	142.01	339.14	180.02	124.37	138.1	129.69	708.18	75.11	127.0	20.86	205.5	57.08	30.56	454.09	151.22	460.44	94.67	137.14	366.09	591.22	366.09	236.21	514.56	249.73	332.14	260.38
