	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.2671.11A.01R.A32Z.07	TCGA.AA.3663.11A.01R.1723.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.147F3.1926.SM.5SIB9	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.PWOO.1326.SM.48TCJ	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.WH7G.1326.SM.4LVMS	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.1128S.1626.SM.5H12O	GTEX.OIZH.1426.SM.3NB1O	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.QDVN.1326.SM.48TZ3	GTEX.12BJ1.2126.SM.5BC5O	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.WHWD.1226.SM.4OOS1	GTEX.13FHP.2426.SM.5KLZ5	GTEX.ZVP2.1526.SM.5NQ82	GTEX.R55D.1826.SM.48FEF	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.133LE.1526.SM.5IFEN	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.12KS4.2426.SM.5LU8P	GTEX.144GN.1126.SM.5LU33	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.QCQG.1626.SM.48U26	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Y5LM.1426.SM.5RQJL	GTEX.Q2AH.1226.SM.48TZL	GTEX.O5YW.1426.SM.3MJHF	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.6453.11A.01R.1802.13
FAM171B	4.5	20.71	43.94	11.3	12.45	17.9	12.36	4.17	13.83	8.0	12.27	23.76	24.63	13.93	7.46	29.27	13.42	10.71	11.73	11.38	14.35	14.56	37.05	8.65	13.12	4.74	13.12	11.47	35.76	42.11	9.2	17.38	7.17	9.48	14.35	9.93	4.78	15.56	5.36	9.27	20.86	11.13	21.78	5.92	10.0	31.67	28.24	11.04	7.34	39.79	26.47	13.32	22.43	13.12	17.13	8.92	9.34	8.45	14.14	75.11	12.36	7.69	9.93	8.32	13.72	3.5	4.35	24.99	30.34	9.85	12.0	9.7	34.02	11.64	11.38	5.87	4.9	12.27	19.68	11.47	33.54	16.03	5.28	12.74	4.43	36.01	43.32	57.89	33.54	8.51	17.51	15.68	7.88	13.93	26.1	30.78	12.93	28.24	41.81	26.47	8.38	34.02	15.0	4.98	31.9	27.64
FAM204A	612.11	647.07	791.35	660.68	633.73	603.67	624.99	460.44	571.05	785.88	638.15	607.87	698.41	759.08	679.29	743.43	571.05	693.58	536.45	660.68	684.02	796.86	941.27	633.73	693.58	414.87	620.67	684.02	796.86	1119.56	642.59	674.59	688.78	866.07	743.43	571.05	563.18	738.29	616.37	624.99	603.67	647.07	718.08	457.25	595.34	884.29	825.0	688.78	490.14	1059.11	830.75	693.58	890.44	693.58	775.05	665.29	571.05	540.19	547.75	1127.35	693.58	511.0	674.59	647.07	629.35	555.41	543.96	571.05	928.3	633.73	674.59	612.11	967.76	660.68	759.08	624.99	555.41	629.35	764.36	612.11	638.15	551.56	607.87	595.34	669.92	748.61	902.89	1037.29	688.78	599.49	713.11	647.07	665.29	713.11	884.29	878.17	612.11	728.11	915.51	1023.0	536.45	1044.52	559.28	540.19	503.95	521.76
FBLN5	167.9	961.07	1259.69	307.69	473.41	529.06	441.64	120.1	237.86	323.03	275.28	277.2	289.02	454.09	277.2	603.67	158.79	327.56	232.94	301.33	346.29	753.83	457.25	283.05	620.67	96.01	387.02	435.55	967.76	1104.13	493.56	457.25	197.09	830.75	616.37	353.59	172.65	457.25	195.72	246.28	271.48	178.77	684.02	162.14	376.41	1143.1	698.41	392.44	260.38	1159.07	476.71	555.41	825.0	543.96	1051.79	457.25	239.52	170.25	234.57	1605.83	287.01	327.56	242.88	403.5	316.37	181.28	287.01	738.29	1096.5	218.79	389.72	591.22	1059.11	212.78	248.0	183.82	202.66	162.14	759.08	181.28	271.48	221.86	314.17	616.37	271.48	785.88	1250.98	1286.18	842.36	265.87	674.59	738.29	248.0	208.38	651.58	1175.27	511.0	819.3	775.05	947.83	373.81	1127.35	368.65	128.79	1605.83	1175.27
FCHSD2	135.24	201.25	312.0	142.01	303.44	201.25	156.59	89.51	165.57	199.85	218.79	217.27	249.73	152.28	128.79	164.42	157.68	138.1	120.94	214.27	157.68	265.87	307.69	141.02	186.4	60.82	191.67	187.71	299.25	334.46	130.6	237.86	135.24	204.07	183.82	199.85	158.79	182.55	105.89	169.07	145.02	170.25	224.97	127.89	187.71	248.0	218.79	281.09	151.22	236.21	190.34	169.07	217.27	166.73	217.27	156.59	86.43	114.36	258.57	426.57	204.07	206.94	214.27	186.4	197.09	140.04	132.44	182.55	299.25	180.02	223.41	191.67	358.54	122.64	228.13	123.5	119.26	161.02	299.25	136.19	255.0	195.72	156.59	198.47	138.1	392.44	314.17	376.41	273.37	152.28	223.41	198.47	176.29	173.85	314.17	412.0	183.82	316.37	271.48	231.32	221.86	303.44	170.25	82.29	353.59	218.79
FGF7	40.93	217.27	387.02	57.89	201.25	110.43	42.71	24.63	62.12	149.12	65.26	159.9	198.47	84.04	23.93	61.68	28.45	176.29	44.89	32.59	206.94	291.04	463.65	61.25	248.0	13.22	98.73	242.88	400.71	358.54	22.26	78.34	17.77	267.73	132.44	53.95	38.67	91.41	59.13	126.12	237.86	43.32	237.86	26.67	43.32	521.76	147.06	96.01	120.1	346.29	206.94	86.43	217.27	60.82	336.79	57.49	40.93	32.36	66.18	616.37	68.55	43.02	65.26	57.08	56.68	16.27	48.18	140.04	454.09	32.13	70.51	120.94	447.82	66.65	92.05	24.28	35.0	31.67	595.34	49.56	137.14	143.01	14.67	91.41	38.4	896.64	403.5	808.0	267.73	66.65	234.57	50.27	35.25	104.42	336.79	412.0	175.07	217.27	318.57	444.72	30.56	486.75	43.63	21.32	301.33	283.05
FLJ20373	31.67	114.36	156.59	39.79	59.13	46.18	44.25	40.93	43.32	80.01	42.71	58.3	63.45	58.3	51.35	55.49	55.49	45.21	35.76	60.82	64.8	80.57	126.12	47.17	61.68	22.1	41.52	82.29	68.55	123.5	32.59	55.1	30.12	69.52	44.89	37.32	51.71	75.64	38.12	52.82	41.22	38.95	82.29	38.67	48.52	88.26	67.12	58.71	35.0	130.6	87.65	47.84	52.08	26.28	75.64	46.84	44.57	42.41	46.18	191.67	50.63	48.18	51.35	44.25	75.64	34.51	40.07	57.89	92.7	61.68	42.41	58.3	101.54	22.75	47.5	53.19	41.52	58.3	100.83	59.55	56.68	59.97	39.5	55.1	48.52	131.51	101.54	172.65	64.34	50.63	63.0	48.18	46.18	44.25	80.57	120.94	41.22	85.22	90.77	127.89	39.5	87.65	61.68	38.95	107.38	99.43
FOXJ2	181.28	211.31	279.14	170.25	175.07	183.82	137.14	81.71	156.59	161.02	173.85	193.01	217.27	131.51	127.0	161.02	147.06	126.12	120.94	194.36	130.6	239.52	285.03	151.22	214.27	78.89	146.03	157.68	260.38	279.14	110.43	170.25	116.78	187.71	187.71	147.06	127.89	134.3	120.94	114.36	138.1	139.07	191.67	137.14	135.24	277.2	255.0	180.02	127.0	178.77	211.31	156.59	214.27	165.57	150.17	158.79	146.03	118.43	156.59	253.23	149.12	120.1	154.42	145.02	162.14	148.09	132.44	202.66	228.13	157.68	182.55	178.77	281.09	132.44	136.19	127.89	124.37	162.14	198.47	154.42	205.5	135.24	148.09	183.82	103.69	242.88	231.32	275.28	157.68	139.07	211.31	140.04	153.34	121.79	293.07	248.0	119.26	206.94	251.48	307.69	122.64	277.2	165.57	117.6	265.87	194.36
FZD4	71.0	164.42	381.68	91.41	125.24	130.6	66.65	46.18	89.51	99.43	100.83	130.6	109.66	94.67	64.8	104.42	64.8	67.12	92.7	130.6	94.01	87.03	242.88	101.54	153.34	50.63	82.87	78.89	177.53	206.94	63.0	101.54	59.55	121.79	111.21	58.71	62.56	103.69	46.5	70.51	73.03	52.82	124.37	67.59	73.54	199.85	96.68	79.45	58.71	185.11	125.24	105.89	147.06	111.99	159.9	80.57	74.58	50.98	65.72	392.44	77.25	78.89	80.57	72.52	95.34	68.07	59.55	157.68	126.12	55.49	81.71	88.88	218.79	73.54	73.54	82.87	92.7	64.8	84.04	90.77	138.1	74.06	74.58	106.63	49.91	212.78	194.36	211.31	146.03	91.41	171.45	113.56	70.51	69.03	206.94	152.28	61.68	129.69	171.45	226.54	74.58	224.97	78.34	41.22	283.05	161.02
GNB4	16.27	65.26	109.66	22.92	89.51	81.71	36.79	6.57	27.05	27.05	42.41	62.56	70.01	37.85	26.86	64.8	43.02	37.05	26.47	42.41	42.41	115.97	172.65	26.47	74.58	6.46	48.87	73.54	107.38	218.79	20.86	52.08	13.22	86.43	49.91	22.59	14.56	22.1	25.72	39.5	54.72	33.3	74.58	27.25	25.54	146.03	70.51	48.52	24.63	74.58	57.89	35.0	92.05	82.29	72.01	36.27	20.41	11.91	57.49	158.79	47.17	28.86	36.79	42.41	36.53	22.75	28.86	58.3	140.04	10.79	43.94	69.52	172.65	23.42	64.8	16.03	15.8	21.78	130.6	14.89	59.55	15.0	19.97	39.5	9.78	99.43	183.82	144.01	104.42	20.86	57.08	33.3	36.01	53.57	139.07	198.47	37.05	68.07	116.78	162.14	43.32	140.04	31.45	6.26	187.71	93.35
GNPDA2	111.99	147.06	201.25	138.1	125.24	158.79	96.68	70.51	115.97	135.24	92.7	153.34	106.63	151.22	98.73	156.59	130.6	127.89	109.66	130.6	121.79	177.53	201.25	120.94	201.25	87.03	136.19	132.44	177.53	194.36	85.22	135.24	89.51	165.57	158.79	138.1	98.73	111.99	92.05	128.79	107.38	108.9	142.01	104.42	135.24	208.38	127.0	131.51	107.38	185.11	154.42	138.1	205.5	149.12	136.19	145.02	94.67	133.36	120.1	285.03	105.15	125.24	143.01	130.6	176.29	117.6	120.94	146.03	167.9	111.21	113.56	177.53	186.4	98.04	118.43	99.43	90.14	108.9	148.09	105.89	159.9	108.14	92.7	126.12	66.18	186.4	242.88	204.07	114.36	107.38	154.42	120.94	115.16	120.1	221.86	187.71	110.43	187.71	205.5	229.72	124.37	236.21	130.6	80.01	150.17	193.01
