	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.2671.11A.01R.A32Z.07	TCGA.AA.3663.11A.01R.1723.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.147F3.1926.SM.5SIB9	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.PWOO.1326.SM.48TCJ	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.WH7G.1326.SM.4LVMS	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.1128S.1626.SM.5H12O	GTEX.OIZH.1426.SM.3NB1O	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.QDVN.1326.SM.48TZ3	GTEX.12BJ1.2126.SM.5BC5O	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.WHWD.1226.SM.4OOS1	GTEX.13FHP.2426.SM.5KLZ5	GTEX.ZVP2.1526.SM.5NQ82	GTEX.R55D.1826.SM.48FEF	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.133LE.1526.SM.5IFEN	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.OHPM.1426.SM.3TW8Y	GTEX.Y8E4.2426.SM.4WWDN	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.12KS4.2426.SM.5LU8P	GTEX.144GN.1126.SM.5LU33	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.QCQG.1626.SM.48U26	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.Y5LM.1426.SM.5RQJL	GTEX.Q2AH.1226.SM.48TZL	GTEX.O5YW.1426.SM.3MJHF	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.6453.11A.01R.1802.13
GPC6	10.31	68.55	143.01	24.11	57.49	57.49	29.7	12.64	35.0	53.57	43.94	53.95	75.11	34.75	14.14	53.95	25.35	54.33	25.17	22.75	40.36	43.94	90.77	33.54	85.82	9.13	43.02	40.64	119.26	136.19	24.28	47.5	22.1	77.79	70.51	24.81	21.01	48.52	17.9	34.02	59.13	37.32	80.01	10.55	19.53	159.9	105.89	46.18	44.89	137.14	46.5	43.02	100.13	46.84	92.7	26.86	32.59	10.31	37.32	253.23	26.86	24.63	38.12	29.48	35.5	11.38	25.17	50.63	94.67	37.85	38.67	46.5	154.42	25.72	40.64	11.73	16.27	29.91	105.15	11.73	97.36	61.68	22.75	38.12	34.51	90.14	173.85	320.8	127.0	14.78	60.39	81.14	15.11	31.45	117.6	115.97	35.25	113.56	66.18	70.51	36.27	75.64	27.84	7.57	152.28	100.13
GPR146	40.93	226.54	327.56	79.45	199.85	129.69	180.02	55.1	72.52	131.51	144.01	242.88	155.5	125.24	68.07	151.22	29.7	31.45	75.11	119.26	102.25	146.03	214.27	85.22	142.01	40.64	92.05	72.52	145.02	194.36	90.77	104.42	69.03	53.57	127.89	90.77	75.11	102.97	80.57	54.72	108.9	49.56	146.03	75.64	105.89	146.03	206.94	154.42	50.27	273.37	191.67	124.37	132.44	99.43	128.79	127.89	111.99	87.03	123.5	336.79	71.0	95.34	90.14	106.63	87.03	98.04	52.08	255.0	156.59	108.9	109.66	94.67	202.66	63.89	108.9	81.14	59.13	77.79	275.28	115.97	211.31	105.15	77.79	146.03	78.34	217.27	241.19	251.48	111.21	92.7	152.28	165.57	75.11	123.5	327.56	264.03	112.77	202.66	183.82	232.94	65.72	256.78	146.03	57.89	384.34	241.19
GPR155	28.86	50.63	130.6	34.75	36.53	36.27	25.72	9.27	20.56	41.22	31.22	31.9	48.87	31.45	14.35	44.25	35.5	17.0	16.88	43.32	36.53	44.89	88.26	33.3	60.82	7.94	27.64	51.35	76.17	111.21	14.03	25.54	14.78	53.19	44.57	29.06	16.39	45.21	16.51	31.0	37.32	33.06	76.71	30.56	40.36	115.97	61.68	27.64	18.43	55.1	46.18	30.78	54.33	24.63	30.56	22.1	16.75	9.34	34.75	244.57	48.87	34.51	35.5	29.48	32.36	18.97	25.35	32.82	88.26	27.64	26.86	43.32	70.51	21.01	32.59	19.68	13.03	24.28	115.97	26.28	58.3	30.34	21.63	36.27	15.8	92.7	86.43	129.69	24.28	18.84	55.89	14.78	20.86	38.95	90.14	144.01	20.86	91.41	86.43	78.89	20.56	96.68	28.24	19.25	113.56	151.22
GRK4	27.25	50.27	111.99	24.28	55.49	45.21	57.08	25.35	40.64	37.59	44.57	41.81	55.89	39.79	27.84	40.93	22.75	31.45	37.59	34.51	38.95	47.5	66.18	30.78	45.53	36.01	25.54	21.78	60.39	57.49	36.79	37.32	37.32	42.71	28.65	23.76	14.56	42.71	13.03	32.82	17.51	27.05	51.71	23.08	29.27	59.13	46.84	30.78	20.56	40.93	47.84	34.75	37.85	28.65	60.39	34.26	34.26	30.56	39.5	56.28	18.43	39.79	30.34	27.44	48.87	32.13	37.05	45.85	70.51	27.44	26.67	26.28	70.01	42.41	23.42	45.85	34.26	24.63	68.55	38.95	51.71	28.45	32.36	43.94	34.26	63.45	70.01	55.89	41.81	37.32	43.94	45.21	24.46	28.45	52.08	62.12	38.12	55.49	71.0	85.22	41.52	38.95	37.05	23.93	61.25	60.82
HEG1	86.43	239.52	309.83	105.89	166.73	182.55	105.15	31.22	88.26	98.04	96.68	124.37	133.36	79.45	50.63	165.57	139.07	120.94	106.63	124.37	130.6	253.23	297.17	79.45	136.19	21.78	122.64	129.69	358.54	249.73	76.71	135.24	80.57	108.14	127.89	81.14	64.8	91.41	96.68	190.34	103.69	88.88	162.14	85.22	80.01	356.05	190.34	156.59	74.58	153.34	129.69	125.24	193.01	228.13	221.86	121.79	49.56	36.79	134.3	961.07	129.69	85.22	72.01	127.0	112.77	41.22	65.72	154.42	256.78	44.25	88.26	143.01	392.44	81.71	108.9	40.07	75.64	72.52	217.27	94.01	199.85	61.68	36.79	117.6	77.79	260.38	497.0	379.04	231.32	100.83	202.66	147.06	64.34	120.94	329.84	353.59	119.26	129.69	275.28	223.41	63.89	336.79	105.15	31.9	514.56	312.0
HIP1	51.71	104.42	128.79	50.63	104.42	68.55	74.58	37.59	41.81	59.97	59.97	67.12	54.72	45.53	36.27	71.5	38.95	58.3	58.71	56.28	55.89	76.71	80.57	48.52	72.52	27.05	47.84	52.45	119.26	105.15	56.28	74.06	45.85	83.45	69.03	43.63	43.63	50.98	34.51	51.71	48.18	51.35	87.03	30.56	53.57	116.78	64.8	47.84	50.27	135.24	72.01	77.25	67.12	81.14	96.68	48.87	43.02	39.22	47.5	223.41	59.13	52.08	57.89	61.68	67.12	44.57	55.49	114.36	96.01	31.22	55.89	59.13	136.19	53.95	51.35	47.5	35.5	28.65	137.14	44.89	63.0	46.84	33.78	65.72	48.52	107.38	147.06	145.02	106.63	57.08	88.26	98.04	46.18	40.07	98.04	144.01	88.26	120.1	118.43	103.69	38.4	81.14	64.34	33.54	145.02	107.38
HSF2	54.33	144.01	193.01	129.69	111.99	110.43	83.45	70.51	98.04	102.97	89.51	94.67	145.02	102.25	112.77	120.94	91.41	96.01	86.43	118.43	94.67	113.56	202.66	92.05	142.01	60.39	94.01	108.14	146.03	244.57	74.58	126.12	91.41	119.26	107.38	81.71	87.03	105.15	96.01	98.73	84.63	88.88	155.5	90.77	85.22	198.47	172.65	100.83	97.36	138.1	129.69	108.14	158.79	120.1	94.01	96.68	77.25	82.87	96.01	223.41	124.37	111.99	98.73	81.71	95.34	82.29	85.22	100.83	123.5	112.77	118.43	125.24	158.79	78.89	92.7	96.01	90.14	80.57	111.21	134.3	115.16	128.79	102.25	90.77	108.9	170.25	158.79	176.29	95.34	96.01	124.37	84.63	105.15	96.68	142.01	171.45	82.29	135.24	181.28	173.85	92.7	180.02	109.66	88.88	154.42	151.22
INPP4A	115.97	173.85	262.2	126.12	215.77	198.47	122.64	74.06	121.79	171.45	163.28	144.01	169.07	111.21	96.68	147.06	139.07	108.9	113.56	118.43	130.6	172.65	214.27	106.63	185.11	53.19	117.6	170.25	232.94	260.38	92.05	181.28	100.83	166.73	154.42	143.01	137.14	108.14	69.03	130.6	143.01	127.0	171.45	147.06	119.26	237.86	185.11	209.84	128.79	137.14	169.07	123.5	156.59	141.02	121.79	90.77	77.79	94.67	211.31	251.48	161.02	142.01	199.85	169.07	175.07	84.63	124.37	156.59	242.88	128.79	169.07	154.42	206.94	98.73	156.59	118.43	106.63	111.99	318.57	86.43	236.21	141.02	93.35	140.04	84.63	277.2	229.72	343.89	158.79	100.83	186.4	124.37	135.24	120.1	269.6	293.07	120.94	197.09	224.97	224.97	165.57	256.78	150.17	70.01	253.23	169.07
IPO5	412.0	780.44	954.43	599.49	651.58	624.99	493.56	387.02	551.56	688.78	555.41	738.29	842.36	480.04	460.44	802.41	595.34	753.83	563.18	775.05	743.43	967.76	1088.92	503.95	718.08	211.31	532.74	656.11	988.12	1233.75	511.0	651.58	563.18	909.17	647.07	595.34	567.1	563.18	638.15	698.41	587.13	559.28	693.58	403.5	466.88	896.64	878.17	599.49	633.73	1059.11	928.3	620.67	753.83	813.63	842.36	708.18	387.02	497.0	620.67	995.0	633.73	543.96	698.41	555.41	733.19	371.22	651.58	753.83	988.12	483.38	743.43	665.29	1167.14	435.55	698.41	595.34	490.14	473.41	884.29	591.22	665.29	595.34	493.56	669.92	587.13	995.0	947.83	1073.91	713.11	703.28	813.63	620.67	490.14	583.07	915.51	961.07	679.29	785.88	1199.98	1167.14	540.19	1044.52	607.87	420.68	808.0	825.0
IPO7	389.72	525.39	808.0	361.04	559.28	540.19	387.02	336.79	454.09	507.46	438.59	583.07	642.59	454.09	343.89	547.75	587.13	633.73	480.04	532.74	525.39	890.44	902.89	476.71	551.56	258.57	463.65	567.1	718.08	902.89	423.61	559.28	423.61	854.13	473.41	426.57	457.25	426.57	490.14	629.35	693.58	529.06	575.03	348.71	435.55	785.88	688.78	518.15	483.38	703.28	791.35	559.28	693.58	583.07	607.87	507.46	356.05	406.31	511.0	764.36	483.38	412.0	607.87	432.53	529.06	361.04	457.25	647.07	728.11	389.72	540.19	511.0	928.3	435.55	518.15	376.41	397.93	395.18	825.0	483.38	493.56	518.15	318.57	426.57	426.57	842.36	791.35	813.63	642.59	536.45	547.75	480.04	387.02	463.65	620.67	733.19	518.15	595.34	909.17	878.17	476.71	878.17	480.04	332.14	665.29	669.92
ITGA9	19.11	133.36	169.07	44.57	76.17	106.63	57.08	19.68	36.79	65.26	85.82	55.1	85.22	63.89	33.54	87.65	46.5	32.59	33.78	41.22	55.1	98.04	154.42	46.84	106.63	7.75	48.87	81.14	166.73	113.56	35.76	52.45	24.46	132.44	84.63	55.89	35.5	55.49	36.53	43.94	47.5	47.84	98.73	45.53	53.19	244.57	90.77	50.27	43.32	38.95	56.28	40.93	116.78	96.68	63.0	54.33	48.87	18.84	36.79	201.25	44.25	30.34	37.85	56.28	43.63	24.46	54.33	75.11	140.04	40.07	55.89	96.68	170.25	49.56	53.57	25.72	28.86	58.3	138.1	32.36	87.03	41.52	38.12	40.36	33.3	128.79	190.34	180.02	81.14	35.0	112.77	59.55	46.5	37.85	187.71	258.57	35.25	56.28	154.42	228.13	63.45	293.07	50.27	28.04	275.28	114.36
KPNA5	22.59	40.64	66.18	45.21	41.81	44.57	31.22	20.71	29.7	47.17	28.65	53.57	63.89	59.97	31.9	53.19	41.81	30.78	21.78	36.53	31.9	37.32	74.06	21.94	46.84	10.08	40.64	37.85	56.68	93.35	28.24	30.78	26.1	39.22	37.05	30.56	36.79	40.93	22.26	22.59	27.25	36.79	46.5	32.82	40.64	69.03	48.52	51.71	26.67	69.52	49.56	38.95	78.34	37.59	32.82	40.07	16.39	21.78	38.95	122.64	44.57	28.04	41.22	30.12	44.89	28.65	35.76	34.51	67.59	32.82	31.0	49.21	67.59	23.42	36.53	25.54	27.25	46.84	52.45	42.71	45.85	39.5	34.51	45.21	23.59	78.89	93.35	107.38	29.06	27.44	46.18	33.06	47.84	34.75	76.17	80.57	28.86	67.12	57.08	67.59	25.91	78.34	41.81	27.44	67.59	75.11
KPNA6	267.73	307.69	397.93	212.78	251.48	285.03	190.34	185.11	260.38	260.38	214.27	279.14	285.03	246.28	199.85	255.0	214.27	281.09	246.28	271.48	226.54	305.55	397.93	244.57	273.37	167.9	211.31	237.86	329.84	366.09	194.36	264.03	208.38	307.69	226.54	224.97	224.97	224.97	253.23	295.11	287.01	249.73	273.37	181.28	206.94	351.14	293.07	220.32	251.48	307.69	309.83	258.57	237.86	231.32	281.09	229.72	226.54	212.78	248.0	327.56	229.72	215.77	299.25	198.47	271.48	182.55	241.19	299.25	334.46	198.47	255.0	244.57	387.02	242.88	237.86	201.25	224.97	224.97	285.03	265.87	236.21	249.73	190.34	241.19	244.57	348.71	351.14	356.05	303.44	265.87	279.14	244.57	215.77	211.31	318.57	323.03	264.03	285.03	336.79	432.53	226.54	381.68	220.32	191.67	334.46	323.03
LAMC1	343.89	802.41	1540.37	325.29	463.65	669.92	476.71	142.01	371.22	373.81	435.55	497.0	490.14	409.15	351.14	813.63	320.8	435.55	376.41	525.39	454.09	780.44	1015.93	444.72	860.08	152.28	511.0	595.34	1151.06	1295.13	392.44	567.1	323.03	947.83	620.67	381.68	194.36	406.31	339.14	476.71	551.56	305.55	890.44	283.05	500.46	1023.0	830.75	454.09	460.44	878.17	603.67	511.0	872.1	909.17	941.27	483.38	529.06	228.13	412.0	1051.79	450.94	339.14	295.11	656.11	414.87	297.17	366.09	679.29	1001.93	262.2	483.38	647.07	1540.37	426.57	379.04	239.52	334.46	283.05	1250.98	301.33	414.87	265.87	368.65	525.39	406.31	1008.9	1417.35	1183.45	1051.79	376.41	819.3	493.56	351.14	318.57	642.59	796.86	571.05	748.61	1001.93	1437.15	334.46	1199.98	441.64	206.94	1233.75	638.15
LCA5	4.78	14.89	40.36	10.16	18.16	16.03	7.57	3.44	9.48	11.64	10.39	20.11	17.64	11.38	4.74	17.64	11.73	10.96	5.77	11.38	13.22	19.25	24.28	11.3	23.08	3.26	8.38	10.55	27.64	27.25	6.21	9.56	3.72	12.18	16.75	7.94	6.31	11.64	5.59	10.08	12.27	8.65	11.73	5.28	8.19	35.76	12.45	15.56	7.88	26.86	20.86	9.41	26.67	12.0	20.11	6.16	7.75	6.78	10.71	55.1	10.96	6.01	9.34	9.48	12.64	5.5	8.78	18.97	33.06	8.19	9.78	11.3	28.86	7.4	8.58	5.23	7.51	8.32	23.42	6.26	14.35	13.32	4.54	11.47	3.89	36.53	27.05	46.84	21.47	6.11	13.03	8.65	9.2	10.55	25.54	34.26	7.4	29.06	27.84	30.34	8.0	39.22	8.99	5.59	25.54	21.32
LIX1L	91.41	195.72	412.0	102.25	159.9	126.12	90.14	56.68	77.79	171.45	134.3	156.59	157.68	98.04	74.06	126.12	90.77	69.03	89.51	79.45	148.09	155.5	299.25	92.7	269.6	35.5	81.14	180.02	265.87	297.17	74.06	108.9	48.52	242.88	171.45	73.03	64.8	147.06	53.57	86.43	98.73	83.45	249.73	61.68	100.13	426.57	194.36	136.19	70.01	236.21	156.59	102.97	194.36	88.88	164.42	78.34	67.12	47.5	127.0	486.75	93.35	88.88	106.63	90.14	98.73	52.45	94.01	154.42	255.0	89.51	121.79	155.5	273.37	80.57	100.83	62.56	55.89	80.57	217.27	73.03	173.85	124.37	75.11	99.43	73.03	297.17	265.87	379.04	152.28	83.45	159.9	99.43	90.14	98.04	334.46	373.81	85.22	224.97	269.6	249.73	105.15	312.0	90.14	51.71	305.55	224.97
LRRK2	17.38	39.22	83.45	13.22	34.02	23.59	18.29	4.13	14.35	19.82	15.11	36.79	25.35	22.43	12.36	36.01	14.14	8.19	10.71	12.09	24.11	26.1	61.68	17.38	26.1	2.66	16.75	12.18	67.12	84.04	10.08	32.36	8.85	46.84	36.79	16.88	9.06	39.5	4.54	16.39	21.63	12.64	41.22	13.22	25.54	63.45	40.36	22.92	14.56	51.35	29.7	25.54	48.18	19.68	26.86	16.15	10.47	7.11	20.41	113.56	26.86	14.45	29.48	17.77	24.28	12.83	13.22	41.81	48.87	13.32	29.06	35.5	77.25	9.63	16.75	6.57	11.47	8.32	31.22	10.55	37.59	11.38	7.75	28.86	6.78	75.64	52.08	138.1	34.02	13.22	36.79	21.32	18.7	13.62	61.68	82.29	23.08	68.55	49.21	73.03	23.25	88.26	15.68	7.11	48.87	32.13
MAP3K3	144.01	371.22	547.75	164.42	287.01	255.0	201.25	93.35	191.67	236.21	211.31	279.14	231.32	246.28	169.07	287.01	134.3	136.19	166.73	262.2	178.77	241.19	444.72	155.5	285.03	74.58	171.45	201.25	507.46	521.76	157.68	228.13	172.65	301.33	273.37	145.02	152.28	224.97	133.36	194.36	183.82	173.85	301.33	164.42	186.4	429.54	409.15	277.2	165.57	387.02	307.69	175.07	239.52	172.65	258.57	156.59	157.68	127.0	204.07	497.0	211.31	199.85	211.31	194.36	190.34	143.01	181.28	320.8	303.44	173.85	283.05	239.52	460.44	181.28	169.07	197.09	167.9	167.9	283.05	181.28	251.48	182.55	186.4	269.6	143.01	351.14	426.57	447.82	271.48	167.9	301.33	224.97	221.86	178.77	361.04	555.41	190.34	400.71	486.75	571.05	208.38	470.14	241.19	132.44	547.75	281.09
MDFIC	52.08	183.82	231.32	77.79	132.44	120.94	87.03	46.18	69.52	150.17	85.22	134.3	113.56	70.51	68.55	191.67	131.51	87.65	70.51	56.68	84.63	273.37	232.94	54.33	155.5	26.47	77.25	115.16	178.77	316.37	66.65	131.51	50.27	239.52	110.43	99.43	94.01	128.79	31.45	85.82	110.43	85.22	121.79	63.89	110.43	244.57	124.37	136.19	69.52	187.71	171.45	78.89	197.09	120.94	140.04	79.45	50.63	85.22	113.56	379.04	167.9	88.88	123.5	111.99	125.24	48.18	75.11	146.03	231.32	87.65	80.01	85.82	246.28	68.07	100.83	46.5	53.57	85.82	153.34	57.49	135.24	165.57	60.82	81.71	60.82	281.09	169.07	373.81	146.03	81.71	108.14	88.26	93.35	90.14	246.28	279.14	110.43	244.57	172.65	368.65	144.01	409.15	85.82	33.06	224.97	199.85
MEF2A	346.29	373.81	429.54	242.88	293.07	327.56	217.27	96.01	260.38	226.54	264.03	295.11	358.54	244.57	256.78	275.28	314.17	217.27	212.78	289.02	221.86	426.57	460.44	289.02	460.44	194.36	293.07	289.02	444.72	463.65	214.27	258.57	177.53	409.15	283.05	287.01	228.13	234.57	194.36	221.86	253.23	253.23	332.14	285.03	256.78	460.44	336.79	327.56	237.86	361.04	368.65	231.32	457.25	348.71	255.0	248.0	193.01	194.36	246.28	521.76	289.02	223.41	262.2	279.14	312.0	291.04	237.86	283.05	395.18	236.21	289.02	327.56	532.74	231.32	255.0	221.86	244.57	269.6	392.44	248.0	403.5	165.57	236.21	312.0	189.02	454.09	420.68	500.46	287.01	214.27	417.77	237.86	262.2	181.28	486.75	444.72	249.73	318.57	379.04	392.44	236.21	500.46	293.07	201.25	521.76	429.54
MLLT10	150.17	217.27	277.2	194.36	285.03	260.38	176.29	142.01	193.01	215.77	224.97	249.73	255.0	202.66	197.09	251.48	231.32	237.86	201.25	244.57	211.31	232.94	392.44	228.13	318.57	127.0	255.0	226.54	353.59	429.54	201.25	267.73	142.01	237.86	279.14	232.94	198.47	194.36	204.07	181.28	244.57	208.38	327.56	224.97	253.23	343.89	376.41	269.6	215.77	307.69	318.57	186.4	318.57	232.94	244.57	221.86	166.73	208.38	226.54	361.04	181.28	232.94	224.97	214.27	241.19	205.5	236.21	262.2	327.56	190.34	218.79	236.21	353.59	212.78	217.27	176.29	209.84	236.21	248.0	218.79	255.0	172.65	193.01	239.52	202.66	329.84	387.02	466.88	236.21	242.88	273.37	237.86	239.52	221.86	316.37	406.31	208.38	371.22	400.71	341.51	195.72	366.09	255.0	166.73	221.86	267.73
NDNL2	141.02	285.03	368.65	190.34	277.2	251.48	190.34	202.66	237.86	220.32	244.57	244.57	309.83	197.09	171.45	281.09	169.07	176.29	212.78	191.67	229.72	305.55	392.44	208.38	269.6	134.3	205.5	299.25	403.5	384.34	194.36	232.94	178.77	309.83	260.38	241.19	237.86	281.09	147.06	255.0	161.02	195.72	299.25	156.59	215.77	429.54	334.46	220.32	220.32	195.72	283.05	256.78	312.0	173.85	271.48	211.31	182.55	137.14	262.2	253.23	241.19	180.02	223.41	214.27	241.19	142.01	182.55	275.28	379.04	166.73	260.38	226.54	429.54	176.29	220.32	182.55	170.25	151.22	316.37	211.31	277.2	258.57	177.53	202.66	155.5	381.68	371.22	351.14	269.6	195.72	256.78	199.85	214.27	246.28	403.5	329.84	224.97	258.57	303.44	389.72	241.19	273.37	181.28	142.01	358.54	426.57
NFATC1	176.29	109.66	162.14	66.65	74.06	55.49	44.57	44.89	25.91	68.07	63.0	59.13	70.51	61.25	52.08	95.34	36.53	44.57	29.48	35.25	68.55	150.17	132.44	24.63	94.01	7.69	38.95	88.88	120.94	155.5	28.86	72.01	28.24	178.77	75.64	28.24	25.54	105.89	43.02	51.35	26.47	68.07	99.43	57.49	58.3	187.71	96.01	82.29	66.65	119.26	120.94	70.51	66.65	49.21	65.26	62.12	21.78	11.91	96.01	236.21	62.56	35.5	71.5	48.87	66.65	15.34	34.26	79.45	183.82	31.0	72.01	78.34	140.04	25.35	48.52	38.67	38.12	29.27	248.0	57.49	74.06	67.12	50.63	83.45	56.68	273.37	193.01	183.82	73.54	33.3	146.03	66.65	78.34	46.5	164.42	176.29	108.9	88.88	133.36	147.06	115.97	133.36	71.0	36.27	251.48	164.42
NR3C1	40.93	249.73	291.04	81.71	202.66	173.85	102.97	55.89	92.7	186.4	126.12	150.17	152.28	90.77	99.43	164.42	140.04	112.77	105.15	108.9	111.21	258.57	303.44	107.38	206.94	83.45	118.43	190.34	239.52	323.03	96.68	155.5	47.5	106.63	162.14	125.24	85.22	127.0	61.25	76.17	123.5	120.94	185.11	98.73	156.59	273.37	173.85	171.45	95.34	267.73	246.28	118.43	287.01	124.37	124.37	101.54	118.43	67.59	182.55	878.17	123.5	95.34	117.6	130.6	149.12	97.36	127.89	172.65	314.17	162.14	103.69	136.19	237.86	88.26	171.45	59.55	69.03	165.57	387.02	85.82	229.72	147.06	76.71	134.3	74.58	356.05	371.22	728.11	182.55	98.73	155.5	120.1	145.02	153.34	318.57	414.87	65.72	320.8	251.48	237.86	94.67	303.44	195.72	52.08	400.71	283.05
NRF1	159.9	212.78	205.5	162.14	214.27	154.42	150.17	173.85	180.02	186.4	176.29	171.45	186.4	226.54	156.59	165.57	130.6	173.85	161.02	176.29	201.25	218.79	217.27	172.65	244.57	130.6	131.51	199.85	241.19	214.27	161.02	181.28	157.68	164.42	195.72	161.02	153.34	190.34	147.06	190.34	158.79	159.9	193.01	176.29	152.28	260.38	197.09	158.79	156.59	182.55	199.85	164.42	206.94	164.42	172.65	165.57	148.09	126.12	163.28	232.94	165.57	167.9	211.31	158.79	167.9	141.02	155.5	218.79	218.79	189.02	139.07	165.57	232.94	158.79	194.36	163.28	158.79	172.65	167.9	193.01	228.13	181.28	153.34	180.02	173.85	226.54	217.27	236.21	208.38	175.07	255.0	186.4	173.85	162.14	249.73	260.38	139.07	267.73	206.94	244.57	178.77	220.32	171.45	136.19	199.85	152.28
NXPE3	49.21	66.65	118.43	47.5	112.77	75.11	41.22	33.3	55.1	48.87	67.12	54.72	75.11	28.45	38.95	51.35	54.33	57.49	55.1	38.4	52.82	85.82	145.02	26.28	108.9	7.0	36.53	67.12	103.69	128.79	29.06	49.21	37.32	104.42	64.8	62.56	35.5	56.68	26.67	69.03	48.52	41.81	85.22	37.32	50.63	108.14	64.34	90.77	42.71	47.17	89.51	43.32	108.9	55.1	100.13	28.45	19.68	15.8	89.51	136.19	94.67	51.71	69.52	63.0	77.25	26.28	42.11	54.72	100.83	32.59	38.12	47.17	113.56	36.27	53.19	16.27	35.76	41.22	98.04	27.84	83.45	85.22	21.63	70.01	26.86	99.43	105.89	111.21	82.29	39.22	63.0	43.94	60.39	35.76	104.42	121.79	52.82	102.97	99.43	143.01	80.01	75.64	44.89	27.25	140.04	100.83
PABPC4L	0.61	2.48	10.71	2.53	3.72	2.86	1.35	0.62	1.27	2.03	2.81	2.97	2.25	3.38	0.15	4.03	1.41	1.46	1.27	1.31	2.51	2.68	4.7	2.03	2.39	0.0	0.77	1.6	5.5	4.62	0.44	3.38	0.96	4.74	2.01	1.57	1.01	1.5	1.22	2.41	2.05	0.95	3.29	0.48	1.97	8.32	2.27	1.87	1.27	1.68	1.55	2.05	3.82	1.36	4.03	1.07	1.79	1.69	1.77	10.39	1.68	1.55	1.99	1.08	2.39	0.71	1.04	1.35	5.06	0.13	3.35	1.85	5.36	0.92	1.23	0.15	0.13	1.75	5.19	0.47	3.76	3.03	0.42	2.86	0.13	5.96	4.46	5.54	5.15	1.36	2.07	1.66	0.97	2.58	6.89	8.25	1.55	4.17	5.82	5.77	1.0	6.78	0.75	0.49	6.73	3.2
